['denies', 0.9973708990872998]
['puzzlement', 0.9564018475914942]
['englanders', 0.956363206736915]
['voided', 0.9562354430196496]
['txt', 0.9562324893385968]
['assemblage', 0.9560229455489374]
['summon', 0.9559394387770138]
['jetes', 0.95586210013639]
['seafaring', 0.9558408035620818]
['monarch', 0.9558012892945916]
['wrest', 0.9557508480330702]
['flopped', 0.9555974350023236]
['prearranged', 0.9555772489371156]
['veins', 0.9553583429252872]
['huntsman', 0.9552032340024597]
['virus', 0.9551836817881042]
['folk', 0.9551836817881042]
['swiss', 0.9551345720256056]
['nets', 0.9551078929709396]
['quell', 0.9551078929709396]
['superstition', 0.9551078929709396]
['dancers', 0.9551078929709396]
['explanation', 0.955106213901785]
['admirably', 0.9548542072166064]
['down', 0.9546364797771768]
['scooping', 0.9546364797771768]
['neighbor', 0.9546364797771768]
['flaunting', 0.9546364797771768]
['contradictory', 0.9545918379145941]
['intellectually', 0.9544861028691813]
['beowulf', 0.9539589615256925]
['extensive', 0.9538785098059381]
['decide', 0.9535527022254021]
['galette', 0.9533884464120616]
['inrushing', 0.9531096165255426]
['epimenides', 0.9527423260904001]
['unbroken', 0.9527423260904001]
['reine', 0.9527423260904001]
['amiable', 0.9527408264468246]
['barrenness', 0.9527408264468246]
['yawned', 0.9526307240188944]
['jesuit', 0.9526245533471014]
['avenged', 0.9523641592836715]
['somewhere', 0.9523641592836715]
['excepting', 0.9523375252992086]
['radio', 0.9523194942448592]
['spindles', 0.9523113083474444]
['reefs', 0.9522147247109403]
['develop', 0.9522147247109403]
['palates', 0.9522147247109403]
['organised', 0.9522147247109403]
['passed', 0.9522147247109403]
['engender', 0.9521918288890173]
['domiciled', 0.9521918288890173]
['keeps', 0.9521918288890173]
['presumptuous', 0.9521918288890173]
['beech', 0.9521918288890173]
['soothes', 0.9518694963674369]
['elevation', 0.9518278570823676]
['reptile', 0.9518252329794463]
['cardboard', 0.9518252329794463]
['ezra', 0.9518252329794463]
['mother', 0.9518252329794463]
['motion', 0.9518037851768378]
['maigs', 0.9516114616940533]
['button', 0.9514585394537087]
['_must_', 0.9514585394537087]
['fellowship', 0.9513479593403097]
['outcropping', 0.951306843730298]
['fantastic', 0.951149652172833]
['published', 0.951149652172833]
['pleasurable', 0.9511092230583945]
['stiffly', 0.9511092230583945]
['scrupulous', 0.9511092230583945]
['inasmuch', 0.9509927522673391]
['attributed', 0.9509927522673391]
['curve', 0.9509927522673391]
['enjoyed', 0.9509927522673391]
['carlsfeld', 0.9509649441256649]
['realms', 0.9509649441256649]
['grandes', 0.9509239709507684]
['hundred', 0.9509204652801111]
['_oime', 0.9508606704067092]
['ofttimes', 0.9507508740811081]
['righteous', 0.9507148451164498]
['barbarians', 0.9506684732737477]
['sultan', 0.9505425236812719]
['barren', 0.9505260414319932]
['rigging', 0.9505260414319932]
['impediments', 0.9505260414319932]
['undistinguishable', 0.9505260414319932]
['caligula', 0.9505260414319932]
['kraighten', 0.9505260414319932]
['display', 0.9505260414319932]
['guitar', 0.9505260414319932]
['avoidable', 0.9505260414319932]
['stepmothers', 0.9505260414319932]
['skelter', 0.9505260414319932]
['tiring', 0.9505260414319932]
['never', 0.9505260414319932]
['shortening', 0.9505260414319932]
['buildings', 0.9505260414319932]
['waken', 0.9505260414319932]
['rusted', 0.9505260414319932]
['ted', 0.9505260414319932]
['illumined', 0.9505260414319932]
['embarrassment', 0.9505260414319932]
['cried', 0.9505260414319932]
['divination', 0.9505260414319932]
['gaul', 0.9505260414319932]
['illustrations', 0.9505260414319932]
['trance', 0.9505260414319932]
['behaving', 0.9505260414319932]
['corresponding', 0.9505260414319932]
['part', 0.9505260414319932]
['ached', 0.9505260414319932]
['conceit', 0.9505260414319932]
['withdrew', 0.9505260414319932]
['coupled', 0.9505260414319932]
['dish', 0.9505260414319932]
['posture', 0.9505260414319932]
['lad', 0.9505260414319932]
['umbrella', 0.9505260414319932]
['_where', 0.9505260414319932]
['horatius', 0.9505260414319932]
['stringin', 0.9505260414319932]
['efforts', 0.9505260414319932]
['water', 0.9505260414319932]
['sculptured', 0.9505260414319932]
['grisettes', 0.9501546172087749]
['intricate', 0.9498263365906516]
['taels', 0.9498138808243716]
['exist', 0.949782831332628]
['roadside', 0.9497665337442783]
['minutes', 0.9496774999664997]
['perfect', 0.9496708155649493]
['theous', 0.9494699736808598]
['surpasses', 0.94931110471606]
['entertainment', 0.94931110471606]
['anger', 0.9488960043084868]
['hopes', 0.948761041279558]
['boasts', 0.9487294778946164]
['stating', 0.9485949962678352]
['chemicals', 0.948228874054434]
['reminiscent', 0.948228874054434]
['roger', 0.948228874054434]
['dreadful', 0.948228874054434]
['peaceful', 0.948228874054434]
['locating', 0.9481864609640819]
['degradation', 0.9479826433267412]
['nineteenths', 0.9479826433267412]
['rabats', 0.9479465525186113]
['physics', 0.9479238785808264]
['cheval', 0.9479238785808264]
['mouldering', 0.9479058095547352]
['sipping', 0.9479058095547352]
['boldly', 0.9476098341754527]
['chilling', 0.9473691114417019]
['armchairs', 0.9470296178625878]
['honolulu', 0.9470231041829112]
['headstone', 0.9465255905943778]
['petition_', 0.9461094357997967]
['recovering', 0.9459711225006894]
['gore', 0.9458417683218379]
['moderating', 0.9457622199309894]
['danae', 0.9456863788349537]
['phalanxes', 0.9456774016452719]
['eh', 0.9451504405948342]
['weighty', 0.9434843927830915]
['1875', 0.9432806869519901]
['intend', 0.9430201307480361]
['kansas', 0.9429652753642334]
['onset', 0.9426600710629472]
['boars', 0.9425982049248803]
['yield', 0.9425885142732233]
['iv', 0.9425113310810658]
['raking', 0.9421024306213976]
['rapine', 0.9413058792516461]
['practiced', 0.9413026952135828]
['omnipotent', 0.9412828818201107]
['chose', 0.9412828818201107]
['indians', 0.9412828818201107]
['peaks', 0.9402645596005914]
['informs', 0.9402645596005914]
['milled', 0.9402645596005914]
['dies', 0.9402645596005914]
['humped', 0.9402645596005914]
['cultivators', 0.9402645596005914]
['often', 0.9402645596005914]
['occupant', 0.9402645596005914]
['rise', 0.9402390552797875]
['ripening', 0.9401104918147632]
['forty', 0.9400187575634777]
['slaughtering', 0.939671624203723]
['heap', 0.9396508919105193]
['noised', 0.9395164122343007]
['ends', 0.9392308642895685]
['unapproving', 0.9391661247898664]
['ponderous', 0.9389280933833756]
['stirs', 0.938912528254134]
['combines', 0.9388182479495528]
['therefor', 0.9384444617026778]
['seizure', 0.9383136884925275]
['fearfully', 0.9377555889883883]
['richer', 0.9377161964007408]
['humbert', 0.9376300005413006]
['sympathetic', 0.9374984749325539]
['forsythe', 0.9374950055007195]
['parding', 0.9374339388716829]
['quand', 0.9373537982420233]
['disorganized', 0.9372032006437384]
['defer', 0.937169750722165]
['expanse', 0.9367626758400482]
['records', 0.936475645966272]
['performers', 0.9363277882979777]
['expositions', 0.9362543311287975]
['efficiently', 0.9362369030263755]
['sociable', 0.9361426732920616]
['ties', 0.9359671715660574]
['unanswered', 0.9357977919217175]
['akin', 0.935781858759992]
['venerable', 0.9357524029086675]
['crop', 0.9355531155181925]
['milder', 0.9355324802817362]
['lay', 0.9351186165631311]
['bravery', 0.9348203030598224]
['israel', 0.9344105694457521]
['130', 0.9344105694457521]
['eggs', 0.9342845422875251]
['_passion', 0.9342604624045664]
['relentless', 0.934244040843353]
['bays', 0.9341453018787865]
['speedy', 0.9341453018787865]
['suspenders', 0.9341119461510442]
['boughs', 0.9339428093510052]
['hurled', 0.9339428093510052]
['rosy', 0.9339428093510052]
['employee', 0.9339428093510052]
['cap', 0.9337308161615583]
['nuncio', 0.9334562130335707]
['legislation', 0.9333684512850222]
['novels', 0.9332974034955273]
['reginald', 0.9332170205857835]
['flaw', 0.9331360917426306]
['prow', 0.9331360917426306]
['wilkins', 0.9330603785391707]
['constrictor', 0.9329234988170523]
['headstones', 0.9329234988170523]
['_orlando', 0.9329057459425969]
['irksome', 0.9328173826686011]
['artfully', 0.9327697624244268]
['state', 0.9327697624244268]
['eyeless', 0.9325294865245306]
['coal', 0.9324940455483139]
['scales', 0.9324940455483139]
['congratulating', 0.9322758847130853]
['southeastward', 0.9322758847130853]
['amadee', 0.9322758847130853]
['tormented', 0.9322758847130853]
['python', 0.9322758847130853]
['quote', 0.9322758847130853]
['rheinfeldt', 0.9322758847130853]
['rules', 0.9322758847130853]
['bounty', 0.9322758847130853]
['smile', 0.9322758847130853]
['puff', 0.9322758847130853]
['sightless', 0.9322758847130853]
['guarding', 0.9320793450966277]
['supports', 0.9320793450966277]
['tense', 0.9320793450966277]
['boast', 0.9320793450966277]
['chestnuts', 0.9320793450966277]
['rights', 0.9320793450966277]
['cooly', 0.9320793450966277]
['hawking', 0.9320793450966277]
['_let', 0.9320793450966277]
['immolated', 0.9320793450966277]
['hero', 0.9320793450966277]
['clatter', 0.9320793450966277]
['ambitious', 0.9320793450966277]
['corpse', 0.9320793450966277]
['browse', 0.9320600001498661]
['firmament', 0.931831792258108]
['betide', 0.9314091696028168]
['paying', 0.9312627068587689]
['mouthing', 0.9310396099636792]
['1901', 0.9309898937249907]
['sentimentally', 0.9308235138036624]
['specification', 0.9308235138036624]
['grazier', 0.9308235138036624]
['worms', 0.9306541986695863]
['neglects', 0.9303684713532225]
['glancing', 0.9302843269933224]
['hairy', 0.9299792125565064]
['accident', 0.9298765912778768]
['constrains', 0.929856582408104]
['impart', 0.9297386623948678]
['turvy', 0.9296074930606794]
['salamander', 0.9291446405928738]
['waved', 0.9290296897054392]
['regained', 0.9288413153374804]
['ulster', 0.9285513929807462]
['soiree', 0.9283849000431383]
['strugglin', 0.9283849000431383]
['avidity', 0.9280703261697819]
['pulsed', 0.9278404698474935]
['aired', 0.927660638127815]
['stake', 0.9275999493126127]
['wilderness', 0.9275577920230911]
['unsympathetic', 0.9275172613294835]
['quieter', 0.9275172613294835]
['section', 0.9275172613294835]
['von', 0.9274312224750144]
['imaginations', 0.9274312224750144]
['ye', 0.92707288654655]
['undersecretary', 0.9266871122929101]
['heroism_', 0.9263234075883481]
['paddles', 0.9263234075883481]
['whispering', 0.9261253526493244]
['circuit', 0.9260434598920204]
['superficiality', 0.9259839080360734]
['leetle', 0.9258221302992451]
['sou', 0.9258221302992451]
['titles', 0.9258221302992451]
['oswego', 0.9258221302992451]
['press_', 0.9258221302992451]
['immanent', 0.9257550255921922]
['breakdown', 0.9256521747361631]
['florentines', 0.9254012620553732]
['gratis', 0.9250496217486042]
['depicted', 0.9250150335969173]
['tyrants', 0.9249230300664905]
['seduced', 0.9248349580757735]
['resounds', 0.9247034926882609]
['raleigh', 0.924570899973922]
['forward', 0.9244673522274213]
['sofas', 0.9241428491642613]
['avitchi', 0.9241428491642613]
['imbue', 0.9241265649254891]
['verified', 0.9238937928745731]
['uncomputed', 0.9238937928745731]
['fleeing', 0.9238937928745731]
['thrackles', 0.9238937928745731]
['softer', 0.9238937928745731]
['smash', 0.9238937928745731]
['aurelius', 0.9238937928745731]
['oaken', 0.9238937928745731]
['sanitation', 0.9238687268709637]
['perform', 0.9236767727878339]
['doomed', 0.9235866526719048]
['radiances', 0.9234747523702668]
['easterly', 0.923444831824142]
['calibre', 0.9230455299160699]
['awaken', 0.9229621292942914]
['quellers', 0.9225592504828946]
['fruits', 0.9225122116160748]
['weeping', 0.9224909385898523]
['unutterable', 0.9224236028336592]
['speculating', 0.9223692608856328]
['neutral', 0.922256621176891]
['trottin', 0.9221872392999456]
['exactly', 0.9221118788007382]
['shrubless', 0.9217949970723218]
['caricatures', 0.92178734147665]
['midside', 0.9217059397619259]
['shock', 0.9216171983650322]
['sentinel', 0.921601590805001]
['faut', 0.921601590805001]
['everyone', 0.9212174196842459]
['engagingly', 0.921138496833641]
['zealand', 0.921138496833641]
['sprung', 0.921138496833641]
['snare', 0.9210737750736248]
['obstacles', 0.9205972248173757]
['catholic', 0.9205592661866968]
['roundhouse', 0.9205511252932459]
['downfall', 0.9205511252932459]
['quickened', 0.9205451178337009]
['automatons', 0.9198453641502684]
['seaway', 0.9198453641502684]
['ladyship', 0.9198453641502684]
['fallin', 0.9198453641502684]
['lesson', 0.9198453641502684]
['crew', 0.9196107770975075]
['bottles', 0.9193600681876021]
['cabalistic', 0.9192744939991394]
['peerless', 0.9192037346510809]
['halliards', 0.9183156010744539]
['_xi_', 0.9183021917795549]
['ward', 0.9179881497872058]
['tutor', 0.9179658074657115]
['tho', 0.9178003537240936]
['paddling', 0.9177110827081342]
['succeeds', 0.9176212336772402]
['concluded', 0.9171755045837204]
['91', 0.9171296471309694]
['bluster', 0.916759818447901]
['weary', 0.9167516222289355]
['bowling', 0.9165428878983455]
['squeaked', 0.916528118564496]
['sweetmeats', 0.9164252172196449]
['inly', 0.916410698533022]
['outbuildings', 0.916410698533022]
['exit', 0.916410698533022]
['drownin', 0.916410698533022]
['educating', 0.9163272379430811]
['tolerate', 0.9152606120383309]
['staggered', 0.9152239549741665]
['amiel', 0.9152153556655471]
['hazelike', 0.9152115401563251]
['assyria', 0.9148701603403175]
['despise', 0.9148048031932197]
['thoughtless', 0.9147777881881005]
['decay', 0.9147072194373536]
['obedient', 0.9143723694275083]
['added', 0.9142592570986402]
['explicit', 0.914142081387354]
['kritters', 0.9139549533464826]
['topper', 0.9139338105478633]
['astronomer', 0.9137704525517595]
['astronomy', 0.9137704525517595]
['dynamite', 0.9137704525517595]
['trunks', 0.913711996045044]
['animadverted', 0.9135817926860543]
['blundering', 0.9134190843645426]
['overjoyed', 0.9133914056222755]
['beds', 0.9133914056222755]
['consummated', 0.9133914056222755]
['camions', 0.9133914056222755]
['freaks', 0.9133914056222755]
['couriers', 0.9133914056222755]
['agunt', 0.9133914056222755]
['offered', 0.9133914056222755]
['bathe', 0.9133914056222755]
['baths', 0.9133914056222755]
['dwindle', 0.9133914056222755]
['sonorous', 0.9133914056222755]
['total', 0.9133914056222755]
['compensate', 0.9133914056222755]
['climbing', 0.9133914056222755]
['inexcusable', 0.9133914056222755]
['vanquished', 0.9133914056222755]
['godwinian', 0.9133914056222755]
['courant', 0.9133914056222755]
['axes', 0.9133914056222755]
['stone', 0.9133914056222755]
['stuart', 0.9133914056222755]
['bosom_', 0.9133914056222755]
['seeker', 0.9133914056222755]
['fading', 0.9133914056222755]
['squatting', 0.9133914056222755]
['sets', 0.9133914056222755]
['undoing', 0.9133914056222755]
['papa', 0.9130068994148033]
['mantle', 0.9126688011996885]
['whimper', 0.9126688011996885]
['yer', 0.9120569631080255]
['barter', 0.9118299342708962]
['litigation', 0.9116563124702922]
['preparations', 0.9114627735135556]
['uncanny', 0.9113691002621094]
['feeds', 0.9113543778056609]
['wont', 0.9112280506954302]
['medical', 0.9110353910541729]
['meridian', 0.9110353910541729]
['danseuse', 0.9110353910541729]
['dismay', 0.9110148240026665]
['chimiques', 0.9103472472483705]
['apply', 0.9101370703724037]
['lickin', 0.9101143837872155]
['clothing', 0.9101143837872155]
['abreast', 0.9101118040250987]
['orders', 0.9100490392823819]
['forbade', 0.9100490392823819]
['hosts', 0.9099906419886477]
['now_', 0.9099512636280799]
['command', 0.9098499566922472]
['recitation', 0.9098416892560464]
['benignant', 0.909464586614976]
['expenditure', 0.9093394792697892]
['lamented', 0.9092082286765621]
['performance', 0.9091676923102487]
['suffused', 0.908807318676674]
['discovers', 0.9087315223352648]
['resolve', 0.908541150580697]
['disclosed', 0.9082310952935428]
['conseilleurs', 0.9082277232969526]
['liveliness', 0.9080365361128553]
['chiuso', 0.9080365361128553]
['untiring', 0.9080365361128553]
['entitled', 0.9080365361128553]
['radically', 0.9080365361128553]
['tarred', 0.9080365361128553]
['owing', 0.9078761762281287]
['talking', 0.9077334116854979]
['thraldom', 0.9076042993729174]
['invented', 0.9075442203352331]
['classical', 0.9073882356817402]
['sabe_', 0.907362439007079]
['vulcan', 0.9073588857993479]
['yells', 0.9073588857993479]
['jungle', 0.9073420081097922]
['artery', 0.9073399898252613]
['temper', 0.9073190246752099]
['studiously', 0.9072733717113481]
['beggin', 0.9070625756788752]
['combine', 0.9070625756788752]
['oaks', 0.9069767098481838]
['sequel', 0.9069767098481838]
['wafted', 0.9069767098481838]
['saunter', 0.9069767098481838]
['extract', 0.9069767098481838]
['staying', 0.9069767098481838]
['noises', 0.9069767098481838]
['winter', 0.9067122999042009]
['thy', 0.9067122999042009]
['speechless', 0.9067122999042009]
['escutcheon', 0.9067122999042009]
['neuilly', 0.9067122999042009]
['meditated', 0.9067122999042009]
['taskmaster', 0.9065044087571422]
['womanhood', 0.9065044087571422]
['morou', 0.906327638112527]
['peer', 0.906327638112527]
['increasingly', 0.906327638112527]
['pickerel', 0.906327638112527]
['slipped', 0.906327638112527]
['actors', 0.906327638112527]
['sleepy', 0.906327638112527]
['wavy', 0.906327638112527]
['congregating', 0.906327638112527]
['annoyance', 0.906327638112527]
['1323', 0.9058293531755103]
['sermonic', 0.9058088204597541]
['_blow', 0.9057551791081764]
['moments', 0.9056981230140286]
['manufactories', 0.9056279109327973]
['watering', 0.9056279109327973]
['low', 0.9055399547936648]
['brink', 0.9053193642903209]
['wakened', 0.9050747470443958]
['shoved', 0.9050694756705413]
['feigned', 0.9048735078339825]
['anglo', 0.9048053205621248]
['cannibal', 0.9047728942619129]
['sermons', 0.9047728942619129]
['cookery', 0.9047728942619129]
['attempted', 0.9047718338528725]
['va', 0.9046893751859325]
['statue', 0.9046728880619036]
['services', 0.9042791150188171]
['chiseled', 0.9042739803988784]
['inedites', 0.9042739803988784]
['steeds', 0.9042739803988784]
['invaluable', 0.9041317780860988]
['aristocratic', 0.9041081501369843]
['ox', 0.9041081501369843]
['newman', 0.9041081501369843]
['tapestry', 0.9039432020469507]
['droit', 0.9037758779389394]
['blow', 0.9036319910523913]
['heresy', 0.9034995427899708]
['unexplained', 0.9031952298865011]
['skeered', 0.9031947395978968]
['thronged', 0.9031947395978968]
['resolution', 0.9028975171923503]
['fullest', 0.9028685678867643]
['queried', 0.9028556804036543]
['clubs', 0.9028145507515226]
['ont', 0.902812321557958]
['therein', 0.9025811232155302]
['conclude', 0.9024580620570603]
['untaught', 0.9024580620570603]
['grudge', 0.9024580620570603]
['portfolios', 0.9024580620570603]
['stanchions', 0.9024580620570603]
['fended', 0.9024580620570603]
['bullets', 0.9024580620570603]
['founding', 0.9024580620570603]
['indignant', 0.9024580620570603]
['spat', 0.9024580620570603]
['wrists', 0.9024580620570603]
['nun', 0.9024580620570603]
['whimpering', 0.9024580620570603]
['clinton', 0.9024580620570603]
['negligible', 0.9024580620570603]
['singly', 0.9024580620570603]
['finely', 0.9024580620570603]
['rocking', 0.9024580620570603]
['cranks', 0.9024580620570603]
['club', 0.9024580620570603]
['james', 0.9024580620570603]
['expecting', 0.9024580620570603]
['attempts', 0.9024580620570603]
['wow', 0.9024115652253412]
['international', 0.9022634682267079]
['vitiate', 0.9022634682267079]
['mid', 0.9022634682267079]
['scientifically', 0.9022634682267079]
['primin', 0.9022634682267079]
['undercurrents', 0.9022634682267079]
['requisition', 0.9020466808117432]
['appreciate', 0.9019485995695271]
['approbation', 0.9019485995695271]
['coarseness', 0.9019485995695271]
['thunderclap', 0.9019485995695271]
['materialism', 0.9019485995695271]
['powdering', 0.9019485995695271]
['lashes', 0.9019485995695271]
['projects', 0.9019485995695271]
['apparatus', 0.9019485995695271]
['african', 0.9019485995695271]
['kinsman', 0.9019485995695271]
['berths', 0.9016932434226805]
['intention', 0.9016757448264626]
['suppression', 0.9011848587137326]
['bilges', 0.9006573298171225]
['mistlike', 0.9004323011494247]
['rescuing', 0.9001029589445552]
