['mare', 0.9968121957807468]
['baffin', 0.9355097854311641]
['faith', 0.9355097854311641]
['solution', 0.9355097854311641]
['belonging', 0.9355097854311641]
['commissioner', 0.9355097854311641]
['consonant', 0.9355097854311641]
['collectedly', 0.9355097854311641]
['exercise', 0.9355097854311641]
['fusty', 0.9355097854311641]
['scoundrel', 0.9355097854311641]
['particularly', 0.9355097854311641]
['vent', 0.9355097854311641]
['heel', 0.9355097854311641]
['unnoticed', 0.9355097854311641]
['discomfort', 0.9355097854311641]
['strewn', 0.9354864580287732]
['gapped', 0.9351180817483833]
['pleasurable', 0.9349615778993365]
['stiffly', 0.9349615778993365]
['scrupulous', 0.9349615778993365]
['purses', 0.9322361071121852]
['puzzlement', 0.9322361071121852]
['siamese', 0.9321081856663762]
['gloaming', 0.9314599845798976]
['presentation', 0.9311385069401853]
['moneyed', 0.9309675869579771]
['twilit', 0.9302087605802063]
['realizes', 0.9295742028328953]
['sheep', 0.9295742028328953]
['russian', 0.9295742028328953]
['issuing', 0.9295742028328953]
['lamented', 0.9277566319266428]
['block', 0.927421201137318]
['orders', 0.9273924922987477]
['forbade', 0.9273924922987477]
['mislead', 0.9268347772383524]
['tapestries', 0.9253249483455295]
['wrecking', 0.9246928640811907]
['the_', 0.9245021333369537]
['mutter', 0.9245021333369537]
['mercy', 0.9245021333369537]
['helter', 0.9242288381794829]
['paddlin', 0.9242288381794829]
['insatiable', 0.9242288381794829]
['insecurely', 0.9242288381794829]
['temples', 0.923000806495442]
['squashing', 0.9219092163255901]
['brigantine', 0.9211237843533391]
['efficiently', 0.9211089782545709]
['dismal', 0.9194385749328878]
['exactly', 0.9185813643021914]
['rift', 0.9181190683703988]
['nocturnal', 0.9180491256346842]
['ibiblio', 0.9178144785946383]
['eagen', 0.9177931653461436]
['promotion', 0.917307871789833]
['practiced', 0.9166325120836323]
['competitors', 0.9160202048080199]
['prosperous', 0.9157423876694847]
['crackled', 0.9145103463658605]
['scope', 0.9145103463658605]
['orientals', 0.9145103463658605]
['accusing', 0.9145103463658605]
['grimly', 0.9145103463658605]
['laudable', 0.9139296097983498]
['aptitude', 0.9138666041200045]
['etes', 0.913855705230623]
['exposing', 0.9136568255960116]
['planned', 0.9136568255960116]
['disperse', 0.9136568255960116]
['forced', 0.9136568255960116]
['associations', 0.9136568255960116]
['amiable', 0.9132321682539079]
['barrenness', 0.9132321682539079]
['temper', 0.9131985198143372]
['expanse', 0.9128959400455584]
['liveliness', 0.9122258046766608]
['chiuso', 0.9122258046766608]
['untiring', 0.9122258046766608]
['entitled', 0.9122258046766608]
['radically', 0.9122258046766608]
['tarred', 0.9122258046766608]
['paddling', 0.9118244799820369]
['bazaine', 0.9117002149636544]
['summon', 0.9116807262374397]
['keepers', 0.9115687113553893]
['des', 0.9109037706126633]
['sometime', 0.9107695152829569]
['cognac', 0.9107695152829569]
['site', 0.9106510064713135]
['rivaled', 0.9106162405151765]
['chin', 0.9105068523971886]
['incidents', 0.9105068523971886]
['brusquely', 0.9105068523971886]
['homeliest', 0.9105068523971886]
['tours', 0.9105068523971886]
['rove', 0.9105068523971886]
['governments', 0.9105068523971886]
['_liberty_', 0.9105068523971886]
['wives', 0.9101404740367193]
['ph', 0.9101404740367193]
['vanilla', 0.9101404740367193]
['dupes', 0.9091589752425785]
['newt', 0.9090286511246288]
['sole', 0.9090286511246288]
['chill', 0.9090286511246288]
['adorning', 0.9090286511246288]
['grieve', 0.9090286511246288]
['azay', 0.9090286511246288]
['review_', 0.9090286511246288]
['engrossed', 0.9090286511246288]
['arms', 0.9090286511246288]
['barking', 0.9090286511246288]
['highly', 0.9083388912211874]
['overturning', 0.9083388912211874]
['donors', 0.9083388912211874]
['frogling', 0.9083388912211874]
['huskily', 0.9079885402681863]
['impertinence', 0.9070923591446762]
['thoughts', 0.9070594627004447]
['broiled', 0.9067086941124288]
['crouch', 0.9067086941124288]
['gradation', 0.9067086941124288]
['nicely', 0.9067086941124288]
['boarded', 0.9067086941124288]
['xvi', 0.9067086941124288]
['himalayas', 0.9067086941124288]
['sparta', 0.9067086941124288]
['incense', 0.9067086941124288]
['dave', 0.9067086941124288]
['spin', 0.9067086941124288]
['employ', 0.9067086941124288]
['remand', 0.9067086941124288]
['visitations', 0.9067086941124288]
['benignity', 0.9067086941124288]
['siesta', 0.9067086941124288]
['palazzo', 0.9067086941124288]
['clustered', 0.9067086941124288]
['gangplank', 0.9067086941124288]
['perchance', 0.9067086941124288]
['anomalous', 0.9067086941124288]
['beings', 0.9067086941124288]
['tame', 0.9067086941124288]
['waistcoat', 0.9067086941124288]
['roll', 0.9067086941124288]
['chair', 0.9067086941124288]
['crater', 0.9067086941124288]
['crated', 0.9067086941124288]
['stays', 0.9067086941124288]
['exact', 0.9067086941124288]
['trails', 0.9067086941124288]
['celebrated', 0.9067086941124288]
['queue', 0.9067086941124288]
['accomplished', 0.9067086941124288]
['assario', 0.9067086941124288]
['working', 0.9067086941124288]
['perished', 0.9067086941124288]
['vigour', 0.9067086941124288]
['perishes', 0.9067086941124288]
['riders', 0.9067086941124288]
['divvils', 0.9067086941124288]
['dooms', 0.9067086941124288]
['feedin', 0.9067086941124288]
['yearn', 0.9067086941124288]
['quarrelled', 0.9067086941124288]
['troubled', 0.9067086941124288]
['_you_', 0.9067086941124288]
['incentives', 0.9067086941124288]
['wrong', 0.9067086941124288]
['tableaux', 0.9067086941124288]
['ascendancy', 0.9067086941124288]
['balsam', 0.9067086941124288]
['warriors', 0.9067086941124288]
['printed', 0.9067086941124288]
['touchy', 0.9067086941124288]
['imagined', 0.9067086941124288]
['aimlessly', 0.9067086941124288]
['guarded', 0.9067086941124288]
['windowed', 0.9067086941124288]
['keenly', 0.9067086941124288]
['morose', 0.9067086941124288]
['avails', 0.9067086941124288]
['refreshed', 0.9067086941124288]
['concentrated', 0.9067086941124288]
['leander', 0.9067086941124288]
['ascii', 0.9067086941124288]
['wires', 0.9067086941124288]
['coteries', 0.9067086941124288]
['decomposed', 0.9067086941124288]
['retraced', 0.9067086941124288]
['gleam', 0.9067086941124288]
['witt', 0.9067086941124288]
['abused', 0.9067086941124288]
['tremble', 0.9067086941124288]
['lightfoot', 0.9067086941124288]
['consciences', 0.9067086941124288]
['causes', 0.9067086941124288]
['quicken', 0.9067086941124288]
['clock', 0.9067086941124288]
['laggard', 0.9067086941124288]
['symptoms', 0.9067086941124288]
['definition', 0.9067086941124288]
['_june', 0.9067086941124288]
['porpoise', 0.9067086941124288]
['moderately', 0.9067086941124288]
['essays', 0.9067086941124288]
['_wolverine', 0.9067086941124288]
['praefectus', 0.9067086941124288]
['ungrateful', 0.9067086941124288]
['jostle', 0.9067086941124288]
['vigils', 0.9067086941124288]
['discomforts', 0.9067086941124288]
['barred', 0.9067086941124288]
['indifference', 0.9067086941124288]
['columns', 0.9067086941124288]
['parthenope', 0.9067086941124288]
['lass', 0.9067086941124288]
['belt', 0.9067086941124288]
['moderation', 0.9067086941124288]
['cuisine', 0.9067086941124288]
['starlight', 0.9067086941124288]
['necessaries', 0.9067086941124288]
['wrinkles', 0.9067086941124288]
['considerably', 0.9067086941124288]
['splashing', 0.9067086941124288]
['591', 0.9067086941124288]
['crook', 0.9067086941124288]
['henceforth', 0.9067086941124288]
['mussed', 0.9067086941124288]
['confidence', 0.9067086941124288]
['lylie', 0.9067086941124288]
['coolness', 0.9067086941124288]
['intelligent', 0.9067086941124288]
['realized', 0.9067086941124288]
['meantime', 0.9067086941124288]
['thieves', 0.9067086941124288]
['reconstruction', 0.9067086941124288]
['1343', 0.9067086941124288]
['scene', 0.9067086941124288]
['scent', 0.9067086941124288]
['philosophise', 0.9067086941124288]
['quarry', 0.9067086941124288]
['chattels', 0.9067086941124288]
['bred', 0.9067086941124288]
['jap', 0.9067086941124288]
['jab', 0.9067086941124288]
['attaches', 0.9067086941124288]
['soumettre', 0.9067086941124288]
['willing', 0.9067086941124288]
['mirvoon', 0.9067086941124288]
['deductible', 0.9067086941124288]
['westerly', 0.9067086941124288]
['crossin', 0.9067086941124288]
['impervious', 0.9067086941124288]
['moravia', 0.9067086941124288]
['oft', 0.9067086941124288]
['web', 0.9067086941124288]
['wee', 0.9067086941124288]
['practise', 0.9067086941124288]
['villagers', 0.9067086941124288]
['immortal', 0.9067086941124288]
['eagan', 0.9067086941124288]
['indoctrinated', 0.9067086941124288]
['hearthrug', 0.9067086941124288]
['lately', 0.9067086941124288]
['searches', 0.9067086941124288]
['tamarac', 0.9067086941124288]
['harrowed', 0.9067086941124288]
['protection', 0.9067086941124288]
['exacts', 0.9067086941124288]
['bared', 0.9067086941124288]
['arco', 0.9067086941124288]
['complacent', 0.9067086941124288]
['petrel_', 0.9067086941124288]
['penetration', 0.9067086941124288]
['reasonable', 0.9067086941124288]
['another', 0.9067086941124288]
['electronic', 0.9067086941124288]
['paltry', 0.9067086941124288]
['enmeshed', 0.9067086941124288]
['respecting', 0.9067086941124288]
['enchanted', 0.9067086941124288]
['impelled', 0.9067086941124288]
['germany', 0.9067086941124288]
['culminates', 0.9067086941124288]
['_shall_', 0.9067086941124288]
['rune', 0.9067086941124288]
['cooperation', 0.9067086941124288]
['climate', 0.9067086941124288]
['mutations', 0.9067086941124288]
['zwingli', 0.9067086941124288]
['attacked', 0.9067086941124288]
['hand', 0.9067086941124288]
['openings', 0.9067086941124288]
['_steam_', 0.9067086941124288]
['revisiting', 0.9067086941124288]
['confusing', 0.9067086941124288]
['profession', 0.9067086941124288]
['deception', 0.9067086941124288]
['diligence', 0.9067086941124288]
['dynasties', 0.9067086941124288]
['songs', 0.9067086941124288]
['gum', 0.9067086941124288]
['alertness', 0.9067086941124288]
['paradoxical', 0.9067086941124288]
['teaches', 0.9067086941124288]
['teacher', 0.9067086941124288]
['decked', 0.9067086941124288]
['spreads', 0.9067086941124288]
['nosed', 0.9067086941124288]
['saxon', 0.9067086941124288]
['tiara', 0.9067086941124288]
['non', 0.9067086941124288]
['drop', 0.9067086941124288]
['vexation', 0.9067086941124288]
['challenger', 0.9067086941124288]
['avignon', 0.9067086941124288]
['contemplation', 0.9067086941124288]
['ring', 0.9067086941124288]
['tomorrow', 0.9067086941124288]
['neatly', 0.9067086941124288]
['druggist', 0.9067086941124288]
['hoes', 0.9067086941124288]
['dervish', 0.9067086941124288]
['arctic', 0.9067086941124288]
['stunk', 0.9067086941124288]
['salutations', 0.9067086941124288]
['heightened', 0.9067086941124288]
['veering', 0.9067086941124288]
['smuggling', 0.9067086941124288]
['pitcher', 0.9067086941124288]
['pitches', 0.9067086941124288]
['pitched', 0.9067086941124288]
['phosphorescent', 0.9067086941124288]
['_wolverines_', 0.9067086941124288]
['correggio', 0.9067086941124288]
['espies', 0.9067086941124288]
['resounding', 0.9067086941124288]
['emue', 0.9067086941124288]
['theatric', 0.9067086941124288]
['excess', 0.9067086941124288]
['arena', 0.9067086941124288]
['_all_', 0.9067086941124288]
['requiring', 0.9067086941124288]
['revelation', 0.9067086941124288]
['_not_', 0.9067086941124288]
['horizontal', 0.9067086941124288]
['tickings', 0.9067086941124288]
['houses', 0.9067086941124288]
['brightest', 0.9067086941124288]
['straightened', 0.9067086941124288]
['chenonceaux', 0.9067086941124288]
['garrison', 0.9067086941124288]
['adrift', 0.9067086941124288]
['torlogh', 0.9067086941124288]
['hovered', 0.9067086941124288]
['lives', 0.9067086941124288]
['karl', 0.9067086941124288]
['exploits', 0.9067086941124288]
['proffering', 0.9067086941124288]
['hesitantly', 0.9067086941124288]
['fears', 0.9067086941124288]
['divinest', 0.9067086941124288]
['avaricious', 0.9067086941124288]
['gauls', 0.9067086941124288]
['rivalry', 0.9067086941124288]
['appointed', 0.9067086941124288]
['socket', 0.9067086941124288]
['blithely', 0.9067086941124288]
['embellished', 0.9067086941124288]
['including', 0.9067086941124288]
['separating', 0.9067086941124288]
['comique', 0.9067086941124288]
['powerful', 0.9067086941124288]
['portefeuille', 0.9067086941124288]
['urn', 0.9067086941124288]
['skunk', 0.9067086941124288]
['sniff', 0.9067086941124288]
['examiner', 0.9067086941124288]
['colouring', 0.9067086941124288]
['canter', 0.9067086941124288]
['payments', 0.9067086941124288]
['flashin', 0.9067086941124288]
['indirectly', 0.9067086941124288]
['fists', 0.9067086941124288]
['marechal', 0.9067086941124288]
['_men', 0.9067086941124288]
['mes', 0.9067086941124288]
['rood', 0.9067086941124288]
['rochefort', 0.9067086941124288]
['elicited', 0.9067086941124288]
['blackish', 0.9067086941124288]
['slumberous', 0.9067086941124288]
['harpies', 0.9067086941124288]
['trading', 0.9067086941124288]
['fancying', 0.9067086941124288]
['sleeper', 0.9067086941124288]
['suggested', 0.9067086941124288]
['realizing', 0.9067086941124288]
['massy', 0.9067086941124288]
['fighters', 0.9067086941124288]
['alamatua', 0.9067086941124288]
['yet', 0.9067086941124288]
['contestant', 0.9067086941124288]
['woful', 0.9067086941124288]
['sailors', 0.9067086941124288]
['nude', 0.9067086941124288]
['deaf', 0.9067086941124288]
['platters', 0.9067086941124288]
['avarabet', 0.9067086941124288]
['pierre', 0.9067086941124288]
['feminine', 0.9067086941124288]
['sagas', 0.9067086941124288]
['prettily', 0.9067086941124288]
['titters', 0.9067086941124288]
['relieve', 0.9067086941124288]
['bombardment', 0.9067086941124288]
['wearily', 0.9067086941124288]
['jungles', 0.9067086941124288]
['recounting', 0.9067086941124288]
['frivolity', 0.9067086941124288]
['making', 0.9067086941124288]
['nearest', 0.9067086941124288]
['membership', 0.9067086941124288]
['mocks', 0.9067086941124288]
['markings', 0.9067086941124288]
['teller', 0.9067086941124288]
['vogue', 0.9067086941124288]
['nominal', 0.9067086941124288]
['inaction', 0.9067086941124288]
['invalidity', 0.9067086941124288]
['piercingly', 0.9067086941124288]
['complaints', 0.9067086941124288]
['synonym', 0.9067086941124288]
['voodoo', 0.9067086941124288]
['storms', 0.9067086941124288]
['moons', 0.9067086941124288]
['fulminate', 0.9067086941124288]
['tout', 0.9067086941124288]
['among', 0.9067086941124288]
['sound', 0.9067086941124288]
['ariosto', 0.9067086941124288]
['strait', 0.9067086941124288]
['sleeping', 0.9067086941124288]
['sudden', 0.9067086941124288]
['ruminating', 0.9067086941124288]
['bewitched', 0.9067086941124288]
['calculating', 0.9067086941124288]
['drenched', 0.9067086941124288]
['pockets', 0.9067086941124288]
['fertile', 0.9067086941124288]
['gbnewby', 0.9067086941124288]
['lapped', 0.9067086941124288]
['anglais', 0.9067086941124288]
['enjoying', 0.9067086941124288]
['righted', 0.9067086941124288]
['creatures', 0.9067086941124288]
['quiets', 0.9067086941124288]
['medici', 0.9067086941124288]
['specialized', 0.9067086941124288]
['maps', 0.9067086941124288]
['comedie', 0.9067086941124288]
['primary', 0.9067086941124288]
['frigid', 0.9067086941124288]
['mystery', 0.9067086941124288]
['indebted', 0.9067086941124288]
['lyres', 0.9067086941124288]
['godfather', 0.9067086941124288]
['express', 0.9067086941124288]
['expert', 0.9067086941124288]
['debar', 0.9067086941124288]
['10th', 0.9067086941124288]
['evangelical', 0.9067086941124288]
['whelming', 0.9067086941124288]
['underlinen', 0.9067086941124288]
['repulse', 0.9067086941124288]
['ogres', 0.9067086941124288]
['wonderin', 0.9067086941124288]
['groceries', 0.9067086941124288]
['compose', 0.9067086941124288]
['presently', 0.9067086941124288]
['transmutation', 0.9067086941124288]
['vallier', 0.9067086941124288]
['licentiousness', 0.9067086941124288]
['talent', 0.9067086941124288]
['millwright', 0.9067086941124288]
['methought', 0.9067086941124288]
['dentistry', 0.9067086941124288]
['fooling', 0.9067086941124288]
['regains', 0.9067086941124288]
['incompetence', 0.9067086941124288]
['subsequently', 0.9067086941124288]
['unofficially', 0.9067086941124288]
['sapling', 0.9067086941124288]
['bolder', 0.9067086941124288]
['fluctuates', 0.9067086941124288]
['hinting', 0.9067086941124288]
['reaches', 0.9067086941124288]
['acquire', 0.9067086941124288]
['fermentation', 0.9067086941124288]
['schoolmaster', 0.9067086941124288]
['payment', 0.9067086941124288]
['unsolved', 0.9067086941124288]
['rotating', 0.9067086941124288]
['regularly', 0.9067086941124288]
['trips', 0.9067086941124288]
['antlers', 0.9067086941124288]
['locomotives', 0.9067086941124288]
['lassitude', 0.9067086941124288]
['fearing', 0.9067086941124288]
['ought', 0.9067086941124288]
['philippe', 0.9067086941124288]
['moonstone', 0.9067086941124288]
['godmother', 0.9067086941124288]
['defile', 0.9067086941124288]
['childless', 0.9067086941124288]
['mermaids', 0.9067086941124288]
['lenitive', 0.9067086941124288]
['prevented', 0.9067086941124288]
['desertion', 0.9067086941124288]
['foolishly', 0.9067086941124288]
['clearin', 0.9067086941124288]
['deflect', 0.9067086941124288]
['tolerant', 0.9067086941124288]
['kindest', 0.9067086941124288]
['alight', 0.9067086941124288]
['intermingled', 0.9067086941124288]
['knocks', 0.9067086941124288]
['grandmother', 0.9067086941124288]
['mud', 0.9067086941124288]
['pecked', 0.9067086941124288]
['yarning', 0.9067086941124288]
['drawback', 0.9067086941124288]
['assembling', 0.9067086941124288]
['dinner', 0.9067086941124288]
['tasteful', 0.9067086941124288]
['vigorously', 0.9067086941124288]
['rob', 0.9067086941124288]
['widened', 0.9067086941124288]
['illimitable', 0.9067086941124288]
['durham', 0.9067086941124288]
['variously', 0.9067086941124288]
['representations', 0.9067086941124288]
['disheartening', 0.9067086941124288]
['escorting', 0.9067086941124288]
['ejaculation', 0.9067086941124288]
['eagle', 0.9067086941124288]
['roofless', 0.9067086941124288]
['yup', 0.9067086941124288]
['turn', 0.9067086941124288]
['turk', 0.9067086941124288]
['envied', 0.9067086941124288]
['mortars', 0.9067086941124288]
['cheat', 0.9067086941124288]
['trod', 0.9067086941124288]
['harshly', 0.9067086941124288]
['turkey', 0.9067086941124288]
['pollio', 0.9067086941124288]
['cast', 0.9067086941124288]
['without', 0.9067086941124288]
['towed', 0.9067086941124288]
['luxembourg', 0.9067086941124288]
['cringing', 0.9067086941124288]
['doze', 0.9067086941124288]
['cursed', 0.9067086941124288]
['rouse', 0.9067086941124288]
['accentuated', 0.9067086941124288]
['contradicted', 0.9067086941124288]
['extolled', 0.9067086941124288]
['directors', 0.9067086941124288]
['apartment', 0.9067086941124288]
['dairy', 0.9067086941124288]
['egyptian', 0.9067086941124288]
['gainsay', 0.9067086941124288]
['singularly', 0.9067086941124288]
['indemnity', 0.9067086941124288]
['wife', 0.9067086941124288]
['darting', 0.9067086941124288]
['absently', 0.9067086941124288]
['flashed', 0.9067086941124288]
['pretext', 0.9067086941124288]
['stride', 0.9067086941124288]
['hilt', 0.9067086941124288]
['kind', 0.9067086941124288]
['kink', 0.9067086941124288]
['sold', 0.9067086941124288]
['betrayed', 0.9067086941124288]
['sweep', 0.9067086941124288]
['caspar', 0.9067086941124288]
['vicomte', 0.9067086941124288]
['comedy_', 0.9067086941124288]
['fleets', 0.9067086941124288]
['tiniest', 0.9067086941124288]
['wildness', 0.9067086941124288]
['languages', 0.9067086941124288]
['chemises', 0.9067086941124288]
['mensuration', 0.9067086941124288]
['degree', 0.9067086941124288]
['explore', 0.9067086941124288]
['submerged', 0.9067086941124288]
['from', 0.9067086941124288]
['frog', 0.9067086941124288]
['constitutionally', 0.9067086941124288]
['clever', 0.9067086941124288]
['struggles', 0.9067086941124288]
['1881', 0.9067086941124288]
['highlands', 0.9067086941124288]
['arduous', 0.9067086941124288]
['southerly', 0.9067086941124288]
['astounded', 0.9067086941124288]
['tracts', 0.9067086941124288]
['fowl', 0.9067086941124288]
['ringed', 0.9067086941124288]
['pleased', 0.9067086941124288]
['local', 0.9067086941124288]
['ensuring', 0.9067086941124288]
['_this', 0.9067086941124288]
['timbre', 0.9067086941124288]
['scruples', 0.9067086941124288]
['undertaken', 0.9067086941124288]
['clutch', 0.9067086941124288]
['promise', 0.9067086941124288]
['cussed', 0.9067086941124288]
['yellow', 0.9067086941124288]
['swivel', 0.9067086941124288]
['miller', 0.9067086941124288]
['spoke', 0.9067086941124288]
