['clerge', 0.9952285177938313]
['drouyn', 0.9483281545852659]
['held', 0.947985267436479]
['bait', 0.9478183323856137]
['manufacture', 0.9474881925218311]
['mended', 0.9473566993512591]
['spiritualists', 0.9472926418046008]
['_bereaved_', 0.94727116706973]
['hazelike', 0.947188476875283]
['hydra', 0.9468810913891749]
['censuring', 0.9468689514010847]
['mandolins', 0.9468003889505615]
['1698', 0.9467894519562627]
['spell', 0.9466568542772612]
['bayan', 0.9464021718568251]
['_conclusion_', 0.9462712587372277]
['rustling', 0.9461908689153087]
['flaring', 0.9461504788681259]
['1513', 0.9458983992624892]
['animation', 0.9452835927614464]
['wormed', 0.9452816327822907]
['dispelled', 0.9452574275264108]
['plantin', 0.9452359449265757]
['coast', 0.9451187447789494]
['remy', 0.9449722464102823]
['stowed', 0.9448888802136294]
['unlocked', 0.9448022978519618]
['dreary', 0.9447407677031096]
['comedy', 0.9446533826956117]
['scuttle', 0.944610044343237]
['magnanimity', 0.9443192735791408]
['leaning', 0.9443108363970594]
['monopolise', 0.9439397878353439]
['sporadic', 0.9437768332637103]
['accepted', 0.943651169993098]
['estimated', 0.9434039614021806]
['affirm', 0.9432024053540101]
['wisest', 0.9431488895045702]
['chatting', 0.9430998487499218]
['ennobled', 0.9430689437944124]
['alienated', 0.9429667359403097]
['night', 0.942762579580025]
['triste', 0.9427478399081319]
['artery', 0.9426513571915345]
['dolorous', 0.9425052214293785]
['weighty', 0.9423848556340628]
['lunar', 0.9423697840305743]
['hypodermic', 0.9422206321801528]
['promiscuous', 0.9420882804570766]
['enshrined', 0.9420671484471993]
['waddington', 0.9418235342317584]
['allumettes', 0.9418067938214638]
['fragile', 0.941638885423321]
['michelangelo', 0.9416045673198594]
['brick', 0.9415920929654356]
['infatuations', 0.9414522920285908]
['metz', 0.9413461158561819]
['milliards', 0.941342411225557]
['originality', 0.9412066896405809]
['how', 0.9411891367951779]
['inextricable', 0.9406684573780534]
['anything', 0.9405730933071389]
['passages', 0.9402716412442932]
['obstructive', 0.9402660104840916]
['locally', 0.9402337588715945]
['curtly', 0.9401920680306952]
['translation', 0.9401473431936088]
['verb', 0.9399505918302884]
['porch', 0.9397234960195535]
['fortified', 0.9394513587112098]
['tender', 0.9392345390857484]
['afire', 0.939169017039651]
['unhorizoned', 0.9391612282977008]
['illustrated', 0.9391443876232087]
['superadded', 0.9391252020314464]
['direction', 0.9389762437245734]
['_areopagitica_', 0.9387473466449949]
['opposition', 0.9386275877390925]
['scrubbing', 0.9385997727888981]
['unevenness', 0.9382988990600309]
['surveying', 0.9382095888547536]
['scrape', 0.9380717681352667]
['mss', 0.9377828158166599]
['elbow', 0.9376283032305435]
['draymen', 0.9376142617266355]
['normans', 0.9374129626943623]
['stroller', 0.9372541890940304]
['craftily', 0.9371623249513762]
['rouses', 0.9369227245787802]
['heeding', 0.9368090958762754]
['cape', 0.9367518911789997]
['sewers', 0.9366182752906028]
['wharf', 0.9365704243665559]
['discolored', 0.9364925482850934]
['eut', 0.9364521387542937]
['anecdote', 0.9364343345949966]
['california', 0.9364188394211648]
['parish', 0.936280678215432]
['creation', 0.9361934238209252]
['preferred', 0.9359766934903775]
['remarking', 0.9357272558991672]
['pleases', 0.9353354969029257]
['manifold', 0.9353337397993225]
['scupper', 0.9353193769237605]
['chased', 0.9351642682037645]
['hooks', 0.9351620950426023]
['immersed', 0.9350893368570414]
['beauty', 0.9347799023364282]
['vatican', 0.9347747520795541]
['shearing', 0.9347336247200766]
['pendulum', 0.9346577738286808]
['compelling', 0.9345939614342623]
['bellowed', 0.9344825843504045]
['europe', 0.9343812971431343]
['geste', 0.933413360699278]
['princely', 0.9333389024857672]
['wailing', 0.9332209377554546]
['taller', 0.9328034398986089]
['ghost', 0.9325778759669741]
['sundays', 0.9322678263380335]
['increases', 0.9322220448044116]
['previous', 0.9319425928164243]
['tangled', 0.9317955348666012]
['weedy', 0.9314184771693604]
['tm', 0.9310004027374188]
['flintiness', 0.9309599034397754]
['emptied', 0.9309285561946925]
['rippled', 0.9309253080884062]
['protean', 0.93085857400254]
['confined', 0.9308315364951771]
['begins', 0.9298560247860386]
['lindsay', 0.9298468789437194]
['collection', 0.9295372592236566]
['thrush', 0.9292822110637898]
['scratching', 0.9290792429631403]
['talked', 0.9285028108066284]
['deviltry', 0.9284639444730348]
['energies', 0.9284262642198025]
['embroidered', 0.9282596939529277]
['courses', 0.9280629840981771]
['taint', 0.9279875197549858]
['nods', 0.9279790795163381]
['squealed', 0.92778069902907]
['spiteful', 0.9277606278999482]
['australia', 0.9277021671403867]
['torn', 0.9276263247279709]
['reproduced', 0.9275336304697166]
['matter', 0.9272949355828464]
['vacation', 0.9272026713389582]
['paved', 0.9271964199886316]
['spitfire', 0.9271630980899938]
['hutch', 0.9269997737791728]
['tried', 0.9269838515791482]
['trail', 0.9268830789814592]
['amaze', 0.92683640608626]
['_twelfth', 0.9267892051450626]
['dogma', 0.9267816865201361]
['_certainly_', 0.9267801513523533]
['werner', 0.9267207877440583]
['shy', 0.9263711315374872]
['encouraging', 0.9262571070529796]
['expand', 0.9262533662183265]
['apocryphal', 0.9262433483854546]
['dictum', 0.926181251928799]
['arranged', 0.9260829796566442]
['_comedy_', 0.9260330725394471]
['colleague', 0.9258433563556128]
['organizations', 0.925759296348238]
['relished', 0.925710876111714]
['reconciles', 0.9256719604680811]
['interlocked', 0.9255851182322454]
['suspicious', 0.9252934184375947]
['smith', 0.9252854257433443]
['commencement', 0.9251450804535223]
['excessive', 0.9249957157383509]
['catholic', 0.9249160966771075]
['sworn', 0.9248023372396263]
['echo', 0.924420961348164]
['scintillations', 0.9243694065729919]
['hazed', 0.924204321298308]
['paintings', 0.9240655067086593]
['argumentative', 0.923982292258422]
['bloodstain', 0.9238898880399193]
['responsible', 0.9235780078965927]
['rotted', 0.9234790235706944]
['component', 0.923312485153307]
['strictness', 0.9233078170629956]
['trudged', 0.9227530030107282]
['slade', 0.9227522015510653]
['romagna', 0.9227223037250638]
['angle', 0.9225485474175406]
['alderswamp', 0.9225346171842453]
['warmth', 0.9225229197277558]
['carvalho', 0.9225045454206415]
['archbishops', 0.9224550348521741]
['canoe', 0.9222106967715481]
['christianae', 0.9221146964942617]
['dining', 0.921833245623988]
['marie_', 0.9217576738947842]
['extremity', 0.9213522406161874]
['overshadowing', 0.9212321826344255]
['artillery', 0.921027081394891]
['summon', 0.9209967058144932]
['rags', 0.9209953740467477]
['buckshot', 0.9209909628898652]
['correspond', 0.920981513113092]
['davits', 0.9208626274273688]
['prairie', 0.9206363863158558]
['discontented', 0.920272357896348]
['righteousness', 0.9202546459545858]
['mardenter', 0.9202330794055702]
['men', 0.920222567842152]
['assailant', 0.9201367879468763]
['radio', 0.9200341071654401]
['spite', 0.9198762135804671]
['doomed', 0.919476503054518]
['incorrigible', 0.9193458731610151]
['depute', 0.919319668849903]
['china', 0.9191993618640544]
['stumble', 0.919089988908561]
['sanity', 0.9189214017391769]
['conductor', 0.9187895090282029]
['superannuated', 0.9187567459415439]
['unrest', 0.918726704833567]
['filenames', 0.9186116581610576]
['jostling', 0.9184733320135688]
['careful', 0.9184408913745469]
['prodigious', 0.9182854604376522]
['mass_', 0.9182544887010683]
['unmarried', 0.9180960762758048]
['gift', 0.9179865718238799]
['characteristic', 0.9179687590752662]
['trench', 0.9178931927179883]
['em', 0.9178876428663768]
['preventing', 0.9178267211252149]
['choking', 0.917772300126602]
['presenting', 0.9177553624576944]
['attiring', 0.9177394978300137]
['faure', 0.9176872265425317]
['morning', 0.9176825807807081]
['divorce', 0.9172584236049339]
['wrath', 0.9171834078540784]
['going', 0.9168473969741154]
['decide', 0.9167171404913009]
['repayed', 0.9166533659015832]
['ironic', 0.9163155441700539]
['format', 0.9162624212030768]
['sycamores', 0.9162531834142194]
['defying', 0.9161571970520097]
['conceived', 0.9157739312888027]
['murmurs', 0.9157139357600114]
['merited', 0.915607531376823]
['misers', 0.9153130349639699]
['weakest', 0.9150386042498608]
['brave', 0.9149667395061483]
['drugs', 0.9149626567282261]
['european', 0.9149356830846557]
['evangelist', 0.9148552779074318]
['monopoly', 0.914694315825374]
['savagely', 0.9146607340890885]
['queen', 0.9144170780966056]
['reds', 0.9144079853928638]
['hungry', 0.9142995200314816]
['gapping', 0.9142398414840371]
['correspondents', 0.9142334481302571]
['1340', 0.9141598681561792]
['doan', 0.9140591575712049]
['capacities', 0.9138811639428019]
['awash', 0.9138484717592011]
['scruple', 0.9136255628930792]
['scattered', 0.9134490255890706]
['risin', 0.9134277105597888]
['freak', 0.9134245886639375]
['taig', 0.913405144103404]
['yearning', 0.9133778261935374]
['mocked', 0.9132871915474862]
['acute', 0.9132640782081196]
['cruelty', 0.9132381281529637]
['soreness', 0.9131383395841047]
['unsteadily', 0.9130417913941051]
['flux', 0.9129721102247514]
['rubbish', 0.9127939265825428]
['caparisons', 0.9127571233652032]
['individualities', 0.9127370407677129]
['hearsay', 0.9126031141530485]
['owned', 0.9123887174380224]
['rivalship', 0.9123418252763525]
['trumpeting', 0.9119378743355988]
['upward', 0.9118948780736206]
['dawned', 0.9117394266298913]
['encompassment', 0.9117281865958585]
['souvenirs', 0.9116104923287992]
['invaders', 0.9115292925677481]
['aesop', 0.9115124401871516]
['etoile', 0.9113171635228522]
['uproot', 0.9113171635228522]
['intelligence', 0.9111686259621838]
['conciliatory', 0.9111384800576499]
['manoeuvre', 0.9111100224399141]
['average', 0.9110447715662702]
['illegible', 0.9109005272286835]
['duty', 0.910864570356998]
['russe_', 0.9108344816670308]
['foremast', 0.9108335355262633]
['rounded', 0.9108293074651705]
['uncharitableness', 0.9107418267146079]
['indictments', 0.9107243730424305]
['housewives', 0.910568390367795]
['telescopes', 0.9105302864277157]
['volunteer', 0.9104750998368862]
['fearlessness', 0.9103877618458209]
['tackle', 0.9103800807725699]
['freycinet', 0.9103601557977901]
['1876', 0.9101214727910042]
['sensible', 0.9101066899381396]
['hospital', 0.9098169428098221]
['george', 0.9096337923312809]
['roofs', 0.9095633691675274]
['amoundt', 0.9093333614138008]
['avait', 0.9091969784714218]
['retaining', 0.909159306707987]
['silas', 0.909023670909358]
['inexperience', 0.9089960533869293]
['british', 0.908828499753965]
['mend', 0.908796304842537]
['appetites', 0.9087942014172933]
['extracted', 0.9085928688214049]
['admiration', 0.9085089573954601]
['fruits', 0.9084524189851281]
['elicit', 0.9084056760999633]
['need', 0.9083661433271603]
['attractive', 0.9083465606628163]
['speculating', 0.908283530520904]
['desperation', 0.9082780831140678]
['hollander', 0.9082629004401926]
['dive', 0.9080623130229514]
['span', 0.9077097499919509]
['fuming', 0.9076592233531666]
['tremendously', 0.9076492306719364]
['narrowly', 0.9074054550294288]
['adapted', 0.9073811449853344]
['epochal', 0.9073743271813681]
['fortune', 0.9072266647568469]
['unwieldy', 0.9070541997790686]
['temperance', 0.9069581416873317]
['serbia', 0.906887643845262]
['picture', 0.9068745878378137]
['clean', 0.9068674380542907]
['virtue', 0.9067002130431031]
['bluntly', 0.9066536101961546]
['barbare', 0.9065740447793912]
['males', 0.9062446659672763]
['element', 0.9062446659672763]
['traverses', 0.9060605704970444]
['fully', 0.9059126400381156]
['wet', 0.9059035833939563]
['wyvern', 0.9058899535768534]
['orebeds', 0.9058238426199703]
['clymene', 0.905796043625621]
['demettre', 0.9057278069737179]
['dot', 0.9055032631562755]
['summons', 0.9054962727689273]
['vapor', 0.9054024255390495]
['shadowy', 0.9054024255390495]
['sultry', 0.9053909793479467]
['yellowish', 0.9053084067505879]
['gratify', 0.9052246427391905]
['production', 0.9051731857315415]
['craterlike', 0.9051260914118242]
['luckless', 0.9050137159150425]
['bridle', 0.9048408013259885]
['youthful', 0.9048286516814417]
['astonished', 0.9047897099451637]
['prelate', 0.9047319887400277]
['drily', 0.9045976529450139]
['sandal', 0.9045893704389433]
['tops', 0.9045212981230007]
['jet', 0.9044780885358008]
['hug', 0.9044500146505736]
['passions', 0.9043449582905269]
['colic', 0.9043420059206959]
['ague', 0.9043403955420757]
['epidemic', 0.9042969049083148]
['neared', 0.904292913463396]
['disavowed', 0.9041701425463256]
['gracefully', 0.9041481203023518]
['jack', 0.903989411559135]
['possession', 0.9039515575861835]
['carnot', 0.9039372908666893]
['aware', 0.9039359785305425]
['conservatoire', 0.9038275340630542]
['foolish', 0.9037541931711616]
['snatched', 0.9036398403175862]
['uncontrollable', 0.9036049467412526]
['agitations', 0.903563435390505]
['intolerably', 0.9035135356552626]
['displaced', 0.9032856584388861]
['cudgeling', 0.9032445073966797]
['relative', 0.9030451668954506]
['assertion', 0.9030379464851636]
['beguile', 0.902946932297651]
['deities', 0.9029165062235969]
['instruction', 0.9029090731071716]
['chandelier', 0.9028018536230222]
['triumphed', 0.9027569234572554]
['disinterested', 0.9027295997368403]
['hushes', 0.9027154407553908]
['noting', 0.9026043558943163]
['downward', 0.9025565200610903]
['candle', 0.9024884600142016]
['orbits', 0.9024884600142016]
['intellectually', 0.9022324028132567]
['slave', 0.9021439952268987]
['thunderous', 0.9021223594119362]
['realising', 0.9019483056030845]
['perishable', 0.9018399338421889]
['enlightened', 0.9018054559422168]
['ruminated', 0.9017523958558131]
['fog', 0.9017366149535075]
['sheds', 0.9017088168469889]
['sank', 0.901673497047906]
['sa', 0.9016363939538422]
['glouglim', 0.9016152744501301]
['tapping', 0.9015555688957924]
['bath', 0.9015398832752938]
['paroxysms', 0.9015327014685439]
['crashin', 0.9014862920015662]
['service', 0.9014752338432673]
['crack', 0.9013329743079153]
['goschen', 0.9012726543679364]
['convolutions', 0.9011870343657549]
['rivals', 0.9011360211264606]
['whitefield', 0.9011360211264606]
['ministresse', 0.9011360211264606]
['am', 0.9011158646519415]
['shark', 0.9011120439717171]
['slabs', 0.9009439205292815]
['napoleon', 0.9009227218578627]
['unendurable', 0.9008946746255644]
['tickled', 0.9008852199554115]
['plying', 0.9008606301946704]
['client', 0.900809109490763]
['lance', 0.9008004023842324]
['symbolical', 0.9007965578254503]
['moanin', 0.9007686038656559]
['traveling', 0.900722129304261]
['sorrow', 0.900673075678314]
['glimmering', 0.9006052849208774]
['atrophied', 0.9006052849208774]
['resolutely', 0.9006052849208774]
['throws', 0.9006052849208774]
['margins', 0.9006052849208774]
['promontory', 0.9006052849208774]
['reared', 0.9006052849208774]
['incarnation', 0.9005987113894572]
['thundercloud', 0.9004448922886334]
['being', 0.9004156725794275]
['splud', 0.9000768314295787]
['scarf', 0.9000688960509119]
['forlorn', 0.9000342022569097]
['nominations', 0.900025505614518]
['ground', 0.9000219116131144]
