['broiled', 0.9189688670469539]
['talent', 0.9189688670469539]
['millwright', 0.9189688670469539]
['methought', 0.9189688670469539]
['dentistry', 0.9189688670469539]
['fooling', 0.9189688670469539]
['regains', 0.9189688670469539]
['incompetence', 0.9189688670469539]
['subsequently', 0.9189688670469539]
['unofficially', 0.9189688670469539]
['sapling', 0.9189688670469539]
['bolder', 0.9189688670469539]
['fluctuates', 0.9189688670469539]
['hinting', 0.9189688670469539]
['reaches', 0.9189688670469539]
['acquire', 0.9189688670469539]
['fermentation', 0.9189688670469539]
['schoolmaster', 0.9189688670469539]
['payment', 0.9189688670469539]
['unsolved', 0.9189688670469539]
['rotating', 0.9189688670469539]
['regularly', 0.9189688670469539]
['trips', 0.9189688670469539]
['antlers', 0.9189688670469539]
['locomotives', 0.9189688670469539]
['lassitude', 0.9189688670469539]
['fearing', 0.9189688670469539]
['ought', 0.9189688670469539]
['philippe', 0.9189688670469539]
['moonstone', 0.9189688670469539]
['godmother', 0.9189688670469539]
['defile', 0.9189688670469539]
['childless', 0.9189688670469539]
['mermaids', 0.9189688670469539]
['lenitive', 0.9189688670469539]
['prevented', 0.9189688670469539]
['desertion', 0.9189688670469539]
['foolishly', 0.9189688670469539]
['clearin', 0.9189688670469539]
['deflect', 0.9189688670469539]
['tolerant', 0.9189688670469539]
['kindest', 0.9189688670469539]
['alight', 0.9189688670469539]
['intermingled', 0.9189688670469539]
['knocks', 0.9189688670469539]
['grandmother', 0.9189688670469539]
['mud', 0.9189688670469539]
['pecked', 0.9189688670469539]
['yarning', 0.9189688670469539]
['drawback', 0.9189688670469539]
['assembling', 0.9189688670469539]
['dinner', 0.9189688670469539]
['tasteful', 0.9189688670469539]
['vigorously', 0.9189688670469539]
['rob', 0.9189688670469539]
['widened', 0.9189688670469539]
['illimitable', 0.9189688670469539]
['durham', 0.9189688670469539]
['variously', 0.9189688670469539]
['representations', 0.9189688670469539]
['disheartening', 0.9189688670469539]
['escorting', 0.9189688670469539]
['ejaculation', 0.9189688670469539]
['eagle', 0.9189688670469539]
['roofless', 0.9189688670469539]
['yup', 0.9189688670469539]
['turn', 0.9189688670469539]
['turk', 0.9189688670469539]
['envied', 0.9189688670469539]
['mortars', 0.9189688670469539]
['cheat', 0.9189688670469539]
['trod', 0.9189688670469539]
['harshly', 0.9189688670469539]
['turkey', 0.9189688670469539]
['pollio', 0.9189688670469539]
['cast', 0.9189688670469539]
['without', 0.9189688670469539]
['towed', 0.9189688670469539]
['luxembourg', 0.9189688670469539]
['cringing', 0.9189688670469539]
['doze', 0.9189688670469539]
['cursed', 0.9189688670469539]
['rouse', 0.9189688670469539]
['accentuated', 0.9189688670469539]
['contradicted', 0.9189688670469539]
['extolled', 0.9189688670469539]
['directors', 0.9189688670469539]
['apartment', 0.9189688670469539]
['dairy', 0.9189688670469539]
['egyptian', 0.9189688670469539]
['gainsay', 0.9189688670469539]
['singularly', 0.9189688670469539]
['indemnity', 0.9189688670469539]
['wife', 0.9189688670469539]
['darting', 0.9189688670469539]
['absently', 0.9189688670469539]
['flashed', 0.9189688670469539]
['pretext', 0.9189688670469539]
['stride', 0.9189688670469539]
['hilt', 0.9189688670469539]
['kind', 0.9189688670469539]
['kink', 0.9189688670469539]
['sold', 0.9189688670469539]
['betrayed', 0.9189688670469539]
['sweep', 0.9189688670469539]
['caspar', 0.9189688670469539]
['vicomte', 0.9189688670469539]
['comedy_', 0.9189688670469539]
['fleets', 0.9189688670469539]
['tiniest', 0.9189688670469539]
['wildness', 0.9189688670469539]
['languages', 0.9189688670469539]
['chemises', 0.9189688670469539]
['mensuration', 0.9189688670469539]
['degree', 0.9189688670469539]
['explore', 0.9189688670469539]
['submerged', 0.9189688670469539]
['from', 0.9189688670469539]
['frog', 0.9189688670469539]
['constitutionally', 0.9189688670469539]
['clever', 0.9189688670469539]
['struggles', 0.9189688670469539]
['1881', 0.9189688670469539]
['highlands', 0.9189688670469539]
['arduous', 0.9189688670469539]
['southerly', 0.9189688670469539]
['astounded', 0.9189688670469539]
['tracts', 0.9189688670469539]
['fowl', 0.9189688670469539]
['ringed', 0.9189688670469539]
['pleased', 0.9189688670469539]
['local', 0.9189688670469539]
['ensuring', 0.9189688670469539]
['_this', 0.9189688670469539]
['timbre', 0.9189688670469539]
['scruples', 0.9189688670469539]
['undertaken', 0.9189688670469539]
['clutch', 0.9189688670469539]
['promise', 0.9189688670469539]
['cussed', 0.9189688670469539]
['yellow', 0.9189688670469539]
['swivel', 0.9189688670469539]
['miller', 0.9189688670469539]
['spoke', 0.9189688670469539]
['organizer', 0.9189688670469539]
['machine', 0.9189688670469539]
['madagascar', 0.9189688670469539]
['preferable', 0.9189688670469539]
['chere', 0.9189688670469539]
['wine', 0.9189688670469539]
['urbane', 0.9189688670469539]
['fugitive', 0.9189688670469539]
['knit', 0.9189688670469539]
['dressmaking', 0.9189688670469539]
['seminary', 0.9189688670469539]
['grove', 0.9189688670469539]
['cousins', 0.9189688670469539]
['mens', 0.9189688670469539]
['vain', 0.9189688670469539]
['quarrelling', 0.9189688670469539]
['thickening', 0.9189688670469539]
['foi', 0.9189688670469539]
['shifting', 0.9189688670469539]
['call', 0.9189688670469539]
['dotted', 0.9189688670469539]
['maimed', 0.9189688670469539]
['scourging', 0.9189688670469539]
['indolent', 0.9189688670469539]
['vex', 0.9189688670469539]
['mahu', 0.9189688670469539]
['prevent', 0.9189688670469539]
['educate', 0.9189688670469539]
['cleanliness', 0.9189688670469539]
['_xvii_', 0.9189688670469539]
['studied', 0.9189688670469539]
['indolence', 0.9189688670469539]
['spot', 0.9189688670469539]
['filthy', 0.9189688670469539]
['solitary', 0.9189688670469539]
['revenants', 0.9189688670469539]
['vote', 0.9189688670469539]
['meddling', 0.9189688670469539]
['tastes', 0.9189688670469539]
['chancelleries', 0.9189688670469539]
['lulling', 0.9189688670469539]
['robe', 0.9189688670469539]
['anti', 0.9189688670469539]
['twig', 0.9189688670469539]
['cheery', 0.9189688670469539]
['clipse', 0.9189688670469539]
['cordwood', 0.9189688670469539]
['clan', 0.9189688670469539]
['fossils', 0.9189688670469539]
['lebanon', 0.9189688670469539]
['confided', 0.9189688670469539]
['echoin', 0.9189688670469539]
['practicable', 0.9189688670469539]
['vocabulary', 0.9189688670469539]
['_such_', 0.9189688670469539]
['chorals', 0.9189688670469539]
['squirrels', 0.9189688670469539]
['broaden', 0.9189688670469539]
['pick', 0.9189688670469539]
['ridding', 0.9189688670469539]
['freest', 0.9189688670469539]
['spoils', 0.9189688670469539]
['riverbank', 0.9189688670469539]
['gallop', 0.9189688670469539]
['transcendent', 0.9189688670469539]
['courteously', 0.9189688670469539]
['fender', 0.9189688670469539]
['coarser', 0.9189688670469539]
['odin', 0.9189688670469539]
['truths', 0.9189688670469539]
['entoure', 0.9189688670469539]
['explorin', 0.9189688670469539]
['ministerial', 0.9189688670469539]
['gazes', 0.9189688670469539]
['fights', 0.9189688670469539]
['pistols', 0.9189688670469539]
['underlay', 0.9189688670469539]
['worthless', 0.9189688670469539]
['ledgers', 0.9189688670469539]
['rumbling', 0.9189688670469539]
['minerva', 0.9189688670469539]
['hatches', 0.9189688670469539]
['pastor', 0.9189688670469539]
['ling', 0.9189688670469539]
['line', 0.9189688670469539]
['corsage', 0.9189688670469539]
['wove', 0.9189688670469539]
['twins', 0.9189688670469539]
['sire', 0.9189688670469539]
['complying', 0.9189688670469539]
['ministers', 0.9189688670469539]
['especial', 0.9189688670469539]
['standin', 0.9189688670469539]
['thirteen', 0.9189688670469539]
['populace', 0.9189688670469539]
['cromwell', 0.9189688670469539]
['latches', 0.9189688670469539]
['stimulate', 0.9189688670469539]
['sharon', 0.9189688670469539]
['punctures', 0.9189688670469539]
['colleagues', 0.9189688670469539]
['tortures', 0.9189688670469539]
['misunderstand', 0.9189688670469539]
['antelope', 0.9189688670469539]
['planted', 0.9189688670469539]
['tolerance', 0.9189688670469539]
['ca', 0.9189688670469539]
['ce', 0.9189688670469539]
['trajectory', 0.9189688670469539]
['colour', 0.9189688670469539]
['exemplary', 0.9189688670469539]
['politique', 0.9189688670469539]
['crise', 0.9189688670469539]
['gained', 0.9189688670469539]
['foretold', 0.9189688670469539]
['strode', 0.9189688670469539]
['cosmopolitan', 0.9189688670469539]
['quarto', 0.9189688670469539]
['transports', 0.9189688670469539]
['1365', 0.9189688670469539]
['bewildered', 0.9189688670469539]
['diverting', 0.9189688670469539]
['established', 0.9189688670469539]
['pursuit', 0.9189688670469539]
['hanse', 0.9189688670469539]
['glance', 0.9189688670469539]
['encamped', 0.9189688670469539]
['unfailing', 0.9189688670469539]
['greyness', 0.9189688670469539]
['they', 0.9189688670469539]
['_know_', 0.9189688670469539]
['protracted', 0.9189688670469539]
['stiffened', 0.9189688670469539]
['airs', 0.9189688670469539]
['caressingly', 0.9189688670469539]
['huntingdon', 0.9189688670469539]
['calmness', 0.9189688670469539]
['unsophisticated', 0.9189688670469539]
['briskly', 0.9189688670469539]
['predecessor', 0.9189688670469539]
['frowning', 0.9189688670469539]
['unparallel', 0.9189688670469539]
['props', 0.9189688670469539]
['cou', 0.9189688670469539]
['cot', 0.9189688670469539]
['broadening', 0.9189688670469539]
['petty', 0.9189688670469539]
['flexible', 0.9189688670469539]
['voice', 0.9189688670469539]
['overtaking', 0.9189688670469539]
['psychologic', 0.9189688670469539]
['hebrew', 0.9189688670469539]
['kept', 0.9189688670469539]
['arpad', 0.9189688670469539]
['adding', 0.9189688670469539]
['caps', 0.9189688670469539]
['denominated', 0.9189688670469539]
['undiscovered', 0.9189688670469539]
['generosity', 0.9189688670469539]
['cheated', 0.9189688670469539]
['vampires', 0.9189688670469539]
['flask', 0.9189688670469539]
['appears', 0.9189688670469539]
['lending', 0.9189688670469539]
['unadorned', 0.9189688670469539]
['plaything', 0.9189688670469539]
['chateaux', 0.9189688670469539]
['flourish', 0.9189688670469539]
['goal', 0.9189688670469539]
['remember', 0.9189688670469539]
['arabians', 0.9189688670469539]
['embassies', 0.9189688670469539]
['feats', 0.9189688670469539]
['halt', 0.9189688670469539]
['fling', 0.9189688670469539]
['flint', 0.9189688670469539]
['romulus', 0.9189688670469539]
['half', 0.9189688670469539]
['parsing', 0.9189688670469539]
['ee', 0.9189688670469539]
['ed', 0.9189688670469539]
['space', 0.9189688670469539]
['inevitably', 0.9189688670469539]
['grimacing', 0.9189688670469539]
['_electricity_', 0.9189688670469539]
['benefited', 0.9189688670469539]
['objective', 0.9189688670469539]
['prides', 0.9189688670469539]
['famine', 0.9189688670469539]
['concern', 0.9189688670469539]
['corroboration', 0.9189688670469539]
['tackling', 0.9189688670469539]
['fruit', 0.9189688670469539]
['generally', 0.9189688670469539]
['martyrs', 0.9189688670469539]
['strangulation', 0.9189688670469539]
['interposed', 0.9189688670469539]
['_xx_', 0.9189688670469539]
['healthfulness', 0.9189688670469539]
['staunch', 0.9189688670469539]
['astonish', 0.9189688670469539]
['pglaf', 0.9189688670469539]
['put', 0.9189688670469539]
['encoding', 0.9189688670469539]
['squeaky', 0.9189688670469539]
['nunzio', 0.9189688670469539]
['describes', 0.9189688670469539]
['shuttered', 0.9189688670469539]
['rub', 0.9189688670469539]
['consultation', 0.9189688670469539]
['humiliated', 0.9189688670469539]
['nuns', 0.9189688670469539]
['morea', 0.9189688670469539]
['prudence', 0.9189688670469539]
['grenelle', 0.9189688670469539]
['likened', 0.9189688670469539]
['drops', 0.9189688670469539]
['noonday', 0.9189688670469539]
['_swift_', 0.9189688670469539]
['lanciani', 0.9189688670469539]
['titian', 0.9189688670469539]
['mode', 0.9189688670469539]
['cringe', 0.9189688670469539]
['keel', 0.9189688670469539]
['_where_', 0.9189688670469539]
['unchanged', 0.9189688670469539]
['thereto', 0.9189688670469539]
['disquisition', 0.9189688670469539]
['unfathomable', 0.9189688670469539]
['irresolute', 0.9189688670469539]
['disobeyed', 0.9189688670469539]
['mail', 0.9189688670469539]
['brickbats', 0.9189688670469539]
['resident', 0.9189688670469539]
['accountant', 0.9189688670469539]
['limit', 0.9189688670469539]
['mopped', 0.9189688670469539]
['net', 0.9189688670469539]
['fichu', 0.9189688670469539]
['crystallizes', 0.9189688670469539]
['ministre', 0.9189688670469539]
['taught', 0.9189688670469539]
['stewart', 0.9189688670469539]
['inconsistency', 0.9189688670469539]
['debts', 0.9189688670469539]
['discoloration', 0.9189688670469539]
['prince', 0.9189688670469539]
['sorts', 0.9189688670469539]
['appeared', 0.9189688670469539]
['ii', 0.9189688670469539]
['il', 0.9189688670469539]
['convulsively', 0.9189688670469539]
['rome', 0.9189688670469539]
['rebellions', 0.9189688670469539]
['facts', 0.9189688670469539]
['undisturbed', 0.9189688670469539]
['salisbury', 0.9189688670469539]
['ship', 0.9189688670469539]
['felt', 0.9189688670469539]
['skim', 0.9189688670469539]
['skin', 0.9189688670469539]
['deceitful', 0.9189688670469539]
['growls', 0.9189688670469539]
['colloquial', 0.9189688670469539]
['enticements', 0.9189688670469539]
['troops', 0.9189688670469539]
['balks', 0.9189688670469539]
['thorns', 0.9189688670469539]
['cuts', 0.9189688670469539]
['killed', 0.9189688670469539]
['blacksmith', 0.9189688670469539]
['allemands', 0.9189688670469539]
['those', 0.9189688670469539]
['squall', 0.9189688670469539]
['island', 0.9189688670469539]
['insect', 0.9189688670469539]
['tupper', 0.9189688670469539]
['metaphors', 0.9189688670469539]
['cercle', 0.9189688670469539]
['mars', 0.9189688670469539]
['ophir', 0.9189688670469539]
['leaked', 0.9189688670469539]
['piscatory', 0.9189688670469539]
['outpourings', 0.9189688670469539]
['talks', 0.9189688670469539]
['economically', 0.9189688670469539]
['clergy', 0.9189688670469539]
['aspirant', 0.9189688670469539]
['purchased', 0.9189688670469539]
['caprice', 0.9189688670469539]
['soutane', 0.9189688670469539]
['chasin', 0.9189688670469539]
['idea', 0.9189688670469539]
['avenge', 0.9189688670469539]
['audacity', 0.9189688670469539]
['_high_', 0.9189688670469539]
['aphigmenos', 0.9189688670469539]
['baptised', 0.9189688670469539]
['twenty', 0.9189688670469539]
['entreated', 0.9189688670469539]
['bodleian', 0.9189688670469539]
['gruesome', 0.9189688670469539]
['rowed', 0.9189688670469539]
['thomas', 0.9189688670469539]
['sandals', 0.9189688670469539]
['rears', 0.9189688670469539]
['temperamental', 0.9189688670469539]
['echoing', 0.9189688670469539]
['peu', 0.9189688670469539]
['jockey', 0.9189688670469539]
['nests', 0.9189688670469539]
['praise', 0.9189688670469539]
['spruce', 0.9189688670469539]
['bleed', 0.9189688670469539]
['receipts', 0.9189688670469539]
['rudely', 0.9189688670469539]
['monkey', 0.9189688670469539]
['vishnu', 0.9189688670469539]
['tidy', 0.9189688670469539]
['aladdin', 0.9189688670469539]
['gravity', 0.9189688670469539]
['coloring', 0.9189688670469539]
['organ', 0.9189688670469539]
['center', 0.9189688670469539]
['overshadowed', 0.9189688670469539]
['dilapidation', 0.9189688670469539]
['bench', 0.9189688670469539]
['esq', 0.9189688670469539]
['wittingly', 0.9189688670469539]
['bug', 0.9189688670469539]
['embargo', 0.9189688670469539]
['ledge', 0.9189688670469539]
['bundle', 0.9189688670469539]
['baker', 0.9189688670469539]
['morny', 0.9189688670469539]
['baked', 0.9189688670469539]
['hate', 0.9189688670469539]
['missionary', 0.9189688670469539]
['leaders', 0.9189688670469539]
['shining', 0.9189688670469539]
['aim', 0.9189688670469539]
['beaten', 0.9189688670469539]
['boomed', 0.9189688670469539]
['ms', 0.9189688670469539]
['mr', 0.9189688670469539]
['dragoons', 0.9189688670469539]
['shoon', 0.9189688670469539]
['joyous', 0.9189688670469539]
['charging', 0.9189688670469539]
['mess', 0.9189688670469539]
['expectations', 0.9189688670469539]
['god', 0.9189688670469539]
['jeune', 0.9189688670469539]
['tamarind', 0.9189688670469539]
['donkey', 0.9189688670469539]
['protract', 0.9189688670469539]
['interspersed', 0.9189688670469539]
['precipitous', 0.9189688670469539]
['encore', 0.9189688670469539]
['_nom', 0.9189688670469539]
['specific', 0.9189688670469539]
['helpin', 0.9189688670469539]
['armed', 0.9189688670469539]
['ice', 0.9189688670469539]
['adore', 0.9189688670469539]
['outstretched', 0.9189688670469539]
['denounced', 0.9189688670469539]
['inland', 0.9189688670469539]
['dissipated', 0.9189688670469539]
['unbelievably', 0.9189688670469539]
