['schemes', 0.9962636549162761]
['snail', 0.9624118234603128]
['eggs', 0.9621967907905948]
['indictments', 0.9615673284428836]
['lovely', 0.9612411985367788]
['falsetto', 0.9610886597249682]
['willin', 0.9606065282846399]
['boars', 0.9601540747327567]
['schermie', 0.9600220110150884]
['held', 0.9596942932626923]
['expanded', 0.9596510975592913]
['blazing', 0.9595552788664334]
['wakefield', 0.9594825921505348]
['grandes', 0.9588357826705202]
['construct', 0.9587999405366766]
['pecci', 0.9587015310542486]
['assign', 0.9586560195888326]
['preserves', 0.958632682919363]
['mer', 0.9583022420975512]
['calculations', 0.9581449462489182]
['pronger', 0.9576781780352691]
['magna', 0.9572574604248829]
['zuylen', 0.9571265121537663]
['statistics', 0.956592610333906]
['coiffe', 0.956388326548349]
['inner', 0.9563416944426122]
['rarely', 0.9561093808363633]
['apply', 0.9558655876215855]
['nations', 0.9557678221612935]
['huskily', 0.9555054066656501]
['soothing', 0.9554929694455025]
['ibiblio', 0.9554851439812658]
['ultimate', 0.9553810797289319]
['geometric', 0.9551942661727066]
['kitchen', 0.9551891330250135]
['nigger', 0.954543432121441]
['conclusions', 0.9545031376563256]
['1828', 0.9544462067874409]
['deprecatory', 0.9542273035977978]
['bradley', 0.9538670244198155]
['catastrophe', 0.9538021387562565]
['track', 0.953445325921142]
['spite', 0.9534346470853541]
['chymera', 0.9531978767027891]
['snarling', 0.9531356420631657]
['disagreed', 0.9528850599877595]
['temporary', 0.9527408141383457]
['culminating', 0.952106224351756]
['stripped', 0.9520963880993275]
['complex', 0.952069030744366]
['hoare', 0.952063540815167]
['delectation', 0.951585413635433]
['persuade', 0.9514969793777482]
['competitors', 0.9514048152990119]
['narves', 0.9513264474562321]
['carries', 0.9511573864972287]
['useless', 0.9511233133532172]
['fag', 0.9509426341284141]
['costuming', 0.9508261625715012]
['unfrequent', 0.9508109674874211]
['reynolds', 0.950621341808137]
['_has_', 0.9502654028881765]
['heroic', 0.9501826200888245]
['filial', 0.9497118759822918]
['clair', 0.9496794797459633]
['cruelty', 0.9495768065560664]
['kitchens', 0.9495451688049522]
['implied', 0.9494067688009562]
['knees', 0.9493576489883954]
['newts', 0.949212137466946]
['drowsy', 0.9490010926860152]
['obedient', 0.9487877838742185]
['locating', 0.9487070534182557]
['norwegian', 0.9486984103824105]
['venturous', 0.9482778887159556]
['wavelet', 0.9481155980892206]
['systematic', 0.9476943484759494]
['ally', 0.9476330544286989]
['delay', 0.9475585998482089]
['keene', 0.9474949597953288]
['growl', 0.9472683122171012]
['trouble', 0.9472133340101089]
['silas', 0.9471275003305141]
['simplified', 0.946956968860266]
['assemblage', 0.9468938751913156]
['hatch', 0.9467787192428458]
['isn', 0.9465538896529629]
['gutenberg', 0.9465059290322102]
['boa', 0.9461683753842439]
['preserver', 0.9461255906116557]
['junior', 0.9459829197768227]
['processes', 0.9457904825471011]
['penetrate', 0.9457876337715194]
['production', 0.9448897228962473]
['bowels', 0.9447627675679144]
['readiness', 0.9446430688452299]
['prelate', 0.944633313476114]
['deviltry', 0.9445674113253877]
['jubilant', 0.9442039397188285]
['adressee', 0.9441006702599515]
['surprisingly', 0.9440311877542219]
['cudgeling', 0.9437688374347013]
['bowling', 0.9434349743434961]
['downward', 0.9433690014494823]
['easiest', 0.9431940196990661]
['wading', 0.9431858399893608]
['panels', 0.9428406362010611]
['home', 0.9425533962972801]
['recent', 0.9422752316050977]
['argumentative', 0.9422018668556428]
['concept', 0.9421078050878774]
['prized', 0.9417061807168398]
['brink', 0.941650454870255]
['appurtenances', 0.9415526696031196]
['easterly', 0.9414676517408251]
['treatise', 0.9412455828735832]
['freeze', 0.9410177949617028]
['twitched', 0.9409286518480859]
['rise', 0.9408394986668736]
['xix', 0.9406573758747656]
['fiammetta_', 0.9404511844523329]
['relate', 0.9404264360269959]
['intensely', 0.940207197985857]
['shock', 0.940070284578454]
['atte', 0.939788027387709]
['dimmed', 0.9396359114951905]
['belief', 0.9395976815063849]
['courteous', 0.9394825192699474]
['bait', 0.9393474053905598]
['minutes', 0.9392311967951842]
['francs', 0.9389428556494643]
['physically', 0.938682587285312]
['resolution', 0.9385812094955622]
['serenity', 0.9379971423712644]
['labor', 0.9379324745523125]
['sunny', 0.937910599036988]
['bayan', 0.9377013520085704]
['deepest', 0.9376566134436268]
['appreciative', 0.9375714493480749]
['surest', 0.9374194264929114]
['invaded', 0.9373194370750422]
['rabats', 0.9371409269407733]
['concludes', 0.9368939695783198]
['purchases', 0.9367715183268132]
['came', 0.9366734385646327]
['improved', 0.9366508397405597]
['animation', 0.9364011880331305]
['buck', 0.9363943990279843]
['mesmerised', 0.9361814013881257]
['quietly', 0.9361693723512816]
['stowed', 0.9359423997029661]
['unacceptable', 0.9359282358936704]
['extended', 0.9358809837443561]
['dreary', 0.9357702433026852]
['scuttle', 0.9356182989261482]
['plaster', 0.9354741999429884]
['leaning', 0.9352705189663825]
['devices', 0.9350684251994201]
['ease', 0.9344852517684736]
['european', 0.9340844940957399]
['savagely', 0.9338714388124216]
['township', 0.9338708004086501]
['raking', 0.9336626063662897]
['polypi', 0.9335437476283677]
['triste', 0.9334537929636904]
['inclined', 0.9334218416645151]
['regained', 0.933372321524714]
['thoughts', 0.9331880224496574]
['interessantes', 0.9330951949253349]
['exert', 0.9330239695451654]
['aforementioned', 0.9330142366862653]
['bashfully', 0.9330028342526284]
['fairies', 0.9327675357418882]
['bearable', 0.9325283487463583]
['firmament', 0.932516706958499]
['allumettes', 0.9323599818723072]
['_think_', 0.9323511527462403]
['ye', 0.9322547391507027]
['brick', 0.9321104274870543]
['heartbroken', 0.9317420675108632]
['meerschaums', 0.9315102679687347]
['tamen', 0.9314611574089003]
['mainsail', 0.9313460369580383]
['sparring', 0.931343228167533]
['animadverted', 0.9313346687025095]
['oliffe', 0.9311337530274534]
['recommendations', 0.9311216033285996]
['corresponded', 0.9309133709785129]
['antipode', 0.930756271969926]
['scalp', 0.9306274283457335]
['dainties', 0.9305096230567169]
['papers', 0.9304739168195418]
['pagan', 0.9304421094844406]
['deportment', 0.9303066042695214]
['whither', 0.9298682206699074]
['roadside', 0.9294856729806674]
['jeopardize', 0.9294672185627768]
['deformity', 0.9291563621404488]
['amused', 0.9290921325111433]
['regulate', 0.9290348956760046]
['irony', 0.9288609848407803]
['accumulated', 0.9288604420405212]
['_areopagitica_', 0.9288038784013595]
['extraordinary', 0.9283257470342603]
['pike', 0.9280785773668138]
['declare', 0.9279327440828238]
['kingdoms', 0.9278605286802872]
['entombed', 0.9278304935205153]
['revealed', 0.9277106573404454]
['facility', 0.9276289183926866]
['draymen', 0.9274868537957224]
['welfare', 0.9273047830996582]
['oracle', 0.9269808631898901]
['wondrous', 0.9268102359436422]
['similarly', 0.9267252801226794]
['compulsory', 0.9265683250170506]
['whittier', 0.9262786201909681]
['placing', 0.9262573358259316]
['scuffle', 0.9261576235991873]
['goose', 0.9258927913878083]
['directories', 0.9258820762489124]
['statue', 0.9257129837105817]
['discussions', 0.9256307210568722]
['tribunes', 0.9253353268171803]
['clothed', 0.9252313928683089]
['hooks', 0.9246366138819554]
['hues', 0.924193181198216]
['shearing', 0.9241385876983851]
['petting', 0.9240702876418818]
['receding', 0.9240155997545958]
['compelling', 0.9239762521302903]
['adorn', 0.9238417475898647]
['edwards', 0.9237149499954578]
['pittance', 0.9232989356081206]
['watched', 0.9228605457603855]
['_avarabet_', 0.9228555167151935]
['creeps', 0.9227425803894819]
['enthusiastic', 0.9225968210392228]
['midside', 0.9224925931680621]
['akin', 0.9224509993622096]
['intense', 0.9223751364624906]
['twists', 0.9219810073278175]
['catching', 0.9219647413461893]
['_naronic_', 0.9215319387707425]
['outfit', 0.9215237304519311]
['aisle', 0.9214773036798275]
['accusation', 0.9214478619003199]
['brows', 0.9208337620650965]
['risin', 0.9207188865867568]
['puffy', 0.9206408495487197]
['ah', 0.9205069346421861]
['promptitude', 0.9204637090813963]
['gravitate', 0.920374739512464]
['prostration', 0.9203207966440232]
['weedy', 0.9202852746546174]
['traced', 0.9202205488896323]
['scott', 0.92012857017616]
['malignant', 0.920006262160116]
['habitue', 0.9199717531890369]
['his', 0.9199014544504786]
['prefet', 0.9197544910702925]
['emptied', 0.9197158222084674]
['whippoorwill', 0.9196775571691697]
['mentioned', 0.9193764265945286]
['crystal', 0.9191825982207895]
['save', 0.9190922979196724]
['creating', 0.9189412821890531]
['wolverine', 0.9188951339453364]
['homely', 0.9188062885189454]
['rapport_', 0.9187540561716667]
['protestations', 0.9185979385810799]
['begins', 0.9184691810850809]
['aristoph', 0.918434702007324]
['handily', 0.9182148946888078]
['blackstone', 0.9179615857297526]
['signatures', 0.9179261364665886]
['xi', 0.9178820857643503]
['doctrine', 0.9177275102282496]
['supplication', 0.9173593489196388]
['varro', 0.917255304487485]
['cautious', 0.917194230553354]
['pensants', 0.91718920342283]
['italian', 0.9170474299975545]
['pony', 0.9169501563390015]
['chapter', 0.9166941040219523]
['brightly', 0.9166009704157643]
['alexander', 0.9165531114488934]
['courses', 0.9163850665879599]
['yearns', 0.9163577353330887]
['howling', 0.9162950478871659]
['decent', 0.9161554569281382]
['awful', 0.9160709019412002]
['usurp', 0.9160362988077791]
['browse', 0.915989073713365]
['saddle', 0.9158671445673444]
['blinding', 0.9155902245246936]
['slaughtering', 0.9153151248255872]
['flowery', 0.9151917133102805]
['chrysanthemums', 0.9150829729369926]
['grotesques', 0.9148315665256705]
['werner', 0.9148249843775901]
['farmyard', 0.9148055817088614]
['sharper', 0.9146210298960024]
['map', 0.914575414619544]
['modesty', 0.9145022858607799]
['encouraging', 0.914286031939503]
['inanely', 0.9142731993926398]
['apocryphal', 0.9142700397544712]
['piteously', 0.9141854197429385]
['pathways', 0.9141532690398283]
['cynicism', 0.9141158615084749]
['colleague', 0.9138051148959503]
['coach', 0.9138000063769344]
['duchatel', 0.9136198424138886]
['interlocked', 0.9135049556077296]
['restaurants', 0.9133580352429325]
['crois', 0.9133059275291123]
['suspicious', 0.9131659026375687]
['commencement', 0.912993484161417]
['gracieuse', 0.912592002373005]
['des', 0.9125186161661587]
['porch', 0.9124231141045307]
['maltese', 0.9123206134235026]
['blood', 0.9122825228618454]
['spunk', 0.9122741392366908]
['longish', 0.9122453006518081]
['implies', 0.9122250379378075]
['echo', 0.9121518149592979]
['suppers', 0.912130496650408]
['bloodstain', 0.9115345297028953]
['sombre', 0.9114866360094664]
['spell', 0.9114248262539077]
['refusest', 0.911402919637765]
['clerge', 0.9112630042947496]
['traders', 0.9112063510072148]
['underhand', 0.9110023429340197]
['ridgepole', 0.9109448465337928]
['garments', 0.910922706577378]
['strictness', 0.9108579680556484]
['yawned', 0.9106804419541966]
['vienne', 0.9106465836743789]
['slade', 0.9102121565294079]
['reaction', 0.9101476412930206]
['solid', 0.9100846351029518]
['siamese', 0.9100605927310094]
['hunchback', 0.9100541770058588]
['scrape', 0.910023287059162]
['angle', 0.9099754421397397]
['wordsworth', 0.9098900398478947]
['archbishops', 0.9098667491834321]
['instruction', 0.9097182302014128]
['nouvelles', 0.9095337665891249]
['christianae', 0.9094711618939448]
['eddied', 0.9090696088679215]
['lucidly', 0.9088841090823008]
['guyon', 0.9086690943568443]
['dray', 0.9085156796524342]
['invented', 0.908473162502354]
['trace', 0.9083819338829869]
['recovering', 0.9081438875758279]
['blankly', 0.9081228606932212]
['bites', 0.9080051314850377]
['_first', 0.9079919481392573]
['ak', 0.9079580356302672]
['fat', 0.9077024283500555]
['ni', 0.9073881788675321]
['hydra', 0.9073870256348407]
['sits', 0.9073621877674519]
['walloper', 0.9072048235472508]
['wayfarers', 0.907183103259914]
['costume', 0.9068579202902673]
['already', 0.9066273578357632]
['depute', 0.9062224025808422]
['china', 0.9060825655235967]
['crests', 0.9057671553691274]
['pavement', 0.9055150358287105]
['filenames', 0.9053994567599645]
['jostling', 0.9052386753949548]
['wills', 0.9052044181921582]
['depository', 0.9048301306740864]
['unmarried', 0.90480017773145]
['pneumonia', 0.9047703746482209]
['characteristic', 0.9046521924541657]
['hearts', 0.9045735002094759]
['trench', 0.9045643590091337]
['scraggy', 0.9044988227129457]
['usque', 0.9043748105950852]
['faure', 0.9043249572514982]
['towers', 0.904324876188501]
['sell', 0.9042306051696773]
['bee', 0.9040124955273783]
['alretty', 0.90374797998775]
['doings', 0.9036566450853368]
['germs', 0.9035919203775674]
['honore', 0.9032421512454947]
['known', 0.9032237446823321]
['crew', 0.9029230093278845]
['ironic', 0.9027306024009478]
['improvised', 0.9027067634305768]
['bulge', 0.9023029254916309]
['falling', 0.9022574170342015]
['rouses', 0.9022440743375427]
['dropping', 0.9020488630813107]
['jason', 0.9018836152257512]
['genii', 0.9014865675704827]
['brave', 0.9011628391187978]
['wry', 0.9010569918202743]
['last', 0.9009432933544511]
['dutchman', 0.9009294064926291]
['violate', 0.9008076439542582]
['thousandth', 0.9001949446778273]
['disarmed', 0.900122363223258]
['_all', 0.9000739532870454]
['forger', 0.9000739532870454]
