['dramatic', 0.9987363100813326]
['puis', 0.9771878195691437]
['odious', 0.976827860746453]
['cooerdinating', 0.9766657963874317]
['dispose', 0.9765916144585752]
['offenbach', 0.9764326180518677]
['torn', 0.9762514468434391]
['flush', 0.9761310103470102]
['lightness', 0.9756248595100298]
['emphasis', 0.9755951009905852]
['gapped', 0.9755900788686914]
['arrogance', 0.9754380000541775]
['catholic', 0.9753621180275346]
['unutterable', 0.9752594706043136]
['syllables', 0.9750294596023196]
['temples', 0.9749994239637564]
['polemics', 0.9749837619112427]
['squashing', 0.9749450320264711]
['site', 0.9746689977725185]
['dining', 0.9743505174444002]
['jaw', 0.9740492764180064]
['jetes', 0.9740305130832402]
['waddled', 0.9739544936479272]
['ransomed', 0.9739544936479272]
['anderson', 0.9739544936479272]
['sma', 0.973929415273208]
['dye', 0.9738802537586115]
['arriving', 0.9737857618822053]
['sert', 0.9736377923894374]
['belligerents', 0.9736374038626934]
['readily', 0.9730691867828695]
['benefits', 0.9730615100642441]
['rooting', 0.9730566042513016]
['sabe_', 0.9729862107962832]
['grimmest', 0.9727440378605114]
['repayed', 0.972650802064882]
['recked', 0.9725312247000799]
['sangamo', 0.9725013209910545]
['narratives', 0.9720784552792651]
['girt', 0.9719970534841639]
['pack', 0.9719280441357875]
['liquor', 0.9719160344105738]
['hungry', 0.9718784157855015]
['grunt', 0.9717964225840141]
['freezing', 0.9717684742877402]
['slight', 0.9717005425375201]
['soups', 0.9717005425375201]
['communicant', 0.9716519904376476]
['apathetic', 0.9716235121614083]
['nuncio', 0.9716167367520736]
['morality', 0.9716161347094727]
['disgraced', 0.9713963205113736]
['rubbish', 0.9713843733602702]
['legal', 0.9712444453135137]
['infatuations', 0.9711824081809927]
['latent', 0.9707452193810575]
['moose', 0.9707105038511978]
['gunboat', 0.9706249666180313]
['freycinet', 0.9705857606791353]
['bread', 0.970426255468035]
['seem', 0.9702823289982402]
['amoundt', 0.9702488304221409]
['resisted', 0.9702327493989735]
['appetites', 0.9700719115384608]
['fruits', 0.9699597597342621]
['indulgent', 0.9699125492169933]
['sported', 0.9698177001772678]
['quietude', 0.9697210976518691]
['tremendously', 0.9696962031264366]
['night', 0.9696586867011031]
['shelf', 0.9694654660671573]
['monitor', 0.9693155033925949]
['employer', 0.9693077665192936]
['needleworkers', 0.969272769588766]
['traverses', 0.9691749033517695]
['seein', 0.969137441135759]
['bits', 0.969137441135759]
['sunward', 0.9690459252568144]
['summons', 0.9689897358230798]
['drily', 0.968694864510057]
['headstone', 0.9685371759931493]
['computed', 0.9683949692561867]
['profile', 0.9682805089103471]
['plagues', 0.9681063125543993]
['politely', 0.9679465433095723]
['piemont', 0.9678483785978157]
['interpreted', 0.9677693993305572]
['sprang', 0.9675875493218311]
['booming', 0.9675472929868613]
['victim', 0.9675362036332757]
['repaid', 0.9674255512105022]
['example', 0.9673724965065069]
['snail', 0.9673449500198027]
['oncommon', 0.9673207899906584]
['unfriendly', 0.9673188859734166]
['preacher', 0.9672357910368753]
['internal', 0.9670790721667314]
['few', 0.9667728685627178]
['wisdom', 0.9666515413282]
['irregularity', 0.9665572336065326]
['lay', 0.9664626321494663]
['century', 0.9662799559966914]
['thirdly', 0.9662763111941334]
['sans', 0.9662620414222621]
['fences', 0.9661062705284233]
['dip', 0.9660607236964794]
['circulated', 0.9657787965288678]
['correctly', 0.9657597430277659]
['unceasing', 0.9657463207333511]
['wrest', 0.9656912351129259]
['beginnings', 0.9656203958589776]
['hallooed', 0.9655430548261984]
['selected', 0.965390135352859]
['harder', 0.9653506834633051]
['execrating', 0.9653457374371328]
['_orlando', 0.9653187931609111]
['sources', 0.9652210470596458]
['lex', 0.9651633309548331]
['blossom', 0.9651489080681128]
['cone', 0.9649864196684984]
['cursing', 0.964948808008962]
['clanking', 0.964861672186917]
['eager', 0.9648104305253046]
['fang', 0.9647421342472969]
['lonesomeness', 0.9646504583978547]
['nobility', 0.9645975183308667]
['music_', 0.9644980342021955]
['glowed', 0.9643897433226721]
['savant', 0.9643896588453106]
['mousedom', 0.9643896588453106]
['mendoca', 0.9643449295197012]
['gloriously', 0.9643349988719551]
['interpellations', 0.9642075272127654]
['assign', 0.9640820632711063]
['elephant', 0.9639721336825844]
['holding', 0.9639191015696192]
['beer', 0.9637087647793345]
['marsh', 0.9636925326549103]
['_varieties', 0.9632612152472011]
['defended', 0.9631780852014487]
['ulster', 0.9630680159842075]
['hewn', 0.9630532579605089]
['sketches', 0.9629697116399332]
['probabilities', 0.9628548471478636]
['affirm', 0.9627251016189199]
['demonstrate', 0.9626273221283616]
['intact', 0.9624394414637438]
['moneyed', 0.9623962758145059]
['artery', 0.962363461933518]
['handsomely', 0.962320603093419]
['fidgety', 0.9622164620898986]
['dentist', 0.9620503921519176]
['giacomo', 0.9620135765191925]
['believest', 0.9618835687852623]
['circuit', 0.9617716583838343]
['fluttered', 0.961641639858216]
['alms', 0.9616119210827831]
['nations', 0.961572917043984]
['unsex', 0.9615510969919446]
['devoured', 0.9615288057290132]
['spirited', 0.9614989742493587]
['tables', 0.9614850278867934]
['ichthiosaurus', 0.9613565964963853]
['_oyama_', 0.9613565964963853]
['1880', 0.961322533598903]
['attempted', 0.9613203312471172]
['manages', 0.961313654098811]
['money', 0.9612644574154195]
['bays', 0.9612529656700766]
['speedy', 0.9612529656700766]
['withdraw', 0.9611921986453773]
['intricate', 0.9610976404085432]
['magical', 0.9610696443523944]
['semi', 0.9610543626481277]
['davits', 0.9610480310938823]
['depravity', 0.9609991034263301]
['sleeps', 0.9609991034263301]
['thing', 0.9609991034263301]
['theous', 0.9608213329372574]
['pause', 0.9606956393899253]
['restlessly', 0.9606847720035158]
['preternatural', 0.9606327568231762]
['opportunity', 0.9605736117969265]
['lissa', 0.9605051715468337]
['vulcan', 0.9604853097214792]
['yells', 0.9604853097214792]
['torchlight', 0.9603930139372058]
['folly', 0.9603930139372058]
['make', 0.9603930139372058]
['foresaw', 0.9603930139372058]
['glonglim', 0.9603930139372058]
['cordial', 0.96035277595763]
['overthrown', 0.9603071834913229]
['judging', 0.9603015840543722]
['coal', 0.9602814133351686]
['scales', 0.9602814133351686]
['hopes', 0.9602716592374027]
['point', 0.9602436653403]
['faculty', 0.9602159518526238]
['unhorizoned', 0.9600729740939294]
['candlestick', 0.9600078352328598]
['habitually', 0.9600078352328598]
['makers', 0.9600078352328598]
['intensest', 0.9600078352328598]
['prosecuted', 0.9600078352328598]
['lui', 0.9600078352328598]
['princeton', 0.9600078352328598]
['support', 0.9600078352328598]
['begotten', 0.9600078352328598]
['plenipotentiaries', 0.9600078352328598]
['faggots', 0.9600078352328598]
['hog', 0.9600078352328598]
['delegating', 0.9600078352328598]
['mistake', 0.9600078352328598]
['sacrifice', 0.9600078352328598]
['imbecility', 0.9600078352328598]
['rackett', 0.9600078352328598]
['despondent', 0.9598495166606014]
['decision', 0.9597564147251704]
['discontinued', 0.9597242976298745]
['command', 0.9596773948416165]
['steamboats', 0.9596584733843303]
['products', 0.9595711389665158]
['gaseous', 0.959376105683597]
['chymera', 0.9593402549379828]
['forfend', 0.9592723165940304]
['combining', 0.9590790139003306]
['pursued', 0.9584647201076198]
['stripped', 0.9583833272891866]
['hoare', 0.9583547909300247]
['brimstone', 0.9583334576822335]
['event', 0.9582185128761751]
['generaux', 0.9582052297871917]
['emerald', 0.9581455536891368]
['weaken', 0.957985859452452]
['competitors', 0.9577825175016884]
['_and', 0.9577373228502679]
['chercher', 0.9576371821108961]
['pleases', 0.9575622383865041]
['tonight', 0.9575269039164698]
['sewer', 0.9573790697109918]
['unfrequent', 0.957266607134298]
['familiars', 0.9569271519389825]
['traversing', 0.9567793749058475]
['anticipation', 0.9566531943126072]
['touton', 0.9566498771467817]
['comedians', 0.9564635940149334]
['fraternite', 0.9563689245449741]
['noised', 0.9563106101524171]
['oddly', 0.9562928367644177]
['clair', 0.9562836174776896]
['swallowed', 0.9562805419881938]
['push', 0.9562571968162974]
['trisagion', 0.9560391556667218]
['pinions', 0.9559482011916914]
['disgusting', 0.9557608305074083]
['orphan', 0.9556720319464531]
['cap', 0.9556629899330864]
['_barranca_', 0.9556459439459992]
['symmes', 0.9556260255447144]
['hop', 0.955609972790949]
['watertown', 0.9555130583366594]
['unclothed', 0.9551635696368342]
['cultures', 0.9550557428155263]
['comes', 0.9547374401931399]
['boars', 0.9541346384635583]
['gomarus', 0.9540486262499639]
['duller', 0.9540256283041291]
['schermie', 0.9539826241706016]
['quadrille', 0.9539196615022791]
['simplified', 0.9539184128514367]
['sparkled', 0.9537639821227146]
['referring', 0.9537595629218548]
['hodgson', 0.953732106318284]
['stiffest', 0.9534278765924442]
['pastures', 0.9533687332328985]
['quivering', 0.9533671229710858]
['wakefield', 0.9533617164848999]
['hullo', 0.9533317429150495]
['shoes', 0.9533308563826797]
['preserver', 0.9531961458845315]
['constrains', 0.9530709564873865]
['tain', 0.9530309712820323]
['colic', 0.9529164655096565]
['flashes', 0.9528889625614814]
['womens', 0.9528334114732445]
['grossness', 0.9525422866136805]
['undulating', 0.9525422866136805]
['gushing', 0.9525422866136805]
['recollected', 0.9525422866136805]
['cheerful', 0.9525210607608862]
['gallic', 0.9523048140350736]
['hasty', 0.9522252830620704]
['phial', 0.9521760366009182]
['prescience', 0.9519878415041121]
['_certainly_', 0.9519475704062796]
['calculations', 0.9518219953597433]
['persian', 0.9516839269397701]
['pail', 0.9516394835487118]
['hates', 0.9516394835487118]
['inflamed', 0.9516394835487118]
['bibliotheque', 0.9515045259514522]
['tinged', 0.9514460925853454]
['gutindex', 0.9514259081382279]
['acclaimed', 0.9514259081382279]
['graceful', 0.9513477706479202]
['armchair', 0.9509487602111927]
['busy', 0.950886608170119]
['developed', 0.9507765066611832]
['zest', 0.9507722725209821]
['_use_', 0.9507560782443197]
['accursed', 0.9505146041959269]
['invaluable', 0.9504454490149469]
['prometheus', 0.9502627926496287]
['home', 0.9500927715095668]
['_in', 0.9500503658426068]
['alertly', 0.9498663840589109]
['labors', 0.9498346414384937]
['coiffe', 0.9498000069855677]
['funnels', 0.949789629336018]
['room', 0.9496669166653017]
['novels', 0.9496473609009215]
['exceeded', 0.9496158512364365]
['shocking', 0.9495799662172206]
['bravery', 0.9494626496028088]
['easterly', 0.9491495216363167]
['laws', 0.9491102949482637]
['smoothness', 0.9488868843808462]
['talk', 0.9488637243547494]
['gros', 0.9488579979706693]
['twitched', 0.9486812608677174]
['shame', 0.9486046271249362]
['recuperation', 0.9485594427898814]
['travels', 0.9484699727028838]
['backyard', 0.9484198376475292]
['kitchen', 0.9484196539348843]
['rescuing', 0.9483629411768597]
['quavered', 0.948273075274019]
['surpassed', 0.9482378475209473]
['reginald', 0.9482195378367239]
['barter', 0.9481232370484938]
['performing', 0.9479974464804009]
['atte', 0.9476903336083725]
['nigger', 0.9476764084163491]
['1698', 0.9476187913371805]
['pozzi', 0.9474845720170386]
['chairs', 0.9473316839596473]
['impart', 0.9473030511044409]
['murders', 0.9472446518432324]
['systematic', 0.9471758332371075]
['corpulent', 0.9471065645317058]
['roads', 0.9470429426235517]
['rustling', 0.9470295378090179]
['recitation', 0.946953410141006]
['lattice', 0.946879051922634]
['pshaw', 0.9467464274791385]
['ministres', 0.946596429795552]
['performance', 0.9465568494772699]
['preferment', 0.9464045192856145]
['vol', 0.9462302606434924]
['longchamp', 0.9461782262924747]
['privilege', 0.9461184931426242]
['snarling', 0.9460559466111045]
['villages', 0.9460523678691518]
['gutenberg', 0.945975632779773]
['glancing', 0.9459456616045925]
['worried', 0.9458795242743793]
['abundant', 0.9458795242743793]
['foyer', 0.9458795242743793]
['athletes', 0.9458596490574462]
['deepest', 0.9458386495076818]
['quilting', 0.9458206394021295]
['eggs', 0.9458137477364428]
['tensity', 0.9457719975452475]
['nervously', 0.9457693309208441]
['disagreed', 0.9457675096528465]
['attorney', 0.9456407874497657]
['layers', 0.945598067742015]
['grazed', 0.9455431658199094]
['conquers', 0.9454803085198619]
['wrap', 0.9453131791738612]
['_at', 0.9451943509732443]
['purchases', 0.9450697155519135]
['format', 0.945045036505725]
['_descending_', 0.945024540259306]
['smiled', 0.944864110056464]
['interpolation', 0.9448563902215324]
['equilibrium', 0.9447133214891619]
['situations', 0.944568314382356]
['sarcasm', 0.9444973136823338]
['atlantic', 0.9444111996784358]
['delectation', 0.9442715285852924]
['funeral', 0.9442532454495123]
['dreary', 0.9441998493076094]
['championship', 0.9440997472745133]
['perceive', 0.9440023584647981]
['brush', 0.9439576548369126]
['hide', 0.9439279797471157]
['cambridge', 0.9437580822644167]
['useless', 0.9437396198300616]
['contorted', 0.9437251462423109]
['caves', 0.9436762891326805]
['fag', 0.9435316457922612]
['misadventure', 0.9434110756629439]
['soothes', 0.9433627568033239]
['tripper', 0.9433120672932782]
['traditions', 0.9432241644424124]
['smarting', 0.9431654500315094]
['tranquil', 0.9431654500315094]
['plottings', 0.9431654500315094]
['microscopes', 0.9431232354571286]
['yacht', 0.9430738205074664]
['thrilling', 0.9428502620618753]
['perpetual', 0.9428060253649864]
['ol', 0.942785882729178]
['risks', 0.9424725942103289]
['expanded', 0.9421648094980796]
['inclined', 0.9421596552910932]
['filial', 0.9421149597206687]
['10006', 0.9420742249981207]
['blazing', 0.942027465183368]
['sending', 0.9418905634614646]
['luxurious', 0.941852678341594]
['smoulders', 0.9417490936852232]
['romping', 0.9415814947528156]
['horn_', 0.9415165134484792]
['quickened', 0.941493203260662]
['grossir', 0.9414190331729101]
['theseus', 0.9413879290365368]
['christward', 0.9412728326979107]
['enviable', 0.9412728326979107]
['ninth', 0.9411834204513415]
['infernal', 0.9411461524515845]
['ye', 0.9411457249962751]
['crisis', 0.9407493158123497]
['reverse', 0.9407493158123497]
['heartbroken', 0.9407003371226519]
['hundreds', 0.9405004223302802]
['meerschaums', 0.9404989592871082]
['undo', 0.9404129407295717]
['animadverted', 0.9403464059221156]
['recommendations', 0.9401613035555049]
['corresponded', 0.9399803999196928]
['sometime', 0.9399588908907623]
['cognac', 0.9399588908907623]
['_perceptions_', 0.9397419889203216]
['scalp', 0.9397319848108879]
['load', 0.9396444439466433]
['popularly', 0.9396286868602619]
['occasioned', 0.9394741884438094]
['railing', 0.9394055001867366]
['trouble', 0.9392389685095335]
['ransom', 0.9391320258382054]
['jewelled', 0.9391320258382054]
['contemplate', 0.9391320258382054]
['les', 0.9391229211435361]
['curtains', 0.9390192038899143]
['roadside', 0.9387400750684182]
['hatch', 0.9387386974455313]
['dodged', 0.9386585423998433]
['difficult', 0.9386313481930224]
['zuylen', 0.9385461267326323]
['versa_', 0.9384520537750954]
['illusion', 0.93823760978381]
['notoriously', 0.93823760978381]
['_areopagitica_', 0.9381477601940846]
['servitude', 0.938142092767051]
['secluded', 0.9378560690128663]
['flame', 0.937756926280905]
['duly', 0.9377507269394001]
['eruptions', 0.9377432697780521]
['complacency', 0.9376364626495354]
['package', 0.9376227068148861]
['processes', 0.9376011700062783]
['declare', 0.9373909548012715]
['hunters', 0.9370674200122535]
['faster', 0.9370568281318679]
['hinted', 0.9370127895227649]
['carnot', 0.936956349234972]
['band', 0.9369101260560122]
['huntin', 0.9369024360025688]
['uncontrollable', 0.9367382397607871]
['puzzling', 0.9366879168135746]
['appalled', 0.9366735443515646]
['village', 0.9366564050327922]
['heed', 0.9366168210766745]
['production', 0.9365643345766387]
['sandalphon', 0.9365611264117174]
['thence', 0.9364936595588962]
['bowels', 0.936418200386156]
['commander', 0.9362776178330255]
['prelate', 0.9362691899495059]
['concludes', 0.9362683882599911]
['ibiblio', 0.9361934272737101]
['infringing', 0.9361387076588943]
['catullus', 0.9360994842345846]
['stretched', 0.9360994842345846]
['stalk', 0.9360994842345846]
['placing', 0.9359354295429957]
['stepping', 0.9359218819367315]
['endeavoring', 0.9359042878628236]
['slithering', 0.9359042878628236]
['cellini', 0.9359042878628236]
['bois', 0.9359042878628236]
['resembles', 0.9358575404338373]
['arcanum', 0.9357238829213396]
['scuffling', 0.9356614775150129]
['teas', 0.9355905914373739]
['_do_', 0.9354754932758574]
['sages', 0.9354754932758574]
['truthful', 0.9352698242507919]
['deputes', 0.9352698242507919]
['undignified', 0.9351797648081358]
['shrug', 0.9350086022165419]
['alkalies', 0.9349932921658856]
['swineherd', 0.9349411621981996]
['respected', 0.9349411621981996]
['superfluous', 0.9349411621981996]
['conclusions', 0.9347858419506528]
['biscuit', 0.9347791933159113]
['seraphs', 0.9347605915043006]
['pollux', 0.9346945478818706]
['brick', 0.9346317350439467]
['partially', 0.9345547876296284]
['brushed', 0.9344185434164123]
['radio', 0.934400379365999]
['asseveration', 0.9341399821990598]
['constellations', 0.9340654709980533]
['tusks', 0.9339697445489462]
['knowledge', 0.9339590712914264]
['squaws', 0.9336410593588016]
['spotless', 0.9336317876876827]
['sympathy', 0.9335467196254013]
['596', 0.9335396888842846]
['sentient', 0.9334196718759328]
['pittance', 0.9333652940411565]
['tutor', 0.9333588890342777]
['errand', 0.9333535255323993]
['displace', 0.9333243834181805]
['track', 0.9332695988927553]
['polyhedral', 0.9332181027621141]
['facing', 0.9331453077995162]
['france', 0.9330866018594537]
['pillars', 0.9329729433331475]
['bickering', 0.9329342159778178]
['paintings', 0.9329124130612314]
['creeps', 0.9328819556846867]
['grateful', 0.9328494597925424]
['anna', 0.9327095380385253]
['akin', 0.9326286421724231]
['scrofula', 0.9326030627374162]
['breeding', 0.9326030627374162]
['disengaged', 0.9326030627374162]
['ministrants', 0.9326030627374162]
['berth', 0.9326030627374162]
['foresee', 0.9324257645647088]
['fantastically', 0.932421551399579]
['cession', 0.9323219064401894]
['types', 0.9322782097835048]
['catching', 0.9322062013604925]
['places', 0.9321433324616183]
['recognizes', 0.9321433324616183]
['spectacle', 0.9321433324616183]
['brigantine', 0.9320052971840626]
['battering', 0.9318550246229144]
['aisle', 0.9317827357172345]
['perl', 0.931774331495647]
['seamanship', 0.9317522562826135]
['acclivity', 0.9317232844326694]
['sooner', 0.9313861716484009]
['landslide', 0.931303799453021]
['campstools', 0.9312818690056788]
['brows', 0.9312236534331766]
['topsail', 0.9312046700536925]
['intensely', 0.9311744309295774]
['contend', 0.9311633924177584]
['flopped', 0.9311445713569003]
['figures', 0.9309411735677336]
['promptitude', 0.9309021667373457]
['hedges', 0.9308098983052835]
['graphic', 0.9307533545976409]
['gallery', 0.9307029413634296]
['provoking', 0.9307029413634296]
['clumsily', 0.9307029413634296]
['romancing', 0.9305994638982256]
['discussion', 0.9305836766341417]
['malignant', 0.9305047558104836]
['belief', 0.9304728361364861]
['abreast', 0.9303048116237129]
['needn', 0.9302471824606697]
['sportsman', 0.9301396889861824]
['navigators', 0.9300833852285879]
['carries', 0.929990119044863]
['cassia', 0.9298351173436267]
['outshowering', 0.9298351173436267]
['descriptive', 0.9298351173436267]
['shade', 0.9298351173436267]
['arguments', 0.9298115330604928]
['benignant', 0.9298029889001652]
['crystal', 0.9297891907157737]
['clawing', 0.9297470244512822]
['voulais', 0.9297158528540705]
['shapes', 0.9296381026823234]
['mardenter', 0.9295264906860594]
['construct', 0.9293136229287837]
['straggle', 0.9292797357356376]
['1872', 0.9292473467363163]
['hesper', 0.9292185167550695]
['delirious', 0.9292185167550695]
['personnes', 0.9292185167550695]
['husky', 0.9292185167550695]
['chariots', 0.9292185167550695]
['big', 0.9292185167550695]
['grabbing', 0.9292185167550695]
['begins', 0.9291694034749988]
['disbanded', 0.9285712566316731]
['sunny', 0.9285308898300141]
['pineknots', 0.9283586937135553]
['admiringly', 0.928248051124726]
['appreciative', 0.9281405055437253]
['temper', 0.9281394184842371]
['kindness', 0.9278548339575239]
['pony', 0.9278497377297874]
['cleanin', 0.9278133142658627]
['owin', 0.9278021077214202]
['rabats', 0.9276449450635007]
['chilling', 0.9275895616379344]
['mcmxx', 0.9275668240104725]
['brightly', 0.9275463794712762]
['repent', 0.927502037697222]
['vertical', 0.9274338327687115]
['gloaming', 0.9272877705734235]
['developing', 0.9272849618050917]
['towin', 0.9271934636838955]
['parried', 0.9271215783999559]
['browse', 0.9270147889755662]
['organizations', 0.9269164116471603]
['amiable', 0.9267148045953466]
['barrenness', 0.9267148045953466]
['gaily', 0.9266711160505824]
['obedient', 0.92659358504206]
['carven', 0.9265680891291016]
['slaughtering', 0.9264292901128788]
['denominations', 0.9263094347590041]
['californian', 0.9262814726256321]
['stowed', 0.9262653589526345]
['unacceptable', 0.9262490554478289]
['extended', 0.9261946650202723]
['living', 0.9261807670848632]
['avenged', 0.9261307036773919]
['somewhere', 0.9261307036773919]
['stack', 0.9260302332853062]
['insulting', 0.9260005040118202]
['sworn', 0.925974367699243]
['elections', 0.9258294880841242]
['commendable', 0.9258198952836397]
['unanimously', 0.9255736798343271]
['sparkle', 0.9255585237824218]
['statistics', 0.9255265367675944]
['magnetic', 0.9255187890285838]
['unobtrusively', 0.9255187890285838]
['neat', 0.9253889557497237]
['_from', 0.9253889557497237]
['son', 0.9253889557497237]
['terribly', 0.9253889557497237]
['solar', 0.9253889557497237]
['lear', 0.9253889557497237]
['rejoicing', 0.9252438734699763]
['scalps', 0.9252067048147217]
['libraries', 0.925124241037526]
['continual', 0.9249886602662953]
['plaintiff', 0.9249770557538536]
['cigars', 0.9249053792771895]
['darkest', 0.9249053792771895]
['governing', 0.9247723059194443]
['chancery', 0.9247723059194443]
['attuned', 0.9247685802842415]
['masked', 0.9247685802842415]
['keene', 0.9247404806856795]
['pedestrians', 0.9246347770485523]
['assumption', 0.9246347770485523]
['conspicuously', 0.9246347770485523]
['genus', 0.9244201232347662]
['venerable', 0.9243970765599471]
['pleasurable', 0.9241846635845343]
['stiffly', 0.9241846635845343]
['scrupulous', 0.9241846635845343]
['reiterating', 0.9241837361088598]
['undaunted', 0.9241837361088598]
['battues', 0.9241708459273424]
['dismay', 0.9240893916431427]
['des', 0.9239997992875585]
['romagna', 0.9239267535784036]
['assemblage', 0.9238788998128922]
['snowy', 0.9238532148005916]
['discontent', 0.9238174591784375]
['relented', 0.923708481112431]
['uncivilized', 0.92367383480236]
['suppers', 0.9236626171374283]
['ofttimes', 0.9236289688305002]
['schuyler', 0.9236194706437223]
['defenses', 0.9236175007010656]
['duration', 0.9236141953058798]
['meudon', 0.9235499587487302]
['hercules', 0.9235274122643473]
['triste', 0.9234008038681842]
['regained', 0.9233070247181587]
['translucent', 0.923244286206532]
['volumes', 0.923161040422154]
['bloodstain', 0.9231448657525738]
['thoughts', 0.9230948839872907]
['exert', 0.922906047971433]
['gunpowder', 0.9228686562429393]
['_finality_', 0.9228581524155322]
['er', 0.9228581524155322]
['ferret', 0.9228581524155322]
['shedding', 0.9228581524155322]
['herenberg', 0.9228581524155322]
['injunctions', 0.9228581524155322]
['manfully', 0.9228581524155322]
['warned', 0.9228581524155322]
['spielsberg', 0.922857156121313]
['reigned', 0.9227147385201713]
['artifices', 0.9227138749238082]
['freeing', 0.9227138749238082]
['breathed', 0.9227138749238082]
['pessimistic', 0.9227138749238082]
['situated', 0.9227138749238082]
['bald', 0.9227138749238082]
['headgear', 0.9227138749238082]
['perforation', 0.9227138749238082]
['pinks', 0.9227138749238082]
['sceptre', 0.9227138749238082]
['saturninus', 0.9227138749238082]
['souffrante', 0.9227138749238082]
['valparaiso', 0.9227138749238082]
['chang', 0.9227138749238082]
['odd', 0.9227138749238082]
['overrun', 0.9227138749238082]
['catechism', 0.9227138749238082]
['strained', 0.9227138749238082]
['piles', 0.9227138749238082]
['streak', 0.9227138749238082]
['lighten', 0.9227138749238082]
['underhand', 0.9226825239436254]
['ridgepole', 0.9226325734539784]
['lovely', 0.922560087871737]
['gonsales', 0.9225270954272896]
['yawned', 0.9224028697131601]
['silver', 0.9223964731153682]
['firmament', 0.9223221543417751]
['civilised', 0.9221249536266158]
['tongtoia', 0.9219283333110307]
['shrilly', 0.921870335564146]
['siamese', 0.9218643703969723]
['schemes', 0.9218628806180992]
['cupboard', 0.9218208196164657]
['angle', 0.9217903950922427]
['disclosed', 0.9217146754340478]
['archbishops', 0.9216959671564536]
['_has_', 0.9216913019650395]
['overhang', 0.921371194932041]
['flaw', 0.921318350168047]
['prow', 0.921318350168047]
['_xxii_', 0.9212662346195826]
['cited', 0.9211911333515393]
['aint', 0.9211911333515393]
['tamen', 0.9211071452439248]
['bradley', 0.9208502863890021]
['involve', 0.9207867620998794]
['notion', 0.9207867620998794]
['anger', 0.9207526067717394]
['coursing', 0.9206450734471083]
['invented', 0.9204852768034834]
['trace', 0.9204060211598394]
['recovering', 0.920199216393727]
