['arrivals', 0.9914154691253144]
['richer', 0.95356573386672]
['crests', 0.9535018100508361]
['leastwise', 0.9534278405715314]
['grip', 0.9534202746436231]
['title', 0.9532976371861908]
['careful', 0.953222431189575]
['considerable', 0.9532214558839093]
['failures', 0.9532035237190605]
['comparatively', 0.9530845210248906]
['pneumonia', 0.9530099592584724]
['exhibitions', 0.952699487433727]
['stoop', 0.9522764135792534]
['honore', 0.9522558737552376]
['plunder', 0.9522362553604574]
['blindly', 0.9520538223474624]
['offences', 0.951911198376578]
['carries', 0.9517982688698032]
['freight', 0.9516716912116083]
['funereal', 0.9515064867867853]
['unfrequent', 0.9514563953546159]
['funnelled', 0.9510459441351428]
['heroic', 0.9508362927394723]
['indictments', 0.950693103447914]
['scattered', 0.9503593868379641]
['kitchens', 0.9502072056945692]
['napoleon', 0.9501535319151699]
['purchases', 0.9500809304856941]
['ere', 0.9499495641626567]
['differently', 0.9497209490156303]
['undoubtedly', 0.949699836671595]
['drowsy', 0.9496702686038077]
['accompanying', 0.9496670575960007]
['communication', 0.9492187374128436]
['eyein', 0.9490768636282125]
['declarations', 0.9488555272664467]
['netting', 0.9486012730523327]
['italy', 0.948590193123006]
['comparing', 0.9484950221054643]
['imitation', 0.948428707774402]
['eloquently', 0.9484049399241125]
['canace', 0.9483879020159639]
['capitals', 0.9477781659455942]
['daystar', 0.9476110135135113]
['greasy', 0.9474572790562397]
['nocturnal', 0.9473961286601503]
['gutenberg', 0.9472078449343674]
['practiced', 0.9469682840243651]
['extraordinary', 0.9469496589763323]
['refreshments', 0.9467519198278195]
['mandolins', 0.9466036364317427]
['processes', 0.9465017860927103]
['fluttered', 0.9463637178806552]
['shot', 0.945962466972381]
['sovereigns', 0.9458798370350683]
['earnestly', 0.9457963085275558]
['gratify', 0.9456423584009528]
['production', 0.9456128456493222]
['grazed', 0.9456095078358531]
['due', 0.9455940907067777]
['instinctive', 0.9455092787993388]
['bowels', 0.9454875561497851]
['confessed', 0.9451456492108415]
['imperturbable', 0.9451381395455775]
['story', 0.9450741007598953]
['adressee', 0.9448341464705785]
['surprisingly', 0.9447655756710401]
['sloped', 0.9446154727735083]
['valley', 0.9443974076722358]
['chandelier', 0.9442527872481443]
['catholics', 0.9442505744372258]
['mustered', 0.9441567812875159]
['outworks', 0.9440371193354395]
['editors', 0.9437445060978581]
['impaired', 0.943453132070907]
['dimly', 0.9431365698962317]
['lance', 0.9431048710359509]
['dislike', 0.9430351325222017]
['banks', 0.9429053285516514]
['medium', 0.9427399080184125]
['emphatic', 0.9426520174582749]
['chamberlains', 0.9424452215888572]
['distempered', 0.9423754281978565]
['fidgety', 0.9422889353852675]
['treatise', 0.942016521763761]
['pillars', 0.9419835716111363]
['quitte', 0.9419071115322323]
['pellucid', 0.9419048144220975]
['exaltation', 0.9418895829769832]
['tutor', 0.9417600652228734]
['ruts', 0.941541717540983]
['michael', 0.9408592943853199]
['distinctly', 0.9402841149762039]
['bait', 0.9401432509841602]
['incapacitated', 0.9401355102028296]
['bobbed', 0.9401325492956879]
['recuperation', 0.9400591285989148]
['threats', 0.9399154292935652]
['scrutinize', 0.9397860293405584]
['manufacture', 0.9397645528729272]
['immortality', 0.9396625203866952]
['ahead', 0.9395105199081635]
['prairie', 0.9393088528026496]
['hydra', 0.939068156958692]
['disowned', 0.9389297679195546]
['complication', 0.9388127546745177]
['silvery', 0.9386517534137708]
['establish', 0.9386228946929932]
['deepest', 0.9384746445567309]
['faire_', 0.9383683330356419]
['piercing', 0.9383670244055891]
['invaded', 0.9381418924065813]
['wealth', 0.9381219360938756]
['hours', 0.9379869996427395]
['rabats', 0.9379657245711818]
['assemble', 0.93766846728612]
['wills', 0.9376321778744444]
['reredos', 0.9376256637808437]
['distortion', 0.9375603180640494]
['palisadoes', 0.9375149376091008]
['appealingly', 0.9372857329802052]
['hemmed', 0.9371082561816114]
['rite', 0.9369332103957573]
['kindly', 0.9368780002701775]
['verdict', 0.9368268682889642]
['stowed', 0.9367829236617725]
['beatrice', 0.9367153403556385]
['disdain', 0.9367124613248098]
['subjective', 0.9365258715051517]
['penetrating', 0.9364347910925555]
['than', 0.9362453950158055]
['francisco', 0.936058273655794]
['lyrics', 0.9358319343300348]
['departments', 0.9358109510430195]
['valor', 0.9357753094304975]
['archbishop', 0.9357174899663517]
['californian', 0.9355748701674954]
['bag', 0.9355376201188541]
['sporadic', 0.9355073125474052]
['raising', 0.935436450592062]
['accepted', 0.9353631662371503]
['carts', 0.9350686169928559]
['trigger', 0.9349824450877884]
['pulsed', 0.9348054613085316]
['blest', 0.9347954895560207]
['plenty', 0.9347635011556304]
['township', 0.9347385066039413]
['drawing', 0.9345267781668558]
['choo', 0.9344150777265428]
['amorous', 0.9344146903303454]
['artery', 0.9342162971035639]
['_avarice_', 0.9341912708236974]
['acetelyne', 0.9341238850571913]
['cabalistic', 0.9340522815788963]
['preliminaries', 0.9340079023583323]
['lunar', 0.933893309073558]
['lessening', 0.9338327396664806]
['acres', 0.9336090822231718]
['oasis', 0.9336079302676221]
['promiscuous', 0.9335704008662078]
['manages', 0.9332417679874343]
['argumentative', 0.9331258197037868]
['citizens', 0.9330525819629644]
['michelangelo', 0.9330155413307855]
['misuses', 0.9327875531675787]
['milliards', 0.9327148263046657]
['conclusions', 0.9326501787471017]
['originality', 0.9325591422642862]
['skipping', 0.9325579748491795]
['snout', 0.9324197746948808]
['strive', 0.9322941208638977]
['silver', 0.9321796368826945]
['recommendations', 0.932025382776753]
['petition_', 0.9319607038528288]
['books', 0.9319165598525432]
['predicate', 0.9318882439532018]
['question', 0.931850113604747]
['seam', 0.9317785166413161]
['feebly', 0.9317785166413161]
['rotten', 0.9317436442626595]
['foamin', 0.9317111926640746]
['ceremony', 0.9316694250544063]
['obstructive', 0.9314801043808958]
['pagan', 0.93135480482787]
['department', 0.9313452603229613]
['translation', 0.9313439830465737]
['employs', 0.9312988255805251]
['deportment', 0.9312210776280365]
['verb', 0.9311182927321165]
['wounding', 0.931106626582612]
['springin', 0.9308728237228497]
['chapels', 0.9307701591655952]
['hundreds', 0.9306683922774847]
['broods', 0.9304066343091464]
['liver', 0.9303818288413065]
['frozen', 0.9303229468268465]
['sings', 0.9303199313672416]
['unhorizoned', 0.9302128265595613]
['adolescence', 0.9301843473950476]
['superadded', 0.9301715014107925]
['incident', 0.9300942314658569]
['deformity', 0.93008592826022]
['justify', 0.930041757535264]
['protect', 0.930041757535264]
['sor', 0.930041757535264]
['treasured', 0.9300182286448095]
['butting', 0.9299533560230041]
['chili', 0.9298750688227354]
['dive', 0.9296931750674207]
['indian', 0.9295389798126781]
['sharpened', 0.9293118368545176]
['unevenness', 0.9292236626039426]
['whirl', 0.9289553198876542]
['raise', 0.9285277274861676]
['emerald', 0.9282314068409607]
['normans', 0.9282074192926764]
['oracle', 0.9279389748527634]
['parle', 0.927664688094708]
['fourteenth', 0.9275535167851274]
['anecdote', 0.9270848507891847]
['zest', 0.9270542034019602]
['caught', 0.9268562631061326]
['lithe', 0.9268167223024906]
['preferred', 0.9265598980617068]
['robert', 0.9265269829636189]
['entrust', 0.926320501977724]
['weights', 0.9262849487604043]
['perfectly', 0.926095964466198]
['inveigled', 0.9256137655760515]
['muddy', 0.9256094621365516]
['leaves_', 0.9255739589264077]
['sacrificed', 0.9254633785761079]
['vatican', 0.925181170461603]
['shearing', 0.9251339939310995]
['oh', 0.9249374219384062]
['cruelly', 0.9248807380075148]
['cream', 0.9248540944546173]
['latent', 0.9247544299378456]
['lowell', 0.9245681739483526]
['02', 0.9244911411729202]
['beyond', 0.9241217178021437]
['bargain', 0.923935772499993]
['comedians', 0.9239041063914742]
['geste', 0.9236195403741229]
['lovely', 0.9234995348087647]
['cosmogonists', 0.9231526264934385]
['shivered', 0.923079453531307]
['hushing', 0.9230079576004163]
['reclaimed', 0.922975962292026]
['establishers', 0.9226287183588956]
['_naronic_', 0.9225615478281916]
['outfit', 0.9225534472138305]
['famous', 0.9224594117635694]
['throng', 0.9224494086960155]
['mournful', 0.9223773794285672]
['rheumatic', 0.9222787849709032]
['keene', 0.9222758473771435]
['acid', 0.9221670595970075]
['reckless', 0.9221518930275999]
['endless', 0.9219922894981863]
['taig', 0.9219537726606282]
['conical', 0.9218891012716817]
['luminary', 0.9217776199916251]
['tangled', 0.9217637584636347]
['code', 0.9216468797062827]
['bulky', 0.9216362786193549]
['whitish', 0.9215509748348317]
['gravitate', 0.921419532618288]
['prostration', 0.9213662975545907]
['chattering', 0.9213429420742367]
['upturned', 0.9211172963476071]
['schermie', 0.9210931546049502]
['cactus', 0.9210780949079079]
['capability', 0.9208150456656269]
['prefet', 0.9208074226901046]
['whippoorwill', 0.9207314982677453]
['size', 0.9205806492728944]
['mentioned', 0.9204343189410675]
['inequalities', 0.9202222617459725]
['banker', 0.9201312214188644]
['rapport_', 0.9198201148755035]
['doth', 0.9197710744054015]
['admirable', 0.9195745874137369]
['scepticism', 0.919372534214338]
['handily', 0.9192880279340246]
['soundless', 0.9192797255106411]
['unsubstantial', 0.9189688670469539]
['xi', 0.9189595859211189]
['influence', 0.9189224808300223]
['obdurate', 0.9189084495556616]
['smallpox', 0.91882588256767]
['grandes', 0.9187518278157663]
['scratching', 0.9186479438461197]
['homilies', 0.9186145332520192]
['18_', 0.9185915053366359]
['pecci', 0.9184868477155124]
['supplication', 0.918443708103909]
['cooerdinating', 0.9184297814500015]
['clung', 0.9182481206445778]
['illegible', 0.9182363458595793]
['eet', 0.9181326021449292]
['probity', 0.9181050090900797]
['intangible', 0.9179802096406442]
['evacuations', 0.9179429513778286]
['energies', 0.917898922464866]
['chapter', 0.917787192135692]
['conjectures', 0.9176424714749809]
['rapids', 0.9175812449490108]
['1872', 0.9175557979817176]
['depleted', 0.9175402285019393]
['sorting', 0.9175036770506663]
['courses', 0.91748220969855]
['haft', 0.9173684687542742]
['spake', 0.9172763042233215]
['spiteful', 0.9171353817818089]
['bill', 0.9169758470222916]
['includes', 0.9168603416955744]
['vivifying', 0.9165439765538019]
['vacation', 0.9164953588128284]
['pronger', 0.916466997280223]
['spurs', 0.9163939695298349]
['bowling', 0.9162657781023703]
['chrysanthemums', 0.9161972013099897]
['competitions', 0.916164972788209]
['trail', 0.9161287595758786]
['dogma', 0.9160124539193718]
['bout', 0.9159891508164364]
['werner', 0.9159425979158803]
['politics_', 0.9159305461141916]
['lest', 0.9159203093369656]
['map', 0.915696302856856]
['modesty', 0.9156241336481458]
['fawns', 0.9155462946328747]
['stateliest', 0.9155143130721135]
['sported', 0.9154571597042808]
['victoria', 0.9154393915335771]
['telephone', 0.9153709690499943]
['scuttle', 0.9152841007114845]
['pathways', 0.9152796964086751]
['up', 0.915060424892312]
['colleague', 0.9149361105267665]
['horseback', 0.9147085949220419]
['emphasis', 0.9146869128708397]
['provoked', 0.9146774047936047]
['craves', 0.9145280108505541]
['trumpeting', 0.9145260708458168]
['betrayal', 0.9144456551218275]
['suspicious', 0.9143052856137653]
['cobwebs', 0.9140944857671824]
['trinity', 0.9139954031619462]
['parse', 0.9138061796321747]
['shaken', 0.913773139993822]
['flattery', 0.9137506148674169]
['dying', 0.9137043115515789]
['_royal_', 0.9134169825019127]
['cet', 0.913170596447247]
['breakdown', 0.9130575854475971]
['chop', 0.9130097766631627]
['duly', 0.9129571869271472]
['syllables', 0.9127095798352738]
['temples', 0.9126045831684678]
['refusest', 0.9125654353795263]
['labors', 0.9123175718905385]
['sublime', 0.9121969474775408]
['docks', 0.9121407790638268]
['fogyism', 0.9121042856476613]
['strictness', 0.9120276343128683]
['innate', 0.9114842121594149]
['romagna', 0.9113560014096618]
['solid', 0.9112644485538202]
['siamese', 0.9112407216509173]
['archbishops', 0.9110494215977146]
['domicile', 0.9109176835432692]
['represents', 0.9108795377237409]
['canoe', 0.9107691453276054]
['catalogues', 0.9106426596202813]
['intending', 0.9104378618509003]
['dining', 0.9103361772060765]
['niece', 0.9102028124079936]
['garland', 0.9101580251648995]
['backyard', 0.9098446815285942]
['settled', 0.9098262877757509]
['deprecatory', 0.9096558088580627]
['overshadowing', 0.9096467075483641]
['trace', 0.909584089119427]
['endeavors', 0.9094211037547391]
['formulate', 0.9093745055922633]
['jaw', 0.9092831180673482]
['ak', 0.9091657529957263]
['compounded', 0.9090531041757152]
['lethargy', 0.9089816260244906]
['facilities', 0.9087001676171369]
['cones', 0.9086883676386113]
['shrivelled', 0.9086504247824829]
['parish', 0.9086357425441185]
['vanishing', 0.908357959487104]
['insufficient', 0.9083303795013169]
['belligerents', 0.907843320296254]
['hazily', 0.9076621397196674]
['maniac', 0.9076532389177511]
['_conclusion_', 0.9075529416441231]
['billiard', 0.9074298106644492]
['dutchman', 0.9073751728834017]
['conveyance', 0.9070564706059915]
['superannuated', 0.9068071740569208]
['trifling', 0.9067933454025239]
['pavement', 0.9067548087169343]
['bogie', 0.9067086941124288]
['concludes', 0.9065830114442817]
['chooses', 0.9065341673189624]
['jostling', 0.9064820745127713]
['prodigious', 0.9062665700591775]
['phases', 0.9060751593497023]
['characteristic', 0.9059032870360781]
['between', 0.9058600167634809]
['readily', 0.9058569833226574]
['trench', 0.9058166060868404]
['overturn', 0.9057759343500194]
['faure', 0.9055803456100545]
['towers', 0.9055802656107154]
['_what', 0.9055378022907374]
['hoare', 0.9053850663896246]
['affidavy', 0.9050738147562787]
['ebbed', 0.9049954909088803]
['protected', 0.9049325139585656]
['doings', 0.9049208026201503]
['germs', 0.9048569271897087]
['pastime', 0.9045982837540532]
['memories', 0.9044388418851029]
['legation', 0.9041246004848045]
['improvised', 0.9039833847212154]
['yoke', 0.9039086147638065]
['ferment', 0.9038767431144509]
['defying', 0.9038252734671368]
['wondrous', 0.9036941152947131]
['rouses', 0.903526766746462]
['energetic', 0.9035260404641159]
['braced', 0.9034582783740083]
['amnii', 0.9032844532980105]
['urine', 0.9032254333304476]
['fag', 0.9031726686958018]
['jason', 0.9031710373547697]
['loosed', 0.9029601987872599]
['misers', 0.9028569487557478]
['stayed', 0.902742294307084]
['buy', 0.9026761323946327]
['speakers', 0.9025637089422769]
['brightening', 0.9025520689489086]
['weakest', 0.902542153711288]
['deeds', 0.9024841148574406]
['brave', 0.9024597188232487]
['enacted', 0.9023111203365904]
['monopoly', 0.9021472260143454]
['fans', 0.9020643014984727]
['pack', 0.9018678497458393]
['agent', 0.9018333152572644]
['queen', 0.9018292110886585]
['shouldn', 0.9016769708104706]
['contended', 0.9016163798304869]
['priceless', 0.9014420036011945]
['disarmed', 0.901432895404772]
['click', 0.9010985335906111]
['scruple', 0.9009212767690845]
['tripper', 0.9009169728521547]
['goschen', 0.9009075228651638]
['wavings', 0.9007605899810175]
['flourished', 0.9007461106025016]
['meritorious', 0.9006832581967306]
['yearning', 0.9006371019980506]
['petersburg', 0.9005717391437433]
['mocked', 0.9005331364578744]
['frequent', 0.9005031712246047]
['deceived', 0.9004266851883207]
['time', 0.9003872181585061]
['depict', 0.9001153211746451]
