['whimpers', 0.9994876395436256]
['china', 0.9888726470237492]
['fellowship', 0.9888695254673268]
['inasmuch', 0.9887882622104126]
['attributed', 0.9887882622104126]
['curve', 0.9887882622104126]
['enjoyed', 0.9887882622104126]
['coal', 0.9886352540713171]
['scales', 0.9886352540713171]
['contested', 0.9884564003133665]
['barracks', 0.9884564003133665]
['repugnant', 0.9884564003133665]
['sword', 0.9884564003133665]
['incongruities', 0.9883159479770549]
['vampire', 0.9877614604602036]
['tombstones', 0.9875003513110001]
['debilitating', 0.9875003513110001]
['windowsill', 0.9875003513110001]
['exposure', 0.9875003513110001]
['plow', 0.9875003513110001]
['consort', 0.9875003513110001]
['entire', 0.9875003513110001]
['unctious', 0.9875003513110001]
['inertia', 0.9875003513110001]
['extraction', 0.9875003513110001]
['wait', 0.9875003513110001]
['dilated', 0.9875003513110001]
['island_', 0.9875003513110001]
['refrained', 0.9875003513110001]
['uncommon', 0.9875003513110001]
['camphor', 0.9875003513110001]
['layer', 0.9875003513110001]
['sniffles', 0.9875003513110001]
['eis', 0.9875003513110001]
['distributed', 0.9875003513110001]
['excavation', 0.9875003513110001]
['intemperate', 0.9875003513110001]
['inlaying', 0.9875003513110001]
['whir', 0.9875003513110001]
['angrily', 0.9875003513110001]
['surveyed', 0.9875003513110001]
['princesse', 0.9875003513110001]
['nomination', 0.9875003513110001]
['refilled', 0.9874720223377204]
['nosin', 0.9874720223377204]
['scolded', 0.9873119868538126]
['confronted', 0.9873119868538126]
['topsail', 0.987002916406921]
['pottery', 0.986883219461945]
['_never_', 0.9868461899826791]
['collegiate', 0.9865844066787202]
['narratives', 0.9865823800144584]
['cathedral', 0.9865314606247312]
['publica', 0.9865096268943441]
['starboard', 0.9865096268943441]
['bootless', 0.9865096268943441]
['barrow', 0.9865096268943441]
['nourishing', 0.9865096268943441]
['achievements', 0.9865096268943441]
['trendon', 0.9865096268943441]
['electronically', 0.9865096268943441]
['peering', 0.9865096268943441]
['collective', 0.9865096268943441]
['vouches', 0.9865096268943441]
['stronger', 0.9865096268943441]
['concussion', 0.9865096268943441]
['jubilees', 0.9865096268943441]
['cecilia', 0.9865096268943441]
['jerusalem', 0.9864674102086917]
['spirited', 0.9858855686323033]
['resorts', 0.9857157105901083]
['fabius', 0.9857157105901083]
['restoration', 0.9857157105901083]
['affecting', 0.9857157105901083]
['gone', 0.9857157105901083]
['hopelessly', 0.9857157105901083]
['county', 0.9857157105901083]
['unavowed', 0.9857157105901083]
['ferociously', 0.9857157105901083]
['adduced', 0.9857157105901083]
['selling', 0.9857157105901083]
['unlit', 0.9857157105901083]
['phillips', 0.9857157105901083]
['reverses', 0.9857157105901083]
['preoccupations', 0.9857157105901083]
['undergoing', 0.9857157105901083]
['paralysed', 0.9857157105901083]
['uttermost', 0.9857157105901083]
['prodigy', 0.9857157105901083]
['reiterating', 0.9856764940254352]
['undaunted', 0.9856764940254352]
['torchlight', 0.9854801248651065]
['folly', 0.9854801248651065]
['make', 0.9854801248651065]
['foresaw', 0.9854801248651065]
['glonglim', 0.9854801248651065]
['hundreds', 0.9852352455483808]
['unsuspected', 0.9852341820511848]
['pugnaciously', 0.9852341820511848]
['marbled', 0.9852341820511848]
['gaping', 0.9852341820511848]
['signature', 0.9852341820511848]
['fantastic', 0.9851924881158336]
['published', 0.9851924881158336]
['flaw', 0.9851351540736065]
['prow', 0.9851351540736065]
['scouted', 0.9849614755960534]
['chortasoo', 0.9849220803709896]
['averse', 0.9848156813746163]
['systematically', 0.9848156813746163]
['pausing', 0.984743874083893]
['natural', 0.9846797060462623]
['piemont', 0.9845496285320794]
['buttresses', 0.984495742409485]
['inmates', 0.9842757163372661]
['pack', 0.9842512298049452]
['perceive', 0.9841158272708707]
['tribune', 0.983866416146123]
['dip', 0.9836905759842592]
['tsze', 0.9836844211689271]
['selected', 0.9833683266369747]
['during', 0.9832200668647191]
['bluntly', 0.9831604137008115]
['denominations', 0.9831132541108423]
['easels', 0.9826229802815253]
['taxing', 0.982428069583662]
['1355', 0.982428069583662]
['tribes', 0.9824168939284282]
['philosopher', 0.9824168939284282]
['thoughtlessly', 0.9824168939284282]
['purchasing', 0.9824168939284282]
['bluffs', 0.9824168939284282]
['proposition', 0.9823965138805948]
['vases', 0.9822970500754273]
['composition', 0.9821044583195206]
['lists', 0.9820795694174327]
['cranny', 0.9820795694174327]
['engagingly', 0.9819582911487462]
['zealand', 0.9819582911487462]
['sprung', 0.9819582911487462]
['tous', 0.9819451356313775]
['sentiment', 0.9818818062017638]
['heed', 0.9818640645324458]
['maigs', 0.9817351347496928]
['catullus', 0.981716038072705]
['stretched', 0.981716038072705]
['stalk', 0.981716038072705]
['courtney', 0.9814906911586112]
['dames', 0.9814906911586112]
['constrictor', 0.9814787205849628]
['headstones', 0.9814787205849628]
['entrusting', 0.981344108365273]
['confess', 0.9813276124318913]
['magical', 0.9812921268072377]
['flattered', 0.9811931136121147]
['determine', 0.9811931136121147]
['jeopardize', 0.9811588065471861]
['principally', 0.9810882331684514]
['impure', 0.9810882331684514]
['despotisms', 0.9810882331684514]
['unthought', 0.9810882331684514]
['carnal', 0.9810882331684514]
['creaking', 0.9805970099428609]
['amesius', 0.9805970099428609]
['red', 0.9805970099428609]
['bourns', 0.9805970099428609]
['diviner', 0.9805970099428609]
['report', 0.9805970099428609]
['leonzio', 0.9805970099428609]
['ann', 0.9805767859879834]
['ministres', 0.9804223131268626]
['campstools', 0.98033756573378]
['txt', 0.9802350334171639]
['spits', 0.9801112418102947]
['scorpion', 0.980065931794303]
['sovereigns', 0.9797957156979433]
['polyglot', 0.9797558663794445]
['wiped', 0.9797558663794445]
['outwardly', 0.9797558663794445]
['habitues', 0.9797558663794445]
['impersonal', 0.9790931073973274]
['relatives', 0.978897504939668]
['cesspool', 0.978897504939668]
['usance', 0.9788277323854331]
['glutted', 0.978761476783695]
['embodied', 0.978761476783695]
['milder', 0.9787101613779657]
['predominate', 0.9785885720576845]
['guile', 0.9783238275199517]
['relentlessness', 0.9783238275199517]
['gulls', 0.9783238275199517]
['near', 0.9783238275199517]
['holders', 0.9783238275199517]
['breaths', 0.9783238275199517]
['lot', 0.9783238275199517]
['137', 0.9783238275199517]
['scalp', 0.9783221144997318]
['motion', 0.9782350752646518]
['cassius', 0.9782237837269044]
['cannibal', 0.9782142154601103]
['sermons', 0.9782142154601103]
['cookery', 0.9782142154601103]
['avidity', 0.9781894394879673]
['button', 0.9780791657766001]
['_must_', 0.9780791657766001]
['located', 0.9779388627309419]
['apothecary', 0.9778268456264487]
['clubs', 0.9777661912400968]
['_xxii_', 0.9774717754408603]
['phases', 0.9774476207957964]
['fight', 0.9774331565020554]
['poaching', 0.9774331565020554]
['verses', 0.9774331565020554]
['goat', 0.9774331565020554]
['xanadu', 0.9774331565020554]
['puissant', 0.9774331565020554]
['etat', 0.9774331565020554]
['cousin', 0.9772433774412252]
['salutary', 0.9772167344242718]
['sympathised', 0.976998841433149]
['hunters', 0.9769289891967531]
['hosts', 0.9768915788616611]
['sandalphon', 0.9767433825502457]
['sends', 0.976633101707477]
['risked', 0.976633101707477]
['champagne', 0.9766184115839383]
['impels', 0.9763700351170052]
['brig', 0.9763700351170052]
['seek', 0.9763700351170052]
['animates', 0.9763700351170052]
['caricatures', 0.9762921878330478]
['lovely', 0.9762455517656018]
['scowl', 0.9761929064936115]
['asked', 0.9761929064936115]
['defer', 0.9758603352179376]
['lifetime', 0.9755104294853792]
['tables', 0.9752933573732955]
['hinges', 0.9752615303432727]
['battering', 0.9750181310949296]
['scaly', 0.9749566593797937]
['lash', 0.9749118691156379]
['rhythmic', 0.9749118691156379]
['poor', 0.9749118691156379]
['impostures', 0.9749118691156379]
['cave', 0.9749118691156379]
['evangelization', 0.9749118691156379]
['sweating', 0.9749118691156379]
['treasure', 0.9749118691156379]
['brigatine', 0.9749118691156379]
['porters', 0.9749118691156379]
['quiet', 0.9749118691156379]
['irrespective', 0.9749118691156379]
['moot', 0.9749118691156379]
['amply', 0.9749118691156379]
['crowds', 0.9749118691156379]
['typhoid', 0.9749118691156379]
['lacks', 0.9749118691156379]
['modeled', 0.9749118691156379]
['metternich', 0.9749118691156379]
['pains', 0.9749118691156379]
['province', 0.9749118691156379]
['oilskin', 0.9749118691156379]
['favourable', 0.9749118691156379]
['mewed', 0.9749118691156379]
['vagabond', 0.9749118691156379]
['impecunious', 0.9749118691156379]
['painted', 0.9749118691156379]
['constitutes', 0.9749118691156379]
['scar', 0.9749118691156379]
['babes', 0.9749118691156379]
['muttering', 0.9749118691156379]
['mauvaise', 0.9749118691156379]
['inaccurate', 0.9749118691156379]
['hoofs', 0.9749118691156379]
['mastodon', 0.9749118691156379]
['mea_', 0.9749118691156379]
['tale', 0.9749118691156379]
['writing', 0.9749118691156379]
['unlikely', 0.9749118691156379]
['flamingo', 0.9749118691156379]
['_hypotheses_', 0.9749118691156379]
['satellite', 0.9749118691156379]
['gives', 0.9749118691156379]
['cloth', 0.9749118691156379]
['95', 0.9749118691156379]
['ownership', 0.9749118691156379]
['knew', 0.9749118691156379]
['borrow', 0.9749118691156379]
['wade', 0.9749118691156379]
['gettin', 0.9749118691156379]
['consideration', 0.9749118691156379]
['swell', 0.9749118691156379]
['probable', 0.9749118691156379]
['parade', 0.9749118691156379]
['laurel', 0.9749118691156379]
['retire', 0.9749118691156379]
['okalbians', 0.9749118691156379]
['transforming', 0.9749118691156379]
['2004', 0.9749118691156379]
['ignatieff', 0.9749118691156379]
['pennyroyal', 0.9749118691156379]
['respects', 0.9749118691156379]
['travelled', 0.9747538954586072]
['burs', 0.9747060680594134]
['achievement', 0.9747060680594134]
['sake', 0.9745605462876034]
['founded', 0.9745605462876034]
['pervading', 0.9745605462876034]
['prosit', 0.9745605462876034]
['museums', 0.9745605462876034]
['spaced', 0.9745605462876034]
['nadir', 0.9745605462876034]
['clinched', 0.9745605462876034]
['segur', 0.9745605462876034]
['noticeable', 0.9745605462876034]
['coleridge', 0.9745605462876034]
['avail', 0.9745605462876034]
['soothe', 0.9745605462876034]
['destroys', 0.9745605462876034]
['interpreting', 0.9745605462876034]
['glares', 0.9745605462876034]
['dews', 0.9745605462876034]
['bequeath', 0.9745605462876034]
['injure', 0.9745605462876034]
['_star_', 0.9745605462876034]
['sluggish', 0.9745605462876034]
['chamber', 0.9745605462876034]
['fishes', 0.9745605462876034]
['varying', 0.9745605462876034]
['hardly', 0.9745605462876034]
['nonplussed', 0.9745605462876034]
['pushing', 0.9745605462876034]
['oceans', 0.9745605462876034]
['crowbar', 0.9745605462876034]
['brothers', 0.9745605462876034]
['reverberating', 0.9745605462876034]
['10009', 0.9745605462876034]
['faults', 0.9745605462876034]
['loire', 0.9745605462876034]
['capricious', 0.9745605462876034]
['deem', 0.9745605462876034]
['remarks', 0.9745605462876034]
['excusing', 0.9745605462876034]
['acids', 0.9745605462876034]
['joyously', 0.9745605462876034]
['matron', 0.9745605462876034]
['whirring', 0.9745605462876034]
['better', 0.9745605462876034]
['entrain', 0.9745605462876034]
['useful', 0.9745605462876034]
['francais', 0.9745605462876034]
['favourably', 0.9745605462876034]
['position', 0.9745605462876034]
['cuttin', 0.9745605462876034]
['imbedded', 0.9745605462876034]
['accent', 0.9745605462876034]
['gifted', 0.9745605462876034]
['longer', 0.9745605462876034]
['booblimak', 0.9745360408202399]
['consented', 0.9745360408202399]
['verification', 0.9743193667728515]
['tongloo', 0.9742676059728335]
['tamen', 0.973955376256501]
['altars', 0.9735794479125222]
['christina', 0.9733006616963129]
['awaking', 0.9733004567505597]
['theodoric', 0.9732391634822014]
['spielsberg', 0.9729277332511099]
['worlds', 0.9723063145083108]
['battues', 0.9722011201010352]
['records', 0.9721855510854208]
['digestion', 0.9719520774475916]
['maker', 0.9719164238438793]
['nile', 0.9719164238438793]
['morosofs', 0.9719164238438793]
['thoroughly', 0.9719164238438793]
['whereunto', 0.9719164238438793]
['vaguely', 0.9719164238438793]
['doorposts', 0.9719164238438793]
['divulge', 0.9719164238438793]
['arroyos', 0.9719164238438793]
['sacrilege', 0.9719164238438793]
['horizontally', 0.9716990915230662]
['civilised', 0.9714510983574243]
['marries', 0.9713338665929431]
['scant', 0.9712699396232211]
['fourth', 0.9712699396232211]
['andrea', 0.9712699396232211]
['burr', 0.9712699396232211]
['heal', 0.9712699396232211]
['admonished', 0.9712699396232211]
['cab', 0.9712699396232211]
['simpers', 0.9712699396232211]
['exemplars', 0.9712699396232211]
['different', 0.9712699396232211]
['fluctuate', 0.9712699396232211]
['aye', 0.9712137714819565]
['literature', 0.9712137714819565]
['familiars', 0.9709274337753694]
['coasts', 0.9708976124848581]
['sustenance', 0.9708731147132315]
['surrendering', 0.9708431589495002]
['mysterious', 0.970408585771666]
['loom', 0.970408585771666]
['charred', 0.970408585771666]
['embracing', 0.970408585771666]
['signatures', 0.9703473207628275]
['pause', 0.9703083120119141]
['outcry', 0.970306962553071]
['brilliant', 0.9702822902413821]
['refusing', 0.9702700733306499]
['preternatural', 0.9702608086427504]
['seafaring', 0.9701998888432757]
['rebukes', 0.9701576145430623]
['goths', 0.9699937546181084]
['inquiries', 0.9698367424412121]
['reconciled', 0.969619069451272]
['devant', 0.969619069451272]
['amnii', 0.9695374280247517]
['remedial', 0.969502401859227]
['latch', 0.9694469017198956]
['1828', 0.9694327281858586]
['departed', 0.9693917863158178]
['advisable', 0.9687488827784188]
['creator', 0.9685446253360748]
['pulleth', 0.9685376176540232]
['studiously', 0.9684459386847086]
['manufactories', 0.9678961698463652]
['watering', 0.9678961698463652]
['gauze', 0.9678810922372407]
['melted', 0.9678789391763144]
['distinctly', 0.9678645564456784]
['sacrificial', 0.9675309943870762]
['transform', 0.9674390491321947]
['expectancy', 0.9674390491321947]
['embalmed', 0.9674390491321947]
['reconnoiter', 0.9674390491321947]
['oracular', 0.9673912307093695]
['palanquin', 0.9673414376740267]
['faraway', 0.9671428464822842]
['trip', 0.9671428464822842]
['young', 0.9670925201579409]
['defiant', 0.9668781724811812]
['ply', 0.9666976534487144]
['locks', 0.9666439051862509]
['1914', 0.9666439051862509]
['committed', 0.9666293596752324]
['insubordination', 0.9662248502681017]
['mein', 0.9662248502681017]
['competent', 0.9661961585290412]
['halanzier', 0.9658543047508723]
['dusk', 0.9657895214270306]
['goulmins', 0.9657895214270306]
['sleep', 0.9655323926242978]
['sophomore', 0.965371791085224]
['distrain', 0.9650847234207154]
['overthrow', 0.9650847234207154]
['sometimes', 0.9650847234207154]
['_photograph', 0.9650847234207154]
['machines', 0.9650847234207154]
['reasonably', 0.9650847234207154]
['handful', 0.9650847234207154]
['convert', 0.9650847234207154]
['prefecture', 0.9650847234207154]
['satiated', 0.9650847234207154]
['humiliation', 0.9650847234207154]
['smoke', 0.9650847234207154]
['du', 0.9650847234207154]
['ohio', 0.9650847234207154]
['solicit', 0.9650847234207154]
['morrow', 0.9650847234207154]
['brightenings', 0.9650847234207154]
['soiled', 0.9650847234207154]
['prong', 0.9650847234207154]
['une', 0.9650847234207154]
['arrows', 0.9650847234207154]
['pioneer', 0.9650847234207154]
['once', 0.9650847234207154]
['siam', 0.9650847234207154]
['addicted', 0.9650847234207154]
['cushions', 0.9650847234207154]
['prohibits', 0.9650847234207154]
['write', 0.9650847234207154]
['commenced', 0.9650847234207154]
['tread', 0.9650847234207154]
['robust', 0.9650847234207154]
['overlaid', 0.9650847234207154]
['french', 0.9650847234207154]
['ports', 0.9650847234207154]
['directness', 0.9650847234207154]
['vagabondising', 0.9650847234207154]
['rid', 0.9650847234207154]
['expression', 0.9650703385249408]
['classical', 0.9650425192600135]
['complacency', 0.9650131603571209]
['era', 0.9649455186726641]
['straight', 0.9649455186726641]
['coiffe', 0.9649367028144229]
['perforated', 0.9648716312038006]
['coupe', 0.9647219570540044]
['facilities', 0.964651138013344]
['carelessly', 0.9646408842689226]
['bricks', 0.9646263829157198]
['bottles', 0.9643639065634351]
['wannsee', 0.9642890160195883]
['dimension', 0.9642443234446596]
['steamed', 0.9642443234446596]
['permanence', 0.9642443234446596]
['charmer', 0.9642443234446596]
['questioned', 0.9642443234446596]
['porter', 0.9642443234446596]
['expletives', 0.9642443234446596]
['mindedly', 0.9642443234446596]
['date', 0.9642443234446596]
['dimensions', 0.9642443234446596]
['instituted', 0.9642443234446596]
['sails', 0.9642443234446596]
['matrons', 0.9642443234446596]
['zones', 0.9642443234446596]
['penned', 0.9642443234446596]
['bubbled', 0.9642443234446596]
['sloth', 0.9642443234446596]
['reliance', 0.9642443234446596]
['terrifically', 0.9642443234446596]
['observations', 0.9642443234446596]
['drift', 0.9642443234446596]
['cocks', 0.9642443234446596]
['collapsed', 0.9642443234446596]
['compensated', 0.9642443234446596]
['excellence', 0.9642443234446596]
['credulous', 0.9642443234446596]
['indiscreet', 0.9642443234446596]
['slumbered', 0.9642443234446596]
['influenced', 0.9642443234446596]
['spires', 0.9642443234446596]
['animals', 0.9642443234446596]
['eddies', 0.9642443234446596]
['_atterley', 0.9642443234446596]
['lateral', 0.9642443234446596]
['lights', 0.9642443234446596]
['filename', 0.9642443234446596]
['stinted', 0.9642443234446596]
['agonies', 0.9642443234446596]
['otherwise', 0.9642443234446596]
['landmarks', 0.9642443234446596]
['coeur', 0.9642443234446596]
['masterful', 0.9642443234446596]
['ciel', 0.9642289791951411]
['sinking', 0.9642289791951411]
['exercised', 0.9640551065328417]
['departs', 0.9640363754315]
['conventions', 0.9638016235803385]
['dreading', 0.9638016235803385]
['consolidated', 0.9638016235803385]
['download', 0.9638016235803385]
['sanctity', 0.9638016235803385]
['mythical', 0.9638016235803385]
['thick', 0.9638016235803385]
['ambitions', 0.9638016235803385]
['wares', 0.9638016235803385]
['versions', 0.9638016235803385]
['condescend', 0.9638016235803385]
['sociably', 0.9637435690144006]
['flibbertigibbet', 0.9637435690144006]
['analyse', 0.9637435690144006]
['teases', 0.9637435690144006]
['bearing', 0.9637435690144006]
['craftsmanship', 0.9637435690144006]
['sought', 0.9637435690144006]
['stranded', 0.9637435690144006]
['quaintness', 0.9637435690144006]
['devouring', 0.9637435690144006]
['sins', 0.9637435690144006]
['curves', 0.9637435690144006]
['fail', 0.9637317059672302]
['concessions', 0.9636452136921074]
['pastures', 0.9636186164767515]
['unfrequent', 0.9635818585782934]
['shotguns', 0.9634191091136517]
['34', 0.9634191091136517]
['xxix', 0.9633978581286624]
['speculative', 0.9633185985160818]
['youth', 0.9633185985160818]
['brow', 0.9632482732253091]
['heresy', 0.9631400012271117]
['scrap', 0.9630297703918915]
['extremis_', 0.9627771222379015]
['giddily', 0.962766784999698]
['atmospheric', 0.9626926974933308]
['sechs', 0.9626434693776538]
['explicit', 0.9624066906702335]
['live', 0.9623696731397028]
['hide', 0.96215347729406]
['roosting', 0.9621100998091348]
['drunkenly', 0.9620505860361771]
['performers', 0.9617791364334681]
['sprang', 0.9613887698111405]
['nations', 0.9613144264772233]
['revolutionary', 0.9611151806840668]
['spends', 0.9610596927483401]
['luxurious', 0.9609850413669694]
['readiest', 0.9609598140356187]
['patois', 0.960878137469918]
['puritanism_', 0.960878137469918]
['sportive', 0.960878137469918]
['primitive', 0.960878137469918]
['hammering', 0.960878137469918]
['believ', 0.960878137469918]
['ink', 0.960878137469918]
['furtive', 0.960878137469918]
['dude', 0.960878137469918]
['35', 0.960878137469918]
['summoned', 0.960878137469918]
['loving', 0.960878137469918]
['snubbing', 0.960878137469918]
['cuckoos', 0.960878137469918]
['hypocrites', 0.960878137469918]
['dans', 0.960878137469918]
['_nay', 0.9607476498667662]
['meted', 0.960682320609427]
['unintended', 0.9603105086921508]
['hazelike', 0.9603020443768087]
['metz', 0.9602475561361752]
['increase', 0.959963326210992]
['logic', 0.959963326210992]
['saranacs', 0.959963326210992]
['sowing', 0.9598139439051614]
['distasteful', 0.9594818534500029]
['bubble', 0.9594241622489398]
['varmint', 0.9594241622489398]
['introspective', 0.9594241622489398]
['undergrowth', 0.9594241622489398]
['ominous', 0.9594241622489398]
['earthworm', 0.9594241622489398]
['customary', 0.9594241622489398]
['varenne', 0.9594241622489398]
['wool', 0.9594241622489398]
['feverishly', 0.9594241622489398]
['crickets', 0.9592309402363619]
['undertake', 0.9591682610995382]
['coxswain', 0.9590283943892234]
['freedmen', 0.9590259397763008]
['oncommon', 0.9588827155759851]
['_our', 0.9588763827539281]
['won', 0.9587661094588092]
['jump', 0.958618740723635]
['cant', 0.958618740723635]
['tweaks', 0.9585554097148762]
['cruise', 0.9580222564629559]
['arithmetical', 0.9578766309376513]
['_earth_', 0.9578540308402165]
['fleecy', 0.9578382771012212]
['wakefield', 0.9578339399080659]
['distributing', 0.9576589689503341]
['dollars', 0.9576589689503341]
['autumn', 0.9576589689503341]
['warlike', 0.9576589689503341]
['starting', 0.9576589689503341]
['rebound', 0.9576589689503341]
['indication', 0.9576589689503341]
['fade', 0.9576589689503341]
['myth', 0.9576589689503341]
['dizziness', 0.9576589689503341]
['repented', 0.9576589689503341]
['silesia', 0.9576589689503341]
['girlish', 0.9576589689503341]
['genuine', 0.9576589689503341]
['cooeperation', 0.9575031936842855]
['investigating', 0.9575031936842855]
['naturedly', 0.9575031936842855]
['thirsts', 0.9575031936842855]
['envying', 0.9575031936842855]
['censure', 0.9574154052073172]
['discerned', 0.9571201811227229]
['_really_', 0.9568165153466468]
['stepping', 0.9567496598250239]
['reached', 0.9565187967117751]
['deathly', 0.9563893531269174]
['moreover', 0.9562864076087294]
['testily', 0.9562864076087294]
['interchange', 0.9562864076087294]
['shiners', 0.9562864076087294]
['crests', 0.9561901627560756]
['fellows', 0.956084553029628]
['qualified', 0.9555991348861023]
['1323', 0.9555268215738406]
['cordial', 0.9554194212745152]
['va', 0.9553341411863214]
['valor', 0.9553180479667164]
['egerias', 0.9552712133085663]
['rendra', 0.9550787257055399]
['voient', 0.9548949819252958]
['ripples', 0.9548949819252958]
['hoping', 0.9548949819252958]
['continuously', 0.9548949819252958]
['revise', 0.9548949819252958]
['chapel', 0.9548949819252958]
['credibility', 0.9548818972285149]
['quare', 0.9545788646964058]
['souci', 0.9545788646964058]
['extend', 0.9545788646964058]
['lookin', 0.9545788646964058]
['eradicate', 0.9545788646964058]
['sextus', 0.9545788646964058]
['conditioned', 0.9545788646964058]
['eighteen', 0.9545788646964058]
['boiled', 0.9545788646964058]
['holystoned', 0.9545788646964058]
['outlived', 0.9545788646964058]
['haberdashery', 0.9545788646964058]
['haf', 0.9545788646964058]
['hat', 0.9545788646964058]
['topping', 0.9545788646964058]
['locksmithing', 0.9545788646964058]
['mollard', 0.9545788646964058]
['addington', 0.9545788646964058]
['complications', 0.9545788646964058]
['role', 0.9545788646964058]
['circumstances', 0.9545788646964058]
['embark', 0.9545788646964058]
['deranging', 0.9545788646964058]
['cooks', 0.9545788646964058]
['meadow', 0.9545788646964058]
['dusty', 0.9545788646964058]
['pavilions', 0.9545788646964058]
['admired', 0.9545788646964058]
['temperate', 0.9545788646964058]
['quarter', 0.9545788646964058]
['bursting', 0.9545788646964058]
['disasters', 0.9545788646964058]
['herds', 0.9545788646964058]
['unburied', 0.9545788646964058]
['illness', 0.9545788646964058]
['erudition', 0.9545788646964058]
