['damn', 0.9964948614235651]
['desires', 0.9562966659998715]
['jeopardize', 0.9562929349638222]
['superadded', 0.9561963983428885]
['justify', 0.9561150096669765]
['protect', 0.9561150096669765]
['sor', 0.9561150096669765]
['purchases', 0.9560807189335286]
['secretary', 0.9560017403474149]
['interrogation', 0.955764688093732]
['evidences', 0.9556447189871088]
['surround', 0.9555608931623238]
['pleurisy', 0.9555000615264628]
['yawned', 0.9554842385005596]
['ransom', 0.9554648286167634]
['jewelled', 0.9554648286167634]
['contemplate', 0.9554648286167634]
['angle', 0.9551328753245191]
['difficult', 0.9550984986206852]
['choke', 0.9549038302719643]
['_me_', 0.9547895828088115]
['hundredth', 0.9547895828088115]
['bowels', 0.9543945770682396]
['invented', 0.9543841577591116]
['unapproving', 0.954191883226349]
['slide', 0.9540580159675353]
['emanations', 0.9540580159675353]
['heed', 0.9536245328510301]
['caricatures', 0.9536143055090517]
['muddy', 0.9533346190529091]
['infringing', 0.9532747123864149]
['catullus', 0.9532460138475211]
['stretched', 0.9532460138475211]
['stalk', 0.9532460138475211]
['stepping', 0.9531160678639088]
['maintenant', 0.9530788930354772]
['plum', 0.9529971442371741]
['teas', 0.9528736730845572]
['amaze', 0.9524598290887709]
['alkalies', 0.9524366481007437]
['dimly', 0.9524277284951934]
['swineherd', 0.9523985062523075]
['respected', 0.9523985062523075]
['superfluous', 0.9523985062523075]
['claret', 0.9518434786863179]
['spacious', 0.9517239619820534]
['broods', 0.9514885290304247]
['596', 0.9513730925584276]
['drunkenly', 0.9511475591463153]
['bulky', 0.9508422305351245]
['scrofula', 0.950687792833125]
['breeding', 0.950687792833125]
['disengaged', 0.950687792833125]
['ministrants', 0.950687792833125]
['berth', 0.950687792833125]
['seizure', 0.95050702306367]
['doubled', 0.9504002243773273]
['retired', 0.9504002243773273]
['places', 0.9503514227320221]
['recognizes', 0.9503514227320221]
['spectacle', 0.9503514227320221]
['booblimak', 0.9501783031380335]
['consented', 0.9501783031380335]
['awash', 0.9500929778631609]
['conducive', 0.9500789965427159]
['_really_', 0.9500117644806509]
['sooner', 0.9497974321146957]
['campstools', 0.949721117170206]
['topsail', 0.9496646331389127]
['observance', 0.9493221665993468]
['curtseys', 0.9488921347527386]
['void', 0.9488773503368285]
['reducible', 0.9488773503368285]
['descend', 0.9488773503368285]
['slouched', 0.9488773503368285]
['seemingly', 0.9488773503368285]
['cassia', 0.9486625747411905]
['outshowering', 0.9486625747411905]
['descriptive', 0.9486625747411905]
['shade', 0.9486625747411905]
['voulais', 0.9485753126866296]
['shapes', 0.948518425345273]
['energies', 0.9484977771450398]
['applause', 0.9484351964839184]
['negotiations', 0.9481115848381956]
['rabats', 0.9481017696625352]
['totally', 0.9480177676554691]
['punish', 0.9475758024418259]
['flora', 0.9475758024418259]
['theorem', 0.9475758024418259]
['fiords', 0.9474899627471837]
['reigning', 0.9474899627471837]
['crests', 0.9473493212522274]
['kindness', 0.9472136640257948]
['liable', 0.9469582484008]
['telephone', 0.9469119852888493]
['desperation', 0.946866087811409]
['apprehension', 0.9467234252619595]
['nailmaker', 0.9467234252619595]
['inlets', 0.9467234252619595]
['up', 0.9467171801182545]
['wakefield', 0.9463543067199692]
['aforementioned', 0.9458605834426494]
['exhortation', 0.9458245196175251]
['boulevard', 0.9457482180658026]
['liveliness', 0.9454590954874023]
['chiuso', 0.9454590954874023]
['untiring', 0.9454590954874023]
['entitled', 0.9454590954874023]
['radically', 0.9454590954874023]
['tarred', 0.9454590954874023]
['services', 0.9453340262238444]
['collect', 0.9452918897223417]
['selections', 0.9451563667328442]
['unfrequent', 0.9450332639563541]
['governing', 0.9449582757635766]
['chancery', 0.9449582757635766]
['fogyism', 0.9448627861597446]
['pedestrians', 0.9448576502389118]
['assumption', 0.9448576502389118]
['conspicuously', 0.9448576502389118]
['shanghaied', 0.944856523193312]
['wrecked', 0.9448090107775826]
['long', 0.9448014166875335]
['ascending', 0.9447129115923594]
['proposition', 0.9446826045482515]
['wannsee', 0.9445446721640721]
['reiterating', 0.9445276378501855]
['undaunted', 0.9445276378501855]
['creek', 0.9442343869164436]
['archbishops', 0.9442010671541836]
['relented', 0.9441799088020585]
['palanquin', 0.9440722783685086]
['unscathed', 0.9440398815824445]
['catalogues', 0.9439459042910442]
['translucent', 0.9438402720723312]
['concealed', 0.9437659662938379]
['spielsberg', 0.9435570212342632]
['rockiness', 0.9434620251702895]
['snout', 0.9434619962126048]
['artifices', 0.9434521869141672]
['freeing', 0.9434521869141672]
['breathed', 0.9434521869141672]
['pessimistic', 0.9434521869141672]
['situated', 0.9434521869141672]
['bald', 0.9434521869141672]
['headgear', 0.9434521869141672]
['perforation', 0.9434521869141672]
['pinks', 0.9434521869141672]
['sceptre', 0.9434521869141672]
['saturninus', 0.9434521869141672]
['souffrante', 0.9434521869141672]
['valparaiso', 0.9434521869141672]
['chang', 0.9434521869141672]
['odd', 0.9434521869141672]
['overrun', 0.9434521869141672]
['catechism', 0.9434521869141672]
['strained', 0.9434521869141672]
['piles', 0.9434521869141672]
['streak', 0.9434521869141672]
['lighten', 0.9434521869141672]
['ringing', 0.9434320997200862]
['sovereigns', 0.943395244227408]
['trace', 0.943281860219036]
['alms', 0.9432476993387393]
['sported', 0.9430338134442291]
['mania', 0.9428172610569685]
['quiver', 0.9427344228423457]
['locating', 0.9426515185835029]
['maigs', 0.9426042792279438]
['pagan', 0.9425710363186023]
['contradictions', 0.9424772934892091]
['flaw', 0.9424311255921298]
['prow', 0.9424311255921298]
['_xxii_', 0.942392994293782]
['severity', 0.9423117001493424]
['involve', 0.9420421794172794]
['notion', 0.9420421794172794]
['pyramids', 0.9414522758950021]
['giovanni', 0.9412141871725435]
['phases', 0.9410806993036336]
['eyeless', 0.9407948103478828]
['traversed', 0.9407848564905278]
['theatrical', 0.9407848564905278]
['savages', 0.9407848564905278]
['publishing', 0.9407848564905278]
['pig', 0.9407848564905278]
['bolted', 0.9406235380828623]
['livery', 0.9405830461870254]
['lampiste', 0.9405706408074627]
['lukewarm', 0.9404313301762489]
['soreness', 0.9404129542830829]
['stripped', 0.9403135827978865]
['shoes', 0.9402686532926051]
['raise', 0.9402058872127688]
['traffic', 0.9401992338505095]
['petition_', 0.9401383679598411]
['ferment', 0.9397016269908807]
['lawn', 0.9397013048976743]
['curtly', 0.9395154546438156]
['drouth', 0.9391694988517244]
['luncheon', 0.9391179927338437]
['fireballs', 0.9386783337961375]
['disillusioning', 0.9386783337961375]
['governess', 0.9386783337961375]
['woe', 0.9386783337961375]
['torment', 0.9386783337961375]
['feared', 0.9386783337961375]
['adroitly', 0.9386783337961375]
['blowing', 0.9386783337961375]
['scuttled', 0.9386783337961375]
['whim', 0.9386783337961375]
['wraith', 0.9386783337961375]
['analyzed', 0.9386783337961375]
['monopoly', 0.9386166963444713]
['readable', 0.9384565777760328]
['subdirectory', 0.9384565777760328]
['pastures', 0.9384404928738382]
['allumettes', 0.9383460488760254]
['harmful', 0.9382829709937679]
['suspenders', 0.9380810276270147]
['flourished', 0.9377377729447703]
['destinies', 0.9377357009007159]
['gosh', 0.9376905833826015]
['wing', 0.9376459776489201]
['detection', 0.937597556840064]
['blackest', 0.937597556840064]
['guest', 0.9375858856253206]
['regular', 0.9375858856253206]
['vindar', 0.9372323176742998]
['sockets', 0.9372323176742998]
['grandnephew', 0.9372323176742998]
['comtesse', 0.937008662393527]
['attained', 0.9369769989071707]
['competitors', 0.9365195750241172]
['carvalho', 0.9365016413413476]
['kills', 0.9363291793694277]
['platoon', 0.9362326574391288]
['incapacitating', 0.9362141920889195]
['command', 0.9361600954988729]
['piety', 0.9361374543001251]
['cordial', 0.9359948545203475]
['dried', 0.9359231970674453]
['felicitations', 0.9359128181321128]
['sign', 0.9355432716645053]
['sympathize', 0.9352881624204314]
['decision', 0.9350321089974526]
['closed', 0.9349330817335914]
['sma', 0.9349000713260778]
['esteemed', 0.9348927218725275]
['chamberlains', 0.9348297610759191]
['morosofia', 0.934775121058733]
['hugest', 0.9347327644451507]
['jotted', 0.9343462404802323]
['british', 0.9343323968557217]
['dispelled', 0.9342847725697979]
['greatly', 0.9338069716862]
['ruts', 0.9338067083200171]
['distraction', 0.9337465115815073]
['yards', 0.933588336729348]
['plunging', 0.9334864683366598]
['transferred', 0.9331338430232988]
['administrations', 0.9328115424285669]
['feigned', 0.9327019821023376]
['easels', 0.9327019283812609]
['shocks', 0.9326558703138582]
['severs', 0.9326004977708192]
['unredeemed', 0.9323773386348172]
['problem', 0.9323580750379942]
['pheasants', 0.9323580750379942]
['sentences', 0.9323580750379942]
['propping', 0.9323580750379942]
['incapacitated', 0.9322144362144832]
['relinquish', 0.932174749063859]
['dominating', 0.932174749063859]
['eminently', 0.9320163333183691]
['wilderness', 0.9319216942627702]
['cooerdinating', 0.9317578876883513]
['class', 0.9317560724653087]
['trapper', 0.9315344538321317]
['jauntily', 0.9315344538321317]
['1901', 0.9314766819471044]
['sangamo', 0.9313340279525938]
['downloading', 0.9312775370275899]
['equanimity', 0.9312775370275899]
['appalachians', 0.9312775370275899]
['solved', 0.9312775370275899]
['horrid', 0.9312775370275899]
['waterfall', 0.9312775370275899]
['distinct', 0.9312775370275899]
['rabbit', 0.9312775370275899]
['projectors', 0.9310700022055519]
['tails', 0.9309153582328501]
['wayfarers', 0.9306118123152651]
['talking', 0.9305229424030999]
['ascended', 0.9304255551706887]
['despairing', 0.930315761483124]
['weave', 0.9300532019356227]
['scotchman', 0.9300532019356227]
['plunder', 0.9300492796399633]
['beggin', 0.9300178005882607]
['combine', 0.9300178005882607]
['hungry', 0.9297785935472258]
['roadside', 0.9297130654794226]
['foot', 0.9295376682970433]
['systems', 0.9295376682970433]
['walnut', 0.9295376682970433]
['hazing', 0.9295376682970433]
['sterile', 0.9295376682970433]
['proves', 0.9295376682970433]
['see', 0.9295376682970433]
['absurd', 0.9295376682970433]
['minnows', 0.9295376682970433]
['frances', 0.9295376682970433]
['busily', 0.9295376682970433]
['wrangling', 0.9295376682970433]
['recites', 0.9295376682970433]
['freezing', 0.929504062548494]
['assemble', 0.929420962227503]
['analysis', 0.9292177645028747]
['mariners', 0.9291912730406284]
['fag', 0.92912682948434]
['taller', 0.928807266272975]
['kindly', 0.9285259031948268]
['beatrice', 0.9283417206510569]
['processes', 0.9282257355420858]
['cassius', 0.9281936365850068]
['brow', 0.9280931383216382]
['henceforward', 0.9279845405732927]
['curtain', 0.9279845405732927]
['_earth_', 0.9278251134409803]
['conclusions', 0.9276183753345046]
['flight', 0.9271810949812632]
['perplexity', 0.9271326807266352]
['cordon', 0.926916784713318]
['sechs', 0.9269098048994424]
['inflammation', 0.9268557293714866]
['marries', 0.9266977250506155]
['pitlike', 0.9260734780088555]
['amoundt', 0.9257094139705278]
['constructed', 0.9256606104071919]
['eras', 0.9256299625392567]
['surrendering', 0.9254429347345084]
['completing', 0.9254233538316768]
['_eclipses', 0.9248031030757835]
['1828', 0.9247244543784037]
['thud', 0.9246985949501741]
['shelter', 0.9246985949501741]
['haply', 0.9246985949501741]
['amiel', 0.9246478408497181]
['oracular', 0.924407294116498]
['tremendously', 0.9243294680310474]
['detect', 0.9240209227880574]
['certainly', 0.9239712522213657]
['newly', 0.9239047482170136]
['waists', 0.9237311429314918]
['tutelar', 0.9233638357886027]
['certaldo', 0.9233638357886027]
['21', 0.9233638357886027]
['mistrusted', 0.9233595802485698]
['completion', 0.9232952067699539]
['rashness', 0.9232952067699539]
['halloo', 0.9231511744698]
['strengthens', 0.9231253038141876]
['recommendations', 0.9230312031858277]
['bill', 0.9227617089671516]
['purest', 0.9227595926198171]
['ripening', 0.9227287015056204]
['fuse', 0.9223984497692346]
['graining', 0.9223727054665539]
['popularity', 0.9223727054665539]
['_poetry', 0.9223727054665539]
['divi', 0.9223107106492834]
['expanse', 0.9222745894750326]
['txt', 0.9222034495784385]
['mood', 0.922185219293853]
['scornful', 0.922185219293853]
['whereby', 0.9221093303977058]
['paintings', 0.9220761049096102]
['radicalism', 0.9218539106163874]
['term', 0.9218539106163874]
['christians', 0.9218539106163874]
['dank', 0.9218539106163874]
['convent', 0.921655495462079]
['prodigals', 0.9214099237766984]
['parent', 0.9213494172046632]
['roosting', 0.9210597207571302]
['promptitude', 0.9207201953402631]
['ballads', 0.9206984171060875]
['provinces', 0.9205698620733279]
['velocities', 0.9204826881503012]
['olives', 0.9204795662693704]
['comedians', 0.9204106337263098]
['highland', 0.9202891757692635]
['shoo', 0.9202587974847423]
['lovely', 0.9199874887397241]
['lethargy', 0.9199211526228869]
['emptiness', 0.9198398835998663]
['amnii', 0.9197929962875819]
['practice', 0.9196652003050393]
['accustomed', 0.9196524965288103]
['shantyin', 0.9192230565459957]
['blades', 0.919133495264001]
['radiated', 0.919133495264001]
['abstracted', 0.919133495264001]
['sullenness', 0.919133495264001]
['flop', 0.919133495264001]
['easternmost', 0.919133495264001]
['hilarity', 0.919133495264001]
['xxxi', 0.919133495264001]
['untidy', 0.919133495264001]
['sunday_', 0.919133495264001]
['drizzly', 0.919133495264001]
['miscarry', 0.919133495264001]
['accession', 0.919133495264001]
['reported', 0.919133495264001]
['weaker', 0.919133495264001]
['encamping', 0.919133495264001]
['remissness', 0.919133495264001]
['graveled', 0.919133495264001]
['tien', 0.9191042150045112]
['groupes', 0.9190241014975006]
['jason', 0.9189923349315783]
['depleted', 0.9188215515738541]
['aptitude', 0.9187197982306887]
['example', 0.9185270229841943]
['impertinence', 0.9185009242913651]
['brutes', 0.918303718063664]
['trotter', 0.9181036840580716]
['visionary', 0.9181036840580716]
['opens', 0.9180100533812878]
['pack', 0.9179020807094781]
['matured', 0.9178353278142686]
['mixes', 0.9178337615085175]
['bergs', 0.9178337615085175]
['consumed', 0.9178337615085175]
['internal', 0.9177943235150126]
['crooked', 0.9176696744326824]
['ishigaki', 0.9176232396120055]
['studiously', 0.9175097267083238]
['hoo', 0.9174848084775071]
['emerson', 0.9174014267218549]
['clumps', 0.9171834957145829]
['flood', 0.9171834957145829]
['premature', 0.9171834957145829]
['corn', 0.9166757191834722]
['monetary', 0.916656409611232]
['hugely', 0.9165731999547948]
['parental', 0.9164406477004956]
['surpassed', 0.91643692137888]
['manufactories', 0.916127021224682]
['watering', 0.916127021224682]
['groves', 0.916105342991134]
['jealousies', 0.9161007777233284]
['wrangled', 0.9161007777233284]
['century', 0.9157988789855952]
['jesuit', 0.9157903598221669]
['sans', 0.9157541451397766]
['oppressors', 0.9156849869317071]
['talazac', 0.9155872100983672]
['trying', 0.9155306057547881]
['duchess', 0.9155306057547881]
['ingen', 0.9153153947377852]
['_fat_', 0.9153153947377852]
['smokehouse', 0.9153153947377852]
['traveller', 0.9153153947377852]
['sings', 0.9153131926228598]
['meerschaums', 0.9151999084995155]
['verification', 0.91515217714118]
['advising', 0.9151509019656107]
['comprehensible', 0.9150003140501485]
['subtraction', 0.9150003140501485]
['notable', 0.9150003140501485]
['apocolocyntosis', 0.9150003140501485]
['raccolto', 0.9150003140501485]
['24689', 0.9150003140501485]
['burglars', 0.9148711846084334]
['punctuation', 0.9148711846084334]
['broadside', 0.9148711846084334]
['motion', 0.9143314481459626]
['richer', 0.9142529090158205]
['ceremony', 0.9142306486052547]
['indicatory', 0.914029067463101]
['aghast', 0.9138895682288453]
['marvelled', 0.9138895682288453]
['agreed', 0.9138895682288453]
['departments', 0.9138826992780678]
['valor', 0.9138348817840614]
['valley', 0.913764665408581]
['bent', 0.9137646524291483]
['button', 0.9137177754489927]
['_must_', 0.9137177754489927]
['insubordination', 0.9136334406545824]
['mein', 0.9136334406545824]
['_gul_', 0.9136274684033446]
['emblem', 0.9134992141894501]
['sporadic', 0.9134753318522768]
['constrictor', 0.9134558205281131]
['headstones', 0.9134558205281131]
['unlocked', 0.9134346635502355]
['calamity', 0.9133497666497086]
['above', 0.9131414786828288]
['customers', 0.9130331421335216]
['disparagingly', 0.9130245979780953]
['hundreds', 0.9129741403427409]
['asia', 0.9129477511783816]
['ladder', 0.9128673495983146]
['_great', 0.9128673495983146]
['flippered', 0.9128673495983146]
['wicked', 0.9128673495983146]
['meant', 0.9128673495983146]
['ecumenical', 0.9128673495983146]
['orchestra', 0.9128673495983146]
['employers', 0.9128673495983146]
['butcher', 0.9128673495983146]
['regularity', 0.9128673495983146]
['comite', 0.9128673495983146]
['usurers', 0.9128673495983146]
['warier', 0.9128673495983146]
['quietly', 0.912746575321082]
['pennsylvania', 0.9124737160143476]
['tensity', 0.912456136084631]
['que', 0.9124272256382246]
['restore', 0.9124272256382246]
['disastrous', 0.9123011850919099]
['for', 0.9122161822342439]
['uncertainty', 0.9121897340895739]
['fang', 0.9119588390613699]
['intention', 0.9118636836101347]
['hurling', 0.9118515168539137]
['bloodstain', 0.9118198105131182]
['preliminaries', 0.9114636934146291]
['emerald', 0.9112245266163793]
['streamed', 0.9107220699003201]
['temperance', 0.910711735326683]
['rushing', 0.9105633230527]
['roost', 0.9104680314977309]
['mislead', 0.9104653881717364]
['hovering', 0.9104162968654009]
['emptied', 0.9102616766906199]
['monitor', 0.9102615671622455]
['waterworn', 0.910200188120013]
['1632', 0.910200188120013]
['malice', 0.910200188120013]
['sickle', 0.910200188120013]
['etching', 0.910200188120013]
['stratum', 0.910200188120013]
['myself', 0.910200188120013]
['spotlessly', 0.910200188120013]
['themes', 0.910200188120013]
['facilities', 0.9101188543242287]
['sod', 0.9099726437431606]
['dictionary', 0.9099200070209106]
['refusing', 0.9095107204368327]
['champagne', 0.9094473139078575]
['refulgence', 0.9091806978370769]
['marvel', 0.9090229654405355]
['gravitating', 0.9087221603671614]
['windfall', 0.9087221603671614]
['emitted', 0.9083452753451257]
['shallowed', 0.9082209004616727]
['spectator', 0.9082209004616727]
['ices', 0.9082209004616727]
['gracefully', 0.9080150788141206]
['contested', 0.9079105986710492]
['barracks', 0.9079105986710492]
['repugnant', 0.9079105986710492]
['sword', 0.9079105986710492]
['pseudo', 0.9077746432805964]
['mirage', 0.9077746432805964]
['coast', 0.9077656089628449]
['party', 0.9077520963320524]
['trickling', 0.9077520963320524]
['ney', 0.9077520963320524]
['swedish', 0.9077520963320524]
['painter', 0.9077520963320524]
['presided', 0.9077520963320524]
['duplicated', 0.9077520963320524]
['callings', 0.9077520963320524]
['inspiration', 0.9077520963320524]
['remembered', 0.9077520963320524]
['fond', 0.9077520963320524]
['hewn', 0.9077416062312985]
['conventions', 0.907436998797259]
['dreading', 0.907436998797259]
['consolidated', 0.907436998797259]
['download', 0.907436998797259]
['sanctity', 0.907436998797259]
['mythical', 0.907436998797259]
['thick', 0.907436998797259]
['ambitions', 0.907436998797259]
['wares', 0.907436998797259]
['versions', 0.907436998797259]
['condescend', 0.907436998797259]
['springin', 0.9072576097597723]
['soles', 0.9069256823403843]
['scorpion', 0.9068542978192949]
['demonstrate', 0.9066780170336247]
['than', 0.9066304248427393]
['meritorious', 0.9065173942137495]
['generations', 0.9063519726852545]
['exiles', 0.9062163340173054]
['inferieure', 0.9059203754060609]
['brought', 0.9059203754060609]
['unreasonable', 0.9058688979880518]
['christina', 0.9058596830824343]
['snarled', 0.905573865241351]
['mettant', 0.9055159240320244]
['dentist', 0.9052373857355568]
['fiammetta_', 0.9052183549533678]
['sordid', 0.9050843226212338]
['decent', 0.9048226851518261]
['particularity', 0.9048148233189532]
['previous', 0.9048097897851304]
['transcendently', 0.9047296155744478]
['sorrow', 0.9046111115820699]
['appointments', 0.9044881396540452]
['intermittent', 0.9043843504766649]
['shallow', 0.9043843504766649]
['match', 0.9043843504766649]
['_political', 0.9043843504766649]
['hinges', 0.9041923569364182]
['parlance', 0.9041673799031168]
['reflective', 0.9040063342937301]
['late', 0.9039356989153297]
['fridays', 0.9035064401888029]
['tasting', 0.9034541407454993]
['neighbours', 0.903386340355525]
['witting', 0.9031789693070199]
['michael', 0.9031670992037055]
['withdraw', 0.903094421293076]
['skip', 0.9028878903055636]
['heures', 0.9028037176171312]
['blessings', 0.9027016629974933]
['when', 0.9026533595615008]
['huts', 0.9025801521506944]
['vampire', 0.9023666958353074]
['homely', 0.9022970109016514]
['occasioned', 0.9022891648154734]
['travelled', 0.9022263783406719]
['organization', 0.9021019365124927]
['drugging', 0.9020930235018948]
['disdain', 0.9018459060154786]
['accompanies', 0.9017071927767144]
['enclosure', 0.9016320156464528]
['unthinking', 0.9014239512045312]
['waterfalls', 0.901404961673449]
['rebukes', 0.9014019081017798]
['lissa', 0.9013788703922834]
['fulfil', 0.901348468884402]
