['fascinated', 0.9998402104864278]
['published', 0.997255774230766]
['torchlight', 0.9972550702216196]
['folly', 0.9972550702216196]
['make', 0.9972550702216196]
['foresaw', 0.9972550702216196]
['glonglim', 0.9972550702216196]
['cordial', 0.9972522815613518]
['overthrown', 0.99724912181276]
['judging', 0.9972487337483614]
['hopes', 0.9972466598333939]
['faculty', 0.9972427990786494]
['stench', 0.9972412944001757]
['glad', 0.9972317879807886]
['candlestick', 0.9972283757265151]
['habitually', 0.9972283757265151]
['makers', 0.9972283757265151]
['intensest', 0.9972283757265151]
['prosecuted', 0.9972283757265151]
['lui', 0.9972283757265151]
['princeton', 0.9972283757265151]
['support', 0.9972283757265151]
['begotten', 0.9972283757265151]
['plenipotentiaries', 0.9972283757265151]
['faggots', 0.9972283757265151]
['hog', 0.9972283757265151]
['delegating', 0.9972283757265151]
['mistake', 0.9972283757265151]
['sacrifice', 0.9972283757265151]
['imbecility', 0.9972283757265151]
['rackett', 0.9972283757265151]
['despondent', 0.9972174035873381]
['dear', 0.9972141919830299]
['discontinued', 0.997208725384818]
['steamboats', 0.9972041634893118]
['forfend', 0.9971774012087602]
['telling', 0.9971641431626923]
['parle', 0.9971318546627856]
['pillars', 0.9971245104192124]
['paintings', 0.9971219136444938]
['generaux', 0.9971034476302787]
['70', 0.997025804479479]
['adorn', 0.9970198954033429]
['traversing', 0.9970046299237952]
['through', 0.997001476668289]
['touton', 0.9969956551875068]
['noised', 0.9969721425659158]
['swallowed', 0.9969700587163841]
['push', 0.9969684407983376]
['equaled', 0.9969514328090805]
['pinions', 0.9969470261092718]
['crickets', 0.9969412169397585]
['_xi_', 0.9969403529953469]
['disgusting', 0.9969340405372298]
['orphan', 0.9969278864255825]
['dean', 0.9969271776802423]
['_barranca_', 0.9969260784180458]
['symmes', 0.9969246979895341]
['acid', 0.9969138698760184]
['conduct', 0.9969086669366349]
['comes', 0.9968631153084307]
['leucothea', 0.9968346922815752]
['brilliant', 0.9968257774962179]
['gomarus', 0.9968153776214129]
['rumour', 0.9968067584654023]
['autre', 0.9968067584654023]
['sparkled', 0.9967956505929566]
['tiny', 0.9967768573220492]
['pastures', 0.9967682581918835]
['quivering', 0.9967681465940055]
['hullo', 0.9967656946081558]
['tain', 0.9967448498761015]
['flashes', 0.9967350080778588]
['womens', 0.9967311581551184]
['grossness', 0.9967109819848089]
['undulating', 0.9967109819848089]
['gushing', 0.9967109819848089]
['recollected', 0.9967109819848089]
['vivifying', 0.9966909107294226]
['badly', 0.9966899356689788]
['phial', 0.9966855993271947]
['_certainly_', 0.9966697656644156]
['gutindex', 0.9966336122875451]
['acclaimed', 0.9966336122875451]
['busy', 0.9965962365442963]
['accursed', 0.9965704551130907]
['invaluable', 0.9965656623698282]
['prometheus', 0.9965530035198067]
['misinterpreted', 0.9965514766473917]
['kruft', 0.9965471762315617]
['shocking', 0.996505680792326]
['bravery', 0.9964975502603061]
['spirit', 0.9964880344004196]
['gros', 0.9964556453734263]
['illustration_', 0.9964435593072133]
['eight', 0.996440128130507]
['continuance', 0.9964374930831754]
['recuperation', 0.9964349542507811]
['nervousness', 0.9964328277348842]
['equine', 0.9964323004167266]
['travels', 0.9964287535995706]
['rescuing', 0.9964213358671902]
['quavered', 0.9964151077842864]
['surpassed', 0.9964126663536691]
['reginald', 0.9964113974159777]
['performing', 0.9963960055561547]
['darkly', 0.9963849165017736]
['pozzi', 0.9963604612109015]
['bayan', 0.9963433413707099]
['rustling', 0.9963289254372428]
['ministres', 0.9962989092405665]
['preferment', 0.9962856090396203]
['contrariwise', 0.9962821588403078]
['longchamp', 0.9962699259887937]
['grayish', 0.9962633361130158]
['villages', 0.9962612034736927]
['glancing', 0.996253808283292]
['quilting', 0.9962451437217938]
['tensity', 0.9962417726376821]
['oferhear', 0.9962379611902393]
['attorney', 0.9962326792293187]
['grazed', 0.9962259136420968]
['format', 0.9961913911973488]
['smiled', 0.9961788522377448]
['interpolation', 0.9961783172208982]
['equilibrium', 0.9961684019594033]
['streamed', 0.9961673297848027]
['situations', 0.9961583523604532]
['carboniferous', 0.996151656338992]
['atlantic', 0.996147463654387]
['paying', 0.9961386016776598]
['marcia', 0.9961121438935248]
['weigh', 0.9961121438935248]
['dominates', 0.9961121438935248]
['cambridge', 0.9961021998861296]
['accounts', 0.9960940073118257]
['smarting', 0.9960611279938841]
['tranquil', 0.9960611279938841]
['plottings', 0.9960611279938841]
['microscopes', 0.9960582023473299]
['sedate', 0.996038851619846]
['ol', 0.9960348223924073]
['michelangelo', 0.996016029562792]
['risks', 0.9960131101878167]
['winged', 0.9960109949528962]
['altitudes', 0.9959679107823631]
['horn_', 0.9959468497925021]
['theseus', 0.9959379383549891]
['ceremony', 0.995935967895404]
['christward', 0.9959299616973668]
['enviable', 0.9959299616973668]
['ninth', 0.9959237650547399]
['undo', 0.9958703675877231]
['upsetting', 0.9958608068103709]
['sometime', 0.9958389000349676]
['cognac', 0.9958389000349676]
['brass', 0.9958380240103272]
['popularly', 0.9958160155146755]
['occasioned', 0.9958053081282725]
['railing', 0.9958005477447894]
['les', 0.9957809638352944]
['kingdoms', 0.9957657280082556]
['suspense', 0.995739264477476]
['flattery', 0.9957251899990162]
['illusion', 0.9957196080555186]
['notoriously', 0.9957196080555186]
['thou', 0.9956490236751253]
['hunters', 0.9956385090103853]
['faster', 0.9956377749487773]
['carnot', 0.9956308113409997]
['puzzling', 0.9956122078515596]
['appalled', 0.9956112117798338]
['caricatures', 0.995606311878076]
['sandalphon', 0.9956034207464484]
['thence', 0.9955987450113882]
['endeavoring', 0.9955578990879816]
['slithering', 0.9955578990879816]
['cellini', 0.9955578990879816]
['bois', 0.9955578990879816]
['resembles', 0.995554659295646]
['arcanum', 0.9955453962710478]
['circulating', 0.9955440871150849]
['woodsmen', 0.9955440871150849]
['scuffling', 0.9955410713153976]
['_do_', 0.9955281818298014]
['sages', 0.9955281818298014]
['truthful', 0.9955139281062159]
['deputes', 0.9955139281062159]
['shrug', 0.9954958243267603]
['swineherd', 0.9954911504514418]
['respected', 0.9954911504514418]
['superfluous', 0.9954911504514418]
['partially', 0.9954643730779451]
['spire', 0.9954454799293292]
['constellations', 0.9954304613889583]
['tusks', 0.9954238271456882]
['squaws', 0.9954010478873849]
['spotless', 0.9954004053218004]
['volunteered', 0.9953999622527827]
['596', 0.9953940224895496]
['sentient', 0.995385704808936]
['polyhedral', 0.9953717352263466]
['facing', 0.9953666902309957]
['france', 0.9953626216638295]
['bickering', 0.9953520606849243]
['anna', 0.9953364895640838]
['foresee', 0.9953168228755517]
['fantastically', 0.9953165308855879]
['doubled', 0.9953018716784341]
['retired', 0.9953018716784341]
['places', 0.9952972491496208]
['recognizes', 0.9952972491496208]
['spectacle', 0.9952972491496208]
['lordship', 0.9952926130070676]
['brigantine', 0.9952876827275954]
['booblimak', 0.9952808511305304]
['consented', 0.9952808511305304]
['battering', 0.9952772682106383]
['seamanship', 0.995270145934858]
['doomsday', 0.9952607772792433]
['yourselves', 0.9952533548705828]
['sooner', 0.9952447747386689]
['flopped', 0.9952280308280479]
['figures', 0.9952139345106089]
['hedges', 0.9952048365859021]
['calculate', 0.995193859193333]
['discussion', 0.9951891584779883]
['abreast', 0.9951698319664971]
['inconsequently', 0.9951667994722918]
['needn', 0.9951658380244817]
['sportsman', 0.9951583882771408]
['void', 0.9951576238956563]
['reducible', 0.9951576238956563]
['descend', 0.9951576238956563]
['slouched', 0.9951576238956563]
['seemingly', 0.9951576238956563]
['cassia', 0.995137280188533]
['outshowering', 0.995137280188533]
['descriptive', 0.995137280188533]
['shade', 0.995137280188533]
['arguments', 0.9951356456990778]
['benignant', 0.9951350535530337]
['voulais', 0.9951290146606191]
['hesper', 0.9950945471890007]
['delirious', 0.9950945471890007]
['personnes', 0.9950945471890007]
['husky', 0.9950945471890007]
['chariots', 0.9950945471890007]
['big', 0.9950945471890007]
['grabbing', 0.9950945471890007]
['healed', 0.9950304783833032]
['temper', 0.9950197611658301]
['_truth_', 0.9950113622342776]
['gloss', 0.9950089218717423]
['evaporate', 0.994999938562888]
['vertical', 0.9949708611248456]
['surf', 0.9949662057355885]
['gloaming', 0.9949607384038512]
['late', 0.9949568306736674]
['organizations', 0.9949350016771649]
['_hymns', 0.9949254850734606]
['amiable', 0.9949210294653138]
['barrenness', 0.9949210294653138]
['denominations', 0.9948929356403186]
['avenged', 0.9948805488288742]
['somewhere', 0.9948805488288742]
['suffused', 0.9948771438242688]
['magnetic', 0.9948381405845641]
['unobtrusively', 0.9948381405845641]
['liveliness', 0.9948338442068007]
['chiuso', 0.9948338442068007]
['untiring', 0.9948338442068007]
['entitled', 0.9948338442068007]
['radically', 0.9948338442068007]
['tarred', 0.9948338442068007]
['swung', 0.9948314124629053]
['neat', 0.9948291425953507]
['_from', 0.9948291425953507]
['son', 0.9948291425953507]
['terribly', 0.9948291425953507]
['solar', 0.9948291425953507]
['lear', 0.9948291425953507]
['libraries', 0.9948107967587062]
['continual', 0.9948014004442344]
['cigars', 0.9947956287233919]
['darkest', 0.9947956287233919]
['confines', 0.9947883722442608]
['governing', 0.994786406183161]
['chancery', 0.994786406183161]
['shanghaied', 0.9947767681026224]
['proposition', 0.9947602943968092]
['pleasurable', 0.9947456801117156]
['stiffly', 0.9947456801117156]
['scrupulous', 0.9947456801117156]
['battues', 0.9947447224902841]
['hunchback', 0.9947205729109021]
['relented', 0.9947126786749099]
['ofttimes', 0.994707168141236]
['meudon', 0.9947016924121336]
['hercules', 0.994700129846472]
['interviews', 0.9946895102183582]
['translucent', 0.9946805080265764]
['concealed', 0.9946734697269467]
['_finality_', 0.9946537473399725]
['er', 0.9946537473399725]
['ferret', 0.9946537473399725]
['shedding', 0.9946537473399725]
['herenberg', 0.9946537473399725]
['injunctions', 0.9946537473399725]
['manfully', 0.9946537473399725]
['warned', 0.9946537473399725]
['artifices', 0.994643748306399]
['freeing', 0.994643748306399]
['breathed', 0.994643748306399]
['pessimistic', 0.994643748306399]
['situated', 0.994643748306399]
['bald', 0.994643748306399]
['headgear', 0.994643748306399]
['perforation', 0.994643748306399]
['pinks', 0.994643748306399]
['sceptre', 0.994643748306399]
['saturninus', 0.994643748306399]
['souffrante', 0.994643748306399]
['valparaiso', 0.994643748306399]
['chang', 0.994643748306399]
['odd', 0.994643748306399]
['overrun', 0.994643748306399]
['catechism', 0.994643748306399]
['strained', 0.994643748306399]
['piles', 0.994643748306399]
['streak', 0.994643748306399]
['lighten', 0.994643748306399]
['silver', 0.9946217510336371]
['civilised', 0.9946029335975185]
['name', 0.9945923399749086]
['undersecretary', 0.9945906549816558]
['tongtoia', 0.9945893069873436]
['shrilly', 0.9945852875009265]
['maigs', 0.9945634338480227]
['overhang', 0.9945506949676169]
['cited', 0.9945382159470352]
['aint', 0.9945382159470352]
['involve', 0.9945101913281348]
['notion', 0.9945101913281348]
['anger', 0.9945078242210503]
['maniac', 0.9945075802143837]
['traversed', 0.9943910967480208]
['theatrical', 0.9943910967480208]
['savages', 0.9943910967480208]
['publishing', 0.9943910967480208]
['pig', 0.9943910967480208]
['passerent', 0.9943267886183522]
['mer', 0.9942892219001869]
['parody', 0.9942778528768172]
['under', 0.9942675680409686]
['dumb', 0.9942675680409686]
['000', 0.9942513315465626]
['inconsequent', 0.9942233087932241]
['break', 0.9942092974529524]
['door', 0.9941488543721777]
['maitre', 0.9941488543721777]
['guest', 0.9940880878042703]
['regular', 0.9940880878042703]
['drip', 0.9940866496245814]
['bushels', 0.9940690486363067]
['pitted', 0.9940690486363067]
['wins', 0.9940589165660707]
['comtesse', 0.994033412782476]
['assented', 0.9940316032875098]
['indisposed', 0.9939338031615367]
['nonentity', 0.9938842362909986]
['woolwich', 0.9938697330887883]
['habiliments', 0.9938644983191159]
['1_st_', 0.9938611165010979]
['esteemed', 0.9938329892933845]
['importunate', 0.9938194217993304]
['sauntered', 0.9937767878561917]
['combined', 0.9937753740323276]
['remy', 0.9937429768771979]
['averaging', 0.9937294432625646]
['antonio', 0.9937294432625646]
['isn', 0.9937258933571281]
['wheedling', 0.9937142139671264]
['whippoorwill', 0.9937138977452946]
['hereabouts', 0.9937114484921455]
['sneered', 0.9937067108783474]
['believing', 0.993705739585017]
['petronius', 0.993705739585017]
['undergo', 0.993705739585017]
['omnipotent', 0.9936896375730779]
['chose', 0.9936896375730779]
['indians', 0.9936896375730779]
['lookers', 0.9936749496684757]
['flaccid', 0.9936352643430709]
['indefinite', 0.9936281944061094]
['prisons', 0.9936281944061094]
['severs', 0.9936158680899835]
['lightin', 0.9936113784007061]
['intend', 0.9935981775981597]
['tres', 0.9935955658140349]
['problem', 0.9935929056250816]
['pheasants', 0.9935929056250816]
['sentences', 0.9935929056250816]
['propping', 0.9935929056250816]
['external', 0.9935864371728991]
['view', 0.9935730902911525]
['advocacy', 0.9935568901743337]
['northland', 0.9935448372583924]
['reprisals_', 0.9935107439214534]
['gilding', 0.9935107439214534]
['flatter', 0.9935107439214534]
['grievance', 0.9935107439214534]
['precedence', 0.9935107439214534]
['dreissig', 0.9935107439214534]
['buttons', 0.9935107439214534]
['momentary', 0.9935107439214534]
['lunching', 0.9935107439214534]
['stupid', 0.9935107439214534]
['bigoted', 0.9935107439214534]
['15th', 0.993506134863539]
['freshets', 0.993506134863539]
['inconsiderable', 0.993506134863539]
['marino', 0.993506134863539]
['aube', 0.9934765554990693]
['chances', 0.9934765554990693]
['underlie', 0.9934651854870465]
['_see_', 0.9934509488815377]
['feathers', 0.9933623271251376]
['taste', 0.9933623271251376]
['equipped', 0.9933623271251376]
['forsythe', 0.9932825523286951]
['low', 0.9932322164462132]
['contented', 0.9932314722421358]
['brow', 0.9931889275883818]
['ground', 0.9931790941479336]
['http', 0.9931619413621589]
['peru', 0.9931619413621589]
['brink', 0.9931502729323055]
['reeled', 0.9931315303748655]
['epoch', 0.9930878822140278]
['immovable', 0.9930783627048293]
['sechs', 0.9930768413501906]
['parding', 0.9930754041683488]
['speculative', 0.9930655139723643]
['youth', 0.9930655139723643]
['their', 0.9930504455251997]
['pitlike', 0.9929976238335502]
['soldierly', 0.9929829657553759]
['innate', 0.9929805751166947]
['compassionate', 0.9929721598338963]
['berths', 0.9929566109254255]
['israel', 0.992951066213694]
['130', 0.992951066213694]
['relentless', 0.9929331692891147]
['s_', 0.9929056653377067]
['brewing', 0.9928962525087112]
['_eclipses', 0.9928772929575099]
['getting', 0.9928544277198831]
['performers', 0.9928462771747292]
['grumbled', 0.9927987895027965]
['further', 0.9927987895027965]
['unequalled', 0.9927987895027965]
['torches', 0.9927860392015543]
['finding', 0.9927860392015543]
['arrivals', 0.9927847332129998]
['flour', 0.9927772177869986]
['ennobles', 0.9927629296318992]
['xiv', 0.9927559723926362]
['projecting', 0.9927500809885517]
['completion', 0.9927344638771065]
['rashness', 0.9927344638771065]
['syllable', 0.99273400237685]
['huddled', 0.992686455944026]
['journalists', 0.9926686094473215]
['hotels', 0.9926526785168738]
['plough', 0.9926384081266595]
['hidden', 0.9926215833053215]
['superannuated', 0.992609679500921]
['radicalism', 0.9925979432135787]
['term', 0.9925979432135787]
['christians', 0.9925979432135787]
['dank', 0.9925979432135787]
['chataugay', 0.9925566237085833]
['precis', 0.9925548749461302]
['repute', 0.9925225355309613]
['unintended', 0.9924968454916065]
['beyond', 0.9924784335772769]
['provinces', 0.992476317162842]
['fields', 0.9924571459292502]
['aside', 0.9924221135059359]
['satisfactorily', 0.9923987557620503]
['unkempt', 0.9923574394776213]
['reservation', 0.9923497297409964]
['depraved', 0.9922724757846957]
['thorough', 0.9922644334882998]
['penetrated', 0.9922551077956576]
['vanishes', 0.9922551077956576]
['afterworks', 0.9922360601318693]
['messenger', 0.9922360601318693]
['arising', 0.9922360601318693]
['acoustics', 0.9922121524131776]
['assuming', 0.9922121524131776]
['exterior', 0.9922121524131776]
['von', 0.9922009917847402]
['imaginations', 0.9922009917847402]
['studiously', 0.9921864588228463]
['hoo', 0.9921840985491464]
['food', 0.9921831709714959]
['benzene', 0.9921831709714959]
['disk', 0.9921831709714959]
['twilit', 0.9921543595742115]
['chivalry', 0.9921310209131893]
['parental', 0.992085194849338]
['sanctuary', 0.9920559742631304]
['augmenting', 0.9920384129364055]
['granted', 0.9920320115140007]
['monster', 0.9920320115140007]
['exhibitions', 0.9920291328092242]
['waved', 0.992026318623158]
['relatives', 0.9920232275476629]
['cesspool', 0.9920232275476629]
['magisterial', 0.9920147289180088]
['pottsdam', 0.9919461115650784]
['schemer', 0.9919460151038457]
['deprecatory', 0.991940027720601]
['99', 0.9919258837127347]
['defeats', 0.9918854906648994]
['favourite', 0.9918854906648994]
['astronomers', 0.9918642314490842]
['vacations', 0.9918642314490842]
['pours', 0.9918635757842239]
['therein', 0.9918569290419192]
['_fragments', 0.9918554324677133]
['admire', 0.9918545756643992]
['calmed', 0.9918545756643992]
['strenuous', 0.9918545756643992]
['recreation', 0.9918545756643992]
['piteous', 0.9918545756643992]
['hillsides', 0.9918360468274399]
['bent', 0.9918317225500208]
['yearns', 0.9918176071036163]
['favorable', 0.9917853051838876]
['australia', 0.9917792535144373]
['salary', 0.991698441283679]
['labouring', 0.991698441283679]
['legend', 0.9916978508891959]
['expansive', 0.9916978508891959]
['atheist', 0.991683305473826]
['management', 0.9916790152319478]
['neutral', 0.9916448744101453]
['baba', 0.991644679547632]
['trottin', 0.9916374178999664]
['diphtheria', 0.9915621124385596]
['incoherent', 0.9915621124385596]
['metals', 0.9915621124385596]
['hovering', 0.9915145637744572]
['hares', 0.991500522404224]
['waterworn', 0.9914940937903798]
['1632', 0.9914940937903798]
['malice', 0.9914940937903798]
['sickle', 0.9914940937903798]
['etching', 0.9914940937903798]
['stratum', 0.9914940937903798]
['myself', 0.9914940937903798]
['spotlessly', 0.9914940937903798]
['themes', 0.9914940937903798]
['voient', 0.9914730597806515]
['ripples', 0.9914730597806515]
['hoping', 0.9914730597806515]
['continuously', 0.9914730597806515]
['revise', 0.9914730597806515]
['chapel', 0.9914730597806515]
['dragging', 0.9914688422369272]
['cups', 0.9914370930734933]
['refulgence', 0.9913975268984595]
['nurses', 0.9913309478105579]
['haul', 0.991319489763876]
['shallowed', 0.9913066141639614]
['spectator', 0.9913066141639614]
['ices', 0.9913066141639614]
['literary', 0.9913059664626656]
['contested', 0.9912772221432826]
['barracks', 0.9912772221432826]
['repugnant', 0.9912772221432826]
['sword', 0.9912772221432826]
['justly', 0.9912757541231461]
['piratical', 0.9912757541231461]
['margherita', 0.9912757541231461]
['director', 0.9912757541231461]
['attend', 0.9912757541231461]
['bale', 0.9912757541231461]
['depends', 0.9912757541231461]
['depths', 0.9912757541231461]
['ablegates', 0.9912757541231461]
['_vii_', 0.9912757541231461]
['dissolved', 0.9912757541231461]
['channels', 0.9912757541231461]
['livid', 0.9912757541231461]
['enables', 0.9912757541231461]
['lilies', 0.9912757541231461]
['testimonials', 0.9912757541231461]
['lettest', 0.9912757541231461]
['bellowing', 0.9912757541231461]
['archives', 0.9912757541231461]
['moody', 0.9912757541231461]
['unessential', 0.9912757541231461]
['belonged', 0.9912757541231461]
['winding', 0.9912757541231461]
['prejudicing', 0.991215717343234]
['grotesque', 0.991215717343234]
['qual', 0.9912076796593592]
['perpendicular', 0.9912017002307967]
['anvil', 0.9911811958382326]
['subconsciously', 0.9911137597303668]
['skirted', 0.9911137597303668]
['ten', 0.9911137597303668]
['exactness', 0.9911006420480267]
['granddaughters', 0.9910823607414373]
['presidency', 0.9910823607414373]
['categories', 0.9910823607414373]
['corroded', 0.9910823607414373]
['roles', 0.9910823607414373]
['mounting', 0.9910823607414373]
['titter', 0.9910823607414373]
['buffeting', 0.9910823607414373]
['archbishop', 0.9910790384673264]
['weary', 0.9910532490102918]
['inly', 0.991016609744813]
['outbuildings', 0.991016609744813]
['exit', 0.991016609744813]
['drownin', 0.991016609744813]
['birth', 0.9909849193849563]
['traveling', 0.9909691544065958]
['enfants', 0.9909679361427841]
['bottles', 0.9909623787046603]
['neighbours', 0.9908486809682591]
['obedience', 0.9908310606388967]
['robbers', 0.9908310606388967]
['thiers', 0.9908310606388967]
['reconciled', 0.9908118847386111]
['devant', 0.9908118847386111]
['stumble', 0.9907999913272872]
['restful', 0.9907826170414186]
['backbone', 0.990776669224268]
['doodle', 0.9907586730933954]
['vampire', 0.9907520994668667]
['storytelling', 0.9907076132355034]
['ancestral', 0.990695417712954]
['mornin', 0.990695417712954]
['staggered', 0.9906867362169147]
['distrustful', 0.9906810605600952]
['custom', 0.9906617524514394]
['uncouth', 0.9906307798467472]
['englanders', 0.9906206575126826]
['mantle', 0.9906144658884792]
['whimper', 0.9906144658884792]
['tine', 0.9905920794553877]
['electors', 0.9905920794553877]
['exceedingly', 0.9905920794553877]
['inactive', 0.9905920794553877]
['baggage', 0.9905920794553877]
['bloodstained', 0.9905920794553877]
['rude', 0.9905920794553877]
['comrades', 0.9905920794553877]
['nuptial', 0.9905920794553877]
['egsperiment', 0.9905920794553877]
['tombstones', 0.9905547955784189]
['debilitating', 0.9905547955784189]
['windowsill', 0.9905547955784189]
['exposure', 0.9905547955784189]
['plow', 0.9905547955784189]
['consort', 0.9905547955784189]
['entire', 0.9905547955784189]
['unctious', 0.9905547955784189]
['inertia', 0.9905547955784189]
['extraction', 0.9905547955784189]
['wait', 0.9905547955784189]
['dilated', 0.9905547955784189]
['island_', 0.9905547955784189]
['refrained', 0.9905547955784189]
['uncommon', 0.9905547955784189]
['camphor', 0.9905547955784189]
['layer', 0.9905547955784189]
['sniffles', 0.9905547955784189]
['eis', 0.9905547955784189]
['distributed', 0.9905547955784189]
['excavation', 0.9905547955784189]
['intemperate', 0.9905547955784189]
['inlaying', 0.9905547955784189]
['whir', 0.9905547955784189]
['angrily', 0.9905547955784189]
['surveyed', 0.9905547955784189]
['princesse', 0.9905547955784189]
['nomination', 0.9905547955784189]
['shelves', 0.9905201847607664]
['maturity', 0.9904765654996496]
['saviour', 0.9904765654996496]
