['consistently', 0.9982086997018425]
['freedmen', 0.9828564992900872]
['_really_', 0.9827002788776253]
['jump', 0.9826861276644699]
['cant', 0.9826861276644699]
['rushing', 0.9825995351515806]
['boldly', 0.9824482289581103]
['armchairs', 0.9822538446930885]
['hawks', 0.9821620755141329]
['jet', 0.9821524338336247]
['preparatory', 0.9820186059339119]
['danae', 0.981803832300562]
['predominate', 0.9813295686628691]
['perplexity', 0.9810976097518791]
['nominations', 0.9808581692462801]
['plains', 0.980855685357153]
['unscaleable', 0.9806690584032237]
['rockiness', 0.9804335722752359]
['beginnings', 0.9804241630321029]
['topsail', 0.9804138791468127]
['that', 0.9803926658909593]
['sustenance', 0.9803384570542757]
['harder', 0.9802705880850427]
['outreach', 0.9799904368004654]
['assassin', 0.9799904368004654]
['lustre', 0.9799672971939835]
['extricate', 0.9799398702242346]
['daintiness', 0.9799290503053785]
['unscrupulous', 0.9799290503053785]
['functionary', 0.979824837112952]
['heap', 0.9797818214335081]
['participated', 0.9795990398386495]
['locating', 0.979241137001031]
['descant', 0.9792353763895485]
['infinity', 0.9791621583357207]
['fearfully', 0.9791468564086659]
['late', 0.9790384261324013]
['defer', 0.9789505886749321]
['operated', 0.978842794698867]
['rift', 0.9786635316856822]
['secretary', 0.9784625445873996]
['wannsee', 0.9784216382897315]
['reiterating', 0.9784150100251287]
['undaunted', 0.9784150100251287]
['milder', 0.9784020697792237]
['corn', 0.9783849867286974]
['sentiment', 0.9783564266554566]
['huntsman', 0.9783074915669898]
['doomed', 0.9782958349493711]
['surround', 0.9782467468111321]
['yawned', 0.9782092238187922]
['coasts', 0.9781644005864066]
['unkind', 0.9780762898483458]
['qual', 0.9780732082907926]
['angle', 0.9780372290899697]
['bays', 0.9779373368023446]
['speedy', 0.9779373368023446]
['piety', 0.977898715181793]
['boughs', 0.9778694976873242]
['hurled', 0.9778694976873242]
['rosy', 0.9778694976873242]
['employee', 0.9778694976873242]
['_me_', 0.9778691850057512]
['hundredth', 0.9778691850057512]
['outcry', 0.9777212343582937]
['confess', 0.9776943996543714]
['surpassed', 0.977634255063779]
['flaw', 0.9775992308818121]
['prow', 0.9775992308818121]
['buckshot', 0.9775955476106208]
['tongloo', 0.9775617536056658]
['flattered', 0.9775337304892766]
['determine', 0.9775337304892766]
['slide', 0.9775110779272045]
['emanations', 0.9775110779272045]
['artfully', 0.9774765031099517]
['state', 0.9774765031099517]
['tips', 0.9774298834697016]
['coal', 0.9773841323490321]
['scales', 0.9773841323490321]
['jeopardize', 0.9773240457271544]
['congratulating', 0.9773110440323609]
['southeastward', 0.9773110440323609]
['amadee', 0.9773110440323609]
['tormented', 0.9773110440323609]
['python', 0.9773110440323609]
['quote', 0.9773110440323609]
['rheinfeldt', 0.9773110440323609]
['rules', 0.9773110440323609]
['bounty', 0.9773110440323609]
['smile', 0.9773110440323609]
['puff', 0.9773110440323609]
['sightless', 0.9773110440323609]
['hesselius', 0.9772699860110239]
['field', 0.9772350652210289]
['tells', 0.9771957817857257]
['karnstein', 0.9771957817857257]
['interrupting', 0.9771957817857257]
['irresistible', 0.977129912523225]
['granaries', 0.9769121341045041]
['neglects', 0.9766720217645812]
['tensity', 0.9765687937379618]
['cathedral', 0.9764938046228687]
['claret', 0.9764270464602699]
['jerusalem', 0.9763820195546099]
['promontories', 0.9763694646740095]
['streamed', 0.9761046691195203]
['freezing', 0.9756030584896448]
['alms', 0.9755914004147516]
['conducive', 0.9755633201266779]
['dickens', 0.9754891671346522]
['spends', 0.9752974722618618]
['headland', 0.9749773368883385]
['seduced', 0.9748181822782108]
['suspected', 0.9747911528281077]
['forward', 0.9746950268427891]
['sofas', 0.9745863117170143]
['avitchi', 0.9745863117170143]
['eyeless', 0.9745364372765656]
['fiords', 0.9742959700002572]
['reigning', 0.9742959700002572]
['definable', 0.9742274814922267]
['liable', 0.9740356921138612]
['occasioned', 0.9738475932995375]
['easels', 0.973813478551796]
['tremendously', 0.9738122562910245]
['scrap', 0.9737032896898055]
['expects', 0.9735781748200732]
['snare', 0.9735581094790247]
['empiricism', 0.9734614222339187]
['obstacles', 0.9733984554512889]
['seagull', 0.9733497993839987]
['landowners', 0.9733497993839987]
['exquisite', 0.9733497993839987]
['services', 0.9732406240136101]
['long', 0.972979907925492]
['ascended', 0.9729277132621088]
['halliards', 0.9726340650946402]
['forgeries', 0.9726134503803867]
['unscathed', 0.9726071311724911]
['anvil', 0.9725089517772746]
['succeeds', 0.9724014378948016]
['contradictory', 0.9722342408454372]
['coxswain', 0.9721083928402839]
['exhortation', 0.9718928572567023]
['example', 0.9718041701864528]
['consolation', 0.9711980642549125]
['_areopagitica_', 0.9711860863370612]
['coachmen', 0.9711809439569238]
['decision', 0.9711538747575148]
['site', 0.9711529214935358]
['floating', 0.9710766444592185]
['si', 0.9710581588690327]
['interruption', 0.9709267061694552]
['traffic', 0.9707271072821099]
['lawn', 0.9704833675818352]
['mouldy', 0.9704391984178766]
['curtly', 0.970400541367771]
['luncheon', 0.9701978322034059]
['gerard', 0.9699489594970973]
['billy', 0.9698247224349704]
['suspenders', 0.9696902305407697]
['fang', 0.9695310803491181]
['gosh', 0.9694991053560111]
['defiant', 0.9694717322236055]
['detection', 0.9694535682136807]
['blackest', 0.9694535682136807]
['vindar', 0.9692747810909697]
['sockets', 0.9692747810909697]
['grandnephew', 0.9692747810909697]
['conseilleurs', 0.9692544208758715]
['raking', 0.9690695721740843]
['olives', 0.9690576045736535]
['real', 0.9689919604541186]
['platoon', 0.9687854404235716]
['new', 0.9687317097295388]
['felicitations', 0.9686288768488202]
['improvisation', 0.9685906672887719]
['mare', 0.968521956354621]
['perceive', 0.9685205110901451]
['thinks', 0.9684831511228614]
['repulsions', 0.9684831511228614]
['parisians', 0.9684831511228614]
['fester', 0.9684831511228614]
['sign', 0.9684479812717718]
['unwinnowed', 0.9682844375457487]
['wagon', 0.9682844375457487]
['healthier', 0.9682844375457487]
['affectionate', 0.9682367342077592]
['narratives', 0.9682027980832533]
['shooters', 0.9681999574987554]
['wakened', 0.9681981097072693]
['anglo', 0.9681078463562183]
['harmony', 0.96805135066699]
['constructed', 0.9678595707261047]
['greatly', 0.9675980503049351]
['shoo', 0.9673139046074697]
['wow', 0.9673058896351375]
['transferred', 0.9672685491228736]
['owned', 0.9672609532519261]
['oppressors', 0.967191973781554]
['feigned', 0.9670571501856635]
['shocks', 0.967034578143128]
['indentations', 0.9669992651637281]
['relinquish', 0.9667990659307875]
['dominating', 0.9667990659307875]
['wilderness', 0.966675193838154]
['experiencing', 0.9666386781493082]
['class', 0.9665941208114855]
['trapper', 0.9664856369426157]
['jauntily', 0.9664856369426157]
['withdraw', 0.9664633194307647]
['pony', 0.9663887446220908]
['downloading', 0.9663598743723173]
['equanimity', 0.9663598743723173]
['appalachians', 0.9663598743723173]
['solved', 0.9663598743723173]
['horrid', 0.9663598743723173]
['waterfall', 0.9663598743723173]
['distinct', 0.9663598743723173]
['rabbit', 0.9663598743723173]
['melodies', 0.9663363850707445]
['undersecretary', 0.9662746644500027]
['hillside_', 0.9662289476131806]
['desired', 0.9661798250243554]
['dozens', 0.9660687781571679]
['kiang', 0.9660455487071735]
['cited', 0.9659477257850623]
['aint', 0.9659477257850623]
['lissa', 0.9658696086936961]
['weave', 0.9657605537932412]
['scotchman', 0.9657605537932412]
['faculty', 0.9656196726457758]
['roadside', 0.9655940546221955]
['honesty', 0.9655917399614731]
['foot', 0.9655081964763321]
['systems', 0.9655081964763321]
['walnut', 0.9655081964763321]
['hazing', 0.9655081964763321]
['sterile', 0.9655081964763321]
['proves', 0.9655081964763321]
['see', 0.9655081964763321]
['absurd', 0.9655081964763321]
['minnows', 0.9655081964763321]
['frances', 0.9655081964763321]
['busily', 0.9655081964763321]
['wrangling', 0.9655081964763321]
['recites', 0.9655081964763321]
['spiritualists', 0.9653579040462665]
['mariners', 0.9653386335788656]
['obeyed', 0.9653210486156887]
['clayey', 0.9653210486156887]
['lend', 0.9653210486156887]
['older', 0.9652472542809603]
['choke', 0.96490503256898]
['champagne', 0.9647648171855775]
['henceforward', 0.964747929607495]
['curtain', 0.964747929607495]
['beginner', 0.964630038892598]
['cassius', 0.9645629459218741]
['employment', 0.9645421801060163]
['blackmail', 0.9644815446505803]
['plea', 0.964445868188151]
['scalps', 0.9642593679551027]
['seamless', 0.96423463724094]
['heed', 0.9639094513124555]
['catullus', 0.9636148783547014]
['stretched', 0.9636148783547014]
['stalk', 0.9636148783547014]
['piemont', 0.9633855645201158]
['refilled', 0.9633081576631288]
['nosin', 0.9633081576631288]
['intellects', 0.9631275844433508]
['notified', 0.9630303905875763]
['invented', 0.9629580048142767]
['unapproving', 0.9628018697531434]
['whirled', 0.962800064872808]
['danger', 0.962800064872808]
['hinges', 0.9627200476976556]
['pulleth', 0.9624157690616211]
['vieillard', 0.9621837488405198]
['newsletter', 0.9620606325810066]
['fuse', 0.962013499141992]
['drunkenly', 0.9619818084102155]
['travelled', 0.9619550608350916]
['maintenant', 0.9618980745963136]
['humbert', 0.9618625748343811]
['live', 0.9618251134664519]
['wasn', 0.9617620715393985]
['assimilate', 0.9617620715393985]
['crumpled', 0.9617620715393985]
['assistant', 0.9617620715393985]
['dean', 0.9616840991033437]
['_barranca_', 0.9616703920884249]
['gauze', 0.9616314990527599]
['prodigals', 0.9615296087641326]
['inclination', 0.9615165265269738]
['yours', 0.9614957887502653]
['formulas', 0.9614957887502653]
['delaunay', 0.9614957887502653]
['bishop', 0.9614957887502653]
['bats', 0.9614103369725728]
['requirements', 0.9613743027332796]
['dip', 0.9613497737204386]
['passer', 0.9608923330600707]
['campstools', 0.9608717155798111]
['450', 0.960867537785649]
['collegiate', 0.9607085159097887]
['swamps', 0.9606511864427568]
['fluctuated', 0.9606511864427568]
['pats', 0.9606511864427568]
['terre', 0.9606511864427568]
['don', 0.9606511864427568]
['idles', 0.9606511864427568]
['bush', 0.9606511864427568]
['mastery', 0.9606511864427568]
['mumblings', 0.9606511864427568]
['selected', 0.9605861041893154]
['seasons', 0.9605831784430059]
['commentaries', 0.9605599737014561]
['publica', 0.960489501466095]
['starboard', 0.960489501466095]
['bootless', 0.960489501466095]
['barrow', 0.960489501466095]
['nourishing', 0.960489501466095]
['achievements', 0.960489501466095]
['trendon', 0.960489501466095]
['electronically', 0.960489501466095]
['peering', 0.960489501466095]
['collective', 0.960489501466095]
['vouches', 0.960489501466095]
['stronger', 0.960489501466095]
['concussion', 0.960489501466095]
['jubilees', 0.960489501466095]
['cecilia', 0.960489501466095]
['syndicates', 0.9604630687769071]
['tien', 0.960400948215567]
['1638', 0.9602494528173893]
['1698', 0.9602320027979916]
['rumour', 0.9601825574514898]
['autre', 0.9601825574514898]
['lightin', 0.9601692244795841]
['sparkled', 0.9600440502110725]
['brutes', 0.9600090993718273]
['tiny', 0.9598097115378011]
['mixes', 0.9597790523555987]
['bergs', 0.9597790523555987]
['consumed', 0.9597790523555987]
['negotiations', 0.9597255994448818]
['clumps', 0.9594607427075856]
['flood', 0.9594607427075856]
['premature', 0.9594607427075856]
['heresy', 0.959267533309381]
['agricultural', 0.9592673898526117]
['deals', 0.9591953626813535]
['smart', 0.9591629589428394]
['staring', 0.9590998856934447]
['piled', 0.9589683818218098]
['paintings', 0.9588982224860042]
['sleep', 0.9588257970659548]
['flush', 0.9587460946737014]
['apprehension', 0.9585388367450319]
['nailmaker', 0.9585388367450319]
['inlets', 0.9585388367450319]
['telescope', 0.9580832788558333]
['anecdotes', 0.9580832788558333]
['ta', 0.9580832788558333]
['accesses', 0.9580832788558333]
['gill', 0.9580094522286072]
['ribbon', 0.9579840364564299]
['sociable', 0.9579704136460003]
['ninfale', 0.9577080315975506]
['dismissed', 0.9575431284878944]
['baying', 0.9575431284878944]
['scaly', 0.9575015904101108]
['collect', 0.957424779976082]
['excuses', 0.957399955105201]
['ridiculing', 0.9573764548532961]
['amoundt', 0.9573494280943152]
['china', 0.9573089112454823]
['pedestrians', 0.9570868439469216]
['assumption', 0.9570868439469216]
['conspicuously', 0.9570868439469216]
['wing', 0.9570659104512269]
['title', 0.9569774529864068]
['gayest', 0.9568127089194369]
['their', 0.9566720082023226]
['edges', 0.9565811324274344]
['meed', 0.9565811324274344]
['interfere', 0.9565811324274344]
['distant', 0.9565811324274344]
['derelicts', 0.9565811324274344]
['bridge', 0.9565811324274344]
['suspicions', 0.9565811324274344]
['sputtered', 0.9565811324274344]
['baffin', 0.9565811324274344]
['faith', 0.9565811324274344]
['solution', 0.9565811324274344]
['belonging', 0.9565811324274344]
['commissioner', 0.9565811324274344]
['consonant', 0.9565811324274344]
['collectedly', 0.9565811324274344]
['exercise', 0.9565811324274344]
['fusty', 0.9565811324274344]
['scoundrel', 0.9565811324274344]
['particularly', 0.9565811324274344]
['vent', 0.9565811324274344]
['heel', 0.9565811324274344]
['unnoticed', 0.9565811324274344]
['discomfort', 0.9565811324274344]
['portmanteaus', 0.9565600802918368]
['charitable', 0.9564986564474328]
['expend', 0.9564986564474328]
['palanquin', 0.9564756479101125]
['decidedly', 0.9564465698285427]
['arcade', 0.9563942364743158]
['shotguns', 0.9563013176851825]
['34', 0.9563013176851825]
['manly', 0.9562059033251159]
['ton', 0.9560662433728591]
['chortasoo', 0.9558399077082168]
['marring', 0.9558235137169807]
['magical', 0.9556659063243585]
['chimney', 0.955615262766995]
['averse', 0.9555282871653829]
['systematically', 0.9555282871653829]
['egg', 0.9555274512025612]
['selections', 0.9554646478142066]
['exigencies', 0.9554510014164845]
['laces', 0.9554510014164845]
['gravitating', 0.9553188599555154]
['windfall', 0.9553188599555154]
['rake', 0.9553113649319691]
['contradictions', 0.9552343907760907]
['_xxii_', 0.9551687870333379]
['apprehended', 0.9551551822473834]
['natural', 0.9551300436943165]
['shrewdness', 0.9549400385578097]
['xiv', 0.9548360733206536]
['egerias', 0.9546239297078679]
['buttresses', 0.954591252443381]
['merely', 0.9543273162344124]
['several', 0.9543273162344124]
['undoubtedly', 0.9536631337002107]
['spiritualist', 0.9533854384717646]
['intermittent', 0.9531954717160123]
['shallow', 0.9531954717160123]
['match', 0.9531954717160123]
['_political', 0.9531954717160123]
['written', 0.9529487551636393]
['witting', 0.9529071573691839]
['aquino', 0.9528343117444154]
['stunning', 0.9527608368197111]
['canace', 0.9524545702143402]
['tsze', 0.9522150611820624]
['organization', 0.952078214138676]
['carboniferous', 0.9520139015577429]
['transcendently', 0.9518168570677865]
['daystar', 0.9517388950298888]
['1901', 0.951723228798402]
['fulfil', 0.9517093864720143]
['meddle', 0.9516704321774464]
['destinies', 0.9515443648056393]
['1904_', 0.9515077580381452]
['lies', 0.9514267132694687]
['advising', 0.9512877371109637]
['alkalies', 0.9506466795774067]
['newly', 0.9505741926500713]
['unlocked', 0.9505559295640148]
['undertake', 0.9504866238999952]
['interposition', 0.9503595422111963]
['caesars', 0.9503237856033875]
['negligence', 0.9502853988562162]
['duke', 0.950223647944519]
['sovereigns', 0.9501441230109747]
['harmful', 0.9498831594678572]
['bowels', 0.949782751084314]
['colossal', 0.9496477873270596]
['prowlings', 0.9493239130759027]
['cap', 0.9490623177438062]
['porterage', 0.9488804259470602]
['harmlessness', 0.9488804259470602]
['espionage', 0.9488333046449772]
['inquiries', 0.9488131198732971]
['1828', 0.9487413513577774]
['coast', 0.9487292067946872]
['grooves', 0.9486844391394388]
['taxing', 0.9485354685511608]
['1355', 0.9485354685511608]
['distraction', 0.9484398778818472]
['livery', 0.9483935999867172]
['souls', 0.9483837562489245]
['hits', 0.9483573006413393]
['fettered', 0.9483573006413393]
['manhood', 0.9483573006413393]
['antithesis', 0.9483573006413393]
['skeptical', 0.9483573006413393]
['facial', 0.9483573006413393]
['frosts', 0.9483573006413393]
['paracelsus', 0.9483573006413393]
['perils', 0.9483573006413393]
['familiarity', 0.9483573006413393]
['comprends', 0.9483573006413393]
['agriculture', 0.9482830652618642]
['vases', 0.9481517396470396]
['eggs', 0.9478100719129594]
['correspondent', 0.9477880454127247]
['ankle', 0.9477756343234335]
['loosening', 0.9475854415811904]
['animadvert', 0.9475557629056705]
['value', 0.9473932538667056]
['kritters', 0.9473859779364966]
['guests', 0.9472903825365018]
['medium', 0.9472515981878307]
['shelf', 0.9472257187940775]
['helping', 0.9471636403467604]
['flounder', 0.9471351879856349]
['lindsay', 0.9471060136288629]
['ways', 0.9470407894698214]
['endurance', 0.9470130278274009]
['projectors', 0.9463569513285621]
['litigation', 0.945980426466893]
['bearings', 0.9459617970697796]
['threshold', 0.9458512159696685]
['commented', 0.9458512159696685]
['inconsolable', 0.9458512159696685]
['pallid', 0.9458512159696685]
['purchases', 0.9458112395101044]
['certainty', 0.945715497473161]
['dentist', 0.9455963412100032]
['dismay', 0.9455881750857642]
['advance', 0.945581558296719]
['administrations', 0.9454401278232604]
['command', 0.9454294715280833]
['yea', 0.945359171951068]
['marconi', 0.945359171951068]
['fail', 0.9453450318313696]
['tamen', 0.9449127189924864]
['immense', 0.9446411075554352]
['unwary', 0.9446168658745944]
['civil', 0.9444833107534972]
['slabs', 0.9444763016536375]
['whiter', 0.9443724733402726]
['benares', 0.9442692625800763]
['angry', 0.944174367073776]
['amid', 0.9439473909234116]
['tails', 0.943900345975584]
['disclosed', 0.9438860066354359]
['_earth_', 0.9438316977161887]
['birth', 0.9437941899210391]
['breaker', 0.9437361649185773]
['wayfarers', 0.9436538538389607]
['milon', 0.943643655983746]
['talking', 0.9435816877077031]
['vulcan', 0.9433526761143152]
['yells', 0.9433526761143152]
['methodizing', 0.9432894065273846]
['unfrequent', 0.9432809241066497]
['cities', 0.9431992219853091]
['beggin', 0.9431714911673308]
['combine', 0.9431714911673308]
['marries', 0.942954335867487]
['competitors', 0.9424822699750869]
['mme', 0.9424375341811926]
['subordination', 0.9423160409598864]
['appy', 0.942312142585106]
['_absurdities_', 0.9423086647644424]
['facing', 0.9422259345126466]
['gracefulness', 0.9420508526790288]
['ancestral', 0.9419892503216141]
['mornin', 0.9419892503216141]
['swiftness', 0.9419797553952207]
['surrendering', 0.9419778266530212]
['recedes', 0.9419573276942426]
['consists', 0.9418798524361899]
['avidity', 0.9418302467056878]
['spits', 0.9417499616103215]
['singularity', 0.9417422051845183]
['mislead', 0.9417331433078321]
['unpractised', 0.9416921959634162]
['infamous', 0.9416921959634162]
['grandson', 0.9416921959634162]
['subserve', 0.9416921959634162]
['drunstall', 0.9416921959634162]
['retards', 0.9416921959634162]
['paces', 0.9416921959634162]
['eyes', 0.9416921959634162]
['shootin', 0.9416921959634162]
['mirth', 0.9416921959634162]
['princess', 0.9416921959634162]
['fret', 0.9416921959634162]
['tenacity', 0.9416232810754852]
['fantastically', 0.9416004832799721]
['spielsberg', 0.9414328825577452]
['freshet', 0.9413782902610429]
['dried', 0.9412961726180618]
['winters', 0.9411234345053754]
['wolverine', 0.9411010708251624]
['augured', 0.9410490550693136]
['obliterated', 0.9410490550693136]
['eddied', 0.941015631906436]
['craven', 0.9410068145949745]
['polyglot', 0.940709140846535]
['wiped', 0.940709140846535]
['outwardly', 0.940709140846535]
['habitues', 0.940709140846535]
['mistrusted', 0.9403565080738109]
['figures', 0.9403211797189508]
['veins', 0.9401765479017601]
['goals', 0.9401284630130322]
['ply', 0.940125607739307]
['xxix', 0.9399861539941993]
['03', 0.9399814545858831]
['increased', 0.9399814545858831]
['virus', 0.9399424877691758]
['folk', 0.9399424877691758]
['blest', 0.9399331436985677]
['swiss', 0.9398766766923272]
['nets', 0.939840924588722]
['quell', 0.939840924588722]
['superstition', 0.939840924588722]
['dancers', 0.939840924588722]
['prophetically', 0.9397736597846233]
['sikh', 0.9397323424110486]
['lame', 0.9397323424110486]
['frame', 0.9397323424110486]
['annihilated', 0.9397323424110486]
['waveless', 0.9397323424110486]
['domestics', 0.9397323424110486]
['exclusively', 0.9397323424110486]
['elasticity', 0.9397323424110486]
['sniffing', 0.9397323424110486]
['limited', 0.9397323424110486]
['quicke', 0.9396311403776639]
['paired', 0.9393572642542]
['exploration', 0.9390450292453646]
['grant', 0.9387181839659777]
['ex', 0.9383760848724854]
['extensive', 0.9381934511367676]
['calamity', 0.9381771662723524]
['uncertainty', 0.9381349847472836]
['muscle', 0.9380014425671025]
['topmost', 0.937883213816881]
['mutton', 0.9378548262727869]
['duck', 0.9378470111100317]
['emptiness', 0.9376173920912727]
['scenery', 0.9375628904399315]
['quietly', 0.9373659580449815]
['charged', 0.9373062268114895]
['murrays', 0.9373051311359718]
['ascending', 0.9372725028669812]
['surf', 0.9372321787272878]
['seam', 0.9371538869063774]
['feebly', 0.9371538869063774]
['ceremony', 0.9370533909647626]
['chastened', 0.9370435715571129]
['taller', 0.9370020512120198]
['grimaces', 0.9368257406369673]
['_hymns', 0.9367244211376264]
['epimenides', 0.9366708725289097]
['unbroken', 0.9366708725289097]
['reine', 0.9366708725289097]
['deferentially', 0.936560387431968]
['conflicts', 0.9365597902437366]
['throes', 0.9365324040368952]
['lyin', 0.9364337429848967]
['testify', 0.9364152911859784]
['affect', 0.9364093971538542]
['mattered', 0.9363664455329783]
['habiliments', 0.936245561383842]
['avenged', 0.9361640982438598]
['somewhere', 0.9361640982438598]
['tablets', 0.9361199471550872]
['the_', 0.9360212765215407]
['mutter', 0.9360212765215407]
['mercy', 0.9360212765215407]
['broods', 0.9358900991967878]
['spunk', 0.9357940867928345]
['doan', 0.9357703442851717]
['isolation', 0.9357513719743875]
['superadded', 0.9356734931074084]
['justify', 0.9355539721314162]
['protect', 0.9355539721314162]
['sor', 0.9355539721314162]
['meted', 0.935533686401586]
['exertion', 0.9355272703038839]
['reptile', 0.93544189315431]
['cardboard', 0.93544189315431]
['ezra', 0.93544189315431]
['mother', 0.93544189315431]
['located', 0.9353875148671792]
['libraries', 0.9352943397190308]
['highland', 0.9352714359232346]
['genus', 0.9351932393828406]
['wavered', 0.9351177185411352]
['bestowing', 0.9350478016221022]
['confines', 0.9350147220308808]
['ridiculous', 0.9349136772047179]
['pleasurable', 0.9344823816123837]
['stiffly', 0.9344823816123837]
['scrupulous', 0.9344823816123837]
['thrilling', 0.9343420950640665]
['coon', 0.9343129350048986]
['befitted', 0.9343129350048986]
['observance', 0.9342687371086975]
['trying', 0.9342638042691517]
['duchess', 0.9342638042691517]
['_oime', 0.9341493008392595]
['moreover', 0.9341252445311413]
['testily', 0.9341252445311413]
['interchange', 0.9341252445311413]
['shiners', 0.9341252445311413]
['hymnology', 0.9339966152779611]
['righteous', 0.9339538830873615]
['generations', 0.9337822547275846]
['khan', 0.9337546435636812]
['sultan', 0.9337229583457998]
['barren', 0.9337008707909281]
['rigging', 0.9337008707909281]
['impediments', 0.9337008707909281]
['undistinguishable', 0.9337008707909281]
['caligula', 0.9337008707909281]
['kraighten', 0.9337008707909281]
['display', 0.9337008707909281]
['guitar', 0.9337008707909281]
['avoidable', 0.9337008707909281]
['stepmothers', 0.9337008707909281]
['skelter', 0.9337008707909281]
['tiring', 0.9337008707909281]
['never', 0.9337008707909281]
['shortening', 0.9337008707909281]
['buildings', 0.9337008707909281]
['waken', 0.9337008707909281]
['rusted', 0.9337008707909281]
['ted', 0.9337008707909281]
['illumined', 0.9337008707909281]
['embarrassment', 0.9337008707909281]
['cried', 0.9337008707909281]
['divination', 0.9337008707909281]
['gaul', 0.9337008707909281]
['illustrations', 0.9337008707909281]
['trance', 0.9337008707909281]
['behaving', 0.9337008707909281]
['corresponding', 0.9337008707909281]
['part', 0.9337008707909281]
['ached', 0.9337008707909281]
['conceit', 0.9337008707909281]
['withdrew', 0.9337008707909281]
['coupled', 0.9337008707909281]
['dish', 0.9337008707909281]
['posture', 0.9337008707909281]
['lad', 0.9337008707909281]
['umbrella', 0.9337008707909281]
['_where', 0.9337008707909281]
['horatius', 0.9337008707909281]
['stringin', 0.9337008707909281]
['efforts', 0.9337008707909281]
['water', 0.9337008707909281]
['sculptured', 0.9337008707909281]
['hodgson', 0.9336714436979585]
['approval', 0.9335665695535303]
['gully', 0.933268310079646]
['mania', 0.9332484430631833]
['_pestolozzi', 0.9331378505219483]
['exhibitions', 0.9330403098772883]
['aghast', 0.9329867078134357]
['marvelled', 0.9329867078134357]
['agreed', 0.9329867078134357]
['marvel', 0.9327953503996887]
['insubordination', 0.932787382927727]
['mein', 0.932787382927727]
['intricate', 0.9327632093822388]
['rabats', 0.9327491398861021]
['perfect', 0.9325547985560948]
['century', 0.932459462048315]
['sans', 0.9324235795330369]
['prevailed', 0.9324013823346291]
['ankles', 0.9324013823346291]
['relics', 0.9324013823346291]
['_was_', 0.9324013823346291]
['accelerated', 0.9324013823346291]
['lazy', 0.9324013823346291]
['strip', 0.9324013823346291]
['flared', 0.9324013823346291]
['miraculous', 0.9324013823346291]
['monetary', 0.9323214759986528]
['theous', 0.9322856540928408]
['surpasses', 0.9320727567559499]
['entertainment', 0.9320727567559499]
['decayed', 0.9320200393305179]
['ruts', 0.9316964658144071]
['anger', 0.931516488441204]
['muddy', 0.9314709102544515]
['censure', 0.9312771545318149]
['interrogation', 0.9311499473230712]
['emptied', 0.9310140838192243]
['battered', 0.9310102892233263]
['aggregate', 0.9309528667812241]
['than', 0.9308841444222449]
['impels', 0.9307927449038184]
['brig', 0.9307927449038184]
['seek', 0.9307927449038184]
['animates', 0.9307927449038184]
