['intimidated', 0.9981380320967599]
['theatricals', 0.9596510975592913]
['plagued', 0.9596510975592913]
['sight', 0.9596510975592913]
['kamtschadales', 0.9596510975592913]
['sent', 0.9596510975592913]
['garden', 0.9596510975592913]
['languished', 0.9596510975592913]
['gardes', 0.9596510975592913]
['chartered', 0.9596510975592913]
['mortify', 0.9596510975592913]
['meerschaum', 0.9596510975592913]
['allow', 0.9596510975592913]
['unmerited', 0.9596510975592913]
['jesus', 0.9596510975592913]
['blows', 0.9596510975592913]
['malady', 0.9596510975592913]
['penitential', 0.9596510975592913]
['ignited', 0.9596510975592913]
['chrysostom', 0.9596510975592913]
['unceasingly', 0.9596510975592913]
['unabated', 0.9596510975592913]
['lizard', 0.9596510975592913]
['ordinary', 0.9596510975592913]
['them', 0.9596510975592913]
['vessels', 0.9596510975592913]
['forth', 0.9596510975592913]
['manner', 0.9596510975592913]
['vigorous', 0.9596510975592913]
['inquisition', 0.9596510975592913]
['unwilling', 0.9596510975592913]
['flash', 0.9596510975592913]
['chiffons', 0.9596510975592913]
['allowable', 0.9596510975592913]
['wistful', 0.9596510975592913]
['breed', 0.9596510975592913]
['callous', 0.9596510975592913]
['lusius', 0.9596510975592913]
['recorded', 0.9596510975592913]
['hurry', 0.9596510975592913]
['inert', 0.9596510975592913]
['pup', 0.9596510975592913]
['frauds', 0.9596510975592913]
['gloves', 0.9596510975592913]
['shag', 0.9596510975592913]
['clears', 0.9596510975592913]
['rum', 0.9596510975592913]
['caressed', 0.9596510975592913]
['_savoir', 0.9596510975592913]
['circulate', 0.9596510975592913]
['whelmed', 0.9596510975592913]
['adieu', 0.9596510975592913]
['consequences', 0.9596510975592913]
['envy', 0.9596510975592913]
['arabian', 0.9596510975592913]
['fuel', 0.9596510975592913]
['parlors', 0.9596510975592913]
['horrible', 0.9596510975592913]
['kindischen', 0.9596510975592913]
['addition', 0.9596510975592913]
['releasing', 0.9596510975592913]
['gabbled', 0.9596510975592913]
['disclosures', 0.9596510975592913]
['lambs', 0.9596510975592913]
['imperfectly', 0.9596510975592913]
['choked', 0.9596510975592913]
['th', 0.9596510975592913]
['suspicioned', 0.9596510975592913]
['plants', 0.9596510975592913]
['elocution', 0.9596510975592913]
['greenish', 0.9596510975592913]
['heading', 0.9596510975592913]
['loons', 0.9596510975592913]
['hook', 0.9596510975592913]
['brilliancy', 0.9596510975592913]
['tailors', 0.9596510975592913]
['pebbles', 0.9596510975592913]
['speedily', 0.9596510975592913]
['beaching', 0.9596510975592913]
['burn', 0.9596510975592913]
['fore', 0.9596510975592913]
['sticky', 0.9596510975592913]
['diet', 0.9596510975592913]
['transfers', 0.9596510975592913]
['died', 0.9596510975592913]
['marks', 0.9596510975592913]
['genuinely', 0.9596510975592913]
['walled', 0.9596510975592913]
['growing', 0.9596510975592913]
['facile', 0.9596510975592913]
['watts', 0.9596510975592913]
['conspicuous', 0.9596510975592913]
['shutters', 0.9596510975592913]
['audience', 0.9596510975592913]
['robbery', 0.9596510975592913]
['voluntarily', 0.9596510975592913]
['slavery', 0.9596510975592913]
['ridicule', 0.9596510975592913]
['needful', 0.9596510975592913]
['liar', 0.9596510975592913]
['reminding', 0.9596510975592913]
['infatuation', 0.9596510975592913]
['winds', 0.9596510975592913]
['lawyer', 0.9596510975592913]
['warnin', 0.9596510975592913]
['barked', 0.9596510975592913]
['pens', 0.9596510975592913]
['stepped', 0.9596510975592913]
['enveloped', 0.9596510975592913]
['smother', 0.9596510975592913]
['fun', 0.9596510975592913]
['shoddy', 0.9596510975592913]
['diversions', 0.9596510975592913]
['flanks', 0.9596510975592913]
['defrayed', 0.9596510975592913]
['carved', 0.9596510975592913]
['kickin', 0.9596510975592913]
['_hating_', 0.9596510975592913]
['graves', 0.9596510975592913]
['ashamed', 0.9596510975592913]
['harvest', 0.9596510975592913]
['proportions', 0.9596510975592913]
['fondle', 0.9596510975592913]
['deprived', 0.9596510975592913]
['treatin', 0.9596510975592913]
['untrue', 0.9596510975592913]
['virg', 0.9596510975592913]
['prescription', 0.9596510975592913]
['housekeeper', 0.9596510975592913]
['wise', 0.9596510975592913]
['verdigris', 0.9596510975592913]
['onpleasant', 0.9596510975592913]
['knells', 0.9596510975592913]
['philippines', 0.9596510975592913]
['mich_', 0.9596510975592913]
['pearls', 0.9596510975592913]
['riot', 0.9596510975592913]
['chocolate', 0.9596510975592913]
['unawares', 0.9596510975592913]
['tipped', 0.9596510975592913]
['worship', 0.9596510975592913]
['sacked', 0.9596510975592913]
['guessed', 0.9596510975592913]
['crusader', 0.9596510975592913]
['heelers', 0.9596510975592913]
['helmet', 0.9596510975592913]
['recital', 0.9596510975592913]
['termination', 0.9596510975592913]
['mutually', 0.9596510975592913]
['boatman', 0.9596510975592913]
['congeniality', 0.9596510975592913]
['odds', 0.9596510975592913]
['follow', 0.9596510975592913]
['_need_', 0.9596510975592913]
['deeply', 0.9596510975592913]
['combating', 0.9596510975592913]
['madeleine', 0.9596510975592913]
['screens', 0.9596510975592913]
['1902', 0.9596510975592913]
['pommeling', 0.9596510975592913]
['walaeus', 0.9596510975592913]
['persecutions', 0.9596510975592913]
['activity', 0.9596510975592913]
['foreseeing', 0.9596510975592913]
['sagacious', 0.9596510975592913]
['erebus', 0.9596510975592913]
['cytisus', 0.9596510975592913]
['understood', 0.9596510975592913]
['ordeal', 0.9596510975592913]
['gratifying', 0.9596510975592913]
['associated', 0.9596510975592913]
['perusal', 0.9596510975592913]
['nasr', 0.9596510975592913]
['calculation', 0.9596510975592913]
['appius', 0.9596510975592913]
['permanent', 0.9596510975592913]
['rhos', 0.9596510975592913]
['promptly', 0.9596510975592913]
['contemplatively', 0.9596510975592913]
['refreshing', 0.9596510975592913]
['spur', 0.9596510975592913]
['nightingale', 0.9596510975592913]
['cross', 0.9596510975592913]
['parallelograms', 0.9596510975592913]
['owl', 0.9596510975592913]
['trotting', 0.9596510975592913]
['foul', 0.9596510975592913]
['brutish', 0.9596510975592913]
['atoms', 0.9596510975592913]
['electricity', 0.9596510975592913]
['strike', 0.9596510975592913]
['unlawfully', 0.9596510975592913]
['enormous', 0.9596510975592913]
['pocket', 0.9596510975592913]
['relish', 0.9596510975592913]
['worked', 0.9596510975592913]
['festoons', 0.9596510975592913]
['raised', 0.9596510975592913]
['magnificent', 0.9596510975592913]
['canopied', 0.9596510975592913]
['150', 0.9596510975592913]
['passengers', 0.9596510975592913]
['shouldered', 0.9596510975592913]
['offshoot', 0.9596510975592913]
['lovelier', 0.9596510975592913]
['squared', 0.9596510975592913]
['ascendant', 0.9596510975592913]
['drive', 0.9596510975592913]
['aroused', 0.9596510975592913]
['many', 0.9596510975592913]
['expenditures', 0.9596510975592913]
['jarred', 0.9596510975592913]
['rigmarole', 0.9596510975592913]
['hew', 0.9596510975592913]
['to', 0.9596510975592913]
['cable', 0.9596510975592913]
['scientists', 0.9596510975592913]
['ethics', 0.9596510975592913]
['guess', 0.9596510975592913]
['toujours', 0.9596510975592913]
['progressive', 0.9596510975592913]
['shrillest', 0.9596510975592913]
['representative', 0.9596510975592913]
['concrete', 0.9596510975592913]
['facets', 0.9596510975592913]
['lucii', 0.9596510975592913]
['accompaniment', 0.9596510975592913]
['strides', 0.9596510975592913]
['hardware', 0.9596510975592913]
['bibliography', 0.9596510975592913]
['incompetent', 0.9596510975592913]
['veil', 0.9596510975592913]
['festive', 0.9596510975592913]
['envious', 0.9596510975592913]
['swaddling', 0.9596510975592913]
['religions', 0.9596510975592913]
['ganymede', 0.9596510975592913]
['war', 0.9596510975592913]
['fou', 0.9596510975592913]
['perceived', 0.9596510975592913]
['presented', 0.9596510975592913]
['repents', 0.9596510975592913]
['hesitated', 0.9596510975592913]
['indescribable', 0.9596510975592913]
['indifferently', 0.9596510975592913]
['clarion', 0.9596510975592913]
['keyed', 0.9596510975592913]
['enabling', 0.9596510975592913]
['heron', 0.9596510975592913]
['miscellany', 0.9596510975592913]
['desirest', 0.9596510975592913]
['entertainments', 0.9596510975592913]
['spectacular', 0.9596510975592913]
['wheat', 0.9596510975592913]
['removing', 0.9596510975592913]
['peas', 0.9596510975592913]
['loose', 0.9596510975592913]
['handwriting', 0.9596510975592913]
['family', 0.9596510975592913]
['courtier', 0.9596510975592913]
['factories', 0.9596510975592913]
['stopped', 0.9596510975592913]
['unfathomed', 0.9596510975592913]
['perceptible', 0.9596510975592913]
['misapprehended', 0.9596510975592913]
['perseverance', 0.9596510975592913]
['grew', 0.9596510975592913]
['dame', 0.9596510975592913]
['recalled', 0.9596510975592913]
['loon', 0.9596510975592913]
['socialist', 0.9596510975592913]
['10008', 0.9596510975592913]
['wings', 0.9596510975592913]
['sleigh', 0.9596510975592913]
['ecclesiastic', 0.9596510975592913]
['flicker', 0.9596510975592913]
['murderous', 0.9596510975592913]
['referable', 0.9596510975592913]
['wid', 0.9596510975592913]
['rations', 0.9596510975592913]
['fatigue', 0.9596510975592913]
['ear', 0.9596510975592913]
['eau', 0.9596510975592913]
['dufaure', 0.9596510975592913]
['confessors', 0.9596510975592913]
['niches', 0.9596510975592913]
['bony', 0.9596510975592913]
['mounts', 0.9596510975592913]
['assisting', 0.9596510975592913]
['uncommemorated', 0.9596510975592913]
['00', 0.9596510975592913]
['pets', 0.9596510975592913]
['und', 0.9596510975592913]
['gushed', 0.9596510975592913]
['decrepit', 0.9596510975592913]
['regretted', 0.9596510975592913]
['abscess', 0.9596510975592913]
['auspicious', 0.9596510975592913]
['stealer', 0.9596510975592913]
['cuckoo', 0.9596510975592913]
['redness', 0.9596510975592913]
['wishing', 0.9596510975592913]
['_mein', 0.9596510975592913]
['orb', 0.9596510975592913]
['thine', 0.9596510975592913]
['wretch', 0.9596510975592913]
['predicament', 0.9596510975592913]
['solidity', 0.9596510975592913]
['confirm', 0.9596510975592913]
['laboriously', 0.9596510975592913]
['romantic', 0.9596510975592913]
['inexhaustible', 0.9596510975592913]
['applicable', 0.9596510975592913]
['whereupon', 0.9596510975592913]
['eye', 0.9596510975592913]
['admetus', 0.9596510975592913]
['awkward', 0.9596510975592913]
['abide', 0.9596510975592913]
['conspirators', 0.9596510975592913]
['flitted', 0.9596510975592913]
['icewater', 0.9596510975592913]
['moss', 0.9596510975592913]
['frisco', 0.9596510975592913]
['administrative', 0.9596510975592913]
['mis', 0.9596510975592913]
['inferior', 0.9596510975592913]
['swiftest', 0.9596510975592913]
['heatedly', 0.9596510975592913]
['alliteration', 0.9596510975592913]
['ravishing', 0.9596510975592913]
['mystical', 0.9596510975592913]
['practising', 0.9596510975592913]
['disgust', 0.9596510975592913]
['watch', 0.9596510975592913]
['frying', 0.9596510975592913]
['ruminatingly', 0.9596510975592913]
['suggest', 0.9596510975592913]
['tackel', 0.9596510975592913]
['obtaining', 0.9596510975592913]
['intolerance', 0.9596510975592913]
['discharge', 0.9596510975592913]
['gesticulating', 0.9596510975592913]
['sports', 0.9596510975592913]
['handles', 0.9596510975592913]
['smilingly', 0.9596510975592913]
['depriving', 0.9596510975592913]
['execute', 0.9596510975592913]
['vagabondism', 0.9596510975592913]
['skillfully', 0.9596510975592913]
['seekest', 0.9596510975592913]
['given', 0.9596510975592913]
['unfortunately', 0.9596510975592913]
['straddled', 0.9596510975592913]
['reveal', 0.9596510975592913]
['dramas', 0.9596510975592913]
['discussing', 0.9596510975592913]
['mount', 0.9596510975592913]
['persons', 0.9596510975592913]
['widest', 0.9596510975592913]
['regard', 0.9596510975592913]
['bivalves', 0.9596510975592913]
['psychology', 0.9596510975592913]
['what', 0.9596510975592913]
['wacht', 0.9596510975592913]
['faint', 0.9596510975592913]
['profited', 0.9596510975592913]
['harmonies', 0.9596510975592913]
['induces', 0.9596510975592913]
['feed', 0.9596510975592913]
['declined', 0.9596510975592913]
['chickens', 0.9596510975592913]
['breakfasting', 0.9596510975592913]
['mock', 0.9596510975592913]
['attaining', 0.9596510975592913]
['narrative', 0.9596510975592913]
['sable_', 0.9596510975592913]
['maternal', 0.9596510975592913]
['clusters', 0.9596510975592913]
['lilac', 0.9596510975592913]
['rearranged', 0.9596510975592913]
['piano', 0.9596510975592913]
['superlatively', 0.9596510975592913]
['campfire', 0.9596510975592913]
['tactics', 0.9596510975592913]
['sittings', 0.9596510975592913]
['efferything', 0.9596510975592913]
['detracts', 0.9596510975592913]
['menaced', 0.9596510975592913]
['fidelity', 0.9596510975592913]
['journeyings', 0.9596510975592913]
['howdahs', 0.9596510975592913]
['bitten', 0.9596510975592913]
['expectoration', 0.9596510975592913]
['louise', 0.9596510975592913]
['tawdry', 0.9596510975592913]
['greens', 0.9596510975592913]
['cles', 0.9596510975592913]
['skulls', 0.9596510975592913]
['reflectively', 0.9596510975592913]
['right', 0.9596510975592913]
['ole', 0.9596510975592913]
['insistence', 0.9596510975592913]
['manufacturing', 0.9596510975592913]
['vagabondizing', 0.9596510975592913]
['evidently', 0.9596510975592913]
['such', 0.9596510975592913]
['flutes', 0.9596510975592913]
['boundless', 0.9596510975592913]
['williams', 0.9596510975592913]
['furthered', 0.9596510975592913]
['enfold', 0.9596510975592913]
['intimate', 0.9596510975592913]
['forgetfulness', 0.9596510975592913]
['aegisthus', 0.9596510975592913]
['walks', 0.9596510975592913]
['demigods', 0.9596510975592913]
['infrequently', 0.9596510975592913]
['vie', 0.9596510975592913]
['select', 0.9596510975592913]
['objections', 0.9596510975592913]
['appealed', 0.9596510975592913]
['sargent', 0.9596510975592913]
['peasantry', 0.9596510975592913]
['surprises', 0.9596510975592913]
['palisadoed', 0.9596510975592913]
['atom', 0.9596510975592913]
['elements', 0.9596510975592913]
['reasoned', 0.9596510975592913]
['encloses', 0.9596510975592913]
['opposing', 0.9596510975592913]
['courtiers', 0.9596510975592913]
['volunteers', 0.9596510975592913]
['idealities', 0.9596510975592913]
['persia', 0.9596510975592913]
['accompanied', 0.9596510975592913]
['poisons', 0.9596510975592913]
['viewed', 0.9596510975592913]
['reloaded', 0.9596510975592913]
['terminate', 0.9596510975592913]
['bedroom', 0.9596510975592913]
['harsher', 0.9596510975592913]
['explosive', 0.9596510975592913]
['_translations', 0.9596510975592913]
['expounded', 0.9596510975592913]
['overcast', 0.9596510975592913]
['jolies', 0.9596510975592913]
['wetted', 0.9596510975592913]
['pierced', 0.9596510975592913]
['worn', 0.9596510975592913]
['blooming', 0.9596510975592913]
['inhumanly', 0.9596510975592913]
['order', 0.9596510975592913]
['satisfied', 0.9596510975592913]
['tinkle', 0.9596510975592913]
['sunning', 0.9596510975592913]
['fervid', 0.9596510975592913]
['rejects', 0.9596510975592913]
['unexplainable', 0.9596510975592913]
['809', 0.9596510975592913]
['ardor', 0.9596510975592913]
['steed', 0.9596510975592913]
['scarecrow', 0.9596510975592913]
['repelled', 0.9596510975592913]
['yellowbacked', 0.9596510975592913]
['rationally', 0.9596510975592913]
['champlain', 0.9596510975592913]
['mingle', 0.9596510975592913]
['editions', 0.9596510975592913]
['fingering', 0.9596510975592913]
['switched', 0.9596510975592913]
['recluse', 0.9596510975592913]
['disapproved', 0.9596510975592913]
['emergencies', 0.9596510975592913]
['upper', 0.9596510975592913]
['rosicrucian', 0.9596510975592913]
['angelo', 0.9596510975592913]
['galerie', 0.9596510975592913]
['anxieties', 0.9596510975592913]
['masquerading', 0.9596510975592913]
['your', 0.9596510975592913]
['remembrances', 0.9596510975592913]
['massachusetts', 0.9596510975592913]
['unquestioning', 0.9596510975592913]
['derived', 0.9596510975592913]
['sceptic', 0.9596510975592913]
['_darwin_', 0.9596510975592913]
['bowed', 0.9596510975592913]
['_la', 0.9596510975592913]
['winced', 0.9596510975592913]
['roasted', 0.9596510975592913]
['eating', 0.9596510975592913]
['nap', 0.9596510975592913]
['neighbouring', 0.9596510975592913]
['plays', 0.9596510975592913]
['poles', 0.9596510975592913]
['contentment', 0.9596510975592913]
['publique', 0.9596510975592913]
['nibs', 0.9596510975592913]
['front', 0.9596510975592913]
['beard', 0.9596510975592913]
['_famous_', 0.9596510975592913]
['piqued', 0.9596510975592913]
['crushed', 0.9596510975592913]
['burden', 0.9596510975592913]
['cricket', 0.9596510975592913]
['dicotyledon', 0.9596510975592913]
['leaner', 0.9596510975592913]
['_iv_', 0.9596510975592913]
['victories', 0.9596510975592913]
['thoroughfares', 0.9596510975592913]
['witnessing', 0.9596510975592913]
['divert', 0.9596510975592913]
['uneasiness', 0.9596510975592913]
['unworthy', 0.9596510975592913]
['spattered', 0.9596510975592913]
['ernst', 0.9596510975592913]
['smoker', 0.9596510975592913]
['overhung', 0.9596510975592913]
['diagnose', 0.9596510975592913]
['clerk', 0.9596510975592913]
['arrive', 0.9596510975592913]
['churlishness', 0.9596510975592913]
['argued', 0.9596510975592913]
['blends', 0.9596510975592913]
['sifted', 0.9596510975592913]
['marooned', 0.9596510975592913]
['singers', 0.9596510975592913]
['breakfasts', 0.9596510975592913]
