['raking', 0.994494282527479]
['ease', 0.9456255854672543]
['treat', 0.9450477656084284]
['cleaners', 0.9447674188156097]
['artery', 0.9446764434253389]
['kinks', 0.9445777778797408]
['cabalistic', 0.9445385077093705]
['preliminaries', 0.9445011851475275]
['weighty', 0.9444193525288506]
['exert', 0.9444127842659323]
['huts', 0.9440338634085564]
['firmament', 0.943991778203803]
['lungs', 0.9438824801780916]
['raillery', 0.9437965700126787]
['financial', 0.9437285393425939]
['onset', 0.9436086678846193]
['marring', 0.9434778315049919]
['despatches', 0.943292046656396]
['originality', 0.9432827897471917]
['mattered', 0.9431793427095649]
['grander', 0.9431455832395413]
['attempted', 0.9431431010270046]
['contradictory', 0.943059778113432]
['oliffe', 0.9428439861057456]
['apothecary', 0.9424581449292899]
['papers', 0.9422963505204587]
['room', 0.9417120738325998]
['hundreds', 0.9416926844588344]
['rounding', 0.941633721715829]
['chastened', 0.9414645287894666]
['bargain', 0.9413613890556805]
['bowling', 0.9413168363588763]
['unhorizoned', 0.9413095574127833]
['feverish', 0.9411234990626949]
['revealment', 0.9411234990626949]
['_areopagitica_', 0.9409102906837491]
['coachmen', 0.940899745023376]
['decision', 0.9408442332611346]
['cord', 0.9408056053146168]
['novels', 0.9407876022399156]
['si', 0.9406479453117254]
['await', 0.9404728447783525]
['gore', 0.9402982336081275]
['ends', 0.940236191817162]
['declare', 0.9401872867826677]
['myriads', 0.9401439505289981]
['competitors', 0.9395021398566096]
['oracle', 0.9393972667084813]
['resurrected', 0.9392514345023981]
['plagues', 0.9390615852846231]
['compulsory', 0.9390548778231376]
['package', 0.9388726330708195]
['wharf', 0.9388102395416132]
['zest', 0.9386531811483962]
['eminence', 0.9384174564910133]
['statue', 0.9383449814407147]
['liberal', 0.9382736007125173]
['perform', 0.9382584377396299]
['disorganized', 0.9382420726023333]
['scupper', 0.9376033688888894]
['sacrificed', 0.9373153104695146]
['kitchens', 0.9371870003174553]
['taels', 0.937068389684848]
['shearing', 0.9370383006746777]
['chatty', 0.9368248489344734]
['irrelevant', 0.9368248489344734]
['cumbrous', 0.9367749323648246]
['lowell', 0.936562450692869]
['princely', 0.9356928286520276]
['midside', 0.9356721962275673]
['akin', 0.9356376751631892]
['worth', 0.9353952065964886]
['shivered', 0.9353104489874325]
['cap', 0.9348271331317617]
['keene', 0.9346346227785673]
['weakest', 0.9344309981298995]
['dakota_', 0.934120731089758]
['prostration', 0.933869698810321]
['cheaper', 0.9337991087283801]
['mound', 0.9337757608410421]
['suggestive', 0.9337159495617996]
['ballface', 0.9337150503149481]
['gutenberg', 0.9334033434830398]
['emptied', 0.9333675961291906]
['size', 0.9332089750254554]
['etre', 0.9330041109007838]
['blazing', 0.9328652527273364]
['recruiting', 0.9326429224368499]
['lindsay', 0.932324114894777]
['bugle', 0.9320547875821054]
['speeded', 0.9319501718848581]
['precincts', 0.9317947437304577]
['forked', 0.9316967854923373]
['communicating', 0.9315904246107554]
['cautious', 0.9312747838443459]
['signposts', 0.9312664003559489]
['clung', 0.9312473375096433]
['probity', 0.9311269818617676]
['pony', 0.9310722127765145]
['constrains', 0.9310169923392349]
['evacuations', 0.9309906926500429]
['melodies', 0.9309648371973005]
['mole', 0.9308195909041791]
['embroidered', 0.9307929763301593]
['toads', 0.9307562446145473]
['depleted', 0.9306520060023294]
['sorting', 0.9306212665304945]
['calculations', 0.9305242222740766]
['sorrowfully', 0.930467893973613]
['pilgrim', 0.9301458244443997]
['_women', 0.9301127736118409]
['mass', 0.929825991233021]
['cavity', 0.9297521430859492]
['misty', 0.9295234513009841]
['chrysanthemums', 0.9295225311086449]
['appreciating', 0.9295180743321253]
['competitions', 0.9294954271851874]
['honesty', 0.9294377672003077]
['bout', 0.9293475623436818]
['shame', 0.9292913149932496]
['perfections', 0.929134394823247]
['unacceptable', 0.92909760004877]
['modesty', 0.9290405858879411]
['inanely', 0.9288504540028506]
['colleague', 0.9284619640651437]
['duchatel', 0.9283081958982338]
['gapped', 0.9282376264094474]
['interlocked', 0.9282128448056773]
['maris', 0.9280820291376649]
['suspicious', 0.9279314454681886]
['commencement', 0.9277883455716243]
['brush', 0.9275064453058243]
['discuss', 0.9275059690886664]
['fairy', 0.9273952870883789]
['undermines', 0.9273757667342322]
['deceased', 0.9269621806917603]
['1513', 0.926932357042015]
['latest', 0.9269233862317264]
['breakdown', 0.9268821398242073]
['apply', 0.9267406836292089]
['scalps', 0.926705424920168]
['keepers', 0.9265996342236129]
['syllables', 0.9265894699480226]
['_in', 0.9265768969954449]
['temples', 0.9265011686092346]
['traders', 0.9263051021558304]
['forests', 0.9261153758742434]
['exceeded', 0.9259381853967713]
['mislead', 0.9254497274742486]
['reaction', 0.9254264187689081]
['solid', 0.9253741263494237]
['acquaintances', 0.9249586617653553]
['christianae', 0.9248649700529912]
['proofreading', 0.9246736971185425]
['ruled', 0.9245496727600268]
['nigger', 0.9245460195823427]
['eddied', 0.9245316983655735]
['betide', 0.924388341234406]
['contact', 0.9240990914573611]
['invented', 0.9240366736146073]
['overshadowing', 0.9240136193834447]
['1901', 0.923926149066455]
['64', 0.9238642311477474]
['summon', 0.9237864576838547]
['blankly', 0.9237459382260801]
['unapproving', 0.9237164819362269]
['jaw', 0.9237078436010355]
['sophocles', 0.9236693646369567]
['davits', 0.9236571138515989]
['jetes', 0.9236526815449166]
['sheriff', 0.9235739860202544]
['monarch', 0.9235474942859251]
['meetingplace', 0.9234871600072954]
['foamin', 0.9234262280834122]
['bradley', 0.9234232411620901]
['stub', 0.9233250891141341]
['yell', 0.9231917152209256]
['parish', 0.9231634060761239]
['righteousness', 0.9230706013247343]
['accosted', 0.9230398539357699]
['vanishing', 0.92292979279512]
['flushed', 0.922539060292044]
['belligerents', 0.9224969854410653]
['hoots', 0.922439960070647]
['corpulent', 0.9222496775768971]
['inquired', 0.9222487206148393]
['depute', 0.9221686399841723]
['richer', 0.921898323252747]
['maintenant', 0.9218630373218217]
['crests', 0.9217908044391562]
['humbert', 0.9217902367075794]
['minister', 0.9217178052717154]
['pavement', 0.9215815560977905]
['quand', 0.9214438888378538]
['jostling', 0.9213521888607773]
['cuba', 0.9212338679266253]
['mass_', 0.9211410733088269]
['comparatively', 0.9210889311173935]
['shoo', 0.9210753325505459]
['terrific', 0.9209095960533494]
['otaheitan', 0.9208395992557779]
['readily', 0.9208264922779166]
['trench', 0.920792535352543]
['dispelled', 0.9207857329230978]
['monsters', 0.9207761036252194]
['impaired', 0.9207409102545225]
['faure', 0.9205938422222033]
['towers', 0.9205937749434129]
['beowulf', 0.9203607367531601]
['wrath', 0.9201078142998493]
['grimmest', 0.919870591670401]
['stoop', 0.9197297076009705]
['decide', 0.919658011696679]
['crew', 0.9194302859297713]
['stack', 0.919232224001507]
['braced', 0.9188092010174742]
['bag', 0.9186814979257176]
['voiced', 0.9183927665272374]
['stayed', 0.9182070642679604]
['joint', 0.918184623930027]
['whittled', 0.9180907059748963]
['drugs', 0.9179654819876504]
['wry', 0.9178815719039524]
['dainties', 0.9176085502240594]
['_passion', 0.9175649556050314]
['pack', 0.9174716635376066]
['_has_', 0.9174448601887153]
['craft', 0.9172348627471301]
['regained', 0.9170528520700392]
['bestowing', 0.9168960818360083]
['click', 0.9168246749376401]
['thoughts', 0.9168234116484019]
['soothes', 0.9167464945184572]
['communicant', 0.9166600972686948]
['apathetic', 0.9165763743968467]
['nuncio', 0.9165564554690758]
['traditions', 0.9165427716811931]
['strychnine', 0.9165384719377908]
['freak', 0.9164817259403707]
['frequent', 0.9163239800529202]
['fox', 0.9160353245399195]
['bearable', 0.9160021605781977]
['thrilling', 0.9159931565846476]
['outer', 0.9159396261703696]
['disgraced', 0.9159084569554613]
['caparisons', 0.915837830071039]
['withstood', 0.915631948523438]
['virtues', 0.9154661981367666]
['suits', 0.9153121037756132]
['actualities', 0.9152836516182008]
['steadily', 0.915234760280786]
['hundred', 0.9151049125929074]
['obedient', 0.9149921401232274]
['magna', 0.9148612868604264]
['madison', 0.9147470142189464]
['souvenirs', 0.9147316886890253]
['barbarians', 0.9146690306407208]
['raccoon', 0.9145894848219942]
['etoile', 0.9144487178636305]
['uproot', 0.9144487178636305]
['endured', 0.9144005071796226]
['intelligence', 0.9143054254378875]
['manoeuvre', 0.9142488913139573]
['average', 0.9141859445688766]
['books', 0.9141135747848095]
['uncharitableness', 0.9138936972580567]
['_sure_', 0.9137920663068131]
['impotent', 0.9137778412759048]
['telescopes', 0.9136896268484258]
['volunteer', 0.9136363889977915]
['locally', 0.9135163224342051]
['reckons', 0.9133876923925422]
['establishers', 0.9132418458542446]
['edmond', 0.913029844657761]
['pumping', 0.9129738150711434]
['starry', 0.9128139595809674]
['closed', 0.9127681873343472]
['arts', 0.9127043834757171]
['amoundt', 0.9125349674619063]
['growl', 0.912469948281388]
['british', 0.9120479333974109]
['heartfelt', 0.9120381816269405]
['extracted', 0.911820623027194]
['sayest', 0.911806330113127]
['apartments', 0.9117833723346214]
['greasy', 0.9116240020938]
['need', 0.9116019036278586]
['nocturnal', 0.9115211481269768]
['irish', 0.9115126218551948]
['hollander', 0.9115023064374395]
['niagara', 0.9113797457209896]
['billowy', 0.9113093432041977]
['load', 0.9112807874620459]
['armament', 0.9111700733255204]
['bashfully', 0.9110323886159448]
['donations', 0.910980038372127]
['fuming', 0.9109199463005404]
['deductions', 0.9108803537460591]
['plunging', 0.9108287884477413]
['chime', 0.9107862879069257]
['narrowly', 0.9106751390038437]
['adapted', 0.9106516873921938]
['varied', 0.9105771111355179]
['preserver', 0.9105731290171077]
['scrimmage', 0.9105149966672066]
['manly', 0.9101899008736478]
['picture', 0.9101630177108074]
['rushing', 0.9101595742313702]
['fluttered', 0.9097846500688602]
['bet', 0.9096548675995122]
['males', 0.9095553395420548]
['element', 0.9095553395420548]
['mounted', 0.9094545984230459]
['boldly', 0.9093783644785725]
['traverses', 0.9093777448220448]
['hyper', 0.9093205701633161]
['dying', 0.9092825389910476]
['fully', 0.9092350380601605]
['orebeds', 0.9091493762424457]
['clymene', 0.9091225588818025]
['carelessness', 0.9090668782065353]
['demettre', 0.9090567317917938]
['petting', 0.9089734432741996]
['summons', 0.9088333734863413]
['earnestly', 0.9088302768102856]
['re', 0.9087551280331218]
['vapor', 0.9087428401750498]
['shadowy', 0.9087428401750498]
['selections', 0.9086697820456028]
['production', 0.9085216952474847]
['armchairs', 0.9083747381223566]
['antagonist', 0.9083589749193922]
['voters', 0.908153369904209]
['scuffle', 0.908071020047772]
['psycho', 0.9079568974071665]
['jet', 0.9078511432143376]
['colic', 0.9077198659270838]
['rasping', 0.9077118513372392]
['acquiescence', 0.9076198422435175]
['disavowed', 0.9075540713650948]
['committees', 0.9075302786671772]
['headstone', 0.9075028993970211]
['fearful', 0.9072310272369297]
['adressee', 0.9072119359553484]
['awful', 0.9071232927466226]
['snatched', 0.9070424950850541]
['intolerably', 0.9069206504730546]
['perfectly', 0.906770965050717]
['stealthy', 0.9065458909221373]
['relative', 0.9064688206770504]
['beguile', 0.9063740549238816]
['springtime', 0.9063618479405298]
['deities', 0.9063447032505578]
['tiaras', 0.9063097756751071]
['triumphed', 0.9061907556457032]
['disinterested', 0.9061643967761956]
['gorgeously', 0.9060666724417465]
['danae', 0.9060512769218696]
['steadied', 0.9059856911314685]
['candle', 0.9059317721414268]
['orbits', 0.9059317721414268]
['grant', 0.9059005024638724]
['dovetails', 0.9058765070005015]
['liner', 0.9057736908682299]
['hues', 0.9056254163863193]
['jumped', 0.9056147016564576]
['schoolmen', 0.9055051860385717]
['trusts', 0.9053664028808514]
['fractions', 0.9052815284968719]
['glouglim', 0.9050894203683357]
['tapping', 0.90503182312712]
['mettant', 0.9050205695928806]
['bath', 0.9050166913947797]
['paroxysms', 0.9050097631908576]
['replica', 0.9049937817774443]
['crashin', 0.9049649925276613]
['lasting', 0.904771967493905]
['alexandra', 0.9047239503646141]
['am', 0.9046076456502085]
['shark', 0.9046039598852418]
['giant', 0.9045636581266822]
['unendurable', 0.904394266251172]
['plying', 0.9043614239918547]
['sufferer', 0.9043191473582044]
['client', 0.9043117225789213]
['tramps', 0.9043057050869224]
['moanin', 0.9042726472820624]
['catastrophe', 0.9041444206991249]
['glimmering', 0.9041150954301145]
['atrophied', 0.9041150954301145]
['resolutely', 0.9041150954301145]
['throws', 0.9041150954301145]
['margins', 0.9041150954301145]
['promontory', 0.9041150954301145]
['reared', 0.9041150954301145]
['incarnation', 0.9041087540221995]
['sjaani', 0.904049676193896]
['banks', 0.9039676957389539]
['being', 0.9039321786497734]
['decorous', 0.9038626083381933]
['charlie', 0.9037241197319895]
['preacher', 0.9036769766128024]
['predominate', 0.9036026039980093]
['awaken', 0.9033972473186355]
['scouring', 0.9033498674698602]
['knoll', 0.9032985714115886]
['non_', 0.9032985714115886]
['decoration', 0.9032985714115886]
['simile_', 0.9032985714115886]
['bushes', 0.9032985714115886]
['tingle', 0.9032985714115886]
['aeriform', 0.9032985714115886]
['begged', 0.9031384657629352]
['waving', 0.9030864335219291]
['photograph', 0.9030864335219291]
['dent', 0.9030861941754236]
['directory', 0.9030489831690055]
['departed', 0.9030211454529665]
['outworks', 0.903018965986764]
['consecutive', 0.9029989393034771]
['affrighted', 0.9029577446247513]
['preconceived', 0.9028870135288468]
['chit', 0.9028648256775654]
['palanquins', 0.9028418231137468]
['easterly', 0.9028413524059644]
['operation', 0.9028349702832754]
['uncomprehended', 0.9028349702832754]
['inconvenient', 0.9028349702832754]
['thereupon', 0.9028349702832754]
['nightly', 0.9027830557525744]
['commerce', 0.9027368302462457]
['score', 0.9027115563375836]
['uncertainty', 0.9025139869299947]
['treatise', 0.9024727372477542]
['american', 0.9024614974713686]
['acquirements', 0.902454342982158]
['experts', 0.9024483066493234]
['podunker', 0.9024381734759764]
['airily', 0.9024381734759764]
['perplexity', 0.9024049758021128]
['preparations', 0.9024002695640194]
['partial', 0.9023976203627713]
['characterised', 0.9023976203627713]
['nearer', 0.9021821985622145]
['teasing', 0.9021600512555229]
['monkeys', 0.9021600512555229]
['straggler', 0.9021165021413307]
['armful', 0.9020463820283146]
['could', 0.9019947441545513]
['assuredly', 0.9019947441545513]
['supervision', 0.9019947441545513]
['namby', 0.9019947441545513]
['turks', 0.9019947441545513]
['sighting', 0.9019778376543269]
['rank', 0.901960803295398]
['briar', 0.901960803295398]
['pannier', 0.901960803295398]
['arouse', 0.9018992940387165]
['faithful', 0.901884393447023]
['peals', 0.9018458778244478]
['reveries', 0.9018458778244478]
['suffocating', 0.9017859151996303]
['impartiality', 0.9017784010738024]
['tom', 0.9017743370667971]
['jardiniere', 0.9017743370667971]
['rien', 0.9017117526984999]
['sanguine', 0.90167639838913]
['tramping', 0.9016108674455433]
['elusive', 0.9016040934511003]
['pinkertons', 0.9016040934511003]
['veracity', 0.9016038462017155]
['murmur', 0.9015979139381457]
['hesitation', 0.9015718600984214]
['alcove', 0.9015661379513041]
['womb', 0.9015290409643605]
['cunning', 0.9015290409643605]
['recharge', 0.9015076493105793]
['impending', 0.9014660594709389]
['cataract', 0.901398047599929]
['sobs', 0.9013821968905393]
['fawn', 0.9013217521884682]
['fleeces', 0.9013217521884682]
['woods', 0.9013217521884682]
['clotted', 0.9013217521884682]
['hanging', 0.9013217521884682]
['woody', 0.9013217521884682]
['screaming', 0.9013217521884682]
['sooth', 0.9013217521884682]
['harmless', 0.9013217521884682]
['corridor', 0.9013217521884682]
['encourage', 0.9013217521884682]
['adapt', 0.9013217521884682]
['outburst', 0.9013217521884682]
['universally', 0.9013217521884682]
['feeling', 0.9013217521884682]
['longs', 0.9013217521884682]
['spectrum', 0.9013217521884682]
['dozen', 0.9013217521884682]
['wholesome', 0.9013217521884682]
['coulisses', 0.9013217521884682]
['committing', 0.9013217521884682]
['saying', 0.9013217521884682]
['loitered', 0.9013217521884682]
['vallyable', 0.9013217521884682]
['rico', 0.9013217521884682]
['bliss', 0.9013217521884682]
['rick', 0.9013217521884682]
['rich', 0.9013217521884682]
['rice', 0.9013217521884682]
['plate', 0.9013217521884682]
['remotest', 0.9013217521884682]
['plato', 0.9013217521884682]
['chatterin', 0.9013217521884682]
['altogether', 0.9013217521884682]
['socrates', 0.9013217521884682]
['debarred', 0.9013217521884682]
['haunted', 0.9013217521884682]
['xiii', 0.9013217521884682]
['intrinsic', 0.9013217521884682]
['roved', 0.9013217521884682]
['direct', 0.9013217521884682]
['shortly', 0.9013217521884682]
['contradict', 0.9013217521884682]
['orlando', 0.9013217521884682]
['pricked', 0.9013217521884682]
['liveliest', 0.9013217521884682]
['modelled', 0.9013217521884682]
['inhabit', 0.9013217521884682]
['error', 0.9013217521884682]
['overshadow', 0.9013217521884682]
['matures', 0.9013217521884682]
['estates', 0.9013217521884682]
['quests', 0.9013217521884682]
['pourrait', 0.9013217521884682]
['hides', 0.9013217521884682]
['petulant', 0.9013217521884682]
['indicate', 0.9013217521884682]
['factotum', 0.9013217521884682]
['clearest', 0.9013217521884682]
['phantasmagoria', 0.9013217521884682]
['loudly', 0.9013217521884682]
['keeping', 0.9013217521884682]
['threatening', 0.9013217521884682]
['philanthropy', 0.9013217521884682]
['sympathies', 0.9013217521884682]
['determines', 0.9013217521884682]
['sew', 0.9013217521884682]
['set', 0.9013217521884682]
['loomed', 0.9013217521884682]
['glared', 0.9013217521884682]
['parsimoniously', 0.9013217521884682]
['chancellor', 0.9013217521884682]
['smooth', 0.9013217521884682]
['thee', 0.9013217521884682]
['indictment', 0.9013217521884682]
['backsliding', 0.9013217521884682]
['staircase', 0.9013217521884682]
['geography', 0.9013217521884682]
['hovel', 0.9013217521884682]
['salem', 0.9013217521884682]
['spontaneous', 0.9013217521884682]
['base', 0.9013217521884682]
['underlies', 0.9013217521884682]
['guaranteed', 0.9013217521884682]
['arched', 0.9013217521884682]
['shrieked', 0.9013217521884682]
['arches', 0.9013217521884682]
['revenge', 0.9013217521884682]
['mistress', 0.9013217521884682]
['primer', 0.9013217521884682]
['calendar', 0.9013217521884682]
['permission', 0.9013217521884682]
['unreal', 0.9013217521884682]
['suttee', 0.9013217521884682]
['twice', 0.9013217521884682]
['displaying', 0.9013217521884682]
['gape', 0.9013217521884682]
['treading', 0.9013217521884682]
['courtly', 0.9013217521884682]
['incompleteness', 0.9013217521884682]
['unhealthy', 0.9013217521884682]
['compactness', 0.9013217521884682]
['academy', 0.9013217521884682]
['kringle', 0.9013217521884682]
['supple', 0.9013217521884682]
['purse', 0.9013217521884682]
['survived', 0.9013217521884682]
['angelico', 0.9013217521884682]
['mossy', 0.9013217521884682]
['defect', 0.9013217521884682]
['_able', 0.9013217521884682]
['slumbers', 0.9013217521884682]
['austere', 0.9013217521884682]
['youthfulness', 0.9013217521884682]
['unwavering', 0.9013217521884682]
['wonderful', 0.9013217521884682]
['catches', 0.9013217521884682]
['hellward', 0.9013217521884682]
['28th', 0.9013217521884682]
['unwise', 0.9013217521884682]
['astounding', 0.9013217521884682]
['leaky', 0.9013217521884682]
['mink', 0.9013217521884682]
['kid', 0.9013217521884682]
['buyers', 0.9013217521884682]
['cascade', 0.9013217521884682]
['boston_', 0.9013217521884682]
['fils', 0.9013217521884682]
['consistent', 0.9013217521884682]
['pothnau', 0.9013217521884682]
['calmest', 0.9013217521884682]
['jeerin', 0.9013217521884682]
['lodge', 0.9013217521884682]
['illuminating', 0.9013217521884682]
['esplanade', 0.9013217521884682]
['combustible', 0.9013217521884682]
['consequence', 0.9013217521884682]
['bushel', 0.9013217521884682]
['medicines', 0.9013217521884682]
['hatzfeldt', 0.9013217521884682]
['peopled', 0.9013217521884682]
['bibles', 0.9013217521884682]
['unquestionably', 0.9013217521884682]
['charts', 0.9013217521884682]
['unwinking', 0.9013217521884682]
['properties', 0.9013217521884682]
['snells', 0.9013217521884682]
['masters', 0.9013217521884682]
['forecastle', 0.9013217521884682]
['manoeuvring', 0.9013217521884682]
['_menagerie_', 0.9013217521884682]
['acting', 0.9013217521884682]
['built', 0.9013217521884682]
['build', 0.9013217521884682]
['oriental', 0.9013217521884682]
['buttoned', 0.9013217521884682]
['humility', 0.9013217521884682]
['scarlatina', 0.9013217521884682]
['dozing', 0.9013217521884682]
['_if_', 0.9013217521884682]
['erratically', 0.9013217521884682]
['believable', 0.9013217521884682]
['exclusive', 0.9013217521884682]
['molded', 0.9013217521884682]
['hack', 0.9013217521884682]
['naked', 0.9013217521884682]
['meanness', 0.9013217521884682]
['conspiring', 0.9013217521884682]
['pervaded', 0.9013217521884682]
['premiere', 0.9013217521884682]
['juno', 0.9013217521884682]
['june', 0.9013217521884682]
['tomahawks', 0.9012211173569704]
['incalculable', 0.9011546127586757]
['hote', 0.9011085115976181]
['point', 0.9009125634892703]
['thirdly', 0.9008562157198416]
['stationery', 0.9008408352077555]
['phrenology', 0.9006461119081942]
['grandsons', 0.9005426915206953]
['shock', 0.9005218434895079]
['hush', 0.900467280535073]
['schermie', 0.9004599817325522]
['clotho', 0.9002415750441485]
['advising', 0.9001040439031991]
