['undoubtedly', 0.9975319615512502]
['tap', 0.9721747239694842]
['diana', 0.9721747239694842]
['yield', 0.9720629378709567]
['finger', 0.9719803112666857]
['refusing', 0.9719246624976563]
['whisperin', 0.9716959092470582]
['spends', 0.9712456116934225]
['asunder', 0.9710593090769228]
['skeletons', 0.9710593090769228]
['lack', 0.9710593090769228]
['cadaverous', 0.9709047535527857]
['bnf', 0.9708834167981533]
['forty', 0.9708124659149033]
['ponderous', 0.9702817366962511]
['kindly', 0.9698681595192526]
['descant', 0.9698397568102561]
['des', 0.9696741227029918]
['trenches', 0.969610619736333]
['exposing', 0.9695313394115251]
['planned', 0.9695313394115251]
['disperse', 0.9695313394115251]
['forced', 0.9695313394115251]
['associations', 0.9695313394115251]
['ninfale', 0.9692858373953666]
['perforated', 0.9690465292240805]
['crooked', 0.9689490911186041]
['turvy', 0.9689443955361741]
['carelessly', 0.9688432058489812]
['intimidated', 0.9687165409365747]
['edges', 0.9684674369837184]
['meed', 0.9684674369837184]
['interfere', 0.9684674369837184]
['distant', 0.9684674369837184]
['derelicts', 0.9684674369837184]
['bridge', 0.9684674369837184]
['suspicions', 0.9684674369837184]
['sputtered', 0.9684674369837184]
['baffin', 0.9684674369837184]
['faith', 0.9684674369837184]
['solution', 0.9684674369837184]
['belonging', 0.9684674369837184]
['commissioner', 0.9684674369837184]
['consonant', 0.9684674369837184]
['collectedly', 0.9684674369837184]
['exercise', 0.9684674369837184]
['fusty', 0.9684674369837184]
['scoundrel', 0.9684674369837184]
['particularly', 0.9684674369837184]
['vent', 0.9684674369837184]
['heel', 0.9684674369837184]
['unnoticed', 0.9684674369837184]
['discomfort', 0.9684674369837184]
['lustre', 0.9683725993093549]
['verification', 0.9679996162019321]
['chortasoo', 0.9679291291817268]
['trouble', 0.9677967560868814]
['averse', 0.9677028175583834]
['systematically', 0.9677028175583834]
['contradictory', 0.9676799302152151]
['slide', 0.9673352442348478]
['emanations', 0.9673352442348478]
['buttresses', 0.9670223044986961]
['browse', 0.9669396467826448]
['sentimentally', 0.9663379588897377]
['specification', 0.9663379588897377]
['grazier', 0.9663379588897377]
['bowels', 0.9663017537527995]
['affidavy', 0.9659153218739331]
['claret', 0.9657607079811965]
['persistent', 0.9656920381118096]
['petition_', 0.9646148064205429]
['extricate', 0.9642818461787065]
['recommendations', 0.9639192894608165]
['amuse', 0.9638853867690141]
['immanent', 0.9638715766271703]
['cooerdinating', 0.9635835013656391]
['teachable', 0.9634367247857006]
['hangchow', 0.9633614499812461]
['facilities', 0.9632285982455111]
['denies', 0.9630690184546957]
['torn', 0.9629368472156417]
['fiords', 0.9626653576634778]
['reigning', 0.9626653576634778]
['taxing', 0.962624345780052]
['1355', 0.962624345780052]
['heresy', 0.9622817513860703]
['raillery', 0.9622586454098906]
['paled', 0.9620324029468569]
['remnants', 0.9620324029468569]
['gave', 0.9620324029468569]
['prevails', 0.9620324029468569]
['lunarians_', 0.9620324029468569]
['caste', 0.9620324029468569]
['everyone', 0.9616635275484423]
['engagingly', 0.9616251228189211]
['zealand', 0.9616251228189211]
['sprung', 0.9616251228189211]
['readiest', 0.9614378911673459]
['unkind', 0.960963639802756]
['confess', 0.9602836635092975]
['sixteenth', 0.9602559775746295]
['daylight', 0.9602354024053541]
['unscathed', 0.9602123495709992]
['tho', 0.9600007455664166]
['flattered', 0.9599975833085539]
['determine', 0.9599975833085539]
['paddling', 0.9599573053055069]
['waddled', 0.9593521097934269]
['ransomed', 0.9593521097934269]
['anderson', 0.9593521097934269]
['indescribably', 0.9592820049927044]
['feces', 0.9592224218857831]
['arriving', 0.9590887787529506]
['amiel', 0.9587428570019444]
['conquest', 0.958303961622189]
['rooting', 0.9579508197160397]
['realize', 0.9575000804375253]
['grata', 0.9570841171341057]
['polyglot', 0.9569405455031393]
['wiped', 0.9569405455031393]
['outwardly', 0.9569405455031393]
['habitues', 0.9569405455031393]
['unapproving', 0.9567004035888443]
['amazon', 0.956690193539029]
['immortality', 0.9566698363306737]
['practice', 0.956652325457552]
['orders', 0.956228870472112]
['forbade', 0.956228870472112]
['expenditure', 0.9558835907444557]
['morality', 0.9557027525450396]
['detection', 0.955631855961473]
['blackest', 0.955631855961473]
['quand', 0.9554104478229859]
['vindar', 0.9553721708739261]
['sockets', 0.9553721708739261]
['grandnephew', 0.9553721708739261]
['oaks', 0.9547338410856133]
['sequel', 0.9547338410856133]
['wafted', 0.9547338410856133]
['saunter', 0.9547338410856133]
['extract', 0.9547338410856133]
['staying', 0.9547338410856133]
['noises', 0.9547338410856133]
['perseus', 0.9546924115758485]
['platoon', 0.9546614123353544]
['felicitations', 0.954434006552435]
['rabats', 0.9543136794878694]
['grimaces', 0.9541202609431844]
['manufactories', 0.9540775006578797]
['watering', 0.9540775006578797]
['cannibal', 0.9536614401160999]
['sermons', 0.9536614401160999]
['cookery', 0.9536614401160999]
['yawned', 0.9532115543468136]
['located', 0.953075762381777]
['greatly', 0.9529367494947937]
['export', 0.9528663462686642]
['clubs', 0.9527084885659493]
['ont', 0.9527074038157756]
['transferred', 0.9524581549404825]
['intention', 0.9521543330432594]
['stitched', 0.9520726668027124]
['gapped', 0.9518106067811176]
['refuted', 0.951584539874497]
['_through_', 0.951584539874497]
['class', 0.9514785599202639]
['trapper', 0.951320989047386]
['jauntily', 0.951320989047386]
['_time', 0.9511815422717831]
['wing', 0.9511398420584812]
['downloading', 0.9511383211707355]
['equanimity', 0.9511383211707355]
['appalachians', 0.9511383211707355]
['solved', 0.9511383211707355]
['horrid', 0.9511383211707355]
['waterfall', 0.9511383211707355]
['distinct', 0.9511383211707355]
['rabbit', 0.9511383211707355]
['stupor', 0.9509186016053005]
['profile', 0.950497011891728]
['steamer', 0.950381912931797]
['webbed', 0.950381912931797]
['groupe', 0.950381912931797]
['weave', 0.9502678187839524]
['scotchman', 0.9502678187839524]
['foot', 0.9499012743094906]
['systems', 0.9499012743094906]
['walnut', 0.9499012743094906]
['hazing', 0.9499012743094906]
['sterile', 0.9499012743094906]
['proves', 0.9499012743094906]
['see', 0.9499012743094906]
['absurd', 0.9499012743094906]
['minnows', 0.9499012743094906]
['frances', 0.9499012743094906]
['busily', 0.9499012743094906]
['wrangling', 0.9499012743094906]
['recites', 0.9499012743094906]
['severest', 0.9498802860646643]
['sprang', 0.9494155452889737]
['palatial', 0.9494085966338399]
['scowl', 0.9493620977437159]
['asked', 0.9493620977437159]
['booming', 0.9493527192850614]
['makes', 0.949309799464093]
['winning', 0.949309799464093]
['pekin', 0.9491712118160476]
['henceforward', 0.948797000324881]
['curtain', 0.948797000324881]
['jetes', 0.9487317550109073]
['sociable', 0.9485575689354045]
['unanswered', 0.9482797380734811]
['valor', 0.9482664570601733]
['hosts', 0.9477565938164406]
['motors', 0.9477116387860228]
['regained', 0.9476855280592471]
['utensils', 0.9473539806062073]
['bottles', 0.9472754691150584]
['systematic', 0.9467688480250613]
['correctly', 0.9465629814510611]
['good', 0.9465454375732132]
['wow', 0.946386279374548]
['month', 0.9457661947497819]
['experimental', 0.9457661947497819]
['expressions', 0.9457661947497819]
['sunrise', 0.9457661947497819]
['glades', 0.9457073519784036]
['terror', 0.9457073519784036]
['tripoli', 0.9457073519784036]
['subterranean', 0.9457073519784036]
['blossom', 0.9456096825580127]
['exactly', 0.9455550630516012]
['extent', 0.9454773222523313]
['chain', 0.9454773222523313]
['pas_', 0.9454773222523313]
['illustrate', 0.9454773222523313]
['martius', 0.9454773222523313]
['arithmetic', 0.9454773222523313]
['father', 0.9454773222523313]
['shrieking', 0.9454773222523313]
['forehead', 0.9454773222523313]
['untenable', 0.9454773222523313]
['dislocation', 0.9454773222523313]
['quietness', 0.9454773222523313]
['figured', 0.9454773222523313]
['pry', 0.9454773222523313]
['prongs', 0.9454773222523313]
['nailed', 0.9454773222523313]
['bodily', 0.9454773222523313]
['pompeius', 0.9454773222523313]
['items', 0.9454773222523313]
['cargo', 0.9454773222523313]
['50', 0.9454773222523313]
['butchering', 0.9454773222523313]
['doubling', 0.9454773222523313]
['restrained', 0.9454773222523313]
['rattles', 0.9454773222523313]
['blubber', 0.9454773222523313]
['cologne', 0.9454773222523313]
['ranged', 0.9454773222523313]
['moulded', 0.9454711902098283]
['tomb', 0.9452440912750006]
['nobility', 0.9447491567844822]
['savant', 0.9444247611120361]
['mousedom', 0.9444247611120361]
['that', 0.9444157975355895]
['gloriously', 0.9443394560860705]
['onset', 0.9439149659764399]
['_really_', 0.9436301459321172]
['sert', 0.9435191661675204]
['topper', 0.943487903316503]
['smala', 0.942946057892701]
['directed', 0.942946057892701]
['dupes', 0.9424319508681004]
['mixes', 0.9415797952789996]
['bergs', 0.9415797952789996]
['consumed', 0.9415797952789996]
['invented', 0.9413703284630127]
['nods', 0.9413636815993729]
['quips', 0.9412110137518664]
['inordinate', 0.9412110137518664]
['companies', 0.9412110137518664]
['milky', 0.9412110137518664]
['grows', 0.9412110137518664]
['advanced', 0.9412110137518664]
['patten', 0.9408909377155212]
['oatmeal', 0.9408872941413483]
['allowing', 0.9408327331163109]
['abiding', 0.9405969856799057]
['vegetable', 0.9405969856799057]
['1901', 0.9405793846740644]
['roosting', 0.9404552963697903]
['digestion', 0.9403418161767814]
['jason', 0.9401427271166621]
['spirited', 0.9399134174472302]
['tables', 0.939891652072172]
['ichthiosaurus', 0.9396912157671212]
['_oyama_', 0.9396912157671212]
['assign', 0.9395595126057732]
['partake', 0.9395353537922642]
['rift', 0.939513930447501]
['depravity', 0.9391332946092529]
['sleeps', 0.9391332946092529]
['thing', 0.9391332946092529]
['born', 0.9389284567779326]
['waste', 0.9389284567779326]
['scant', 0.9388909028821147]
['fourth', 0.9388909028821147]
['andrea', 0.9388909028821147]
['burr', 0.9388909028821147]
['heal', 0.9388909028821147]
['admonished', 0.9388909028821147]
['cab', 0.9388909028821147]
['simpers', 0.9388909028821147]
['exemplars', 0.9388909028821147]
['different', 0.9388909028821147]
['fluctuate', 0.9388909028821147]
['aye', 0.9387714327398857]
['literature', 0.9387714327398857]
['voltaire', 0.938598718178945]
['withstood', 0.9382940755300705]
['torchlight', 0.9381874017294501]
['folly', 0.9381874017294501]
['make', 0.9381874017294501]
['foresaw', 0.9381874017294501]
['glonglim', 0.9381874017294501]
['1323', 0.938166418985558]
['coasts', 0.9380989597062405]
['roadside', 0.9380753276041145]
['overthrown', 0.9380534505405783]
['judging', 0.9380447117855962]
['assemblage', 0.9380043819194595]
['headstone', 0.9378869604007876]
['candlestick', 0.9375862730175517]
['habitually', 0.9375862730175517]
['makers', 0.9375862730175517]
['intensest', 0.9375862730175517]
['prosecuted', 0.9375862730175517]
['lui', 0.9375862730175517]
['princeton', 0.9375862730175517]
['support', 0.9375862730175517]
['begotten', 0.9375862730175517]
['plenipotentiaries', 0.9375862730175517]
['faggots', 0.9375862730175517]
['hog', 0.9375862730175517]
['delegating', 0.9375862730175517]
['mistake', 0.9375862730175517]
['sacrifice', 0.9375862730175517]
['imbecility', 0.9375862730175517]
['rackett', 0.9375862730175517]
['investigate', 0.9374407335814274]
['wakefield', 0.9372739782242258]
['efficiently', 0.9370187503262817]
['outcry', 0.9368426419828911]
['forfend', 0.9364383866807732]
['gravitating', 0.9351014458524367]
['windfall', 0.9351014458524367]
['block', 0.9349396100764298]
['richer', 0.9349381121730134]
['suspenders', 0.9349198491457684]
['track', 0.9345905320503164]
['talking', 0.9343276090426229]
['dispose', 0.9340855996036188]
['beggin', 0.9338501295421883]
['combine', 0.9338501295421883]
['hallowed', 0.9336386189528375]
['advisable', 0.9335285922726582]
['evangelist', 0.9334806903379506]
['vows', 0.9332039356885558]
['digging', 0.9331350610898438]
['intermittent', 0.9320172625370493]
['shallow', 0.9320172625370493]
['match', 0.9320172625370493]
['_political', 0.9320172625370493]
['inmates', 0.9319031568589942]
['nations', 0.9317910758771459]
['hazelike', 0.9316957861306894]
['palpitating', 0.9312114242197389]
['reeds', 0.9312114242197389]
['energetic', 0.9307191403534189]
['organization', 0.9303944659542553]
['gunboat', 0.9300684636067991]
['prejudiced', 0.9295923204538584]
['squashing', 0.929449077639159]
['occurs', 0.9289456379775618]
['daughters', 0.9289456379775618]
['xxvi', 0.9289456379775618]
['lurid', 0.9289456379775618]
['politics', 0.9289456379775618]
['qualities', 0.9289456379775618]
['amber', 0.9286107571294825]
['rigs', 0.9286107571294825]
['wilderness', 0.9284460604321587]
['supremely', 0.9280639304980056]
['freedmen', 0.9278678501922294]
['halanzier', 0.9273717987441767]
['breakdown', 0.9272792905956064]
['staring', 0.9271751184842826]
['hullo', 0.9271672370473909]
['firmament', 0.9270398197509925]
['tain', 0.9266978381364664]
['command', 0.9261677036568199]
['apothecary', 0.926109486564839]
['grossness', 0.9259351729582093]
['undulating', 0.9259351729582093]
['gushing', 0.9259351729582093]
['recollected', 0.9259351729582093]
['slaughtering', 0.9256309551018727]
['telescope', 0.9253649946312731]
['anecdotes', 0.9253649946312731]
['ta', 0.9253649946312731]
['accesses', 0.9253649946312731]
['whimpers', 0.9247798694436691]
['tossed', 0.9246897457857342]
['eugenie', 0.9246897457857342]
['irrationally', 0.9246897457857342]
['contingent', 0.9246897457857342]
['proffered', 0.9246897457857342]
['biased', 0.9246897457857342]
['simplest', 0.9246897457857342]
['confide', 0.9246897457857342]
['gorged', 0.9246897457857342]
['services', 0.9242705266070679]
['damage', 0.9242650198701315]
['scrubbing', 0.9241318362289724]
['eyeless', 0.9241004925640511]
['semiramis', 0.9240393596461239]
['ciel', 0.923914716652082]
['sinking', 0.923914716652082]
['ruder', 0.9238874749350663]
['exercised', 0.923544887933755]
['bays', 0.9235066732356084]
['speedy', 0.9235066732356084]
['_ricardo', 0.9234039930685926]
['worldliness', 0.9234039930685926]
['meditate', 0.9234039930685926]
['orange', 0.9234039930685926]
['_some_', 0.9234039930685926]
['bastile', 0.9234039930685926]
['propositions', 0.9234039930685926]
['espagne', 0.9234039930685926]
['glints', 0.9234039930685926]
['startle', 0.9234039930685926]
['spirted', 0.9234039930685926]
['busy', 0.9233512402566699]
['piemont', 0.9232317029463035]
['shock', 0.9230422967695775]
['hugest', 0.9230188017317834]
['camps', 0.9229958984207361]
['landholders', 0.9224244450081158]
['shotguns', 0.9221921156963734]
['34', 0.9221921156963734]
['sickness', 0.9216040333046102]
['youthful', 0.9216020768596728]
['coal', 0.9215886614055926]
['scales', 0.9215886614055926]
['holding', 0.9210460729249281]
['betide', 0.9208710374333564]
['dreariest', 0.9207663590057418]
['pulsated', 0.9207663590057418]
['diversion', 0.9207663590057418]
['lifting', 0.9207663590057418]
['deny', 0.9207663590057418]
['affirming', 0.9207207636254527]
['seizure', 0.9203910367646153]
['_bereaved_', 0.9201441154510105]
['morocco', 0.9201085357442088]
['cork', 0.9200888691257922]
['streamlets', 0.9200679325138241]
['him', 0.9200226767812372]
['travels', 0.9195797208316436]
['quavered', 0.9192724330806488]
['entrusting', 0.9192073004052687]
['affections', 0.9186038605869343]
['highly', 0.9178340290632365]
['overturning', 0.9178340290632365]
['donors', 0.9178340290632365]
['frogling', 0.9178340290632365]
['feigned', 0.9178237261230827]
['huts', 0.9170939753258136]
['ministres', 0.9166557781996562]
['halloo', 0.9165637171385705]
['excepting', 0.9165128544988741]
['lawn', 0.9164674456348589]
['condition', 0.9157226120261581]
['indulgent', 0.9152783828552403]
['weighty', 0.9152160592199271]
['attorney', 0.9151643560470902]
['purses', 0.915138632827274]
['puzzlement', 0.915138632827274]
['increase', 0.9148416343452224]
['logic', 0.9148416343452224]
['saranacs', 0.9148416343452224]
['growled', 0.9144539524169195]
['fantastic', 0.9144321371806661]
['published', 0.9144321371806661]
['administrations', 0.9136432211930325]
['prearranged', 0.9135335976293673]
['thraldom', 0.9132922039836183]
['cordial', 0.9132420706815175]
['virus', 0.9127675411683861]
['folk', 0.9127675411683861]
['_varieties', 0.9122789514713847]
['kinds', 0.912256234408263]
['perform', 0.9122329708650356]
['admirably', 0.91212623732771]
['down', 0.9117024430345968]
['scooping', 0.9117024430345968]
['neighbor', 0.9117024430345968]
['flaunting', 0.9117024430345968]
['smarting', 0.911301223488199]
['tranquil', 0.911301223488199]
['plottings', 0.911301223488199]
['opens', 0.9109819007554771]
['snarled', 0.9107447803209696]
['establishers', 0.910239723745904]
['gladness', 0.9102116650135094]
['capitalist', 0.9102116650135094]
['anteroom', 0.9101320365247949]
['whither', 0.9100768799566157]
['rise', 0.9099728170107977]
['disapproving', 0.9097299815334889]
['outreach', 0.9095286123484393]
['assassin', 0.9095286123484393]
['marches', 0.9094661791295223]
['_oak_', 0.9094661791295223]
['calculatin', 0.9094661791295223]
['preeminently', 0.9094661791295223]
['dodgin', 0.9094661791295223]
['scorch', 0.9094661791295223]
['outlets', 0.9094661791295223]
['companionway', 0.9094661791295223]
['freckles', 0.9094661791295223]
['superhumanly', 0.9094661791295223]
['pledged', 0.9094661791295223]
['producing', 0.9094661791295223]
['hypo', 0.9094661791295223]
['shelving', 0.9094661791295223]
['descends', 0.9094661791295223]
['renaissance', 0.9094661791295223]
['intelligences', 0.9094661791295223]
['seas', 0.9094661791295223]
['adams', 0.9094661791295223]
['shrewdly', 0.9094661791295223]
['seating', 0.9094661791295223]
['hammered', 0.9094661791295223]
['incensed', 0.9094661791295223]
['attempting', 0.9094661791295223]
['philanthropic', 0.9094661791295223]
['propitiate', 0.9094661791295223]
['pilot', 0.9094661791295223]
['treating', 0.9094661791295223]
['rustic', 0.9094661791295223]
['proclaimed', 0.9094661791295223]
['nick', 0.9094661791295223]
['fairly', 0.9094661791295223]
['hallo', 0.9094661791295223]
['deadening', 0.9094661791295223]
['disguised', 0.9094661791295223]
['detailed', 0.9094661791295223]
['fragmentary', 0.9094661791295223]
['jove', 0.9094661791295223]
['be_', 0.9094661791295223]
['investigator', 0.9094661791295223]
['cellars', 0.9094661791295223]
['loud', 0.9094661791295223]
['sunday', 0.9094661791295223]
['alphas', 0.9094661791295223]
['sahara', 0.9094661791295223]
['bersier', 0.9094661791295223]
['_coccinella_', 0.9094661791295223]
['protegees', 0.9094661791295223]
['sinful', 0.9094661791295223]
['recalls', 0.9094661791295223]
['muscalonge', 0.9094661791295223]
['perseveres', 0.9094661791295223]
['wantin', 0.9094661791295223]
['cleaves', 0.9094661791295223]
['montpellier', 0.9094661791295223]
['epeita', 0.9094661791295223]
['amendment', 0.9094661791295223]
['progresses', 0.9094661791295223]
['necessitated', 0.9094661791295223]
['history', 0.9094661791295223]
['teeming', 0.9094661791295223]
['intuitive', 0.9094661791295223]
['quid', 0.9094661791295223]
['deputations', 0.9094661791295223]
['costly', 0.9094661791295223]
['features', 0.9094661791295223]
['perpetuation', 0.9094661791295223]
['tatters', 0.9094661791295223]
['22', 0.9094661791295223]
['affiliations', 0.9094661791295223]
['humorous', 0.9094661791295223]
['civic', 0.9094661791295223]
['pot', 0.9094661791295223]
['burrs', 0.9094661791295223]
['executors', 0.9094661791295223]
['note', 0.9094661791295223]
['continued', 0.9094661791295223]
['psalm', 0.9094661791295223]
['unravel', 0.9094661791295223]
['wallowed', 0.9094661791295223]
['dissemble', 0.9094661791295223]
['follows', 0.9094661791295223]
['lent', 0.9094661791295223]
['withheld', 0.9094661791295223]
['asinorum_', 0.9094661791295223]
['botherin', 0.9094661791295223]
['murdered', 0.9094661791295223]
['therewith', 0.9094151460305369]
['dunce', 0.9094151460305369]
['secretary', 0.9093800626495396]
['galette', 0.9092732158359643]
['jealousies', 0.9089089625842186]
['wrangled', 0.9089089625842186]
['ends', 0.9088349739647145]
['inrushing', 0.9087304890443125]
['horn_', 0.908727812463718]
['1633', 0.90871279278443]
['legally', 0.90871279278443]
['twitched', 0.9084202788573776]
['nuncio', 0.9083399641110093]
['example', 0.9081259865017787]
['admitted', 0.9080831488481252]
['overhauled', 0.9080831488481252]
['leon', 0.9080831488481252]
['temperament', 0.9080831488481252]
['incursion', 0.9080831488481252]
['scourged', 0.9080831488481252]
['titilation', 0.9080831488481252]
['negotiations', 0.9079263452058148]
['pastures', 0.907714494205629]
['represents', 0.9073022506665877]
['magical', 0.9070461464640662]
['reefs', 0.906988632138376]
['develop', 0.906988632138376]
['palates', 0.906988632138376]
['organised', 0.906988632138376]
['passed', 0.906988632138376]
['agility', 0.9065107324663099]
['shocks', 0.9063171211476317]
['sometime', 0.9062969105701821]
['cognac', 0.9062969105701821]
['elevation', 0.9062356159195248]
['reptile', 0.906230508249837]
['cardboard', 0.906230508249837]
['ezra', 0.906230508249837]
['mother', 0.906230508249837]
['resided', 0.906191638569167]
['preternatural', 0.9060029918684537]
['sign', 0.9058779367354545]
['disorganized', 0.9057931007028709]
['puzzlings', 0.9051302637289222]
['haughty', 0.9047585015891757]
['despise', 0.9046561958651294]
['fences', 0.9045604896005078]
['carlsfeld', 0.9045560040733457]
['realms', 0.9045560040733457]
['_oime', 0.9043530411067535]
['walking', 0.9043467149316883]
['ichthyosaurus', 0.9037104907796234]
['barren', 0.903701704508268]
['rigging', 0.903701704508268]
['impediments', 0.903701704508268]
['undistinguishable', 0.903701704508268]
['caligula', 0.903701704508268]
['kraighten', 0.903701704508268]
['display', 0.903701704508268]
['guitar', 0.903701704508268]
['avoidable', 0.903701704508268]
['stepmothers', 0.903701704508268]
['skelter', 0.903701704508268]
['tiring', 0.903701704508268]
['never', 0.903701704508268]
['shortening', 0.903701704508268]
['buildings', 0.903701704508268]
['waken', 0.903701704508268]
['rusted', 0.903701704508268]
['ted', 0.903701704508268]
['illumined', 0.903701704508268]
['embarrassment', 0.903701704508268]
['cried', 0.903701704508268]
['divination', 0.903701704508268]
['gaul', 0.903701704508268]
['illustrations', 0.903701704508268]
['trance', 0.903701704508268]
['behaving', 0.903701704508268]
['corresponding', 0.903701704508268]
['part', 0.903701704508268]
['ached', 0.903701704508268]
['conceit', 0.903701704508268]
['withdrew', 0.903701704508268]
['coupled', 0.903701704508268]
['dish', 0.903701704508268]
['posture', 0.903701704508268]
['lad', 0.903701704508268]
['umbrella', 0.903701704508268]
['_where', 0.903701704508268]
['horatius', 0.903701704508268]
['stringin', 0.903701704508268]
['efforts', 0.903701704508268]
['water', 0.903701704508268]
['sculptured', 0.903701704508268]
['hazel', 0.9034754649303808]
['arithmetical', 0.9030113651202792]
['grisettes', 0.9029787480148819]
['bazaine', 0.9023759117039237]
['orleans', 0.9023419582932777]
['thickest', 0.9023419582932777]
['moonstruck', 0.9023419582932777]
['ferocious', 0.9023419582932777]
['softness', 0.9023419582932777]
['cane', 0.9023419582932777]
['reptiles', 0.9023419582932777]
['grinned', 0.9023419582932777]
['basked', 0.9023419582932777]
['group', 0.9023419582932777]
['omniscient', 0.9023419582932777]
['inhospitable', 0.9023419582932777]
['yard', 0.9023419582932777]
['bargained', 0.9023419582932777]
['6221541', 0.9023419582932777]
['diurnal', 0.9023419582932777]
['shrewd', 0.9023419582932777]
['grindstone', 0.9023419582932777]
['lineaments', 0.9023419582932777]
['giddy', 0.9023419582932777]
['infallible', 0.9023419582932777]
['hauling', 0.9023419582932777]
['regretting', 0.9023419582932777]
['restrictions', 0.9023419582932777]
['seldom', 0.9023419582932777]
['execution', 0.9023419582932777]
['evenings', 0.9023419582932777]
['charlemagne', 0.9023419582932777]
['struts', 0.9023419582932777]
['fervently', 0.9023419582932777]
['surgeon', 0.9023419582932777]
['comfortably', 0.9023419582932777]
['gems', 0.9023419582932777]
['parliament', 0.9023419582932777]
['_don', 0.9023419582932777]
['preface', 0.9023419582932777]
['meerchaums', 0.9023419582932777]
['snags', 0.9023419582932777]
['chuckled', 0.9023419582932777]
['consultations', 0.9023419582932777]
['bogies', 0.9023419582932777]
['surliness', 0.9023419582932777]
['gyrating', 0.9023419582932777]
['celeste_', 0.9023419582932777]
['stray', 0.9023419582932777]
['begs', 0.9023419582932777]
['reasonless', 0.9023419582932777]
['sweetheart', 0.9023419582932777]
['viewing', 0.9023419582932777]
['trumpet', 0.9023419582932777]
['compassion', 0.9023419582932777]
['condensation', 0.9023419582932777]
['involuntarily', 0.9023419582932777]
