['laudable', 0.9986544800537759]
['amadee', 0.9759211204459235]
['tormented', 0.9759211204459235]
['python', 0.9759211204459235]
['quote', 0.9759211204459235]
['rheinfeldt', 0.9759211204459235]
['rules', 0.9759211204459235]
['bounty', 0.9759211204459235]
['smile', 0.9759211204459235]
['puff', 0.9759211204459235]
['sightless', 0.9759211204459235]
['tells', 0.9757987972434888]
['karnstein', 0.9757987972434888]
['interrupting', 0.9757987972434888]
['indescribably', 0.9757309441068299]
['mouthing', 0.9754815708015969]
['recovering', 0.97532651538198]
['discovers', 0.9741802321807154]
['superadded', 0.9740587205327841]
['direction', 0.9739952432121768]
['lookers', 0.9739827888603351]
['intend', 0.9736669976715939]
['problem', 0.9736453121466565]
['pheasants', 0.9736453121466565]
['sentences', 0.9736453121466565]
['propping', 0.9736453121466565]
['reprisals_', 0.9733073514540378]
['gilding', 0.9733073514540378]
['flatter', 0.9733073514540378]
['grievance', 0.9733073514540378]
['precedence', 0.9733073514540378]
['dreissig', 0.9733073514540378]
['buttons', 0.9733073514540378]
['momentary', 0.9733073514540378]
['lunching', 0.9733073514540378]
['stupid', 0.9733073514540378]
['bigoted', 0.9733073514540378]
['browse', 0.972494846579889]
['hangchow', 0.9724246116441398]
['empiricism', 0.971835671131039]
['taxes', 0.9713192960734748]
['intestine', 0.9713192960734748]
['gesticulations', 0.9713192960734748]
['straggle', 0.9712925293938177]
['hundreds', 0.9710533878527191]
['dodging', 0.9708569372720107]
['syllable', 0.970112333595259]
['shock', 0.9699064401277782]
['enterprise', 0.9695908783624285]
['chataugay', 0.9693827112172414]
['conversation', 0.9692011595810306]
['italy', 0.9691469985600032]
['unintended', 0.9691368218707351]
['promontories', 0.9690065120616748]
['outreach', 0.96874680686793]
['assassin', 0.96874680686793]
['track', 0.9683997849400612]
['participated', 0.9681354789385317]
['now_', 0.9679837430446996]
['studiously', 0.9678600896594789]
['twilit', 0.9677280538834167]
['parental', 0.9674435544476602]
['stayed', 0.9673252225719889]
['waved', 0.9672013753143184]
['paixhan', 0.9669619965139439]
['soothes', 0.9667417517495276]
['_fragments', 0.9664984589810065]
['unwinnowed', 0.9663415447843909]
['wagon', 0.9663415447843909]
['healthier', 0.9663415447843909]
['rags', 0.9663328479198421]
['rivaled', 0.9661633952727676]
['harmony', 0.9660941790225078]
['aristocratic', 0.9659062611111693]
['ox', 0.9659062611111693]
['newman', 0.9659062611111693]
['baptize', 0.9657870078782878]
['engross', 0.9656823520408974]
['china', 0.9655674925426984]
['bays', 0.9655400436757074]
['speedy', 0.9655400436757074]
['faraway', 0.9653464958066926]
['trip', 0.9653464958066926]
['hares', 0.965038586003969]
['cups', 0.9647776783109749]
['divorce', 0.9647403781457936]
['coal', 0.9646759865521966]
['scales', 0.9646759865521966]
['hesselius', 0.964497699924372]
['recommendations', 0.9643334648652722]
['claim', 0.9641652779988852]
['strikingly', 0.9641652779988852]
['pennsylvania', 0.9641180495052857]
['monopoly', 0.9636477053367933]
['jump', 0.9632509625232204]
['cant', 0.9632509625232204]
['wing', 0.9632262240269773]
['torn', 0.96238849832912]
['obedience', 0.9622848485338268]
['robbers', 0.9622848485338268]
['thiers', 0.9622848485338268]
['storytelling', 0.9617770648814628]
['tine', 0.9613018328131816]
['electors', 0.9613018328131816]
['exceedingly', 0.9613018328131816]
['inactive', 0.9613018328131816]
['baggage', 0.9613018328131816]
['bloodstained', 0.9613018328131816]
['rude', 0.9613018328131816]
['comrades', 0.9613018328131816]
['nuptial', 0.9613018328131816]
['egsperiment', 0.9613018328131816]
['maturity', 0.9608266822897087]
['saviour', 0.9608266822897087]
['windin', 0.9608266822897087]
['supplied', 0.9608266822897087]
['lovable', 0.9608266822897087]
['relates', 0.9608266822897087]
['iridium', 0.9608266822897087]
['indistinctness', 0.9608266822897087]
['precision', 0.9608266822897087]
['electrician', 0.9608266822897087]
['fogs', 0.9608266822897087]
['preachers', 0.9608266822897087]
['foliage', 0.9608266822897087]
['thirty', 0.9608266822897087]
['beating', 0.9608266822897087]
['anticipate', 0.9608266822897087]
['conflict', 0.9608266822897087]
['corneille', 0.9608266822897087]
['stoutly', 0.9608266822897087]
['unforgetful', 0.9608266822897087]
['oddity', 0.9608266822897087]
['annoyed', 0.9608266822897087]
['timidly', 0.9608266822897087]
['laszlo', 0.9608266822897087]
['unaffected', 0.9608266822897087]
['nestor', 0.9608266822897087]
['czaski', 0.9608266822897087]
['phoebus', 0.9608266822897087]
['expanse', 0.960546101214286]
['tunisian', 0.9604560091423077]
['hallowed', 0.9604467738283041]
['minutes', 0.9602895562830912]
['trunks', 0.9601223688490466]
['wow', 0.9598469174494834]
['bridle', 0.9594487136046997]
['speak', 0.9594083157528339]
['tap', 0.95933877455384]
['diana', 0.95933877455384]
['finger', 0.9590546782261191]
['ploughing', 0.9588391104456057]
['southeast', 0.9588391104456057]
['expects', 0.9587314127242295]
['swamps', 0.9582406813432914]
['fluctuated', 0.9582406813432914]
['pats', 0.9582406813432914]
['terre', 0.9582406813432914]
['don', 0.9582406813432914]
['idles', 0.9582406813432914]
['bush', 0.9582406813432914]
['mastery', 0.9582406813432914]
['mumblings', 0.9582406813432914]
['seizure', 0.9579945115161975]
['competent', 0.9579478529180561]
['severest', 0.9577300720804907]
['asunder', 0.9577088127751067]
['skeletons', 0.9577088127751067]
['lack', 0.9577088127751067]
['_really_', 0.957574177561902]
['withstood', 0.9574885029398462]
['helter', 0.9574621996752078]
['paddlin', 0.9574621996752078]
['insatiable', 0.9574621996752078]
['insecurely', 0.9574621996752078]
['sex', 0.9571993659032217]
['devils', 0.9568926016759745]
['amuse', 0.956162915362011]
['descant', 0.9559266744917729]
['telescope', 0.9555154639476687]
['anecdotes', 0.9555154639476687]
['ta', 0.9555154639476687]
['accesses', 0.9555154639476687]
['wannsee', 0.9554932111312068]
['exposing', 0.9554759824890209]
['planned', 0.9554759824890209]
['disperse', 0.9554759824890209]
['forced', 0.9554759824890209]
['associations', 0.9554759824890209]
['broods', 0.9550183688919155]
['carelessly', 0.9544704092148157]
['purest', 0.9542568437706166]
['edges', 0.9539212961519538]
['meed', 0.9539212961519538]
['interfere', 0.9539212961519538]
['distant', 0.9539212961519538]
['derelicts', 0.9539212961519538]
['bridge', 0.9539212961519538]
['suspicions', 0.9539212961519538]
['sputtered', 0.9539212961519538]
['baffin', 0.9539212961519538]
['faith', 0.9539212961519538]
['solution', 0.9539212961519538]
['belonging', 0.9539212961519538]
['commissioner', 0.9539212961519538]
['consonant', 0.9539212961519538]
['collectedly', 0.9539212961519538]
['exercise', 0.9539212961519538]
['fusty', 0.9539212961519538]
['scoundrel', 0.9539212961519538]
['particularly', 0.9539212961519538]
['vent', 0.9539212961519538]
['heel', 0.9539212961519538]
['unnoticed', 0.9539212961519538]
['discomfort', 0.9539212961519538]
['barter', 0.9538630241908861]
['enthroned', 0.9538358024050163]
['flaw', 0.953796941814756]
['prow', 0.953796941814756]
['needy', 0.9537685731425108]
['nihilist', 0.9537394225302939]
['ridley', 0.9537146274851278]
['verification', 0.9532376671286243]
['_me_', 0.9530269061793665]
['hundredth', 0.9530269061793665]
['averse', 0.9528039536752803]
['systematically', 0.9528039536752803]
['rake', 0.9525737428035935]
['locating', 0.9523052435156134]
['slide', 0.9522668168016017]
['emanations', 0.9522668168016017]
['premise', 0.9520623274814348]
['digging', 0.9517846509215178]
['tantalized', 0.9516126547512337]
['monarchy', 0.9514981523550973]
['devotions', 0.9514351091841501]
['ventilation', 0.9514280785411362]
['sert', 0.9510123863540221]
['coachmen', 0.9509788527209014]
['thinks', 0.9507734299320246]
['repulsions', 0.9507734299320246]
['parisians', 0.9507734299320246]
['fester', 0.9507734299320246]
['summon', 0.9506679624151085]
['unanswered', 0.950605909270919]
['gracefully', 0.9501872314780953]
['talazac', 0.9500092300494626]
['agitations', 0.9498833795947107]
['quack', 0.9498470711401165]
['vehemently', 0.9498470711401165]
['bill', 0.9496153434210863]
['tiers', 0.9495503811773909]
['lustre', 0.9492697890837358]
['defenceless', 0.9492658675373281]
['motion', 0.9492655452719728]
['fellowship', 0.9487857134977961]
['emblem', 0.9487726813787936]
['petition_', 0.9482914263990625]
['edged', 0.9482785919388359]
['bedsteads', 0.9482785919388359]
['amie', 0.9482785919388359]
['receiving', 0.9482785919388359]
['darted', 0.9482785919388359]
['lupus', 0.9482785919388359]
['game', 0.9482785919388359]
['renewal', 0.9482785919388359]
['firmament', 0.9481125906926267]
['prophetic', 0.9477565851841276]
['drummond', 0.9477565851841276]
['eut', 0.9474169114269932]
['per', 0.9469210243497188]
['legends', 0.9469210243497188]
['papyrus', 0.9469210243497188]
['medicine', 0.9469210243497188]
['botanist', 0.9469210243497188]
['dropsical', 0.9469210243497188]
['cogent', 0.9469210243497188]
['delights', 0.9469210243497188]
['okalbia', 0.9469210243497188]
['broaching', 0.945935377813184]
['piety', 0.9457988265407152]
['field', 0.9457413883077385]
['semiramis', 0.9452258709783868]
['hits', 0.9451936731034185]
['fettered', 0.9451936731034185]
['manhood', 0.9451936731034185]
['antithesis', 0.9451936731034185]
['skeptical', 0.9451936731034185]
['facial', 0.9451936731034185]
['frosts', 0.9451936731034185]
['paracelsus', 0.9451936731034185]
['perils', 0.9451936731034185]
['familiarity', 0.9451936731034185]
['comprends', 0.9451936731034185]
['_varieties', 0.945125428341908]
['beowulf', 0.9450183367814795]
['high', 0.9448690159500357]
['flaring', 0.944641577018301]
['paled', 0.9445177463205132]
['remnants', 0.9445177463205132]
['gave', 0.9445177463205132]
['prevails', 0.9445177463205132]
['lunarians_', 0.9445177463205132]
['caste', 0.9445177463205132]
['congratulated', 0.9443833188839016]
['eternally', 0.9442861366873049]
['ascended', 0.9441616297744523]
['nobility', 0.943931721243235]
['schools', 0.9438785534434125]
['plentifully', 0.9438785534434125]
['blown', 0.9438636920824371]
['mondaine', 0.9436969956805817]
['eyeless', 0.9431531149621377]
['deprecatory', 0.9431444627455583]
['resplendent', 0.9427584581211857]
['long', 0.9426493185909398]
['written', 0.9422142857861823]
['daylight', 0.9418917797689225]
['unscathed', 0.9418580925381524]
['magical', 0.9418520072170654]
['evergreen', 0.9417752461425021]
['lauded', 0.9417752461425021]
['exigencies', 0.9415701408700616]
['laces', 0.9415701408700616]
['cortege', 0.9414208918805452]
['campanella', 0.9412985677737091]
['adversary', 0.9412985677737091]
['displace', 0.940701556260001]
['yield', 0.9395649547550334]
['caverns', 0.9395321028869335]
['mountain', 0.9395321028869335]
['lungs', 0.9394910877414863]
['conquest', 0.9390693549694683]
['seafaring', 0.9387760499689021]
['tail', 0.9387267413755624]
['gallery', 0.938370157734266]
['provoking', 0.938370157734266]
['clumsily', 0.938370157734266]
['franklin', 0.9380273611296912]
['breviary', 0.9380273611296912]
['surpassed', 0.9377722667943272]
['efficiently', 0.9377417206937418]
['advance', 0.9377070972869187]
['grata', 0.9372867896614075]
['judging', 0.9371280840636061]
['invented', 0.93699165237068]
['unapproving', 0.9367260669949548]
['amazon', 0.9367111469942725]
['than', 0.9364565785972956]
['olives', 0.9361792763127251]
['woodman', 0.9358916114289779]
['utilize', 0.935739008649249]
['rushed', 0.935739008649249]
['doves', 0.935739008649249]
['sassy', 0.935739008649249]
['taskmaster', 0.9353944100062169]
['womanhood', 0.9353944100062169]
['australia', 0.9353759984779859]
['minutely', 0.9353346695968183]
['breathlessly', 0.9353346695968183]
['apprehension', 0.9352412778946649]
['nailmaker', 0.9352412778946649]
['inlets', 0.9352412778946649]
['maintenant', 0.9351887135359495]
['parried', 0.9351850465783542]
['performance', 0.9351187509790253]
['quand', 0.9348410476997778]
['vindar', 0.934785113388348]
['sockets', 0.934785113388348]
['grandnephew', 0.934785113388348]
['policies', 0.9347007544343378]
['milder', 0.9338267172442226]
['hop', 0.9336972154801023]
['dual', 0.93337343487268]
['pedestrians', 0.9329733917397701]
['assumption', 0.9329733917397701]
['conspicuously', 0.9329733917397701]
['grimaces', 0.9329556906765536]
['smothering', 0.932698259194508]
['oppressors', 0.9323312902197133]
['palanquin', 0.9320187568189843]
['richer', 0.9314313231951568]
['located', 0.9314293593137668]
['won', 0.9313817147142127]
['export', 0.9311233384218984]
['dimmed', 0.9309328677212938]
['ont', 0.9308910749610516]
['squashing', 0.9306320227685503]
['satisfactory', 0.9300833852285879]
['pulp', 0.9300833852285879]
['lazier', 0.9300833852285879]
['amaranths', 0.9300833852285879]
['annals', 0.9300833852285879]
['task', 0.9300833852285879]
['diseases', 0.9300833852285879]
['reclining', 0.9300833852285879]
['doubting', 0.9300833852285879]
['gif', 0.9300833852285879]
['sup', 0.9300833852285879]
['softest', 0.9300833852285879]
['shirt', 0.9300833852285879]
['drowning', 0.9300833852285879]
['fille', 0.9300833852285879]
['fall', 0.9300833852285879]
['back', 0.9300833852285879]
['tattered', 0.9300833852285879]
['demeanour', 0.9300833852285879]
['coups', 0.9300833852285879]
['arnold', 0.9300833852285879]
['_love_', 0.9300833852285879]
['tricksy', 0.9300833852285879]
['loftier', 0.9300833852285879]
['palpably', 0.9300833852285879]
['aura', 0.9300833852285879]
['suited', 0.9300833852285879]
['nonproprietary', 0.9300833852285879]
['within', 0.9300833852285879]
['data', 0.9300833852285879]
['prone', 0.9300833852285879]
['_little_', 0.9300833852285879]
['invisible', 0.9300833852285879]
['meat', 0.9300833852285879]
['brothers_', 0.9300833852285879]
['efficacy', 0.9300833852285879]
['computers', 0.9300833852285879]
['thickets', 0.9300833852285879]
['hohenlohe', 0.9300833852285879]
['communion', 0.9300833852285879]
['swimmin', 0.9300833852285879]
['recognise', 0.9300833852285879]
['goldsmith', 0.9300833852285879]
['prelude', 0.9300833852285879]
['renault', 0.9300833852285879]
['unlike', 0.9300833852285879]
['nobles', 0.9300833852285879]
['_lunarium_', 0.9300833852285879]
['beneath', 0.9300833852285879]
['opportunities', 0.9300833852285879]
['mobilization', 0.9300833852285879]
['puttin', 0.9300833852285879]
['innocently', 0.9300833852285879]
['throwing', 0.9300833852285879]
['fathers', 0.9300833852285879]
['carlton', 0.9300833852285879]
['tapped', 0.9300833852285879]
['estimable', 0.9300833852285879]
['fideles', 0.9300833852285879]
['acre', 0.9300833852285879]
['disused', 0.9300833852285879]
['dam', 0.9300833852285879]
['dar', 0.9300833852285879]
['hellish', 0.9300833852285879]
['revival', 0.9300833852285879]
['incomparable', 0.9300833852285879]
['oupire', 0.9300833852285879]
['affording', 0.9300833852285879]
['exhausting', 0.9300833852285879]
['eyewitness', 0.9300833852285879]
['feigned', 0.930078147802058]
['caesars', 0.9300094231008545]
['noised', 0.9295106810023686]
['females', 0.9293852059543547]
['draggled', 0.9293852059543547]
['windjammers', 0.9293852059543547]
['project', 0.9293852059543547]
['clocks', 0.9293852059543547]
['terminated', 0.9293852059543547]
['unfriendliness', 0.9293852059543547]
['now', 0.9293852059543547]
['yearnings', 0.9293852059543547]
['yowl', 0.9293852059543547]
['venerate', 0.9293852059543547]
['wears', 0.9293852059543547]
['venting', 0.9293852059543547]
['_xix_', 0.9293852059543547]
['like', 0.9293852059543547]
['settles', 0.9293852059543547]
['dialect', 0.9293852059543547]
['researches', 0.9293852059543547]
['fiercer', 0.9293852059543547]
['wholesale', 0.9293852059543547]
['lighting', 0.9293852059543547]
['howls', 0.9293852059543547]
['descried', 0.9293852059543547]
['peace', 0.9293852059543547]
['careened', 0.9293852059543547]
['oud', 0.9293852059543547]
['protestants', 0.9293852059543547]
['shrugging', 0.9293852059543547]
['explained', 0.9293852059543547]
['beatitudes', 0.9293852059543547]
['silliness', 0.9293852059543547]
['jovial', 0.9293852059543547]
['maids', 0.9293852059543547]
['crystallise', 0.9293852059543547]
['elysee', 0.9293852059543547]
['pounds', 0.9293852059543547]
['himalah', 0.9293852059543547]
['opaque', 0.9293852059543547]
['skates', 0.9293852059543547]
['gratingly', 0.9293852059543547]
['fervour', 0.9293852059543547]
['blurred', 0.9293852059543547]
['gross', 0.9293852059543547]
['awakened', 0.9293852059543547]
['token', 0.9293852059543547]
['germans', 0.9293852059543547]
['unprejudiced', 0.9293852059543547]
['apart', 0.9293852059543547]
['mater', 0.9293852059543547]
['comprehending', 0.9293852059543547]
['dauntless', 0.9293852059543547]
['pacific', 0.9293852059543547]
['every', 0.9293852059543547]
['enlisting', 0.9293852059543547]
['imperishable', 0.9293852059543547]
['radium', 0.9293852059543547]
['country', 0.9293852059543547]
['darts', 0.9293852059543547]
['necessity', 0.9293852059543547]
['formal', 0.9293852059543547]
['toutoisi', 0.9293852059543547]
['gentle', 0.9293852059543547]
['vestiaire', 0.9293852059543547]
['gravitational', 0.9293852059543547]
['oxide', 0.9293852059543547]
['salon', 0.9293852059543547]
['befallen', 0.9293852059543547]
['throw', 0.9293852059543547]
['current', 0.9293852059543547]
['arrogate', 0.9293852059543547]
['dragoon', 0.9293852059543547]
['uneducated', 0.9293852059543547]
['discolors', 0.9293852059543547]
['balustrades', 0.9293852059543547]
['dow', 0.9293852059543547]
['thoroughness', 0.9293852059543547]
['12', 0.9293852059543547]
['replaced', 0.9293852059543547]
['goods', 0.9293852059543547]
['abutment', 0.9293852059543547]
['add', 0.9293852059543547]
['though', 0.9293852059543547]
['clearer', 0.9293852059543547]
['abler', 0.9293852059543547]
['vest', 0.9293852059543547]
['activities', 0.9293852059543547]
['realised', 0.9293852059543547]
['_nine', 0.9293852059543547]
['chirruping', 0.9293852059543547]
['figurative', 0.9293852059543547]
['jardin', 0.9293852059543547]
['hiding', 0.9293852059543547]
['grate', 0.9293852059543547]
['whenever', 0.9293852059543547]
['curls', 0.9293852059543547]
['gentlemen', 0.9293852059543547]
['enjoyment', 0.9293852059543547]
['utopia', 0.9293852059543547]
['rested', 0.9293852059543547]
['upset', 0.9293852059543547]
['gladiators', 0.9293852059543547]
['sentence', 0.9293852059543547]
['perjury', 0.9293852059543547]
['appearance', 0.9293852059543547]
['clinging', 0.9293852059543547]
['cubbing', 0.9293852059543547]
['triomphe', 0.9293852059543547]
['ray', 0.9293852059543547]
['paternal', 0.9293852059543547]
['advances', 0.9293852059543547]
['solids', 0.9293852059543547]
['suez', 0.9293852059543547]
['conduct', 0.9293568798092403]
['wilderness', 0.9292674378778363]
['refuted', 0.9292502278473834]
['_through_', 0.9292502278473834]
['battues', 0.929144793676888]
['nebulous', 0.9287715301174783]
['downloading', 0.9285981660567999]
['equanimity', 0.9285981660567999]
['appalachians', 0.9285981660567999]
['solved', 0.9285981660567999]
['horrid', 0.9285981660567999]
['waterfall', 0.9285981660567999]
['distinct', 0.9285981660567999]
['rabbit', 0.9285981660567999]
['weeping', 0.9283590390297134]
['delegates', 0.9283110309319316]
['leaving', 0.9283110309319316]
['tenant', 0.9283110309319316]
['identifications', 0.9283110309319316]
['bravely', 0.9283110309319316]
['orators', 0.9283110309319316]
['averting', 0.9283110309319316]
['translucent', 0.92827901083925]
['sixteenth', 0.9282150461198706]
['rise', 0.9280610237361728]
['_beauty_', 0.9278107731718707]
['tool', 0.9278107731718707]
['convenient', 0.9277368909299288]
['droite', 0.9277368909299288]
['thrill_', 0.9276852334361401]
['steamer', 0.9274928226309491]
['webbed', 0.9274928226309491]
['groupe', 0.9274928226309491]
['compassionate', 0.9271945902719756]
['nominations', 0.9271516156534263]
['merited', 0.9270942409210929]
['roadside', 0.926972698446072]
['scream', 0.9268042581293736]
['palm', 0.9268042581293736]
['stand', 0.9268042581293736]
['namely', 0.9268042581293736]
['foot', 0.9267904628283617]
['systems', 0.9267904628283617]
['walnut', 0.9267904628283617]
['hazing', 0.9267904628283617]
['sterile', 0.9267904628283617]
['proves', 0.9267904628283617]
['see', 0.9267904628283617]
['absurd', 0.9267904628283617]
['minnows', 0.9267904628283617]
['frances', 0.9267904628283617]
['busily', 0.9267904628283617]
['wrangling', 0.9267904628283617]
['recites', 0.9267904628283617]
['roundhouse', 0.926566086229828]
['downfall', 0.926566086229828]
['gorgeous', 0.9265162241512088]
['mariners', 0.9264305622149746]
['accident', 0.9262108699159249]
['pekin', 0.9257236185820328]
['tain', 0.9256133335593366]
['whither', 0.9254725071477781]
['confess', 0.9254544413620266]
['plaster', 0.9254330080641948]
['toads', 0.9253376782800616]
['inconsequent', 0.9252758260375368]
['defer', 0.9249688599518155]
['artfully', 0.9247262287437887]
['state', 0.9247262287437887]
['ahoy', 0.924122515618762]
['apposite', 0.9237401531033752]
['eagen', 0.9233373628116115]
['dangerousness', 0.9232712239240153]
['wittgenstein', 0.923122462304436]
['rug', 0.9231047491460749]
['utensils', 0.9230680888460446]
['gerard', 0.922972614008226]
['_can_', 0.9227487471444942]
['squarer', 0.9227487471444942]
['nuncio', 0.9226958255363129]
['constructed', 0.9222656296908579]
['principal', 0.9222349518075492]
['grumble', 0.9222208381833128]
['assign', 0.9219172274899449]
['rummage', 0.9217711413024862]
['resolution', 0.9214529895329656]
['arrangements', 0.9212167015258674]
['_irritentia_', 0.9212167015258674]
['organic', 0.9212167015258674]
['insomnia', 0.9212167015258674]
['ascetic', 0.9212167015258674]
['outrageously', 0.9212167015258674]
['nightlong', 0.9212167015258674]
['worthy', 0.9212167015258674]
['float', 0.9212167015258674]
['hell', 0.9212167015258674]
['occasions', 0.9212167015258674]
['seed', 0.9212167015258674]
['01', 0.9212167015258674]
['scarfs', 0.9212167015258674]
['pedo', 0.9212167015258674]
['collar', 0.9212167015258674]
['holy', 0.9212167015258674]
['likewise', 0.9212167015258674]
['analytical', 0.9212167015258674]
['mobile', 0.9212167015258674]
['calcutta', 0.9212167015258674]
['suspiciously', 0.9212167015258674]
['tractable', 0.9212167015258674]
['esalar', 0.9212167015258674]
['barn', 0.9212167015258674]
['sunk', 0.9212167015258674]
['shoving', 0.9212167015258674]
['affections', 0.9210973623461829]
['extent', 0.9203257179050093]
['chain', 0.9203257179050093]
['pas_', 0.9203257179050093]
