['canace', 0.9992241614889734]
['stupid', 0.9852390201595448]
['bigoted', 0.9852390201595448]
['suggestive', 0.9849313840351218]
['scrubbing', 0.9846727556004097]
['tensity', 0.984575646681556]
['finger', 0.9845199845739627]
['speculative', 0.9842262645796566]
['youth', 0.9842262645796566]
['anear', 0.9841703889893426]
['youthful', 0.9841616816769333]
['spends', 0.984114085677802]
['dreariest', 0.9839928460130709]
['pulsated', 0.9839928460130709]
['diversion', 0.9839928460130709]
['lifting', 0.9839928460130709]
['deny', 0.9839928460130709]
['semi', 0.9839845570164724]
['lissa', 0.9837587155777929]
['faculty', 0.983639781036281]
['syllable', 0.9834721818436647]
['radicalism', 0.9831626908108179]
['term', 0.9831626908108179]
['christians', 0.9831626908108179]
['dank', 0.9831626908108179]
['unintended', 0.9829327258629279]
['voided', 0.982790470977813]
['txt', 0.9827893095023336]
['prearranged', 0.9825316494348305]
['admirably', 0.9822473278666048]
['down', 0.9821617109440007]
['scooping', 0.9821617109440007]
['neighbor', 0.9821617109440007]
['flaunting', 0.9821617109440007]
['relatives', 0.9818553966840498]
['cesspool', 0.9818553966840498]
['voltaire', 0.9817365562353927]
['motion', 0.9810478109459403]
['button', 0.9809120500311287]
['_must_', 0.9809120500311287]
['fellowship', 0.9808685666326409]
['quivering', 0.980823367288441]
['tres', 0.980745257565293]
['inasmuch', 0.9807288886179881]
['attributed', 0.9807288886179881]
['curve', 0.9807288886179881]
['enjoyed', 0.9807288886179881]
['flashes', 0.9806267354883805]
['hope', 0.9804726573688181]
['grisettes', 0.9803993089167393]
['exist', 0.9802531116222376]
['roadside', 0.9802467029244455]
['resisted', 0.9802105421810389]
['perfect', 0.9802090636816707]
['surpasses', 0.9800676146480078]
['entertainment', 0.9800676146480078]
['prejudicing', 0.980018569518615]
['grotesque', 0.980018569518615]
['chemicals', 0.9796420492758205]
['reminiscent', 0.9796420492758205]
['roger', 0.9796420492758205]
['dreadful', 0.9796420492758205]
['peaceful', 0.9796420492758205]
['degradation', 0.9795452240102]
['nineteenths', 0.9795452240102]
['straggle', 0.9793983390496386]
['righteous', 0.9791135690511736]
['danae', 0.9786422643291098]
['shelves', 0.9784364555900055]
['maturity', 0.978337235737035]
['saviour', 0.978337235737035]
['windin', 0.978337235737035]
['supplied', 0.978337235737035]
['lovable', 0.978337235737035]
['relates', 0.978337235737035]
['iridium', 0.978337235737035]
['indistinctness', 0.978337235737035]
['precision', 0.978337235737035]
['electrician', 0.978337235737035]
['fogs', 0.978337235737035]
['preachers', 0.978337235737035]
['foliage', 0.978337235737035]
['thirty', 0.978337235737035]
['beating', 0.978337235737035]
['anticipate', 0.978337235737035]
['conflict', 0.978337235737035]
['corneille', 0.978337235737035]
['stoutly', 0.978337235737035]
['unforgetful', 0.978337235737035]
['oddity', 0.978337235737035]
['annoyed', 0.978337235737035]
['timidly', 0.978337235737035]
['laszlo', 0.978337235737035]
['unaffected', 0.978337235737035]
['nestor', 0.978337235737035]
['czaski', 0.978337235737035]
['phoebus', 0.978337235737035]
['assemblage', 0.9779799778826601]
['tongtoia', 0.9777936690149109]
['cruise', 0.9777842935174033]
['cited', 0.9775839833889093]
['aint', 0.9775839833889093]
['onset', 0.9774522298577042]
['yield', 0.9774240915939022]
['iv', 0.9773937408608637]
['hundreds', 0.9773649663171164]
['wrest', 0.9771913145539214]
['phalanxes', 0.9769787636423651]
['cambridge', 0.9768718837840464]
['competent', 0.9767452490053361]
['microscopes', 0.9766108185265046]
['peaks', 0.9765102433078825]
['informs', 0.9765102433078825]
['milled', 0.9765102433078825]
['dies', 0.9765102433078825]
['humped', 0.9765102433078825]
['cultivators', 0.9765102433078825]
['often', 0.9765102433078825]
['occupant', 0.9765102433078825]
['slaughtering', 0.9762770834263539]
['therefor', 0.975794526532515]
['resorts', 0.9754476837224495]
['fabius', 0.9754476837224495]
['restoration', 0.9754476837224495]
['affecting', 0.9754476837224495]
['gone', 0.9754476837224495]
['hopelessly', 0.9754476837224495]
['county', 0.9754476837224495]
['unavowed', 0.9754476837224495]
['ferociously', 0.9754476837224495]
['adduced', 0.9754476837224495]
['selling', 0.9754476837224495]
['unlit', 0.9754476837224495]
['phillips', 0.9754476837224495]
['reverses', 0.9754476837224495]
['preoccupations', 0.9754476837224495]
['undergoing', 0.9754476837224495]
['paralysed', 0.9754476837224495]
['uttermost', 0.9754476837224495]
['prodigy', 0.9754476837224495]
['records', 0.975020329467748]
['exhibitions', 0.9750064688943172]
['weighty', 0.9747959890936055]
['akin', 0.9747475116469927]
['ennobles', 0.9747112810226529]
['fantastic', 0.9745483513648301]
['published', 0.9745483513648301]
['needy', 0.974434115870375]
['intricate', 0.9741374635329388]
['theous', 0.9739537725659309]
['constrictor', 0.9736235192707883]
['headstones', 0.9736235192707883]
['artfully', 0.9735630655362322]
['state', 0.9735630655362322]
['advocacy', 0.9735564688243548]
['richer', 0.9734141365098565]
['congratulating', 0.9733688580909117]
['southeastward', 0.9733688580909117]
['amadee', 0.9733688580909117]
['tormented', 0.9733688580909117]
['python', 0.9733688580909117]
['quote', 0.9733688580909117]
['rheinfeldt', 0.9733688580909117]
['rules', 0.9733688580909117]
['bounty', 0.9733688580909117]
['smile', 0.9733688580909117]
['puff', 0.9733688580909117]
['sightless', 0.9733688580909117]
['guarding', 0.9732915728521976]
['supports', 0.9732915728521976]
['tense', 0.9732915728521976]
['boast', 0.9732915728521976]
['chestnuts', 0.9732915728521976]
['rights', 0.9732915728521976]
['cooly', 0.9732915728521976]
['hawking', 0.9732915728521976]
['_let', 0.9732915728521976]
['immolated', 0.9732915728521976]
['hero', 0.9732915728521976]
['clatter', 0.9732915728521976]
['ambitious', 0.9732915728521976]
['corpse', 0.9732915728521976]
['ends', 0.9728990621415522]
['mouthing', 0.9728827179892569]
['sentimentally', 0.9727977425343685]
['specification', 0.9727977425343685]
['grazier', 0.9727977425343685]
['spotless', 0.9727076922479617]
['seizure', 0.9726185089000207]
['accidents', 0.9722077539058563]
['soothes', 0.9721450822763832]
['deprecatory', 0.9721205460266229]
['disorganized', 0.971994794114353]
['defenceless', 0.9719441289156836]
['fascinated', 0.9717679925956614]
['flopped', 0.9716848852266401]
['rise', 0.9712343863914106]
['during', 0.9711580874881831]
['heroism_', 0.9710281665610496]
['paddles', 0.9710281665610496]
['radio', 0.9709091624432644]
['leetle', 0.9708310493810709]
['sou', 0.9708310493810709]
['titles', 0.9708310493810709]
['oswego', 0.9708310493810709]
['press_', 0.9708310493810709]
['breakdown', 0.970764217784977]
['depicted', 0.9705136748871703]
['raleigh', 0.9703390283009362]
['projecting', 0.9702451976471919]
['rugby', 0.9702402786372761]
['perform', 0.9699874308252571]
['easterly', 0.9698962247210143]
['quellers', 0.9695479877263944]
['accident', 0.969483079567943]
['speculating', 0.9694732781505735]
['nuncio', 0.9693585238319555]
['lay', 0.9691997125626326]
['sentinel', 0.9691714073801685]
['faut', 0.9691714073801685]
['everyone', 0.9690203398381141]
['engagingly', 0.9689893050194911]
['zealand', 0.9689893050194911]
['sprung', 0.9689893050194911]
['schools', 0.968964955283005]
['plentifully', 0.968964955283005]
['snare', 0.9689638544932155]
['gunboat', 0.9689280353524857]
['dumpish', 0.9688334192187907]
['despite', 0.9688334192187907]
['store', 0.9688334192187907]
['box_', 0.9688334192187907]
['dismantled', 0.9688334192187907]
['parthie', 0.9688334192187907]
['darcandarca', 0.9688334192187907]
['frank', 0.9688334192187907]
['refinements', 0.9688334192187907]
['should', 0.9688334192187907]
['asiatic', 0.9688334192187907]
['eleusinian', 0.9688334192187907]
['frankincense', 0.9688334192187907]
['amended', 0.9688334192187907]
['confession', 0.9688334192187907]
['maigs', 0.9686057363076217]
['ofttimes', 0.9685942770884057]
['automatons', 0.9684808066824914]
['seaway', 0.9684808066824914]
['ladyship', 0.9684808066824914]
['fallin', 0.9684808066824914]
['lesson', 0.9684808066824914]
['cabalistic', 0.968256323513653]
['_orlando', 0.9681492255421073]
['compassionate', 0.9676157624089037]
['depth', 0.9675380537266169]
['anger', 0.9674114433826467]
['coal', 0.9671932158096171]
['scales', 0.9671932158096171]
['radiances', 0.9670887323976011]
['assyria', 0.9665244081658312]
['thoughtless', 0.9664880846807076]
['bravery', 0.9664024475296087]
['explicit', 0.966238105807576]
['astronomer', 0.966091970266103]
['astronomy', 0.966091970266103]
['dynamite', 0.966091970266103]
['ulster', 0.9660821407217096]
['animadverted', 0.9660177835803877]
['overjoyed', 0.9659429177088784]
['beds', 0.9659429177088784]
['consummated', 0.9659429177088784]
['camions', 0.9659429177088784]
['freaks', 0.9659429177088784]
['couriers', 0.9659429177088784]
['agunt', 0.9659429177088784]
['offered', 0.9659429177088784]
['bathe', 0.9659429177088784]
['baths', 0.9659429177088784]
['dwindle', 0.9659429177088784]
['sonorous', 0.9659429177088784]
['total', 0.9659429177088784]
['compensate', 0.9659429177088784]
['climbing', 0.9659429177088784]
['inexcusable', 0.9659429177088784]
['vanquished', 0.9659429177088784]
['godwinian', 0.9659429177088784]
['courant', 0.9659429177088784]
['axes', 0.9659429177088784]
['stone', 0.9659429177088784]
['stuart', 0.9659429177088784]
['bosom_', 0.9659429177088784]
['seeker', 0.9659429177088784]
['fading', 0.9659429177088784]
['squatting', 0.9659429177088784]
['sets', 0.9659429177088784]
['undoing', 0.9659429177088784]
['minny', 0.9659089467838752]
['papa', 0.9657917184007334]
['reginald', 0.9655760189088094]
['constrains', 0.9650193954391494]
['circuit', 0.9648915825690525]
['fruits', 0.9647938022335218]
['now_', 0.9645901512792734]
['woodman', 0.9645481927478466]
['paying', 0.9641870015060494]
['conseilleurs', 0.9639124038188625]
['talking', 0.9637180257510768]
['jungle', 0.9635641141920378]
['pillows', 0.9634659429245123]
['darkening', 0.9634659429245123]
['beggin', 0.9634542330265147]
['combine', 0.9634542330265147]
['taels', 0.9633924827688941]
['intend', 0.9630317198435905]
['moments', 0.9629176895457793]
['manufactories', 0.9628900800614607]
['watering', 0.9628900800614607]
['patineurs', 0.962883171601711]
['shoved', 0.9626704866617807]
['preparations', 0.962567737768899]
['omnipotent', 0.9625566239132467]
['chose', 0.9625566239132467]
['indians', 0.9625566239132467]
['cannibal', 0.9625538620067767]
['sermons', 0.9625538620067767]
['cookery', 0.9625538620067767]
['chiseled', 0.9623576741964142]
['inedites', 0.9623576741964142]
['steeds', 0.9623576741964142]
['aristocratic', 0.9622924647917788]
['ox', 0.9622924647917788]
['newman', 0.9622924647917788]
['blow', 0.9621052248389292]
['heresy', 0.9620531422320588]
['clubs', 0.9617837829335988]
['obedient', 0.9617703044442598]
['conclude', 0.9616436009471528]
['untaught', 0.9616436009471528]
['grudge', 0.9616436009471528]
['portfolios', 0.9616436009471528]
['stanchions', 0.9616436009471528]
['fended', 0.9616436009471528]
['bullets', 0.9616436009471528]
['founding', 0.9616436009471528]
['indignant', 0.9616436009471528]
['spat', 0.9616436009471528]
['wrists', 0.9616436009471528]
['nun', 0.9616436009471528]
['whimpering', 0.9616436009471528]
['clinton', 0.9616436009471528]
['negligible', 0.9616436009471528]
['singly', 0.9616436009471528]
['finely', 0.9616436009471528]
['rocking', 0.9616436009471528]
['cranks', 0.9616436009471528]
['club', 0.9616436009471528]
['james', 0.9616436009471528]
['expecting', 0.9616436009471528]
['attempts', 0.9616436009471528]
['chase', 0.9616049484669528]
['englanders', 0.9615057104129398]
['requisition', 0.9614818335726163]
['flaw', 0.961303362262588]
['prow', 0.961303362262588]
['females', 0.9609501638793599]
['draggled', 0.9609501638793599]
['windjammers', 0.9609501638793599]
['project', 0.9609501638793599]
['clocks', 0.9609501638793599]
['terminated', 0.9609501638793599]
['unfriendliness', 0.9609501638793599]
['now', 0.9609501638793599]
['yearnings', 0.9609501638793599]
['yowl', 0.9609501638793599]
['venerate', 0.9609501638793599]
['wears', 0.9609501638793599]
['venting', 0.9609501638793599]
['_xix_', 0.9609501638793599]
['like', 0.9609501638793599]
['settles', 0.9609501638793599]
['dialect', 0.9609501638793599]
['researches', 0.9609501638793599]
['fiercer', 0.9609501638793599]
['wholesale', 0.9609501638793599]
['lighting', 0.9609501638793599]
['howls', 0.9609501638793599]
['descried', 0.9609501638793599]
['peace', 0.9609501638793599]
['careened', 0.9609501638793599]
['oud', 0.9609501638793599]
['protestants', 0.9609501638793599]
['shrugging', 0.9609501638793599]
['explained', 0.9609501638793599]
['beatitudes', 0.9609501638793599]
['silliness', 0.9609501638793599]
['jovial', 0.9609501638793599]
['maids', 0.9609501638793599]
['crystallise', 0.9609501638793599]
['elysee', 0.9609501638793599]
['pounds', 0.9609501638793599]
['himalah', 0.9609501638793599]
['opaque', 0.9609501638793599]
['skates', 0.9609501638793599]
['gratingly', 0.9609501638793599]
['fervour', 0.9609501638793599]
['blurred', 0.9609501638793599]
['gross', 0.9609501638793599]
['awakened', 0.9609501638793599]
['token', 0.9609501638793599]
['germans', 0.9609501638793599]
['unprejudiced', 0.9609501638793599]
['apart', 0.9609501638793599]
['mater', 0.9609501638793599]
['comprehending', 0.9609501638793599]
['dauntless', 0.9609501638793599]
['pacific', 0.9609501638793599]
['every', 0.9609501638793599]
['enlisting', 0.9609501638793599]
['imperishable', 0.9609501638793599]
['radium', 0.9609501638793599]
['country', 0.9609501638793599]
['darts', 0.9609501638793599]
['necessity', 0.9609501638793599]
['formal', 0.9609501638793599]
['toutoisi', 0.9609501638793599]
['gentle', 0.9609501638793599]
['vestiaire', 0.9609501638793599]
['gravitational', 0.9609501638793599]
['oxide', 0.9609501638793599]
['salon', 0.9609501638793599]
['befallen', 0.9609501638793599]
['throw', 0.9609501638793599]
['current', 0.9609501638793599]
['arrogate', 0.9609501638793599]
['dragoon', 0.9609501638793599]
['uneducated', 0.9609501638793599]
['discolors', 0.9609501638793599]
['balustrades', 0.9609501638793599]
['dow', 0.9609501638793599]
['thoroughness', 0.9609501638793599]
['12', 0.9609501638793599]
['replaced', 0.9609501638793599]
['goods', 0.9609501638793599]
['abutment', 0.9609501638793599]
['add', 0.9609501638793599]
['though', 0.9609501638793599]
['clearer', 0.9609501638793599]
['abler', 0.9609501638793599]
['vest', 0.9609501638793599]
['activities', 0.9609501638793599]
['realised', 0.9609501638793599]
['_nine', 0.9609501638793599]
['chirruping', 0.9609501638793599]
['figurative', 0.9609501638793599]
['jardin', 0.9609501638793599]
['hiding', 0.9609501638793599]
['grate', 0.9609501638793599]
['whenever', 0.9609501638793599]
['curls', 0.9609501638793599]
['gentlemen', 0.9609501638793599]
['enjoyment', 0.9609501638793599]
['utopia', 0.9609501638793599]
['rested', 0.9609501638793599]
['upset', 0.9609501638793599]
['gladiators', 0.9609501638793599]
['sentence', 0.9609501638793599]
['perjury', 0.9609501638793599]
['appearance', 0.9609501638793599]
['clinging', 0.9609501638793599]
['cubbing', 0.9609501638793599]
['triomphe', 0.9609501638793599]
['ray', 0.9609501638793599]
['paternal', 0.9609501638793599]
['advances', 0.9609501638793599]
['solids', 0.9609501638793599]
['suez', 0.9609501638793599]
['_passion', 0.9608880652905959]
['huntsman', 0.9603587106590994]
['solidarity', 0.9601553664778065]
['forsythe', 0.9601411293863773]
['dimmed', 0.960020870716305]
['quickened', 0.9595326769902495]
['sabe_', 0.9593135641694309]
['caricatures', 0.9592502163832745]
['stayers', 0.9589993764172131]
['undersecretary', 0.9588666581520872]
['performers', 0.9586897584834762]
['prospect', 0.9583891616846083]
['israel', 0.9581742123645326]
['130', 0.9581742123645326]
['relentless', 0.9580680185784254]
['meeting', 0.957955426446586]
['creditor', 0.9578835618456388]
['motors', 0.9577458342606289]
['vulcan', 0.9573414645849289]
['yells', 0.9573414645849289]
['tutor', 0.9572360826897418]
['grumble', 0.9569882832118849]
['condemning', 0.9569767808770195]
['refilled', 0.9569329826558437]
['nosin', 0.9569329826558437]
['lash', 0.9568776782232591]
['rhythmic', 0.9568776782232591]
['poor', 0.9568776782232591]
['impostures', 0.9568776782232591]
['cave', 0.9568776782232591]
['evangelization', 0.9568776782232591]
['sweating', 0.9568776782232591]
['treasure', 0.9568776782232591]
['brigatine', 0.9568776782232591]
['porters', 0.9568776782232591]
['quiet', 0.9568776782232591]
['irrespective', 0.9568776782232591]
['moot', 0.9568776782232591]
['amply', 0.9568776782232591]
['crowds', 0.9568776782232591]
['typhoid', 0.9568776782232591]
['lacks', 0.9568776782232591]
['modeled', 0.9568776782232591]
['metternich', 0.9568776782232591]
['pains', 0.9568776782232591]
['province', 0.9568776782232591]
['oilskin', 0.9568776782232591]
['favourable', 0.9568776782232591]
['mewed', 0.9568776782232591]
['vagabond', 0.9568776782232591]
['impecunious', 0.9568776782232591]
['painted', 0.9568776782232591]
['constitutes', 0.9568776782232591]
['scar', 0.9568776782232591]
['babes', 0.9568776782232591]
['muttering', 0.9568776782232591]
['mauvaise', 0.9568776782232591]
['inaccurate', 0.9568776782232591]
['hoofs', 0.9568776782232591]
['mastodon', 0.9568776782232591]
['mea_', 0.9568776782232591]
['tale', 0.9568776782232591]
['writing', 0.9568776782232591]
['unlikely', 0.9568776782232591]
['flamingo', 0.9568776782232591]
['_hypotheses_', 0.9568776782232591]
['satellite', 0.9568776782232591]
['gives', 0.9568776782232591]
['cloth', 0.9568776782232591]
['95', 0.9568776782232591]
['ownership', 0.9568776782232591]
['knew', 0.9568776782232591]
['borrow', 0.9568776782232591]
['wade', 0.9568776782232591]
['gettin', 0.9568776782232591]
['consideration', 0.9568776782232591]
['swell', 0.9568776782232591]
['probable', 0.9568776782232591]
['parade', 0.9568776782232591]
['laurel', 0.9568776782232591]
['retire', 0.9568776782232591]
['okalbians', 0.9568776782232591]
['transforming', 0.9568776782232591]
['2004', 0.9568776782232591]
['ignatieff', 0.9568776782232591]
['pennyroyal', 0.9568776782232591]
['respects', 0.9568776782232591]
['telephones', 0.9567036348690838]
['charmed', 0.956545752905186]
['either', 0.956545752905186]
['tennyson', 0.956545752905186]
['darkens', 0.956545752905186]
['solomon', 0.956545752905186]
['emboldened', 0.956545752905186]
['attempted', 0.9564557954262655]
['stoutest', 0.9562477292786257]
['recitation', 0.9561845430144498]
['month', 0.9561737231285243]
['experimental', 0.9561737231285243]
['expressions', 0.9561737231285243]
['sunrise', 0.9561737231285243]
['scouted', 0.9561280625137918]
['readiest', 0.9561278499389432]
['performance', 0.9558569915780564]
['cloudy', 0.9557843596439635]
['estopped', 0.9555753601315086]
['teachers', 0.9554204798915107]
['dryness', 0.9554204798915107]
['apothecary', 0.9553474287124579]
['reached', 0.9551404931163558]
['reserving', 0.9550810732829036]
['communicant', 0.9550195620104185]
['owning', 0.9550156806114456]
['confess', 0.954814683969772]
['souverain', 0.9547504056955063]
['invaluable', 0.9544897375079773]
['flattered', 0.9544892102372282]
['determine', 0.9544892102372282]
['whisperin', 0.9542549923535446]
['theodoric', 0.9540025756141693]
['indescribably', 0.9536750960665116]
['inscrutably', 0.9534184006122518]
['avidity', 0.9533678051691763]
['shocks', 0.9533148221937185]
['asunder', 0.9532261205941666]
['skeletons', 0.9532261205941666]
['lack', 0.9532261205941666]
['sert', 0.9531765886780141]
['exquisitely', 0.9529837275060122]
['affirming', 0.9527767615216742]
['gregory', 0.9526646148697513]
['throaty', 0.9523184064497304]
['taciturn', 0.9523184064497304]
['treasury', 0.9521341493155314]
['algiers', 0.9521341493155314]
['contes', 0.9521341493155314]
['compliments', 0.9521341493155314]
['turban', 0.9521341493155314]
['schooners', 0.9521341493155314]
['habit', 0.9521341493155314]
['lies_', 0.9521341493155314]
['gibberish', 0.9521341493155314]
['piemont', 0.9519553021689762]
['meum_', 0.9516043628964437]
['obliquely', 0.9516043628964437]
['disclosed', 0.951572453528701]
['wakefield', 0.9515235555146543]
['affections', 0.9515158132381771]
['snows', 0.9514431511058148]
['bleached', 0.9514431511058148]
['partake', 0.9511385875763274]
['milder', 0.9507310347993135]
['snarled', 0.950689238890688]
['arithmetical', 0.9506069951651698]
['aye', 0.9505212638352581]
['literature', 0.9505212638352581]
['neutral', 0.950423749295557]
['trottin', 0.9503795050991012]
['perforated', 0.9499730703350151]
['kansas', 0.9496866968796088]
['carelessly', 0.9496444595546933]
['came', 0.9494229725035885]
['assign', 0.9494148711459516]
['savagely', 0.9491638057436714]
['uhlan', 0.9490214611369607]
['faraway', 0.9489132101155308]
['trip', 0.9489132101155308]
['reverie', 0.9488761757893016]
['seafaring', 0.9487785683116031]
['tumbling', 0.9487294827107975]
['glides', 0.9487294827107975]
['quest', 0.9487294827107975]
['feeds', 0.9486974719476743]
['complacency', 0.9484889246319244]
['unhappy', 0.9484774365880871]
['verification', 0.9482810518695084]
['partially', 0.9481937821634113]
['chortasoo', 0.9481671309064076]
['falsified', 0.948035498905596]
['averse', 0.9478013665711146]
['systematically', 0.9478013665711146]
['low', 0.9474609524170369]
['catullus', 0.9472194101955205]
['stretched', 0.9472194101955205]
['stalk', 0.9472194101955205]
['brink', 0.9471878143949528]
['weary', 0.9469132611729284]
['catastrophe', 0.9467191480044874]
['buttresses', 0.9467015228986704]
['inly', 0.9466958572103589]
['outbuildings', 0.9466958572103589]
['exit', 0.9466958572103589]
['drownin', 0.9466958572103589]
['philologorum', 0.9465733128309086]
['advisable', 0.9462845303652464]
['defer', 0.9461545696868574]
['bnf', 0.9460437359191877]
['taskmaster', 0.9458906139550816]
['womanhood', 0.9458906139550816]
['studiously', 0.9457638198846791]
['song', 0.9457111289050026]
['eut', 0.9456899868082115]
['finality', 0.9456784156586177]
['staggered', 0.9454788375933837]
['won', 0.945372566403139]
['snap', 0.9450255880682296]
['sympathetic', 0.9448641473017103]
['cr', 0.9447962091573754]
['waitin', 0.9447962091573754]
['wisps', 0.9447962091573754]
['prerogative', 0.9447962091573754]
['originality', 0.9443522049565671]
['bright', 0.9443288648370298]
['whisky', 0.944212061028463]
['door', 0.9438723788054016]
['maitre', 0.9438723788054016]
['machinations', 0.9430273605135194]
['careen', 0.9430273605135194]
['bowling', 0.9430094996700032]
['gully', 0.9429569657732169]
['tyrants', 0.9429473930752669]
['browse', 0.9428633791069528]
['gallery', 0.9427619701853275]
['provoking', 0.9427619701853275]
['clumsily', 0.9427619701853275]
['gunpowder', 0.9425067967880576]
['amber', 0.9423104333311421]
['rigs', 0.9423104333311421]
['magical', 0.941825727849096]
['cassius', 0.9417732028948937]
