['veenah', 0.9955738567660566]
['catalogues', 0.9640749360356452]
['honesty', 0.9637912964924963]
['descant', 0.9637511605879493]
['trace', 0.963649350260684]
['arcturus', 0.9630990874738109]
['velocities', 0.9628464198709284]
['1698', 0.9627007694854253]
['trifling', 0.9625273646900322]
['garments', 0.9620629820470642]
['ebbed', 0.9618045585119579]
['qual', 0.9617223617244628]
['wing', 0.9616298466771965]
['dispelled', 0.9616268596223652]
['coast', 0.9615296465705149]
['legation', 0.9614544272965713]
['piety', 0.9614177488017681]
['yoke', 0.9613675927868458]
['_me_', 0.96136619792229]
['hundredth', 0.96136619792229]
['fag', 0.961071714356993]
['jason', 0.9610710584955866]
['invented', 0.9610197487607789]
['magnanimity', 0.960969237748059]
['surpassed', 0.9609560803155666]
['stayed', 0.9608986874139617]
['unapproving', 0.9608554437907114]
['deeds', 0.9607948894136709]
['slide', 0.9607410497748405]
['emanations', 0.9607410497748405]
['sma', 0.9606701898028289]
['pack', 0.9605471272996778]
['maintenant', 0.9599043567311354]
['raking', 0.9596577346667052]
['hundred', 0.9594156962332449]
['arc', 0.9592465187679847]
['trice', 0.959117269587618]
['similarly', 0.9591022236627659]
['incur', 0.9588912292342131]
['petition_', 0.9579643805123649]
['affect', 0.9576137944120817]
['freezing', 0.9574102169369961]
['plunging', 0.9573714846474838]
['conducive', 0.957340845607917]
['direction', 0.9572239107495858]
['roost', 0.9569746299729052]
['drouth', 0.9569411813058447]
['monitor', 0.956875411731865]
['practice', 0.9558747547648065]
['eyeless', 0.955548214437373]
['appointments', 0.9553731448650127]
['dovetails', 0.9550040344129435]
['firmer', 0.9549943452561435]
['ennobling', 0.9547698315101796]
['liable', 0.9546740627392851]
['manifold', 0.9546706088469912]
['mettant', 0.954594851445858]
['awaking', 0.9545261973175885]
['occasioned', 0.9543456983132339]
['manly', 0.9539143374264117]
['professorship', 0.9539050453048188]
['melt', 0.9539016475535704]
['charmingly', 0.9537130231276869]
['treetops', 0.9536802842815829]
['departed', 0.9536390218551097]
['specialists', 0.9534248100203616]
['selections', 0.9531342950474084]
['drugging', 0.9529499466778919]
['long', 0.9528309784524737]
['mar', 0.9528123581076697]
['hawaiian', 0.9527680328961506]
['above', 0.9522914905067364]
['customers', 0.9522319848276999]
['deftness', 0.9522114889206771]
['completing', 0.9522038354207896]
['unscathed', 0.9521802214289139]
['spend', 0.9520977483696162]
['chamberlains', 0.9520229408640168]
['pennsylvania', 0.9519247105854878]
['amiel', 0.9517068092333238]
['won', 0.9516728058294668]
['lustre', 0.951523312983554]
['ruts', 0.9512697893737129]
['begins', 0.9508308710039288]
['ripening', 0.950476833032277]
['thrush', 0.9504286422901598]
['internal', 0.9503358341684368]
['divi', 0.9502089427370096]
['approval', 0.9499641393014181]
['nods', 0.9495151804716634]
['roosting', 0.9494071834484874]
['century', 0.9491302959105676]
['nippers', 0.949084115808956]
['stripped', 0.9489959754371939]
['competitors', 0.9489673309467264]
['traffic', 0.948898260466282]
['tried', 0.9488175511930986]
['plaster', 0.9487971126998934]
['advising', 0.9487388236965846]
['mattered', 0.9486903909804629]
['ballads', 0.9484051562446187]
['suffused', 0.9480568021456864]
['luncheon', 0.9479743040444047]
['aptitude', 0.947907527350733]
['principal', 0.9479044875398247]
['reconciles', 0.9478979491449955]
['scriptorium', 0.9478877434325891]
['impertinence', 0.9477672510663531]
['accustomed', 0.947724664042624]
['shambling', 0.947683202065241]
['opens', 0.9474526519524127]
['girds', 0.9473866501321878]
['matured', 0.9473406703551362]
['harmful', 0.9472607502521393]
['stocks', 0.9471364579397257]
['colossal', 0.9470130620502214]
['kinks', 0.9470105428557635]
['twilit', 0.9469660883237827]
['reads', 0.9469289730840792]
['gosh', 0.946754535376344]
['rivaled', 0.9465292246382775]
['huts', 0.9464905035744366]
['archbishop', 0.9464147744039147]
['vindar', 0.9463629321182131]
['sockets', 0.9463629321182131]
['grandnephew', 0.9463629321182131]
['manufactories', 0.9462458168439802]
['watering', 0.9462458168439802]
['jealousies', 0.9462289973867604]
['wrangled', 0.9462289973867604]
['jesuit', 0.9460300505869974]
['ichthiosaurus', 0.9456898091992615]
['_oyama_', 0.9456898091992615]
['meerschaums', 0.9456516303972538]
['verification', 0.9456210393747848]
['comprehensible', 0.9455237103359316]
['subtraction', 0.9455237103359316]
['notable', 0.9455237103359316]
['apocolocyntosis', 0.9455237103359316]
['raccolto', 0.9455237103359316]
['24689', 0.9455237103359316]
['incapacitating', 0.9454929100126993]
['faraway', 0.9452383076507214]
['trip', 0.9452383076507214]
['preliminaries', 0.9449896801192635]
['button', 0.9447017314831729]
['_must_', 0.9447017314831729]
['sympathize', 0.9447015869249435]
['namesake', 0.9446457676898037]
['summon', 0.9446207154488648]
['constrictor', 0.9445338446023063]
['headstones', 0.9445338446023063]
['flounder', 0.9443689886653734]
['torchlight', 0.9443355715313395]
['folly', 0.9443355715313395]
['make', 0.9443355715313395]
['foresaw', 0.9443355715313395]
['glonglim', 0.9443355715313395]
['disparagingly', 0.9442574741159694]
['deprecatory', 0.944184107467159]
['ladder', 0.944156693646131]
['_great', 0.944156693646131]
['flippered', 0.944156693646131]
['wicked', 0.944156693646131]
['meant', 0.944156693646131]
['ecumenical', 0.944156693646131]
['orchestra', 0.944156693646131]
['employers', 0.944156693646131]
['butcher', 0.944156693646131]
['regularity', 0.944156693646131]
['comite', 0.944156693646131]
['usurers', 0.944156693646131]
['warier', 0.944156693646131]
['stench', 0.9440562116608615]
['jotted', 0.9438966833635272]
['que', 0.9438746182470278]
['restore', 0.9438746182470278]
['sparkle', 0.9438491855645688]
['lethargy', 0.9437675879753077]
['recommendations', 0.9433370726063961]
['yards', 0.9432490294526644]
['competition', 0.9431875963866334]
['litigation', 0.9431538032009769]
['refusing', 0.9429205092868365]
['certainty', 0.9428750115569401]
['sacrificial', 0.9427028420690573]
['feigned', 0.9424916100047133]
['dimly', 0.9423899122190782]
['springin', 0.9423763114773753]
['illustrated', 0.9422792340884732]
['relinquish', 0.942041071873838]
['dominating', 0.942041071873838]
['frozen', 0.9419179398688773]
['eminently', 0.9419057003613087]
['wilderness', 0.9418248281471159]
['tasting', 0.9416722814118326]
['animal', 0.9416289758432307]
['decide', 0.9416208498327332]
['withdraw', 0.9414549586270581]
['1901', 0.9414445503528883]
['latins', 0.9412985957182033]
['heures', 0.941279331393182]
['downloading', 0.9412743744093051]
['equanimity', 0.9412743744093051]
['appalachians', 0.9412743744093051]
['solved', 0.9412743744093051]
['horrid', 0.9412743744093051]
['waterfall', 0.9412743744093051]
['distinct', 0.9412743744093051]
['rabbit', 0.9412743744093051]
['garish', 0.9412554708992482]
['richer', 0.9412541149445057]
['undersecretary', 0.9411256233002918]
['hillside_', 0.9410458153390457]
['tails', 0.9409648806080524]
['disclosed', 0.9409497909489026]
['pseudo', 0.9408927787100013]
['mirage', 0.9408927787100013]
['cited', 0.9405548859064751]
['aint', 0.9405548859064751]
['vulcan', 0.940388553423694]
['yells', 0.940388553423694]
['beggin', 0.9401978878097386]
['combine', 0.9401978878097386]
['faculty', 0.9399822029728615]
['roadside', 0.9399374815447136]
['foot', 0.9397875988307282]
['systems', 0.9397875988307282]
['walnut', 0.9397875988307282]
['hazing', 0.9397875988307282]
['sterile', 0.9397875988307282]
['proves', 0.9397875988307282]
['see', 0.9397875988307282]
['absurd', 0.9397875988307282]
['minnows', 0.9397875988307282]
['frances', 0.9397875988307282]
['busily', 0.9397875988307282]
['wrangling', 0.9397875988307282]
['recites', 0.9397875988307282]
['doan', 0.9397576719237408]
['christina', 0.9396654809231391]
['mariners', 0.9394915925868486]
['blindly', 0.9393413339807786]
['owned', 0.9385867361999224]
['upward', 0.9382405674614449]
['gratis', 0.9380228656251872]
['zipped', 0.9376510075314916]
['souled', 0.9375105245353895]
['doomed', 0.9373659015776454]
['dual', 0.9373087359952936]
['alms', 0.9372773595209479]
['storytelling', 0.9371865657633635]
['declarations', 0.9371482315888615]
['spiritualists', 0.9369620041593867]
['_premier', 0.9368616960973418]
['rebukes', 0.9368084934132482]
['retaining', 0.9363230020405444]
['eatables', 0.9362950157027319]
['british', 0.9360911148435971]
['lookers', 0.935867155052041]
['tuesday', 0.9358263860117348]
['hushing', 0.9358202416345363]
['conclusions', 0.9357965168047683]
['emerson', 0.9356904626634791]
['grandfather', 0.9356572599726534]
['brilliant', 0.935629944745019]
['instructors', 0.9355861231424715]
['engross', 0.9354186509806284]
['command', 0.9351368155432469]
['certainly', 0.9350309115380521]
['_gul_', 0.9348654786333004]
['courts', 0.9347495886887764]
['mutton', 0.9346030235940026]
['duck', 0.9345947994957555]
['inequalities', 0.9334981148114809]
['bridle', 0.9332958404411338]
['astonished', 0.9332600266925304]
['prelate', 0.9332195656069919]
['synonymes', 0.9331374848026741]
['stilled', 0.9331280059059017]
['dean', 0.9331118654213477]
['jet', 0.9330415880707077]
['lunar', 0.9330252807431993]
['severest', 0.9329625997121432]
['prodigals', 0.9328421713685282]
['terrace', 0.9326712698067928]
['crag', 0.9326712698067928]
['lithe', 0.932425480607631]
['take', 0.9324117804158408]
['agitations', 0.9324004396563138]
['promptitude', 0.9322527755266822]
['castaways', 0.9322144352345711]
['candidates', 0.9320183092613723]
['highland', 0.9318844549972078]
['impressed', 0.9318701811682253]
['humbert', 0.9314520969915364]
['pair', 0.9314187251962931]
['superseded', 0.9314187251962931]
['sa', 0.9310496329948575]
['terrestrials', 0.9309164153309426]
['amaze', 0.9306052718458626]
['imperturbable', 0.9305920214409037]
['slabs', 0.9305642268707432]
['rumour', 0.930490621558244]
['autre', 0.930490621558244]
['quadrille', 0.9304836855049795]
['lightin', 0.9304673461660884]
['symbolical', 0.930460929391925]
['translation', 0.930442480234529]
['vivifying', 0.93043193488593]
['allumettes', 0.9304009304462783]
['sorrow', 0.9303743715713463]
['rigid', 0.9303221328238309]
['hodgson', 0.9302007417250324]
['brutes', 0.9301878154880562]
['lest', 0.9299120524405562]
['metz', 0.9298499596396663]
['tiny', 0.9298397438007519]
['ishigaki', 0.92960632406522]
['influential', 0.9293567562909554]
['superadded', 0.9292546030727817]
['clumps', 0.9292305483092463]
['flood', 0.9292305483092463]
['premature', 0.9292305483092463]
['tinned', 0.9290874613327352]
['perplexity', 0.9290842224153545]
['trap', 0.9290734332206801]
['anything', 0.9289254247379052]
['hugely', 0.9287090303260609]
['consequential', 0.9286160862597725]
['conversation', 0.9283693166013702]
['shaken', 0.9281221946147632]
['butting', 0.9280183529623867]
['illustration_', 0.9278789424392978]
['disbelieve', 0.9278780813536657]
['dip', 0.9274983000969923]
['emphatic', 0.9274467269302638]
['grumbling', 0.9273862086601725]
['ashlike', 0.9273862086601725]
['employed', 0.9273862086601725]
['normans', 0.9272647311458311]
['burglars', 0.9272546017206694]
['punctuation', 0.9272546017206694]
['broadside', 0.9272546017206694]
['jubilant', 0.9270183483248708]
['labors', 0.9269088483228389]
['_areopagitica_', 0.9267418318879739]
['450', 0.9265937018994639]
['indicatory', 0.9265349846691071]
['rummage', 0.9263917324265343]
['collegiate', 0.9262954020592962]
['predatory', 0.9262856521445619]
['craven', 0.9262254215775977]
['siamese', 0.9260111972666947]
['midlin', 0.9259766808859613]
['dismissed', 0.9258829658436116]
['baying', 0.9258829658436116]
['developed', 0.925741955136593]
['represents', 0.925710118136317]
['disastrous', 0.9250584518324412]
['chymera', 0.9250410390749977]
['xxix', 0.924949023210268]
['directly', 0.9247302809277881]
['china', 0.9247293465008393]
['ches', 0.9245240695912414]
['grant', 0.9243867523480269]
['nobility', 0.9243725741573641]
['their', 0.9243622496518489]
['strengthens', 0.9242345848166507]
['dat', 0.9241692703697476]
['ben', 0.9240815256787203]
['marauders', 0.9239793374076715]
['depleted', 0.9238599362655269]
['wilhelmsstrasse', 0.9237439581338662]
['mislead', 0.9234897024318567]
['wordsworth', 0.9232463617903195]
['belligerents', 0.9231791591596764]
['paixhan', 0.9231615627199089]
['ard', 0.9230354003385602]
['come', 0.9229643948938837]
['curtly', 0.9229533754584958]
['digestion', 0.9229530589780861]
['sleep', 0.9227637198479152]
['eddied', 0.9225475371264691]
['fumble', 0.9224403105171659]
['needs', 0.9224383539557677]
['resplendent', 0.9223783133193826]
['prithee', 0.9220335455042147]
['gravitating', 0.9220000564130306]
['windfall', 0.9220000564130306]
['generous', 0.9218445816686082]
['johnson', 0.9218445816686082]
['scientific', 0.9218445816686082]
['cruising', 0.9218445816686082]
['bulls', 0.9218445816686082]
['irrigation', 0.9217206799347798]
['embassy', 0.9215903868803687]
['overturn', 0.9214558079360672]
['shrewdness', 0.9213387472427375]
['matter', 0.9212274652861392]
['throes', 0.9206298981227322]
['tweaks', 0.920586323513864]
['shilling', 0.9205337911682826]
['laudable', 0.9203985193133749]
['chili', 0.9201181829497231]
['devotions', 0.9201139960305966]
['ridiculing', 0.9200449835228316]
['medicinal', 0.9196840687699471]
['taller', 0.919632919933658]
['shut', 0.9194015011783995]
['raillery', 0.9193954393002333]
['credibility', 0.9191635560685532]
['vivacious', 0.9190585504721703]
['poorest', 0.9189830768817282]
['flights', 0.9189621333597697]
['coarse', 0.9188415167788102]
['_think_', 0.9184054584186944]
['financial', 0.9182225851954833]
['surmounted', 0.9181412602548978]
['1633', 0.9180928037383156]
['legally', 0.9180928037383156]
['translucent', 0.9180165234295535]
['hammond', 0.9178986763861197]
['chicanery', 0.917591470043927]
['impotent', 0.9175625731014512]
['soundly', 0.9174767812638706]
['scalp', 0.9174266115648265]
['abstruse', 0.9172544232235124]
['chortasoo', 0.9171626645632067]
['maurice', 0.9171118093292534]
['tiers', 0.9170137442540586]
['energies', 0.9168208763510048]
['when', 0.9168140646938339]
['va', 0.9167727779174097]
['bible', 0.9166469520314997]
['doctor', 0.9164904636245632]
['disguise', 0.9163610390739692]
['retributive', 0.9163575369871725]
['angry', 0.9163435585686275]
['organization', 0.9163428553960657]
['confess', 0.9163164566893948]
['nominations', 0.9162639674690849]
['compact', 0.9162532181909229]
['carboniferous', 0.9162305848121075]
['accompanies', 0.9160055337718263]
['funeral', 0.9159010318120798]
['perron', 0.915860567938807]
['unthinking', 0.9157634944472691]
['fellowship', 0.9157559169582243]
['fulfil', 0.9156989922993701]
['atheist', 0.9156728796499366]
['artfully', 0.9154989779114359]
['state', 0.9154989779114359]
['circumscription', 0.9153631001982162]
['pertinacity', 0.9153631001982162]
['whirlwind', 0.9152062681776143]
['judging', 0.9151955211485716]
['acclivities', 0.9150258145427123]
['filtered', 0.9149665014179148]
['edged', 0.9149217358411357]
['bedsteads', 0.9149217358411357]
['amie', 0.9149217358411357]
['receiving', 0.9149217358411357]
['darted', 0.9149217358411357]
['lupus', 0.9149217358411357]
['game', 0.9149217358411357]
['renewal', 0.9149217358411357]
['bill', 0.914682346848753]
['wishful', 0.9146018535557451]
['reins', 0.9142406047144953]
['refused', 0.9135809151736181]
['external', 0.913292910191419]
['manufacture', 0.9129789322759393]
['wayfarers', 0.9127177551749028]
['shy', 0.9119398796903827]
['literary', 0.9118468509186]
['weeping', 0.9117019380523552]
['reached', 0.9111273310615295]
['lingers', 0.9108932779187796]
['indian', 0.9108568878651754]
['expression', 0.9107490117310633]
['espionage', 0.91067821127102]
['soothed', 0.9106439912142665]
['stoop', 0.910459416457928]
['weaken', 0.9102486280962583]
['paintings', 0.9100392483579542]
['archbishops', 0.9098814366180868]
['_badinage_', 0.9097121047608447]
['gorgeous', 0.909430653858279]
['soles', 0.9094184103956106]
['spake', 0.9092410139700154]
['shantyin', 0.9090568530055088]
['ankle', 0.908831834358258]
['clotho', 0.9087502189361204]
['ledges', 0.9087392066461792]
['wonted', 0.9085569769862236]
['atto', 0.908504354384568]
['loosening', 0.9084998145586101]
['animating', 0.9084941030835919]
['striped', 0.9082205475374209]
['value', 0.9081643121324635]
['generations', 0.9080987132334051]
['familiars', 0.9079869978322487]
['helping', 0.9077634754128834]
['ways', 0.9075490144241685]
['bigger', 0.9074536686095589]
['mondaine', 0.907385315791085]
['angle', 0.9073680694137177]
['insanity', 0.9073204829760337]
['carvalho', 0.9073154430292343]
['imposing', 0.9069871706148337]
['entree', 0.9069836410091106]
['handsomest', 0.9069836410091106]
['swallowing', 0.9069836410091106]
['interposition', 0.9068823673212243]
['reconciled', 0.9068371095031877]
['devant', 0.9068371095031877]
['sporadic', 0.9068285737021363]
['entrust', 0.9067850602109345]
['wading', 0.9065234738558268]
['perfectly', 0.9065009886417859]
['cork', 0.906460719108184]
['proposed', 0.9063720094459564]
['celestial', 0.9063720094459564]
['twitch', 0.9063720094459564]
['misdemeanor', 0.9062701755428095]
['thoughts', 0.9062472226998655]
['censure', 0.9062449686331886]
['demonstrable', 0.9058678758313987]
['givin', 0.9058327299404402]
['walking', 0.9058180942264836]
['additions', 0.905802513399887]
['carries', 0.9056521934243317]
['speak', 0.9055935209451891]
['seduced', 0.9055258006371435]
['buckshot', 0.905505198453405]
['uncertainly', 0.9054762485054538]
['impartially', 0.9053867880051049]
['patronize', 0.9053856073124342]
['painters', 0.9051783285412102]
['wounds', 0.9051039944222572]
['prodigious', 0.9050357828037564]
['shock', 0.9048884489011947]
['messalina', 0.904871181121425]
['fearful', 0.9047920085236206]
['tapestry', 0.9043599941927692]
['constantly', 0.904317597732759]
['jeweller', 0.9043166611425558]
['mow', 0.9043166611425558]
['battering', 0.904227726357101]
['leaf', 0.9041191511110832]
['destination', 0.9040287042617856]
['_whether', 0.9039935673611184]
['fraudulently', 0.9038088541569047]
['_with', 0.9037935791868507]
['cushioned', 0.903762854979247]
['compounds', 0.9035490621080775]
['campanella', 0.9035333487261612]
['adversary', 0.9035333487261612]
['describing', 0.9035190727004685]
['joyless', 0.9034775166094263]
['trout', 0.9033812817184964]
['principally', 0.9033079660263383]
['impure', 0.9033079660263383]
['despotisms', 0.9033079660263383]
['unthought', 0.9033079660263383]
['carnal', 0.9033079660263383]
['clinch', 0.9031892799821992]
['civil', 0.9030844193981786]
['smala', 0.9030469730943214]
['directed', 0.9030469730943214]
['thoughtful', 0.9030015264483344]
['rebuff', 0.9029533791587243]
['tour', 0.9028069684250813]
['bobbed', 0.9027618952472944]
['galilee', 0.902629076586583]
['_naronic_', 0.9020294539144234]
['princesses', 0.9019758185984522]
['birth', 0.9018814199670355]
['breaker', 0.9017801256197079]
['silence', 0.9017028664642597]
['trunks', 0.9017009962456362]
['milon', 0.9016186326118988]
['emptied', 0.9014636675248172]
['broods', 0.9011408332090007]
['blackstone', 0.9010495067369231]
['methodizing', 0.9010002187221815]
['witted', 0.9009872108648007]
['philanthropist', 0.9008742302888851]
['monopoly', 0.900862348813061]
['diversity', 0.9006468154343499]
['reluctance', 0.9005174750448817]
['keepers', 0.9004184073608825]
['pails', 0.9002506370951001]
['cactus', 0.900152677085646]
['imagination', 0.9000873789466322]
['aigrette', 0.9000873789466322]
['dams', 0.9000873789466322]
