['turvy', 0.9977257354492757]
['displace', 0.9803931736644866]
['live', 0.9802849197666988]
['eyeless', 0.9802743546463314]
['speak', 0.9802468617409423]
['tap', 0.9802130208953626]
['diana', 0.9802130208953626]
['impartially', 0.9802036059772588]
['yours', 0.9801148429493985]
['formulas', 0.9801148429493985]
['delaunay', 0.9801148429493985]
['bishop', 0.9801148429493985]
['fiords', 0.9800880738708115]
['reigning', 0.9800880738708115]
['bats', 0.9800707121396892]
['whisperin', 0.9798725284273904]
['cushioned', 0.9798638223744343]
['indulgent', 0.9798581906175545]
['baba', 0.9798229920392605]
['450', 0.9797903883327967]
['steamboats', 0.9797452596146349]
['swamps', 0.9796786556081963]
['fluctuated', 0.9796786556081963]
['pats', 0.9796786556081963]
['terre', 0.9796786556081963]
['don', 0.9796786556081963]
['idles', 0.9796786556081963]
['bush', 0.9796786556081963]
['mastery', 0.9796786556081963]
['mumblings', 0.9796786556081963]
['whitling', 0.9796638066897276]
['streamlets', 0.9796604873019794]
['seasons', 0.9796435334822821]
['commentaries', 0.9796315496001284]
['gallery', 0.9796223047659135]
['provoking', 0.9796223047659135]
['clumsily', 0.9796223047659135]
['asunder', 0.9794198323157449]
['skeletons', 0.9794198323157449]
['lack', 0.9794198323157449]
['taels', 0.9793750713969382]
['shipped', 0.9793523288052569]
['long', 0.9790685710607692]
['agricultural', 0.978964006180822]
['midside', 0.9789174891067622]
['staring', 0.9788775001493113]
['piled', 0.9788095861457428]
['sixteenth', 0.9788030636137466]
['daylight', 0.9787920901257186]
['unscathed', 0.9787797952085581]
['mcmxx', 0.9787000889476052]
['dogmatist', 0.9786671657024101]
['apprehension', 0.9785877514155974]
['nailmaker', 0.9785877514155974]
['inlets', 0.9785877514155974]
['parried', 0.9785691587243903]
['arcanum', 0.9784854272404273]
['karnsteins', 0.9784431074643865]
['_varieties', 0.978392971543293]
['telescope', 0.9783524826001009]
['anecdotes', 0.9783524826001009]
['ta', 0.9783524826001009]
['accesses', 0.9783524826001009]
['exposing', 0.9783332697311155]
['planned', 0.9783332697311155]
['disperse', 0.9783332697311155]
['forced', 0.9783332697311155]
['associations', 0.9783332697311155]
['gill', 0.9783143554958372]
['ribbon', 0.9783012297466035]
['feces', 0.97825183067729]
['fetch', 0.9782165378156955]
['inspection', 0.9781624027927611]
['ninfale', 0.9781586894948386]
['example', 0.9781577721312906]
['congratulated', 0.9781007637010697]
['excuses', 0.9779995861335404]
['perforated', 0.9779885137963258]
['ridiculing', 0.9779874496376951]
['crooked', 0.977919224070145]
['accursed', 0.9779149250255204]
['carelessly', 0.9778439274364218]
['pedestrians', 0.9778378826638524]
['assumption', 0.9778378826638524]
['conspicuously', 0.9778378826638524]
['parding', 0.9777040069232323]
['edges', 0.9775767124525714]
['meed', 0.9775767124525714]
['interfere', 0.9775767124525714]
['distant', 0.9775767124525714]
['derelicts', 0.9775767124525714]
['bridge', 0.9775767124525714]
['suspicions', 0.9775767124525714]
['sputtered', 0.9775767124525714]
['baffin', 0.9775767124525714]
['faith', 0.9775767124525714]
['solution', 0.9775767124525714]
['belonging', 0.9775767124525714]
['commissioner', 0.9775767124525714]
['consonant', 0.9775767124525714]
['collectedly', 0.9775767124525714]
['exercise', 0.9775767124525714]
['fusty', 0.9775767124525714]
['scoundrel', 0.9775767124525714]
['particularly', 0.9775767124525714]
['vent', 0.9775767124525714]
['heel', 0.9775767124525714]
['unnoticed', 0.9775767124525714]
['discomfort', 0.9775767124525714]
['palanquin', 0.9775222359128561]
['arcade', 0.9774801917017428]
['ridley', 0.977476141243829]
['shotguns', 0.9774322046204628]
['34', 0.9774322046204628]
['resplendent', 0.9774010485710735]
['ton', 0.9773108025850128]
['fences', 0.9773101070210226]
['skillful', 0.9772886776331454]
['efficiently', 0.9772774321566847]
['verification', 0.9772440379438344]
['chortasoo', 0.977193913546347]
['grata', 0.9771113947820346]
['magical', 0.9771040520809972]
['averse', 0.9770329798917331]
['systematically', 0.9770329798917331]
['exigencies', 0.9769930663548826]
['laces', 0.9769930663548826]
['rake', 0.9769209523358062]
['amazon', 0.9769013009647426]
['immortality', 0.9768904437232211]
['contradictions', 0.9768811997183964]
['_xxii_', 0.9768473192496008]
['preternatural', 0.9768471072381092]
['apprehended', 0.9768402931790343]
['ennobles', 0.976697893314478]
['angry', 0.9766728025330674]
['sportsman', 0.9766162796910431]
['egerias', 0.9765659325353822]
['buttresses', 0.976549056653103]
['suspenders', 0.9765201841706935]
['ferriage', 0.976513888704427]
['clanking', 0.9764769203634649]
['maris', 0.9764299211972398]
['merely', 0.9764127491481227]
['several', 0.9764127491481227]
['fang', 0.9763968966216343]
['edifice', 0.9763569363012256]
['detection', 0.9763368509433901]
['blackest', 0.9763368509433901]
['vindar', 0.9761983514170393]
['sockets', 0.9761983514170393]
['grandnephew', 0.9761983514170393]
['patineurs', 0.9761494963864691]
['heresy', 0.9760710285707255]
['interpellations', 0.9760390081098522]
['watchword', 0.9759378820383801]
['platoon', 0.9758192779713059]
['written', 0.97570080355811]
['felicitations', 0.9756979941751461]
['witting', 0.9756793207475587]
['checking', 0.9756278278490171]
['succeeding', 0.9755347316787087]
['wakefield', 0.975524522950151]
['depth', 0.9754214224460381]
['ptolemaic', 0.9754157485440599]
['lilliputia_', 0.9754157485440599]
['wharf', 0.9753014247461675]
['grasps', 0.9752505693026561]
['growled', 0.9751877882985551]
['invented', 0.9751041142074102]
['meddle', 0.9750406250343383]
['accident', 0.9750108763890174]
['unapproving', 0.9749991759979345]
['1904_', 0.9749566134235799]
['greatly', 0.9748994523902956]
['transferred', 0.9746442004630004]
['prophetic', 0.9745767780982066]
['drummond', 0.9745767780982066]
['theatre', 0.9745656603228042]
['feigned', 0.9744804378148257]
['shocks', 0.9744629521192536]
['encompassment', 0.9744471059934482]
['stitched', 0.9744386055826806]
['disappearance', 0.9744040458426475]
['richer', 0.9744033006842723]
['maintenant', 0.9743917362287883]
['humbert', 0.9743678768763342]
['caesars', 0.9743451614019805]
['duke', 0.9742934461997039]
['quand', 0.9742543663519866]
['wilderness', 0.9741845508828443]
['refuted', 0.9741782696927936]
['_through_', 0.9741782696927936]
['class', 0.974121746718746]
['trapper', 0.9740377084265729]
['jauntily', 0.9740377084265729]
['withdraw', 0.9740204199061592]
['teachable', 0.9739992961123182]
['downloading', 0.9739402849871501]
['equanimity', 0.9739402849871501]
['appalachians', 0.9739402849871501]
['solved', 0.9739402849871501]
['horrid', 0.9739402849871501]
['waterfall', 0.9739402849871501]
['distinct', 0.9739402849871501]
['rabbit', 0.9739402849871501]
['semi', 0.9739281466722896]
['hop', 0.9738930781855298]
['undersecretary', 0.9738742761286707]
['tongtoia', 0.9738677656681506]
['dual', 0.9737655885926836]
['disguise', 0.9737497048578105]
['paused', 0.9736553878882627]
['gore', 0.9736362527260094]
['cited', 0.9736210092851005]
['aint', 0.9736210092851005]
['porterage', 0.973599751159438]
['harmlessness', 0.973599751159438]
['lissa', 0.9735604949707022]
['steamer', 0.9735368648916395]
['webbed', 0.9735368648916395]
['groupe', 0.9735368648916395]
['1828', 0.9735279273261513]
['grooves', 0.9734985355177483]
['weave', 0.9734760143222628]
['scotchman', 0.9734760143222628]
['twain', 0.9734632605921012]
['totter', 0.9734530395989169]
['checks', 0.9734530395989169]
['taxing', 0.9734216009838965]
['1355', 0.9734216009838965]
['outcropping', 0.9734010258614599]
['faculty', 0.9733668791010015]
['roadside', 0.9733470338007466]
['hits', 0.9733295877533125]
['fettered', 0.9733295877533125]
['manhood', 0.9733295877533125]
['antithesis', 0.9733295877533125]
['skeptical', 0.9733295877533125]
['facial', 0.9733295877533125]
['frosts', 0.9733295877533125]
['paracelsus', 0.9733295877533125]
['perils', 0.9733295877533125]
['familiarity', 0.9733295877533125]
['comprends', 0.9733295877533125]
['foot', 0.9732805227883475]
['systems', 0.9732805227883475]
['walnut', 0.9732805227883475]
['hazing', 0.9732805227883475]
['sterile', 0.9732805227883475]
['proves', 0.9732805227883475]
['see', 0.9732805227883475]
['absurd', 0.9732805227883475]
['minnows', 0.9732805227883475]
['frances', 0.9732805227883475]
['busily', 0.9732805227883475]
['wrangling', 0.9732805227883475]
['recites', 0.9732805227883475]
['resounds', 0.9731673949829727]
['mariners', 0.9731491689154864]
['footman', 0.9730950528470333]
['paled', 0.9730006613871527]
['remnants', 0.9730006613871527]
['gave', 0.9730006613871527]
['prevails', 0.9730006613871527]
['lunarians_', 0.9730006613871527]
['caste', 0.9730006613871527]
['_passion', 0.9729831018700774]
['makes', 0.9729650676857468]
['winning', 0.9729650676857468]
['pekin', 0.9728911538395815]
['fifteen', 0.9728138738468052]
['baronial', 0.9728138738468052]
['guests', 0.972778587398125]
['henceforward', 0.9726915732060872]
['curtain', 0.9726915732060872]
['nuncio', 0.9726525804803323]
['surface', 0.9725670374469703]
['resolution', 0.9723911515964218]
['then', 0.9721875903115582]
['obedient', 0.972139898663369]
['bearings', 0.9720924512638313]
['bother', 0.9720700967858329]
['threshold', 0.9720353426393155]
['commented', 0.9720353426393155]
['inconsolable', 0.9720353426393155]
['pallid', 0.9720353426393155]
['advance', 0.9718960803352075]
['fail', 0.9717739283482575]
['evergreen', 0.9716660780557028]
['lauded', 0.9716660780557028]
['freight', 0.9715422043456234]
['immense', 0.971410392923836]
['slabs', 0.9713252803833179]
['whiter', 0.9712716591753889]
['amid', 0.9710521291462214]
['contrition', 0.971011906458191]
['ward', 0.970774320588806]
['moulded', 0.9706359034971989]
['refusest', 0.9705798581709292]
['manly', 0.9705660339368605]
['difficulties', 0.9704081663769881]
['conquest', 0.9703493097706166]
['_barranca_', 0.970307522933031]
['mme', 0.9702723770757737]
['subordination', 0.9702096329834304]
['_absurdities_', 0.9702058236129726]
['barkin', 0.970117585180662]
['surrendering', 0.9700349652161788]
['recedes', 0.9700243787114445]
['consists', 0.9699843673042786]
['sauntered', 0.9699435104415643]
['smoothness', 0.9699390562010933]
['spend', 0.9699315192500999]
['singularity', 0.9699132806067919]
['destination', 0.969879171017745]
['radio', 0.9697928240402122]
['realize', 0.9697776575725896]
['spielsberg', 0.9697535336904666]
['transcendently', 0.9697482687297876]
['freshet', 0.9697253399849355]
['caisse', 0.9697050885057953]
['affirming', 0.9696746811608311]
['together', 0.9696496987147033]
['winters', 0.9695937219992086]
['affidavit', 0.9693805949367312]
['bloom', 0.9693805949367312]
['polyglot', 0.9693797637280553]
['wiped', 0.9693797637280553]
['outwardly', 0.9693797637280553]
['habitues', 0.9693797637280553]
['dupes', 0.9692968602354995]
['mistrusted', 0.9691976496724959]
['rummage', 0.9691971504298086]
['weighty', 0.969127957808687]
['football', 0.9690770271383481]
['xxix', 0.9690063836057884]
['sert', 0.9689032074372556]
['prophetically', 0.9688966428633445]
['advocacy', 0.9688814620610884]
['tiny', 0.9688661250792935]
['affections', 0.9688649387549962]
['mixes', 0.9688423745868141]
['bergs', 0.9688423745868141]
['consumed', 0.9688423745868141]
['99', 0.9688033014110587]
['quivering', 0.9687819839957361]
['onset', 0.9686776663551097]
['incrusted', 0.9685384532317319]
['oatmeal', 0.9684730384787298]
['flashes', 0.9684618832369863]
['prodigious', 0.9684604044755712]
['awaken', 0.9683398395983417]
['abiding', 0.9683182063904291]
['vegetable', 0.9683182063904291]
['oui', 0.968308867872365]
['ahoy', 0.9680931191457826]
['chimiques', 0.9680514144791064]
['slaughtering', 0.9679908578721486]
['muscle', 0.9679813970615383]
['compound', 0.9679562750849524]
['topmost', 0.9679203388762192]
['emptiness', 0.9677830576129596]
['scenery', 0.9677549107204181]
['charged', 0.9676223590748944]
['tithe', 0.9676219672327734]
['grimaces', 0.967374216268409]
['principal', 0.9672993886456186]
['scriptorium', 0.9672888782865238]
['structure', 0.9672287418298787]
['throes', 0.9672227251932305]
['assign', 0.9672116252950698]
['testify', 0.9671622433041711]
['dismissed', 0.9671102901282812]
['baying', 0.9671102901282812]
['wave', 0.9669900768718506]
['presiding', 0.9669900768718506]
['ends', 0.9668044383849285]
['blunder', 0.9667884186452542]
['shilling', 0.9667457779234682]
['meted', 0.9667069463632598]
['gunboat', 0.9666789917109676]
['chilling', 0.9666565929529999]
['investigate', 0.966634862056673]
['located', 0.9666314573758565]
['betide', 0.966610591559738]
['wavered', 0.9664921234655924]
['export', 0.9664825383768215]
['_so_', 0.9664660568211885]
['1901', 0.9664064917776999]
['harmful', 0.9663165244766686]
['coursing', 0.9663006921911198]
['coon', 0.9660765001742593]
['befitted', 0.9660765001742593]
['prowlings', 0.9659406555680363]
['obdurate', 0.9658927089422905]
['khan', 0.965788175530583]
['appoint', 0.9657772257167602]
['unattached', 0.9657772257167602]
['traitors', 0.9657772257167602]
['s_', 0.9657362161575327]
['disorganized', 0.9656968130632433]
['aghast', 0.9653915819502248]
['marvelled', 0.9653915819502248]
['agreed', 0.9653915819502248]
['gravitating', 0.9653872346109692]
['windfall', 0.9653872346109692]
['_time', 0.9652844485018052]
['peeled', 0.9652409307983821]
['nominations', 0.9651245468340346]
['delegates', 0.9651139847011957]
['leaving', 0.9651139847011957]
['tenant', 0.9651139847011957]
['identifications', 0.9651139847011957]
['bravely', 0.9651139847011957]
['orators', 0.9651139847011957]
['averting', 0.9651139847011957]
['stupor', 0.9650974673747269]
['dye', 0.9650286789860555]
['projecting', 0.9649847843795738]
['decayed', 0.9648923546196345]
['cumbrous', 0.9648818960485315]
['choleric', 0.9648794276046709]
['hillock', 0.9648794276046709]
['_beauty_', 0.9648705441817169]
['tool', 0.9648705441817169]
['suppression', 0.9647863127985647]
['kritters', 0.9646381714101988]
['chase', 0.9646211582397426]
['vows', 0.9643752232497241]
['battered', 0.9643708781677957]
['unlocked', 0.9643606770787743]
['aggregate', 0.964341222858873]
['1875', 0.9640664409400734]
['deceive', 0.9640332210740578]
['savagely', 0.9640252159483477]
['palatial', 0.964023679758553]
['scowl', 0.9639906136870335]
['asked', 0.9639906136870335]
['alleys', 0.9639444141488956]
['cap', 0.9637999989703346]
['rangers', 0.9637447821770877]
['intermittent', 0.9637423271871529]
['shallow', 0.9637423271871529]
['match', 0.9637423271871529]
['_political', 0.9637423271871529]
['remy', 0.9637362546906901]
['litigation', 0.9636935017538423]
['certainty', 0.9635154432573161]
['dismay', 0.9634298700153896]
['administrations', 0.96333036760682]
['chewed', 0.9630947049477635]
['energetic', 0.9630499912918704]
['pincio', 0.9629816792840433]
['party', 0.9629248866985107]
['trickling', 0.9629248866985107]
['ney', 0.9629248866985107]
['swedish', 0.9629248866985107]
['painter', 0.9629248866985107]
['presided', 0.9629248866985107]
['duplicated', 0.9629248866985107]
['callings', 0.9629248866985107]
['inspiration', 0.9629248866985107]
['remembered', 0.9629248866985107]
['fond', 0.9629248866985107]
['organization', 0.9628768305958629]
['attack', 0.9628662367778227]
['stayers', 0.9628437377301459]
['carboniferous', 0.962827010106207]
['carts', 0.9626964336425032]
['doing', 0.9626844225212914]
['prosecutor', 0.9626808715916643]
['tropics', 0.9626808715916643]
['dangerousness', 0.9626614625535519]
['fulfil', 0.9625911139493665]
['utensils', 0.9625626108957596]
['understandin', 0.9625332010459334]
['urged', 0.9625332010459334]
['uncovering', 0.9625332010459334]
['frighten', 0.9625332010459334]
['tablets', 0.9624725904513289]
['disobedient', 0.9624304573476108]
['adventurers', 0.962375927501539]
['privately', 0.9623751368146977]
['lies', 0.962372137861654]
['eut', 0.9623688407321862]
['cambridge', 0.9623492866011398]
['owed', 0.9623229240974595]
['mathematicians', 0.9623219216295185]
['disclosed', 0.962285844399959]
['animating', 0.9622110359098826]
['occurs', 0.9621041178058009]
['daughters', 0.9621041178058009]
['xxvi', 0.9621041178058009]
['lurid', 0.9621041178058009]
['politics', 0.9621041178058009]
['qualities', 0.9621041178058009]
['talking', 0.9620813119704457]
['good', 0.9619876435861268]
['vulcan', 0.9619273935207083]
['yells', 0.9619273935207083]
['microscopes', 0.9619242933548967]
['furtherance', 0.9618848814681976]
['beggin', 0.9618056193094423]
['combine', 0.9618056193094423]
['constrains', 0.9616836719274949]
['arrangements', 0.961661669966976]
['_irritentia_', 0.961661669966976]
['organic', 0.961661669966976]
['insomnia', 0.961661669966976]
['ascetic', 0.961661669966976]
['outrageously', 0.961661669966976]
['nightlong', 0.961661669966976]
['worthy', 0.961661669966976]
['float', 0.961661669966976]
['hell', 0.961661669966976]
['occasions', 0.961661669966976]
['seed', 0.961661669966976]
['01', 0.961661669966976]
['scarfs', 0.961661669966976]
['pedo', 0.961661669966976]
['collar', 0.961661669966976]
['holy', 0.961661669966976]
['likewise', 0.961661669966976]
['analytical', 0.961661669966976]
['mobile', 0.961661669966976]
['calcutta', 0.961661669966976]
['suspiciously', 0.961661669966976]
['tractable', 0.961661669966976]
['esalar', 0.961661669966976]
['barn', 0.961661669966976]
['sunk', 0.961661669966976]
['shoving', 0.961661669966976]
['pothooks', 0.9616027260534564]
['maltese', 0.9615929423588693]
['staggering', 0.9615826217450146]
['miss', 0.9615000611102932]
['stainer', 0.9614167220153874]
['glades', 0.9613916681092183]
['terror', 0.9613916681092183]
['tripoli', 0.9613916681092183]
['subterranean', 0.9613916681092183]
['treetops', 0.9613385583839352]
['snorted', 0.9612400325828178]
['rabbits', 0.9612400325828178]
['10234', 0.9612400325828178]
['swims', 0.9612400325828178]
['extent', 0.9612280904549213]
['chain', 0.9612280904549213]
['pas_', 0.9612280904549213]
['illustrate', 0.9612280904549213]
['martius', 0.9612280904549213]
['arithmetic', 0.9612280904549213]
['father', 0.9612280904549213]
['shrieking', 0.9612280904549213]
['forehead', 0.9612280904549213]
['untenable', 0.9612280904549213]
['dislocation', 0.9612280904549213]
['quietness', 0.9612280904549213]
['figured', 0.9612280904549213]
['pry', 0.9612280904549213]
['prongs', 0.9612280904549213]
['nailed', 0.9612280904549213]
['bodily', 0.9612280904549213]
['pompeius', 0.9612280904549213]
['items', 0.9612280904549213]
['cargo', 0.9612280904549213]
['50', 0.9612280904549213]
['butchering', 0.9612280904549213]
['doubling', 0.9612280904549213]
['restrained', 0.9612280904549213]
['rattles', 0.9612280904549213]
['blubber', 0.9612280904549213]
['cologne', 0.9612280904549213]
