['incongruities', 0.9969826531471325]
['tables', 0.9553004335672973]
['bottles', 0.9551683740042123]
['ichthiosaurus', 0.9551513791307338]
['_oyama_', 0.9551513791307338]
['depravity', 0.954736481122053]
['sleeps', 0.954736481122053]
['thing', 0.954736481122053]
['summon', 0.9544453780220418]
['monarch', 0.9543025439937519]
['torchlight', 0.9540330679843351]
['folly', 0.9540330679843351]
['make', 0.9540330679843351]
['foresaw', 0.9540330679843351]
['glonglim', 0.9540330679843351]
['overthrown', 0.9539334551972243]
['judging', 0.9539269566230274]
['candlestick', 0.9535860386827748]
['habitually', 0.9535860386827748]
['makers', 0.9535860386827748]
['intensest', 0.9535860386827748]
['prosecuted', 0.9535860386827748]
['lui', 0.9535860386827748]
['princeton', 0.9535860386827748]
['support', 0.9535860386827748]
['begotten', 0.9535860386827748]
['plenipotentiaries', 0.9535860386827748]
['faggots', 0.9535860386827748]
['hog', 0.9535860386827748]
['delegating', 0.9535860386827748]
['mistake', 0.9535860386827748]
['sacrifice', 0.9535860386827748]
['imbecility', 0.9535860386827748]
['rackett', 0.9535860386827748]
['forfend', 0.9527324131326328]
['iv', 0.9524495465708813]
['services', 0.9521550815877142]
['sert', 0.9515032017281584]
['peaks', 0.9505911803109351]
['informs', 0.9505911803109351]
['milled', 0.9505911803109351]
['dies', 0.9505911803109351]
['humped', 0.9505911803109351]
['cultivators', 0.9505911803109351]
['often', 0.9505911803109351]
['occupant', 0.9505911803109351]
['anear', 0.950055523791181]
['combines', 0.9493948963109753]
['freedmen', 0.9492772673656896]
['therefor', 0.9490857274632927]
['indulgent', 0.9490329658986545]
['pathetic', 0.9489244938969542]
['holding', 0.9485028240822736]
['roadside', 0.9482938347719827]
['righteous', 0.9481474908524989]
['born', 0.9480961754182349]
['waste', 0.9480961754182349]
['yawned', 0.9479542315432136]
['browse', 0.9477010790086838]
['intellectually', 0.9474611057535705]
['lawn', 0.947225194243289]
['severest', 0.9464374517556938]
['gunboat', 0.9461501780832964]
['hullo', 0.9458379237109223]
['onset', 0.9458312890912688]
['voided', 0.9457017034572156]
['txt', 0.9456980388514077]
['tain', 0.9454888552616032]
['moderating', 0.9453771886223821]
['armchairs', 0.9452334317285335]
['grossness', 0.9449216993843139]
['undulating', 0.9449216993843139]
['gushing', 0.9449216993843139]
['recollected', 0.9449216993843139]
['hazelike', 0.9448224000841473]
['example', 0.9447302101069378]
['sultan', 0.9442574684862746]
['raillery', 0.9442185062605635]
['danae', 0.9438446444677395]
['guarding', 0.9438209650946652]
['supports', 0.9438209650946652]
['tense', 0.9438209650946652]
['boast', 0.9438209650946652]
['chestnuts', 0.9438209650946652]
['rights', 0.9438209650946652]
['cooly', 0.9438209650946652]
['hawking', 0.9438209650946652]
['_let', 0.9438209650946652]
['immolated', 0.9438209650946652]
['hero', 0.9438209650946652]
['clatter', 0.9438209650946652]
['ambitious', 0.9438209650946652]
['corpse', 0.9438209650946652]
['hosts', 0.9434933196342471]
['evangelist', 0.943466197219795]
['cordial', 0.9434127153153072]
['busy', 0.9430001581104002]
['phalanxes', 0.9428476376961796]
['fences', 0.9425852699100951]
['track', 0.9423664954762869]
['inmates', 0.9421254742472989]
['hairy', 0.9420838879206427]
['dye', 0.9418221828953377]
['hope', 0.9412994242143533]
['jesuit', 0.9412217047607514]
['engender', 0.9406848273748587]
['domiciled', 0.9406848273748587]
['keeps', 0.9406848273748587]
['presumptuous', 0.9406848273748587]
['beech', 0.9406848273748587]
['unapproving', 0.9405633451537473]
['clanking', 0.9404769661334966]
['fang', 0.9402744732639957]
['motion', 0.9402033849929572]
['travels', 0.9401954680980643]
['unsympathetic', 0.9400475405957396]
['quieter', 0.9400475405957396]
['section', 0.9400475405957396]
['quavered', 0.939966953595286]
['button', 0.9397750416953657]
['_must_', 0.9397750416953657]
['fellowship', 0.9396378459323247]
['sign', 0.9394816079892058]
['interpellations', 0.9393688686264909]
['inasmuch', 0.9391971436765949]
['attributed', 0.9391971436765949]
['curve', 0.9391971436765949]
['enjoyed', 0.9391971436765949]
['heroism_', 0.9390600714511836]
['paddles', 0.9390600714511836]
['whispering', 0.9388962547838029]
['quand', 0.938792643762117]
['leetle', 0.9386454512688277]
['sou', 0.9386454512688277]
['titles', 0.9386454512688277]
['oswego', 0.9386454512688277]
['press_', 0.9386454512688277]
['ripening', 0.938079683279182]
['ministres', 0.9380210784761623]
['depicted', 0.9379778794694015]
['thraldom', 0.9379742766960263]
['slaughtering', 0.9379029718757479]
['raleigh', 0.9376105243791953]
['heap', 0.9376044986851189]
['pastures', 0.9375900194006868]
['recovering', 0.937523693323857]
['salamander', 0.9373859840278649]
['steamboats', 0.9370423485639349]
['whimpers', 0.9369976962408929]
['attorney', 0.9369119825537813]
['secretary', 0.9362768076951147]
['quellers', 0.9359466339597861]
['speculating', 0.9357894883575917]
['fearfully', 0.9356449274550921]
['ruder', 0.9353130616811064]
['sentinel', 0.9351545273973809]
['faut', 0.9351545273973809]
['represents', 0.9348157074512359]
['records', 0.9343215825201344]
['withdraw', 0.9342610130281818]
['expositions', 0.9340927630616568]
['smarting', 0.9340391644443593]
['tranquil', 0.9340391644443593]
['plottings', 0.9340391644443593]
['semi', 0.9340275239226115]
['practiced', 0.9338434427842283]
['1901', 0.9338256249784977]
['boars', 0.9337269291786522]
['practice', 0.9337244880725042]
['automatons', 0.933701904205242]
['seaway', 0.933701904205242]
['ladyship', 0.933701904205242]
['fallin', 0.933701904205242]
['lesson', 0.933701904205242]
['resisted', 0.9336979140160624]
['crop', 0.9333677697529131]
['lissa', 0.9330972144128535]
['negotiations', 0.9328347196271581]
['faculty', 0.9326072868970965]
['horn_', 0.9321254476144516]
['boughs', 0.9317028593051379]
['hurled', 0.9317028593051379]
['rosy', 0.9317028593051379]
['employee', 0.9317028593051379]
['tapestry', 0.9316413115804396]
['entrusting', 0.9313354487866138]
['squeaked', 0.9309581194785223]
['constrictor', 0.9306489847115443]
['headstones', 0.9306489847115443]
['artfully', 0.9304900352325565]
['state', 0.9304900352325565]
['sometime', 0.9303177076843513]
['cognac', 0.9303177076843513]
['congratulating', 0.9299794104965338]
['southeastward', 0.9299794104965338]
['amadee', 0.9299794104965338]
['tormented', 0.9299794104965338]
['python', 0.9299794104965338]
['quote', 0.9299794104965338]
['rheinfeldt', 0.9299794104965338]
['rules', 0.9299794104965338]
['bounty', 0.9299794104965338]
['smile', 0.9299794104965338]
['puff', 0.9299794104965338]
['sightless', 0.9299794104965338]
['efficiently', 0.9299419441728309]
['ye', 0.9299221459354616]
['tolerate', 0.9299097300971555]
['breakdown', 0.9297640243358026]
['assyria', 0.9295867767981518]
['perform', 0.9294900912756636]
['halloo', 0.9290887054606255]
['gapped', 0.9287763683805145]
['yield', 0.9287700803562574]
['mouthing', 0.9287012145928304]
['astronomer', 0.9286771783508612]
['astronomy', 0.9286771783508612]
['dynamite', 0.9286771783508612]
['overjoyed', 0.9283636582484337]
['beds', 0.9283636582484337]
['consummated', 0.9283636582484337]
['camions', 0.9283636582484337]
['freaks', 0.9283636582484337]
['couriers', 0.9283636582484337]
['agunt', 0.9283636582484337]
['offered', 0.9283636582484337]
['bathe', 0.9283636582484337]
['baths', 0.9283636582484337]
['dwindle', 0.9283636582484337]
['sonorous', 0.9283636582484337]
['total', 0.9283636582484337]
['compensate', 0.9283636582484337]
['climbing', 0.9283636582484337]
['inexcusable', 0.9283636582484337]
['vanquished', 0.9283636582484337]
['godwinian', 0.9283636582484337]
['courant', 0.9283636582484337]
['axes', 0.9283636582484337]
['stone', 0.9283636582484337]
['stuart', 0.9283636582484337]
['bosom_', 0.9283636582484337]
['seeker', 0.9283636582484337]
['fading', 0.9283636582484337]
['squatting', 0.9283636582484337]
['sets', 0.9283636582484337]
['undoing', 0.9283636582484337]
['papa', 0.9280456226275813]
['akin', 0.9280192976683166]
['suspenders', 0.9276072026927572]
['cabalistic', 0.9265995948799745]
['wont', 0.9265742881058642]
['springin', 0.9264890889285352]
['sandalphon', 0.926374342527359]
['surpassed', 0.9261214440866177]
['forty', 0.9255818060654604]
['jason', 0.9254557682261082]
['command', 0.9254465126985897]
['accursed', 0.9249718470798989]
['lamented', 0.9249036379647254]
['_barranca_', 0.9248658617261777]
['weighty', 0.9246684913242392]
['shrug', 0.9245725196363377]
['swineherd', 0.9244942503448201]
['respected', 0.9244942503448201]
['superfluous', 0.9244942503448201]
['resolve', 0.9243518793916448]
['opens', 0.9243448001471108]
['ponderous', 0.9242286287190892]
['jetes', 0.924225844091976]
['subtly', 0.924048556410851]
['unutterable', 0.9238082932177782]
['richer', 0.9237306486911522]
['gladness', 0.9236901878886268]
['capitalist', 0.9236901878886268]
['wrest', 0.9235823721164547]
['voltaire', 0.9235329114942543]
['jungle', 0.923360035793769]
['twitched', 0.9229406980273425]
['596', 0.9228677335368924]
['sentient', 0.9227284446332912]
['tensity', 0.9226020109375139]
['jealousies', 0.9225830398650983]
['wrangled', 0.9225830398650983]
['morou', 0.9225210225721746]
['peer', 0.9225210225721746]
['increasingly', 0.9225210225721746]
['pickerel', 0.9225210225721746]
['slipped', 0.9225210225721746]
['actors', 0.9225210225721746]
['sleepy', 0.9225210225721746]
['wavy', 0.9225210225721746]
['congregating', 0.9225210225721746]
['annoyance', 0.9225210225721746]
['1633', 0.9224163179789419]
['legally', 0.9224163179789419]
['moments', 0.9220003333835575]
['affirm', 0.9219462395419248]
['forward', 0.9219060965006726]
['admitted', 0.921881192670251]
['overhauled', 0.921881192670251]
['leon', 0.921881192670251]
['temperament', 0.921881192670251]
['incursion', 0.921881192670251]
['scourged', 0.921881192670251]
['titilation', 0.921881192670251]
['shoved', 0.9214803619388893]
['noised', 0.9213683920882193]
['brigantine', 0.9210869547909992]
['rabats', 0.9210591983871336]
['quivering', 0.9210056228785294]
['chiseled', 0.9208223860006808]
['inedites', 0.9208223860006808]
['steeds', 0.9208223860006808]
['agility', 0.9205448186448809]
['droit', 0.9204103918065265]
['wilderness', 0.9204059951355718]
['blow', 0.9202913790197196]
['resided', 0.9202736253396423]
['flashes', 0.9201956367458393]
['preached', 0.9201005405029817]
['unexplained', 0.9199301218908131]
['hedges', 0.9196996031024531]
['conclude', 0.9193203901784177]
['untaught', 0.9193203901784177]
['grudge', 0.9193203901784177]
['portfolios', 0.9193203901784177]
['stanchions', 0.9193203901784177]
['fended', 0.9193203901784177]
['bullets', 0.9193203901784177]
['founding', 0.9193203901784177]
['indignant', 0.9193203901784177]
['spat', 0.9193203901784177]
['wrists', 0.9193203901784177]
['nun', 0.9193203901784177]
['whimpering', 0.9193203901784177]
['clinton', 0.9193203901784177]
['negligible', 0.9193203901784177]
['singly', 0.9193203901784177]
['finely', 0.9193203901784177]
['rocking', 0.9193203901784177]
['cranks', 0.9193203901784177]
['club', 0.9193203901784177]
['james', 0.9193203901784177]
['expecting', 0.9193203901784177]
['attempts', 0.9193203901784177]
['betide', 0.9193030936774836]
['ends', 0.9189988235211026]
['requisition', 0.9189801254773051]
['animadverted', 0.9186307681020508]
['snare', 0.9183974456777324]
['hesper', 0.9178526832834673]
['delirious', 0.9178526832834673]
['personnes', 0.9178526832834673]
['husky', 0.9178526832834673]
['chariots', 0.9178526832834673]
['big', 0.9178526832834673]
['grabbing', 0.9178526832834673]
['easterly', 0.9166334843742521]
['disorganized', 0.9162960840647056]
['solidarity', 0.9161900083053836]
['assemblage', 0.9159075526773351]
['time', 0.9157353215926691]
['gloaming', 0.915611904893248]
['turvy', 0.9153827177973822]
['offenbach', 0.9148075049227464]
['murmurs', 0.9145320728042738]
['benefits', 0.9142269543306635]
['sentimentally', 0.9141733489279229]
['specification', 0.9141733489279229]
['grazier', 0.9141733489279229]
['languidly', 0.9134644754643534]
['neat', 0.9134081852824459]
['_from', 0.9134081852824459]
['son', 0.9134081852824459]
['terribly', 0.9134081852824459]
['solar', 0.9134081852824459]
['lear', 0.9134081852824459]
['intricate', 0.913350828896442]
['eyeless', 0.9127491659639071]
['theous', 0.9127353954469531]
['governing', 0.9126925160623496]
['chancery', 0.9126925160623496]
['prospect', 0.9124749381450197]
['battues', 0.9119944758094697]
['thoughtless', 0.9118879665747152]
['metz', 0.9118449346867569]
['luncheon', 0.9118238792269875]
['eggs', 0.911677360209743]
['meeting', 0.9115626108506537]
['hopes', 0.9115110797249758]
['explicit', 0.9112307034306925]
['translucent', 0.9109191324943428]
['artifices', 0.9103035496945142]
['freeing', 0.9103035496945142]
['breathed', 0.9103035496945142]
['pessimistic', 0.9103035496945142]
['situated', 0.9103035496945142]
['bald', 0.9103035496945142]
['headgear', 0.9103035496945142]
['perforation', 0.9103035496945142]
['pinks', 0.9103035496945142]
['sceptre', 0.9103035496945142]
['saturninus', 0.9103035496945142]
['souffrante', 0.9103035496945142]
['valparaiso', 0.9103035496945142]
['chang', 0.9103035496945142]
['odd', 0.9103035496945142]
['overrun', 0.9103035496945142]
['catechism', 0.9103035496945142]
['strained', 0.9103035496945142]
['piles', 0.9103035496945142]
['streak', 0.9103035496945142]
['lighten', 0.9103035496945142]
['talking', 0.9098525723612487]
['radiances', 0.9096634274335322]
['civilised', 0.9096200615546264]
['beggin', 0.9091971439827943]
['combine', 0.9091971439827943]
['telephones', 0.9089295676415748]
['charmed', 0.9085974755901912]
['either', 0.9085974755901912]
['tennyson', 0.9085974755901912]
['darkens', 0.9085974755901912]
['solomon', 0.9085974755901912]
['emboldened', 0.9085974755901912]
['arcanum', 0.9082606406019801]
['headstone', 0.9081973032719705]
['involve', 0.9080669880933965]
['notion', 0.9080669880933965]
['lay', 0.9074121532517274]
['cloudy', 0.9069959459170961]
['now_', 0.9068977781682097]
['whither', 0.9066550431812415]
['estopped', 0.9065563322011545]
['teachers', 0.9062305540353031]
['dryness', 0.9062305540353031]
['traversed', 0.9060726155922681]
['theatrical', 0.9060726155922681]
['savages', 0.9060726155922681]
['publishing', 0.9060726155922681]
['pig', 0.9060726155922681]
['huts', 0.9059337903090611]
['seizure', 0.9057491663095993]
['catholic', 0.905698248578142]
['owning', 0.9053790912082866]
['owing', 0.9051753739402253]
['conseilleurs', 0.9051157938704857]
['firmament', 0.9050902917001507]
['souverain', 0.9048211066935269]
['cambridge', 0.9047282616321378]
['_orlando', 0.9042543148235883]
['gallic', 0.9039415010334226]
['microscopes', 0.9036528545094294]
['night', 0.90338761450616]
['altars', 0.9027569741818395]
['everyone', 0.9022551534039019]
['engagingly', 0.9021572345252058]
['zealand', 0.9021572345252058]
['sprung', 0.9021572345252058]
['nuncio', 0.9020436329562219]
['inscrutably', 0.9020193408069723]
['heresy', 0.901956091841727]
['wakened', 0.9018559025458202]
['relinquish', 0.9017678984883012]
['dominating', 0.9017678984883012]
['sunward', 0.901441199082386]
['accident', 0.9012925582377594]
['invented', 0.9012630059977585]
['fruits', 0.9010437338951016]
['pioneers', 0.9008610809057845]
['aristocratic', 0.9008565290585115]
['ox', 0.9008565290585115]
['newman', 0.9008565290585115]
['bushels', 0.9006795582639778]
['pitted', 0.9006795582639778]
['sportsman', 0.9002904893599769]
