['topics', 0.9969548662155662]
['unapproving', 0.9773232580582111]
['resolution', 0.9772700761688011]
['slide', 0.9772569887265646]
['emanations', 0.9772569887265646]
['sma', 0.9772159390007555]
['stoutest', 0.9771363845979164]
['walloper', 0.9771055158055009]
['assailant', 0.9770974592444186]
['eternally', 0.9770252161783639]
['richer', 0.9767827754438667]
['maintenant', 0.9767722860226906]
['humbert', 0.9767506446408524]
['quand', 0.9766476860796428]
['depository', 0.976519630088918]
['overturn', 0.976443890762607]
['exhibitions', 0.9763496505206039]
['trice', 0.9763163203976414]
['tensity', 0.9763040582184079]
['affidavy', 0.9762683601724783]
['alretty', 0.9762526411921728]
['claret', 0.9761607094209827]
['wharf', 0.9757468901519951]
['inconsequent', 0.9757183151648435]
['reproaches', 0.9754970477988412]
['_passion', 0.97549459862166]
['hungry', 0.9754234936863511]
['bitterness', 0.9752103197663112]
['nuncio', 0.9751948025725028]
['deceived', 0.9751065732023662]
['angry', 0.9750310230699817]
['obedient', 0.9747297797692319]
['eyeless', 0.9742487393479189]
['fiords', 0.9740055551722492]
['reigning', 0.9740055551722492]
['firmer', 0.9739278786789386]
['adventurers', 0.9738534330533113]
['thrills', 0.9737165649229927]
['indulgent', 0.9737054492204271]
['baba', 0.973659498492429]
['strangles', 0.9736033402043875]
['reacts', 0.9735820316572573]
['steamboats', 0.9735580210557336]
['gittin', 0.9734208258923726]
['gore', 0.9733787536750932]
['manly', 0.9733022218514861]
['complained', 0.9731917091521842]
['charmingly', 0.9731855989326575]
['long', 0.9726746236804668]
['peeled', 0.9726463281692307]
['striped', 0.9724745171966777]
['sixteenth', 0.9723280113719333]
['deftness', 0.972315748638607]
['daylight', 0.9723136858000494]
['unscathed', 0.9722976351405744]
['arcanum', 0.9719133462547586]
['explorations', 0.9717995165276248]
['demonstrable', 0.9717689298037655]
['feces', 0.9716083926840681]
['outcropping', 0.9715289771705827]
['example', 0.9714856019671532]
['emphatic', 0.9713258957363349]
['awaken', 0.9712829750249539]
['falsetto', 0.9711993090923068]
['accursed', 0.9711685720800609]
['aegis', 0.9711103707031954]
['compounds', 0.9710734967242164]
['exaltation', 0.9709446769934635]
['parding', 0.9708932245854224]
['galilee', 0.9707975847965272]
['endless', 0.9707469932878019]
['succeeding', 0.9706406120733174]
['swathing', 0.9706251555682159]
['unbeliever', 0.9705417662282716]
['types', 0.9704076948131319]
['fences', 0.9703789996325366]
['efficiently', 0.9703363435402643]
['grata', 0.9701195865401285]
['still', 0.969937597146514]
['amazon', 0.9698453151257603]
['immortality', 0.9698311413103352]
['supremely', 0.9698077501887594]
['_so_', 0.9695833795040638]
['ennobles', 0.9695797723094581]
['animadversion', 0.9695233858922933]
['cour', 0.9695200515414759]
['sportsman', 0.9694732280797435]
['harmful', 0.9694477477189535]
['suspenders', 0.9693477781516092]
['clanking', 0.9692912985000302]
['fang', 0.9691868298148599]
['detection', 0.9691084419150586]
['blackest', 0.9691084419150586]
['prowlings', 0.9691068196661705]
['vindar', 0.9689276347810305]
['sockets', 0.9689276347810305]
['grandnephew', 0.9689276347810305]
['patineurs', 0.9688638559487631]
['interpellations', 0.9687196166927516]
['watchword', 0.9685875995253278]
['attiring', 0.9685466444421742]
['platoon', 0.9684327653391267]
['incapacitating', 0.9684236242957691]
['balkan', 0.9684084442595842]
['felicitations', 0.9682744328439516]
['sert', 0.9680527673083292]
['namesake', 0.9679328682442363]
['kritters', 0.967925414720153]
['depth', 0.9679133764345129]
['annaei', 0.9678710706048875]
['living', 0.9677433029738021]
['grasps', 0.9676903325872992]
['hugest', 0.9676902618537117]
['comers', 0.9675115544454191]
['jotted', 0.9674989179429789]
['sparkle', 0.967471402103381]
['landholders', 0.9674408047065226]
['accident', 0.9673774204069928]
['savagely', 0.9673694397319264]
['alleys', 0.9672961492854013]
['greatly', 0.9672319595927817]
['yards', 0.9671237270600959]
['graven', 0.967099590116337]
['litigation', 0.9670685617614]
['docks', 0.9670526623170845]
['shrouded', 0.9670334747170213]
['interessantes', 0.9669864089735758]
['weighty', 0.9669551685173431]
['certainty', 0.9669070556216051]
['transferred', 0.9668987355692391]
['gruntings', 0.9668508852811564]
['dismay', 0.9668294372869402]
['theatre', 0.9667962036831802]
['administrations', 0.966739184644006]
['anoint', 0.9666988136667288]
['particularity', 0.9666865246106856]
['feigned', 0.96668494815886]
['shocks', 0.9666621210879942]
['stitched', 0.9666303373872317]
['refashion', 0.9666049499396234]
['citizens', 0.9665261590748998]
['onset', 0.9664731853330324]
['pincio', 0.9664229104638802]
['eminently', 0.966345526204153]
['wilderness', 0.9662986763095801]
['refuted', 0.966290476397268]
['_through_', 0.966290476397268]
['betide', 0.9662844717219673]
['class', 0.9662166872861168]
['chains', 0.966196247204143]
['trapper', 0.9661069777213495]
['jauntily', 0.9661069777213495]
['withdraw', 0.9660844080569617]
['1901', 0.9660783784638264]
['gunboat', 0.9660257445409388]
['heures', 0.9659826658520109]
['downloading', 0.9659797942331939]
['equanimity', 0.9659797942331939]
['appalachians', 0.9659797942331939]
['solved', 0.9659797942331939]
['horrid', 0.9659797942331939]
['waterfall', 0.9659797942331939]
['distinct', 0.9659797942331939]
['rabbit', 0.9659797942331939]
['semi', 0.9659639480135014]
['undersecretary', 0.9658936215737157]
['tongtoia', 0.9658851223554235]
['lark', 0.9658566816825274]
['disclosed', 0.9657917605426147]
['talking', 0.9656062414924259]
['radio', 0.9656020198921802]
['cited', 0.9655629890196791]
['aint', 0.9655629890196791]
['lissa', 0.9654839893289052]
['vulcan', 0.9654666313353973]
['yells', 0.9654666313353973]
['steamer', 0.9654531409427429]
['webbed', 0.9654531409427429]
['groupe', 0.9654531409427429]
['weave', 0.9653737022808003]
['scotchman', 0.9653737022808003]
['beggin', 0.9653561772814103]
['combine', 0.9653561772814103]
['faculty', 0.9652312293995012]
['roadside', 0.9652053219328294]
['foot', 0.965118493725903]
['systems', 0.965118493725903]
['walnut', 0.965118493725903]
['hazing', 0.965118493725903]
['sterile', 0.965118493725903]
['proves', 0.965118493725903]
['see', 0.965118493725903]
['absurd', 0.965118493725903]
['minnows', 0.965118493725903]
['frances', 0.965118493725903]
['busily', 0.965118493725903]
['wrangling', 0.965118493725903]
['recites', 0.965118493725903]
['scrutinised', 0.9649922852543912]
['resounds', 0.9649708086412847]
['mariners', 0.9649470150362551]
['footman', 0.9648763680708852]
['nominations', 0.9648294020634559]
['fiammetta_', 0.9647863956576742]
['indian', 0.9647693510769019]
['makes', 0.9647066761946915]
['winning', 0.9647066761946915]
['pekin', 0.9646101838019574]
['ends', 0.964468118670463]
['henceforward', 0.9643496370455867]
['curtain', 0.9643496370455867]
['more', 0.9643151349397724]
['brimstone', 0.9635860471967095]
['discolored', 0.9635756698536926]
['bother', 0.9635383175171174]
['disorganized', 0.9632825381418348]
['entrust', 0.9631601058180539]
['moulded', 0.9631380369858615]
['heroic', 0.9631270742536324]
['withstood', 0.9631223218362323]
['tuesday', 0.96282373272791]
['cumbrous', 0.9624102668726837]
['eut', 0.9623958827573733]
['immeasurably', 0.9622805436499215]
['contrition', 0.9621568805877776]
['anticipation', 0.9621176020693925]
['mutton', 0.9621150294870335]
['huntsman', 0.9620451728257077]
['chilling', 0.9620306825816329]
['ward', 0.961846719092927]
['bathed', 0.9614144956431038]
['cap', 0.9612522253537895]
['_barranca_', 0.9612373282268682]
['doors', 0.961087811180581]
['route', 0.9609752656371345]
['sauntered', 0.9607621204260433]
['promptitude', 0.9607535127377602]
['castaways', 0.9607313019121854]
['compromised', 0.9606673952318958]
['unlocked', 0.9604270980793076]
['together', 0.9603785576971497]
['devices', 0.9599501027471841]
['irritate', 0.9599450451410289]
['dupes', 0.9599179372468094]
['derelict', 0.9596110212274728]
['bowling', 0.959572951038817]
['rapidly', 0.9594134461954498]
['advocacy', 0.9593756469200865]
['tiny', 0.9593556249330369]
['dazedly', 0.9593340685511963]
['mixes', 0.9593246193506347]
['bergs', 0.9593246193506347]
['consumed', 0.9593246193506347]
['99', 0.9592736104474865]
['quivering', 0.9592457811770844]
['1875', 0.9590811848352868]
['constrains', 0.9589869501880117]
['oatmeal', 0.9588424617219751]
['flashes', 0.9588278988758616]
['abiding', 0.9586403328997414]
['vegetable', 0.9586403328997414]
['scythe', 0.9585768794346092]
['subdue', 0.9584442974158038]
['chimiques', 0.9582920437601387]
['slaughtering', 0.958212988857649]
['him', 0.9581145029019331]
['energy', 0.9580923558698007]
['ballroom', 0.9578975827704308]
['burglars', 0.9578580322787874]
['punctuation', 0.9578580322787874]
['broadside', 0.9578580322787874]
['trout', 0.957850086894142]
['persuasion', 0.9578083816555847]
['tithe', 0.9577314127755314]
['encouraging', 0.9577051919717383]
['reach', 0.9577025369062159]
['graceful', 0.9574809935057633]
['binnacle', 0.9571687343882105]
['raking', 0.9571608672220554]
['dismissed', 0.9570634330845639]
['baying', 0.9570634330845639]
['developed', 0.9569817444993876]
['disastrous', 0.9565857857877409]
['breakdown', 0.9565286214210493]
['preparations', 0.9564799063376714]
['cycle', 0.9564661960043482]
['apply', 0.9564445202754424]
['investigate', 0.9564427754597413]
['novels', 0.9559949417042665]
['shoe', 0.9557776000385436]
['outfitted', 0.9557378996683035]
['signals', 0.9557378996683035]
['mislead', 0.9556769972160122]
['wordsworth', 0.9555360281141381]
['ard', 0.9554138165254913]
['brick', 0.9553339787897165]
['s_', 0.9552696191767515]
['fumble', 0.9550690764231947]
['dared', 0.9549778040720163]
['tongues', 0.9548648858359108]
['overshadowing', 0.9548231757509758]
['gravitating', 0.9548140338406473]
['windfall', 0.9548140338406473]
['correspond', 0.954679405702641]
['dye', 0.9543459498216011]
['projecting', 0.9542886466798047]
['creature', 0.9542526340848735]
['statue', 0.9541796517526802]
['suppression', 0.9540295477594418]
['hazily', 0.9538308879264309]
['chase', 0.953813943249888]
['paquet', 0.9537505206738253]
['springy', 0.9535764576635701]
['vows', 0.9534928822190379]
['garner', 0.9533880138103614]
['eggs', 0.9533658424483534]
['shut', 0.9533086708429891]
['snarled', 0.9532555092569504]
['labours', 0.9530598572955347]
['_living_', 0.9529436102744443]
['privilege', 0.9529109319244364]
['scraggy', 0.9528757791614771]
['concini', 0.9528324722595133]
['intermittent', 0.9526666546771383]
['shallow', 0.9526666546771383]
['match', 0.9526666546771383]
['_political', 0.9526666546771383]
['remy', 0.9526587272082814]
['visites', 0.952629727513713]
['money', 0.9526065807856426]
['surmounted', 0.9525786036005881]
['parlance', 0.9525592460768323]
['therewith', 0.9525591569539222]
['dunce', 0.9525591569539222]
['bazaine', 0.9524232496118205]
['glees', 0.9523589530128216]
['petron', 0.9521050380988016]
['emotional', 0.9519324237740977]
['lyrics', 0.9518737611018947]
['creditor', 0.9518723163298567]
['when', 0.9518097490226073]
['energetic', 0.9517628301492935]
['screen', 0.9516662844102982]
['doctor', 0.951622284438753]
['organization', 0.9515367738587319]
['stayers', 0.9514935720777242]
['compact', 0.9514848463376089]
['carboniferous', 0.9514717346474949]
['shinin', 0.9514373024094693]
['carts', 0.9513012708430629]
['funeral', 0.9512808220644574]
['perron', 0.9512573810320119]
['unthinking', 0.9512011456130886]
['fulfil', 0.9511637790235997]
['systematic', 0.9510440216130185]
['elongated', 0.9510399091997246]
['circumscription', 0.9509691941506118]
['pertinacity', 0.9509691941506118]
['disobedient', 0.9509540464671682]
['bamboo', 0.9509196072563888]
['privately', 0.950881827108211]
['lies', 0.9508779120615736]
['cambridge', 0.9508480804005467]
['occurs', 0.9505280196147353]
['daughters', 0.9505280196147353]
['xxvi', 0.9505280196147353]
['lurid', 0.9505280196147353]
['politics', 0.9505280196147353]
['qualities', 0.9505280196147353]
['microscopes', 0.9502932639844974]
['gare', 0.9500580251191004]
['apprentice', 0.9496200976031238]
['professed', 0.9495047495163731]
['terra', 0.9494283370590709]
['originality', 0.9494191573800038]
['pottsdam', 0.9492195513813623]
['upholstery', 0.9487384737223906]
['catastrophe', 0.9487091560118538]
['sjaani', 0.9486584596864872]
['its', 0.9486101349704793]
['unbelievingly', 0.9485075853675248]
['1876', 0.9484506926396495]
['emerson', 0.9483977072235045]
['pie', 0.948310228701778]
['bodied', 0.948307399594954]
['singleness', 0.948263990674024]
['espionage', 0.9482552020271613]
['wilt', 0.9482172020456328]
['missing', 0.9481459787782668]
['resisted', 0.9479705683182015]
['tiberius', 0.9479529009978299]
['notifies', 0.947844696639876]
['annam', 0.9477156785925761]
['appetites', 0.9476894438506599]
['simplified', 0.9476527602196941]
['browse', 0.9475794428616994]
['scrubbing', 0.9471763843469447]
['loosening', 0.9469932400871652]
['field', 0.9469800939795084]
['fauna', 0.946869199155025]
['helping', 0.9465666731668505]
['ways', 0.9464424342695779]
['camps', 0.946385481559721]
['versa_', 0.9462109432580036]
['underrate', 0.9460557514243978]
['writes', 0.9460421745406014]
['finished', 0.946033665248022]
['iss', 0.9454821878955391]
['vestured', 0.9454653145466241]
['youthful', 0.9454150258274225]
['occasional', 0.9453911090459811]
['record', 0.9453748959489138]
['scouted', 0.9453579801911339]
['milton', 0.9450711783792349]
['kind_', 0.9450058628851288]
['perform', 0.9449384017675685]
['messalina', 0.9448911448784101]
['band', 0.9448633948398849]
['dreariest', 0.9448331527924605]
['pulsated', 0.9448331527924605]
['diversion', 0.9448331527924605]
['lifting', 0.9448331527924605]
['deny', 0.9448331527924605]
['output', 0.9446329117987114]
['leaf', 0.9444554881197583]
['rapacious', 0.9444399351941322]
['fraudulently', 0.9442757307119183]
['hope', 0.9442533250118095]
['describing', 0.9441078580894268]
['hills', 0.943999109577272]
['dingy', 0.9439770999842295]
['thoughtful', 0.9438080395721383]
['tour', 0.9436953306155613]
['disputants', 0.9436239424527063]
['weakest', 0.9435365894477599]
['exquisitely', 0.9434433307709718]
['balmy', 0.9434132692298755]
['housewife', 0.9434132692298755]
['reservoirs', 0.9432919863003832]
['birth', 0.9431591532879782]
['reaping', 0.9431501470385153]
['breaker', 0.9431004726948906]
['dislike', 0.943034908046301]
['milon', 0.9430069185556149]
['affirm', 0.9429921214705559]
['seraphs', 0.942984836040402]
['brushed', 0.9426859073979955]
['casting', 0.942661068762441]
['honor', 0.9424092776923363]
['pails', 0.9422144282500381]
['merge', 0.94220664583552]
['lump', 0.942176661294222]
['way', 0.9421348489735553]
['swarmed', 0.9420484327574707]
['arrested', 0.9420216543666873]
['spotless', 0.9419983320826456]
['modernized', 0.9417456787976177]
['burnings', 0.9417314934316385]
['statesmanship', 0.9416372059642284]
['doomed', 0.9415990494198407]
['france', 0.9415218737562803]
['scalpin', 0.941428442404502]
['announced', 0.9414267945541476]
['staggered', 0.941279083162097]
['encounters', 0.9412250490408108]
['highway', 0.9412177678387983]
['constraining', 0.9411830951963043]
['boars', 0.9410151298083511]
['watertown', 0.9410037290815928]
['imagine', 0.9409826782829901]
['tenacity', 0.940963716610835]
['purses', 0.9409148182780098]
['puzzlement', 0.9409148182780098]
['grandsons', 0.9408688068968032]
['englanders', 0.9408624513360964]
['lordship', 0.9406390527372709]
['pitch', 0.9406307212985192]
['constraint', 0.9405312392895391]
['geology', 0.9405303216790273]
['bright', 0.9404875717413721]
['wrest', 0.9400325692586015]
['pamphlets', 0.940011133014772]
['ruins', 0.939900603472663]
['flopped', 0.9398246605216612]
['prearranged', 0.939797303919026]
['regain', 0.9397835734540743]
['than', 0.9395348776385606]
['veins', 0.939500637643636]
['graphic', 0.9394827615347262]
['motioned', 0.9394628430556075]
['goals', 0.9394520094718242]
['imperfect', 0.9394217112443475]
['speeded', 0.9393126419499915]
['03', 0.9393033400822856]
['increased', 0.9393033400822856]
['virus', 0.9392639330022665]
['folk', 0.9392639330022665]
['swiss', 0.9391973783644836]
['dress', 0.9391663055507795]
['nets', 0.9391612223187332]
['quell', 0.9391612223187332]
['superstition', 0.9391612223187332]
['dancers', 0.9391612223187332]
['explanation', 0.9391589468070282]
['dissipating', 0.9388326389496255]
['admirably', 0.9388174217660261]
['clung', 0.9386858488696865]
['paired', 0.93867209738847]
['casket', 0.9386567250140645]
['down', 0.9385223527180531]
['scooping', 0.9385223527180531]
['neighbor', 0.9385223527180531]
['flaunting', 0.9385223527180531]
['ecoutez', 0.9384789785453391]
['intellectually', 0.9383185586019068]
['barbed', 0.9382744592228852]
['extensive', 0.9374951350261007]
['radiances', 0.9374833851194463]
['buttery', 0.9374424698733017]
['dooly', 0.9374215879928153]
['pineknots', 0.9373899776471657]
['buck', 0.9372287447773999]
['clearly', 0.93721635531066]
['cleanin', 0.9369133501094952]
['unrivalled', 0.9368766253477456]
['galette', 0.9368309902611762]
['prescience', 0.9368173576908456]
['_her_', 0.936778581939581]
['extremes', 0.9367243992479584]
['inrushing', 0.936453113823658]
['unfounded', 0.9364513422841284]
['inane', 0.9364464820493407]
['outgoes', 0.9363036942535611]
['similarly', 0.9362001618405357]
['owing', 0.9361895758070662]
['cook', 0.9360453833025538]
['expeditions', 0.9360372869850608]
['_hymns', 0.9360095073146731]
['epimenides', 0.9359553536914901]
['unbroken', 0.9359553536914901]
['reine', 0.9359553536914901]
['amiable', 0.9359533213413035]
['barrenness', 0.9359533213413035]
['creep', 0.9359438255926342]
['californian', 0.9355746162936659]
['avenged', 0.935442853659667]
['somewhere', 0.935442853659667]
['insulting', 0.9353290672926348]
['the_', 0.9352984182780919]
['mutter', 0.9352984182780919]
['mercy', 0.9352984182780919]
['sketches', 0.9352756865519533]
['reefs', 0.935240336617141]
['develop', 0.935240336617141]
['palates', 0.935240336617141]
['organised', 0.935240336617141]
['passed', 0.935240336617141]
['despatch', 0.9352041015506253]
['warranty', 0.9351376758963604]
['tears', 0.935109137077192]
['estimated', 0.9350793414254959]
['summered', 0.9350255744889853]
['suppers', 0.9349623428980682]
['cet', 0.9348776907153099]
['elevation', 0.9347160450388559]
['reptile', 0.9347124887964602]
['cardboard', 0.9347124887964602]
['ezra', 0.9347124887964602]
['mother', 0.9347124887964602]
['characteristics', 0.9346606201343017]
['chin', 0.9345947895340849]
['incidents', 0.9345947895340849]
['brusquely', 0.9345947895340849]
['homeliest', 0.9345947895340849]
['tours', 0.9345947895340849]
['rove', 0.9345947895340849]
['governments', 0.9345947895340849]
['_liberty_', 0.9345947895340849]
['admiration', 0.9344073047479201]
['education_', 0.9343536087598143]
['cabalistic', 0.9340520217051504]
['desires', 0.9339897992102075]
['ultimate', 0.9339495518643639]
['pleasurable', 0.9337421362938199]
['stiffly', 0.9337421362938199]
['scrupulous', 0.9337421362938199]
['friendships', 0.9336608432603393]
['rather', 0.9336600348285289]
['heafy', 0.933570515705754]
['carlsfeld', 0.933546606288807]
['realms', 0.933546606288807]
['_oime', 0.933405292235505]
['ofttimes', 0.9332564938233668]
['_reveries_', 0.9332132446590893]
['righteous', 0.9332076665725203]
['agency', 0.9331989916642431]
['ye', 0.9331433868416118]
['interviews', 0.933033824425186]
['sultan', 0.932974132747126]
['insignia', 0.9329683327788407]
['barren', 0.9329517956378675]
['rigging', 0.9329517956378675]
['impediments', 0.9329517956378675]
['undistinguishable', 0.9329517956378675]
['caligula', 0.9329517956378675]
['kraighten', 0.9329517956378675]
['display', 0.9329517956378675]
['guitar', 0.9329517956378675]
['avoidable', 0.9329517956378675]
['stepmothers', 0.9329517956378675]
['skelter', 0.9329517956378675]
['tiring', 0.9329517956378675]
['never', 0.9329517956378675]
['shortening', 0.9329517956378675]
['buildings', 0.9329517956378675]
['waken', 0.9329517956378675]
['rusted', 0.9329517956378675]
['ted', 0.9329517956378675]
['illumined', 0.9329517956378675]
['embarrassment', 0.9329517956378675]
['cried', 0.9329517956378675]
['divination', 0.9329517956378675]
['gaul', 0.9329517956378675]
['illustrations', 0.9329517956378675]
['trance', 0.9329517956378675]
['behaving', 0.9329517956378675]
['corresponding', 0.9329517956378675]
['part', 0.9329517956378675]
['ached', 0.9329517956378675]
['conceit', 0.9329517956378675]
['withdrew', 0.9329517956378675]
['coupled', 0.9329517956378675]
['dish', 0.9329517956378675]
['posture', 0.9329517956378675]
['lad', 0.9329517956378675]
['umbrella', 0.9329517956378675]
['_where', 0.9329517956378675]
['horatius', 0.9329517956378675]
['stringin', 0.9329517956378675]
['efforts', 0.9329517956378675]
['water', 0.9329517956378675]
['sculptured', 0.9329517956378675]
['messages', 0.9327296259920992]
['gunpowder', 0.9325920281600525]
['cultures', 0.9325415668633824]
['gully', 0.9325143476756533]
['sauces', 0.9324578068612989]
['grisettes', 0.9324484333045471]
['characterize', 0.9324026487655259]
['mesmerised', 0.9323956855272156]
['inconveniences', 0.9322854942686591]
['intricate', 0.9320035401403626]
['exist', 0.9319445808511682]
['fastening', 0.9318538120706419]
['perfect', 0.9317927746019719]
['fat', 0.931684855524588]
['theous', 0.9315205892325641]
['puffy', 0.931471612016676]
['selfish', 0.9314177479648024]
['trifle', 0.931333894386325]
['lizzy', 0.9313113409323637]
['surpasses', 0.931305286492961]
['entertainment', 0.931305286492961]
['restlessly', 0.9312818977972098]
['afflicted', 0.9311913915724167]
['evade', 0.930892382873217]
['anger', 0.9307427332272967]
['1313', 0.9306637853118938]
['hopes', 0.9305598283414361]
['nebula', 0.9303392698948131]
['stating', 0.9303348004641137]
['pythagoras', 0.9302667676389607]
['unpacking', 0.9302667676389607]
['eyeing', 0.9302667676389607]
['salamander', 0.9302405951300646]
['blazing', 0.9301501710651522]
['treasured', 0.9300179528744645]
['pinch', 0.9299193726551174]
['chemicals', 0.9298386235319223]
['reminiscent', 0.9298386235319223]
['roger', 0.9298386235319223]
['dreadful', 0.9298386235319223]
['peaceful', 0.9298386235319223]
['sward', 0.929588889740838]
['degradation', 0.9295049261964261]
['nineteenths', 0.9295049261964261]
['physics', 0.9294252869112865]
['cheval', 0.9294252869112865]
['trogus', 0.9294130116765426]
['mouldering', 0.929400799366949]
['sipping', 0.929400799366949]
['obstructing', 0.9293883719610683]
['preventing', 0.9293049896165836]
['copperhead', 0.9292131065642121]
['orangeade', 0.9290907959957391]
['coolest', 0.9288402874125752]
['cabinet', 0.9286504523871659]
['copper', 0.9285437274793528]
['honolulu', 0.9282045374975809]
['hour', 0.9281596484186057]
['practically', 0.9279472283505792]
['impart', 0.9275388784516752]
['compulsory', 0.9275315641808697]
['plume_', 0.9273849146514199]
['macebearer', 0.9273847334172478]
['revolve', 0.9273847334172478]
['shriek', 0.9273847334172478]
['prison', 0.9273847334172478]
['vise', 0.9273847334172478]
['zone', 0.9272819915538437]
['censure', 0.9272469850599563]
['tutor', 0.927199794653049]
['petition_', 0.926966313869567]
['shimmered', 0.9269472703445567]
['untrained', 0.9268019896705434]
['ride', 0.92652936372955]
['moderating', 0.9264957592342923]
['myths', 0.9264076741957976]
['phalanxes', 0.9263808116149985]
['halting', 0.9263652947300114]
['contorted', 0.926228944564805]
['wavelet', 0.9258363898177568]
['counties', 0.9258277429996142]
['communicant', 0.9256768362684196]
['stripped', 0.9256171299926439]
['duration', 0.9248990305223764]
['canteens', 0.9246533122769702]
['antipathies', 0.9242942840971787]
['traveled', 0.9242842119211964]
['amen_', 0.9242837049833517]
['headedness', 0.9240902775352562]
['dawned', 0.9240679910028423]
['diminishment', 0.9239923466060751]
['differences', 0.9239503758449075]
['visited', 0.9238481817053072]
['sheriffs', 0.9238481817053072]
['were', 0.9238118448969873]
['pandora', 0.9237327912558062]
['_prostitution', 0.9234437397742604]
['_never', 0.9232567128268788]
['gruntin', 0.9231316445342566]
['telepathy', 0.9230801620618759]
['adjustment', 0.9229858394278877]
['trotted', 0.9228744273017553]
['silius', 0.9227924398569607]
['putrefaction', 0.9227924398569607]
['argot', 0.9227924398569607]
['shambles', 0.9227924398569607]
['attributing', 0.9227924398569607]
['kansas', 0.9227052780128707]
['prior', 0.9222735226680474]
['sweltering', 0.9222735226680474]
['ida', 0.9221270978306592]
['iv', 0.9220900826667171]
