['consistently', 0.9992408824431727]
['occurs', 0.9792689830687518]
['daughters', 0.9792689830687518]
['xxvi', 0.9792689830687518]
['lurid', 0.9792689830687518]
['politics', 0.9792689830687518]
['qualities', 0.9792689830687518]
['microscopes', 0.9791706097490005]
['profusely', 0.979108422238717]
['ol', 0.9790470645424614]
['fascinated', 0.978971558686832]
['bulky', 0.9783630268668693]
['resisted', 0.9781972942922685]
['ankle', 0.9778683490869569]
['scrubbing', 0.9778644949738172]
['fauna', 0.9777357703631362]
['shelf', 0.9776353057867712]
['helping', 0.9776089981713996]
['moulded', 0.9771510462092902]
['anear', 0.9771389804354988]
['youthful', 0.9771264053924855]
['dreariest', 0.9768825740429884]
['pulsated', 0.9768825740429884]
['diversion', 0.9768825740429884]
['lifting', 0.9768825740429884]
['deny', 0.9768825740429884]
['hope', 0.9766395997483619]
['civil', 0.976473127622825]
['compassionate', 0.9763178981699003]
['exquisitely', 0.9763001752056156]
['breaker', 0.9761565020289023]
['won', 0.9759084529884785]
['wrappings', 0.9757282273230475]
['spotless', 0.9756946548274129]
['polyhedral', 0.9755431552682365]
['pottery', 0.9754255037690166]
['ancestral', 0.9754161942523688]
['mornin', 0.9754161942523688]
['principality', 0.975388720726486]
['fantastically', 0.9752514424867772]
['englanders', 0.9752186689702629]
['bathing', 0.9751865159539195]
['furnaces', 0.9751865159539195]
['drove', 0.9751865159539195]
['voided', 0.9751461119665423]
['txt', 0.975144434571334]
['augured', 0.975017758142242]
['obliterated', 0.975017758142242]
['seafaring', 0.9749219962535379]
['wrest', 0.9748709105165785]
['flopped', 0.9747837872700034]
['prearranged', 0.9747723236053594]
['figures', 0.9747092989976693]
['veins', 0.9746480069006278]
['discussion', 0.9745783765866783]
['alluding', 0.9745501442632309]
['nets', 0.974505776393733]
['quell', 0.974505776393733]
['superstition', 0.974505776393733]
['dancers', 0.974505776393733]
['explanation', 0.9745048228505088]
['sikh', 0.974459761419295]
['lame', 0.974459761419295]
['frame', 0.974459761419295]
['annihilated', 0.974459761419295]
['waveless', 0.974459761419295]
['domestics', 0.974459761419295]
['exclusively', 0.974459761419295]
['elasticity', 0.974459761419295]
['sniffing', 0.974459761419295]
['limited', 0.974459761419295]
['quicke', 0.9744168740037076]
['admirably', 0.974361708276313]
['down', 0.9742380608827423]
['scooping', 0.9742380608827423]
['neighbor', 0.9742380608827423]
['flaunting', 0.9742380608827423]
['scoffed', 0.9739475448001191]
['proposition', 0.9735152112053576]
['snail', 0.9731347558337652]
['straggle', 0.9726961453776958]
['sacks', 0.9726854451436606]
['publish', 0.9726827512860658]
['exertion', 0.9726777352187986]
['motion', 0.9726293738700664]
['libraries', 0.9725790238543971]
['maigs', 0.9725201533812248]
['button', 0.9724333088544755]
['_must_', 0.9724333088544755]
['fellowship', 0.9723705104178689]
['fantastic', 0.9722578917950205]
['published', 0.9722578917950205]
['innate', 0.9721807751598618]
['inasmuch', 0.9721687883525852]
['attributed', 0.9721687883525852]
['curve', 0.9721687883525852]
['enjoyed', 0.9721687883525852]
['xix', 0.97209255526919]
['amount', 0.9720373310495113]
['ofttimes', 0.9720314257520448]
['righteous', 0.972010964906206]
['hosts', 0.971892307369836]
['subtly', 0.9718543390005637]
['grisettes', 0.9716928115270498]
['intricate', 0.9715063809930894]
['exist', 0.9714816743609104]
['roadside', 0.9714724189619299]
['perfect', 0.9714180606163655]
['theous', 0.9713040025281773]
['surpasses', 0.9712137808571365]
['entertainment', 0.9712137808571365]
['montez', 0.9711497633150789]
['anger', 0.9709780453724359]
['boasts', 0.9708834750367461]
['stating', 0.9708071029328065]
['chemicals', 0.9705991821602388]
['reminiscent', 0.9705991821602388]
['roger', 0.9705991821602388]
['dreadful', 0.9705991821602388]
['peaceful', 0.9705991821602388]
['degradation', 0.9704593477517877]
['nineteenths', 0.9704593477517877]
['physics', 0.9704259752577866]
['cheval', 0.9704259752577866]
['mouldering', 0.9704157138594697]
['sipping', 0.9704157138594697]
['satires', 0.9701111356521314]
['repayed', 0.9699525568259243]
['phalanxes', 0.9691502012050279]
['crickets', 0.969077948474894]
['tailor', 0.969038325978079]
['ringing', 0.9690340273021074]
['trappin', 0.9688555151196894]
['eh', 0.9688509400711507]
['brilliant', 0.9679109404357853]
['pinions', 0.9677347290756968]
['intend', 0.9676411372978092]
['kansas', 0.9676099849302053]
['surprise', 0.9675046664452243]
['whippoorwill', 0.9675044052196082]
['sovereigns', 0.9674597583402463]
['yield', 0.9673960223399859]
['iv', 0.9673521900119948]
['_never_', 0.9673479279098077]
['preferment', 0.9672871340794948]
['pillars', 0.9668356026307662]
['eloquence', 0.9667837296708904]
['rapine', 0.9666676140248192]
['omnipotent', 0.9666545537854868]
['chose', 0.9666545537854868]
['indians', 0.9666545537854868]
['flaccid', 0.966367232789632]
['peaks', 0.966076248687202]
['informs', 0.966076248687202]
['milled', 0.966076248687202]
['dies', 0.966076248687202]
['humped', 0.966076248687202]
['cultivators', 0.966076248687202]
['often', 0.966076248687202]
['occupant', 0.966076248687202]
['anvil', 0.966061929507362]
['distinguishable', 0.9658912344064445]
['eut', 0.965812313930975]
['slaughtering', 0.9657395207278293]
['bottles', 0.9653878322098047]
['stirs', 0.9653084302052815]
['therefor', 0.9650426152521603]
['seizure', 0.9649683491576969]
['_descending_', 0.9646248974470473]
['sympathetic', 0.9645053894491813]
['forsythe', 0.9645034191591498]
['rugby', 0.9644106279858597]
['abounds', 0.9642947561382791]
['words_', 0.9641893502260501]
['performers', 0.9638405566130785]
['ties', 0.9636357624029563]
['kinks', 0.9636081940310882]
['hawks', 0.963517041178995]
['lay', 0.9631538680919406]
['financial', 0.9630505598749168]
['bravery', 0.9629844558798295]
['soldierly', 0.9629203329128534]
['israel', 0.962751768196684]
['130', 0.962751768196684]
['relentless', 0.9626571966181289]
['solicitation', 0.9625006089916461]
['unbecoming', 0.9624313261544662]
['phases', 0.9623512218592176]
['legislation', 0.9621599493854929]
['decreed', 0.962120217423757]
['rainwater', 0.962120217423757]
['crash', 0.962120217423757]
['reginald', 0.9620739519048056]
['luster', 0.9620280861792135]
['bubbling', 0.9620280861792135]
['angry', 0.9619602745538312]
['_orlando', 0.9618971790625056]
['irksome', 0.9618469975670287]
['hundreds', 0.9617137597056656]
['rounding', 0.9616750430930732]
['mer', 0.961575502659623]
['finger', 0.9614369678946217]
['guarding', 0.9614278660952638]
['supports', 0.9614278660952638]
['tense', 0.9614278660952638]
['boast', 0.9614278660952638]
['chestnuts', 0.9614278660952638]
['rights', 0.9614278660952638]
['cooly', 0.9614278660952638]
['hawking', 0.9614278660952638]
['_let', 0.9614278660952638]
['immolated', 0.9614278660952638]
['hero', 0.9614278660952638]
['clatter', 0.9614278660952638]
['ambitious', 0.9614278660952638]
['corpse', 0.9614278660952638]
['feverish', 0.9613400164001067]
['revealment', 0.9613400164001067]
['paying', 0.9609640973123033]
['grandes', 0.9609130286520674]
['sentimentally', 0.9607146796152022]
['specification', 0.9607146796152022]
['grazier', 0.9607146796152022]
['worms', 0.9606185255655545]
['assemblage', 0.9605547257673737]
['spends', 0.9604258130776921]
['radio', 0.9602588130748163]
['accident', 0.9601769223966657]
['accidents', 0.9598626219386005]
['ulster', 0.9594243424010817]
['modification', 0.9593356000270352]
['soiree', 0.9593297910765584]
['strugglin', 0.9593297910765584]
['jordan', 0.9591247056595913]
['prelate', 0.9588756637552774]
['raking', 0.9586390940758106]
['chatty', 0.9585174005718379]
['irrelevant', 0.9585174005718379]
['zeal', 0.9584878868612048]
['undersecretary', 0.9583656175635558]
['standard', 0.958266648507172]
['heroism_', 0.9581590696940437]
['paddles', 0.9581590696940437]
['circuit', 0.9580000874220908]
['leetle', 0.957874394365954]
['sou', 0.957874394365954]
['titles', 0.957874394365954]
['oswego', 0.957874394365954]
['press_', 0.957874394365954]
['florentines', 0.9576353833275303]
['depicted', 0.9574160442201766]
['tyrants', 0.9573637954233948]
['ascetics', 0.9573301000360461]
['resounds', 0.95723912016574]
['raleigh', 0.9571638207750089]
['likeness_', 0.9570280433030096]
['mustard', 0.9570280433030096]
['gird', 0.9570280433030096]
['imbue', 0.9569114829403531]
['verified', 0.9567792917132517]
['uncomputed', 0.9567792917132517]
['fleeing', 0.9567792917132517]
['thrackles', 0.9567792917132517]
['softer', 0.9567792917132517]
['smash', 0.9567792917132517]
['aurelius', 0.9567792917132517]
['oaken', 0.9567792917132517]
['sanitation', 0.9567650567320217]
['construct', 0.956619436425866]
['clams', 0.9565893116487685]
['shrewdness', 0.9565500730231123]
['suggestive', 0.9564760088986257]
['legend', 0.9561294822848682]
['expansive', 0.9561294822848682]
['quellers', 0.9560214052072014]
['fruits', 0.9559946918389]
['speculating', 0.9559135101317413]
['neutral', 0.955849542051122]
['trottin', 0.9558101400893491]
['pier', 0.9557647499434279]
['voluntary', 0.9557647499434279]
['spurted', 0.9557647499434279]
['ore', 0.9557647499434279]
['beginneth', 0.9557647499434279]
['donkeys', 0.9557647499434279]
['giants', 0.9557647499434279]
['turning', 0.9557647499434279]
['humblest', 0.9557647499434279]
['fancy', 0.9557647499434279]
['declining', 0.9557647499434279]
['caricatures', 0.9555830381509134]
['composition', 0.9555773942093875]
['bricks', 0.9555368869065697]
['sentinel', 0.9554775503609336]
['faut', 0.9554775503609336]
['spunk', 0.9554395153681801]
['everyone', 0.955259379615478]
['engagingly', 0.9552145593356087]
['zealand', 0.9552145593356087]
['sprung', 0.9552145593356087]
['elections', 0.9550664447462125]
['sert', 0.9549473556194599]
['bossuet', 0.9547868100998913]
['picturing', 0.9547868100998913]
['poorer', 0.9547868100998913]
['ain', 0.9547868100998913]
['offer', 0.9547868100998913]
['shed', 0.9547868100998913]
['automatons', 0.9544801893992382]
['seaway', 0.9544801893992382]
['ladyship', 0.9544801893992382]
['fallin', 0.9544801893992382]
['lesson', 0.9544801893992382]
['000', 0.9544340162061037]
['scarf', 0.9540520356300679]
['epidemic', 0.9539972094861086]
['decision', 0.9537876461699927]
['si', 0.9536343064590781]
['ward', 0.9534254775269253]
['91', 0.9529379339444756]
['granddaughters', 0.9528770869026177]
['presidency', 0.9528770869026177]
['categories', 0.9528770869026177]
['corroded', 0.9528770869026177]
['roles', 0.9528770869026177]
['mounting', 0.9528770869026177]
['titter', 0.9528770869026177]
['buffeting', 0.9528770869026177]
['scuffling', 0.9528759343544456]
['editors', 0.9528525770287755]
['bluster', 0.9527279082681122]
['weary', 0.9527232536360875]
['sweetmeats', 0.952537888260217]
['inly', 0.9525296430993696]
['outbuildings', 0.9525296430993696]
['exit', 0.9525296430993696]
['drownin', 0.9525296430993696]
['fairy', 0.9523256823052857]
['booblimak', 0.9522928688885632]
['consented', 0.9522928688885632]
['as', 0.9521769479064446]
['swallowed', 0.9519672228294374]
['staggered', 0.9518556915373907]
['creaking', 0.9518354127605051]
['amesius', 0.9518354127605051]
['red', 0.9518354127605051]
['bourns', 0.9518354127605051]
['diviner', 0.9518354127605051]
['report', 0.9518354127605051]
['leonzio', 0.9518354127605051]
['_in', 0.9517883041141999]
['entangled', 0.9516748568013036]
['assyria', 0.9516547715961591]
['tusks', 0.9516368425589156]
['disgusting', 0.9513962371199893]
['thorn', 0.9512011456130886]
['small', 0.9512011456130886]
['pressed', 0.9512011456130886]
['gases', 0.9512011456130886]
['rainbows', 0.9512011456130886]
['grayer', 0.9512011456130886]
['appreciates', 0.9512011456130886]
['madness', 0.9512011456130886]
['politeness', 0.9512011456130886]
['lagged', 0.9512011456130886]
['female', 0.9512011456130886]
['beady', 0.9512011456130886]
['priesthood', 0.9512011456130886]
['preceded', 0.9512011456130886]
['opinions', 0.9512011456130886]
['reformations', 0.9512011456130886]
['wheeled', 0.9512011456130886]
['deceivin', 0.9512011456130886]
['firma', 0.9512011456130886]
['pancho', 0.9512011456130886]
['interested', 0.9512011456130886]
['_rent_', 0.9512011456130886]
['tendered', 0.9512011456130886]
['labour', 0.9512011456130886]
['forge', 0.9512011456130886]
['preach', 0.9512011456130886]
['sinister', 0.9512011456130886]
['equerry', 0.9512011456130886]
['crazy', 0.9512011456130886]
['lands', 0.9512011456130886]
['fashion', 0.9512011456130886]
['speaks', 0.9512011456130886]
['chervink', 0.9512011456130886]
['rails', 0.9512011456130886]
['repulsion', 0.9512011456130886]
['lumber', 0.9512011456130886]
['so', 0.9512011456130886]
['carol', 0.9512011456130886]
['bound', 0.9512011456130886]
['frolic', 0.9512011456130886]
['portrait', 0.9512011456130886]
['navy', 0.9512011456130886]
['vehemence', 0.9512011456130886]
['moscow', 0.9512011456130886]
['congregations', 0.9512011456130886]
['chaffer', 0.9512011456130886]
['files', 0.9512011456130886]
['lightest', 0.9512011456130886]
['plenipotentiary', 0.9512011456130886]
['leaped', 0.9512011456130886]
['comb', 0.9512011456130886]
['photographer', 0.9512011456130886]
['imprecations', 0.9512011456130886]
['heaved', 0.9512011456130886]
['doubtless', 0.9512011456130886]
['atrcus', 0.9512011456130886]
['beri', 0.9512011456130886]
['groans', 0.9512011456130886]
['assembled', 0.9512011456130886]
['choir', 0.9512011456130886]
['anguish', 0.9512011456130886]
['tien', 0.9511144355059271]
['astronomer', 0.9510302476404244]
['astronomy', 0.9510302476404244]
['dynamite', 0.9510302476404244]
['animadverted', 0.9509231077193977]
['rumour', 0.950844829156757]
['autre', 0.950844829156757]
['taels', 0.9508379655391188]
['blundering', 0.9508307056780202]
['overjoyed', 0.9508149869227379]
['beds', 0.9508149869227379]
['consummated', 0.9508149869227379]
['camions', 0.9508149869227379]
['freaks', 0.9508149869227379]
['couriers', 0.9508149869227379]
['agunt', 0.9508149869227379]
['offered', 0.9508149869227379]
['bathe', 0.9508149869227379]
['baths', 0.9508149869227379]
['dwindle', 0.9508149869227379]
['sonorous', 0.9508149869227379]
['total', 0.9508149869227379]
['compensate', 0.9508149869227379]
['climbing', 0.9508149869227379]
['inexcusable', 0.9508149869227379]
['vanquished', 0.9508149869227379]
['godwinian', 0.9508149869227379]
['courant', 0.9508149869227379]
['axes', 0.9508149869227379]
['stone', 0.9508149869227379]
['stuart', 0.9508149869227379]
['bosom_', 0.9508149869227379]
['seeker', 0.9508149869227379]
['fading', 0.9508149869227379]
['squatting', 0.9508149869227379]
['sets', 0.9508149869227379]
['undoing', 0.9508149869227379]
['brutes', 0.9506306928136313]
['papa', 0.9505966258815653]
['ruled', 0.9504571710739056]
['spindle', 0.9503805535054052]
['invasion', 0.9503425982424535]
['rise', 0.949941319234201]
['recuperation', 0.9497638822240767]
['uncanny', 0.94966651988779]
['weighty', 0.9496568753882756]
['deals', 0.9496261238739532]
['medical', 0.9494770064581554]
['meridian', 0.9494770064581554]
['danseuse', 0.9494770064581554]
['chimiques', 0.9490862096517806]
['cavemen', 0.9490512740034872]
['onset', 0.9489225838691542]
['handed', 0.948530482899576]
['sensibly', 0.9482655579799938]
['_use_', 0.9478763990434401]
['thrift', 0.9478087911831825]
['classical', 0.9474057872451341]
['jungle', 0.9473795346111187]
['studiously', 0.9473405560065206]
['decide', 0.9472451674141324]
['winter', 0.9470219233769288]
['thy', 0.9470219233769288]
['speechless', 0.9470219233769288]
['escutcheon', 0.9470219233769288]
['neuilly', 0.9470219233769288]
['meditated', 0.9470219233769288]
['perplexing', 0.9469714827845238]
['sermonic', 0.9465088374804373]
['_blow', 0.9464783745616269]
['moments', 0.946445972410813]
['manufactories', 0.9464060989760996]
['watering', 0.9464060989760996]
['low', 0.9463561486924754]
['bobbing', 0.9462917047684029]
['brink', 0.9462308753651614]
['shoved', 0.9460889636401181]
['cannibal', 0.9459205350844225]
['sermons', 0.9459205350844225]
['cookery', 0.9459205350844225]
['ends', 0.9458679058357219]
['pack', 0.9458095490837666]
['chiseled', 0.9456372019457878]
['inedites', 0.9456372019457878]
['steeds', 0.9456372019457878]
['invaluable', 0.9455564452649534]
['quickened', 0.9454657257630938]
['soothes', 0.9453333824987769]
['corti', 0.9453315409217898]
['blow', 0.9452726162527708]
['continuance', 0.9451605416535418]
['wits', 0.9450904409481116]
['skeered', 0.9450243011904853]
['thronged', 0.9450243011904853]
['fullest', 0.9448390683046182]
['clubs', 0.944808391978298]
['conclude', 0.9446059420802826]
['untaught', 0.9446059420802826]
['grudge', 0.9446059420802826]
['portfolios', 0.9446059420802826]
['stanchions', 0.9446059420802826]
['fended', 0.9446059420802826]
['bullets', 0.9446059420802826]
['founding', 0.9446059420802826]
['indignant', 0.9446059420802826]
['spat', 0.9446059420802826]
['wrists', 0.9446059420802826]
['nun', 0.9446059420802826]
['whimpering', 0.9446059420802826]
['clinton', 0.9446059420802826]
['negligible', 0.9446059420802826]
['singly', 0.9446059420802826]
['finely', 0.9446059420802826]
['rocking', 0.9446059420802826]
['cranks', 0.9446059420802826]
['club', 0.9446059420802826]
['james', 0.9446059420802826]
['expecting', 0.9446059420802826]
['attempts', 0.9446059420802826]
['international', 0.9444954322612583]
['vitiate', 0.9444954322612583]
['mid', 0.9444954322612583]
['scientifically', 0.9444954322612583]
['primin', 0.9444954322612583]
['undercurrents', 0.9444954322612583]
['bowling', 0.944430875400407]
['requisition', 0.944372318707498]
['appreciate', 0.9443166183787294]
['approbation', 0.9443166183787294]
['coarseness', 0.9443166183787294]
['thunderclap', 0.9443166183787294]
['materialism', 0.9443166183787294]
['powdering', 0.9443166183787294]
['lashes', 0.9443166183787294]
['projects', 0.9443166183787294]
['apparatus', 0.9443166183787294]
['african', 0.9443166183787294]
['kinsman', 0.9443166183787294]
['hundred', 0.94425547315788]
['xiv', 0.9442445222550325]
['disorganized', 0.9440616981593024]
['barbarians', 0.9439692606816841]
['suppression', 0.9438828900143587]
['displease', 0.9433512383495298]
['moats', 0.9433217555222059]
['solidarity', 0.9424566436990788]
['akin', 0.942399457545742]
['starred', 0.9423859857531568]
['christina', 0.9422985540674136]
['marring', 0.9420690786332895]
['sends', 0.941995692003536]
['risked', 0.941995692003536]
['ennobled', 0.9419493143237366]
['nigger', 0.941463921158486]
['traveling', 0.9413853533812477]
['thunderous', 0.9411899297554973]
['virgil', 0.9408805293174975]
['stayers', 0.9407871704963701]
['cartridges', 0.9405444415675154]
['tantalized', 0.9405400325454226]
['boldly', 0.940495258935572]
['treat', 0.9402554591128711]
['quaker', 0.9400843816630496]
['partially', 0.9400816889164598]
['lies', 0.9400356212042444]
['withal', 0.9399123130119221]
['prospect', 0.9399059024139621]
['_areopagitica_', 0.9397573745563625]
['duly', 0.9394915929001897]
['radiances', 0.9392799512397063]
['meeting', 0.9392795048508404]
['conjuror', 0.939124852673198]
['richer', 0.9389871432739012]
['motors', 0.9389768132015949]
['privacy', 0.9389202338042154]
['humbert', 0.9389027063044406]
['danae', 0.9383105987005063]
['dogmatic', 0.938175345573897]
['lunched', 0.938175345573897]
['bereaved', 0.938175345573897]
['goodwin', 0.938175345573897]
['_positive_', 0.938175345573897]
['door', 0.9381623277314678]
['maitre', 0.9381623277314678]
['tempers', 0.937963765407985]
['wrath', 0.9375884016493973]
['constrains', 0.9375174578065126]
['telephones', 0.9374716757308016]
['resurrected', 0.9374085347092597]
['tutor', 0.9373321861851361]
['charmed', 0.937243663642373]
['either', 0.937243663642373]
['tennyson', 0.937243663642373]
['darkens', 0.937243663642373]
['solomon', 0.937243663642373]
['emboldened', 0.937243663642373]
['burs', 0.9372121622494993]
['achievement', 0.9372121622494993]
['execrable', 0.9370051702357974]
['month', 0.9367063806985843]
['experimental', 0.9367063806985843]
['expressions', 0.9367063806985843]
['sunrise', 0.9367063806985843]
['predominate', 0.9367027304751382]
['perform', 0.9363854138848993]
['departed', 0.9363209282712452]
['cloudy', 0.9361440645284486]
['importunate', 0.9360998098409401]
['cabalistic', 0.9359471963516112]
['estopped', 0.9358422288143565]
['teachers', 0.9356185517957385]
['dryness', 0.9356185517957385]
['_passion', 0.9356019260744398]
['overspread', 0.935417302369983]
['stubbed', 0.935417302369983]
['areas', 0.935417302369983]
['5th', 0.9354054317056563]
['enveloping', 0.9354054317056563]
['purely', 0.9354054317056563]
['nonentity', 0.9353657187900549]
['reserving', 0.9351283830155667]
['came', 0.935097397386176]
['owning', 0.9350339433517891]
['nuncio', 0.934814088004043]
['northland', 0.9347430429135509]
['blest', 0.9346586555141544]
['souverain', 0.9346508350720484]
['summit', 0.9345193074634721]
['against', 0.9345193074634721]
['depression', 0.9345193074634721]
['paper', 0.9344563064426297]
['arrow', 0.9343761583667218]
['sabe_', 0.9343541990901765]
['fellows', 0.9339283520353112]
['breakdown', 0.9337722442315326]
['popularly', 0.9336725118881339]
['beginnings', 0.9336331868098043]
['topsail', 0.9335983219560031]
['sequestered', 0.933557326159367]
['pearl', 0.933557326159367]
['bride', 0.933557326159367]
['classified', 0.933557326159367]
['reaction', 0.9332609761602202]
['harder', 0.933112530664223]
['worldscape', 0.9328765312507845]
['theatre', 0.9328487431036504]
['inscrutably', 0.9327271621373315]
['shocks', 0.932577574870092]
['99712', 0.9324543331665864]
['michelangelo', 0.9322651501288135]
['amorosa', 0.9322116356287764]
['illusion', 0.9321441925017809]
['notoriously', 0.9321441925017809]
['droning', 0.9320114987756292]
['daintiness', 0.9319546351393705]
['unscrupulous', 0.9319546351393705]
['gregory', 0.9316385497516485]
['columbia', 0.9316102634521529]
['girls', 0.9316102634521529]
['housekeeping', 0.9316102634521529]
['soughing', 0.9314610012887616]
['blend', 0.9314407320444819]
['15th', 0.9313697642124875]
['freshets', 0.9313697642124875]
['inconsiderable', 0.9313697642124875]
['marino', 0.9313697642124875]
['suspicion', 0.9312236519237304]
['policies', 0.9312212551883214]
['brow', 0.931145057395258]
['veteran', 0.9311420750494814]
['throaty', 0.9311385578404029]
['taciturn', 0.9311385578404029]
['exiled', 0.93108726739055]
['stealing', 0.9310038105589669]
['ideals', 0.9310038105589669]
['engenders', 0.9310038105589669]
['plausibly', 0.9310038105589669]
['treasury', 0.9308724549054043]
['algiers', 0.9308724549054043]
['contes', 0.9308724549054043]
['compliments', 0.9308724549054043]
['turban', 0.9308724549054043]
['schooners', 0.9308724549054043]
['habit', 0.9308724549054043]
['lies_', 0.9308724549054043]
['gibberish', 0.9308724549054043]
['uso', 0.9307462791738099]
['picric', 0.9302225840172689]
['meum_', 0.930107340861628]
['obliquely', 0.930107340861628]
['sechs', 0.930011947800905]
['horizontally', 0.9297478599287999]
['pony', 0.9297273431124973]
['hair', 0.929587316354886]
['dutch', 0.929587316354886]
['resembles', 0.9295293078271618]
['partake', 0.9294346712237782]
['_perfect', 0.9293858142866079]
['infinity', 0.9293546862242461]
['defer', 0.9286374139984249]
['aye', 0.928543136358347]
['literature', 0.928543136358347]
['readily', 0.9282872376168498]
['grander', 0.9281793743152824]
['hound', 0.9280717965539572]
['arrivals', 0.928067479176308]
['talk', 0.9279482304557862]
