['execrating', 0.9984658383482923]
['salamander', 0.9679007118092843]
['francesca', 0.9677818268505191]
['infused', 0.9675803118803067]
['anvil', 0.9674994825446016]
['traveling', 0.9667180323475266]
['anear', 0.9666637656285303]
['carries', 0.9665055256656314]
['parding', 0.9659737770080227]
['pathetic', 0.965908841751114]
['staggered', 0.9656772180675989]
['compassionate', 0.9654664528504617]
['conjuror', 0.9654344980129592]
['traffic', 0.9653929470771749]
['efficiently', 0.9653227753648429]
['privacy', 0.9653183134247817]
['carrier', 0.965261987885681]
['duly', 0.9649542533021119]
['getting', 0.9648879383404282]
['finishing', 0.9648867626241043]
['won', 0.9648693945918991]
['wrappings', 0.9646065871958593]
['calculate', 0.9645752280434184]
['tripper', 0.9645391498337005]
['shrewdness', 0.9644860864883068]
['night', 0.9644404627119346]
['inconsequently', 0.9643757781134943]
['deauville', 0.9643554532573418]
['hosts', 0.964283120518575]
['ringing', 0.9642012414425918]
['suspenders', 0.9641671287541338]
['pottery', 0.9641651517945]
['principality', 0.9641115142861973]
['hasty', 0.963899851269267]
['_brut_', 0.9638777176125382]
['voided', 0.9637577390549907]
['txt', 0.9637552930556057]
['detected', 0.963584935543695]
['seafaring', 0.9634309306239859]
['84116', 0.9633678370134654]
['radio', 0.9630680395901382]
['surf', 0.9628972556014659]
['alluding', 0.9628886912428685]
['arrow', 0.9627381431014026]
['owing', 0.9627023658258962]
['spins', 0.9623921180801804]
['smooths', 0.962332325638115]
['sandstone', 0.9623017512670722]
['immortalised', 0.9622774867071393]
['vol', 0.9621601873232889]
['aptitude', 0.9621322915020478]
['command', 0.9620581073057617]
['sparring', 0.9620111432997586]
['scoffed', 0.9620099729128422]
['sabe_', 0.9619787361668478]
['helps', 0.9619745097034278]
['accident', 0.9618637533016023]
['tapestries', 0.9618103586601651]
['proposition', 0.9613795384739507]
['gregory', 0.9611837022469754]
['romancing', 0.960928160453333]
['jesuit', 0.960767492728154]
['milliards', 0.9606711957361331]
['barrel', 0.9606087728453692]
['wilderness', 0.9606026865332284]
['excepting', 0.9605297993495842]
['knots', 0.9605295239555409]
['spindles', 0.9605080885938362]
['baptize', 0.9605054145227572]
['there', 0.9604834698366125]
['procurator', 0.9604834698366125]
['engender', 0.9604091453847954]
['domiciled', 0.9604091453847954]
['keeps', 0.9604091453847954]
['presumptuous', 0.9604091453847954]
['beech', 0.9604091453847954]
['cities', 0.9602862360701201]
['straggle', 0.9601851660917586]
['undersecretary', 0.960129171945296]
['motion', 0.9600877990158332]
['maigs', 0.9599285322865467]
['time', 0.9598932502633263]
['eyeless', 0.9598618935606587]
['button', 0.959801894474553]
['_must_', 0.959801894474553]
['angry', 0.9597874672627412]
['fellowship', 0.9597103209821735]
['fantastic', 0.9595460990499332]
['published', 0.9595460990499332]
['seizure', 0.9595010425602946]
['inasmuch', 0.9594161672578734]
['attributed', 0.9594161672578734]
['curve', 0.9594161672578734]
['enjoyed', 0.9594161672578734]
['xix', 0.9593050031898076]
['chilling', 0.9592336142038229]
['eggs', 0.9590550841270938]
['resounds', 0.9590503908652368]
['badges', 0.9586176996025207]
['implied', 0.9586040519217174]
['ennobled', 0.958580262074292]
['pallet', 0.9584908768272301]
['esteem', 0.9583900253730939]
['elections', 0.9582427095891388]
['telling', 0.9581953231067296]
['suspense', 0.958127018378003]
['hawks', 0.957823232390116]
['boasts', 0.9575419067588308]
['gently', 0.957068647124206]
['liver', 0.9570503620787284]
['satires', 0.956415671480164]
['willingly', 0.9563758887128156]
['severest', 0.956312024133748]
['70', 0.9561560086119022]
['1875', 0.9560668371530895]
['surroundings', 0.9556914588619172]
['song', 0.9554816554402055]
['grandes', 0.9554147531180964]
['ward', 0.9553982869785902]
['construct', 0.9553759322564388]
['quaker', 0.9551617373920503]
['crickets', 0.9549090645769678]
['1_st_', 0.9547519399109234]
['eh', 0.9545780379869188]
['acid', 0.954505928865533]
['importunate', 0.9544446194720665]
['crack', 0.9544309885446058]
['funds', 0.9543361134751215]
['outcropping', 0.9541474229881334]
['doomed', 0.9538122650866537]
['reserving', 0.953752075074706]
['_use_', 0.9537186466016075]
['brilliant', 0.953207318362397]
['tien', 0.9531851363647419]
['tutor', 0.9531021130902013]
['rumour', 0.9529269500350509]
['autre', 0.9529269500350509]
['intend', 0.9528138879374611]
['pioneers', 0.9528136831181435]
['finger', 0.9527337888209582]
['_filocopo_', 0.9527286986247184]
['brutes', 0.9527218841059463]
['sovereigns', 0.95254939879592]
['yield', 0.9524564581360957]
['_never_', 0.9523863262160447]
['michael', 0.9523767645980903]
['above', 0.9522216737182354]
['worldscape', 0.9521466970033451]
['marche', 0.9519366119107927]
['pulls', 0.9519283705601655]
['huskily', 0.9518075999637388]
['ibiblio', 0.9517856533109327]
['deals', 0.9517598668231356]
['amorosa', 0.9516726831859128]
['narves', 0.95157914516488]
['spends', 0.9514944294007471]
['kitchen', 0.9514650418085051]
['hinder', 0.9513854989715813]
['chimiques', 0.9512428223551554]
['virgil', 0.9509855015376246]
['wrist', 0.9508630786962741]
['victoria', 0.9505735448663925]
['forty', 0.9503283937921198]
['roads', 0.9503094700968426]
['pensants', 0.9497922573680944]
['radiances', 0.9496585016367944]
['reproduce', 0.9496136788308776]
['ponderous', 0.9494251940673656]
['stirs', 0.9494123042881804]
['reeled', 0.9493743566930918]
['cupboard', 0.9492434518669446]
['kindly', 0.9491708152459643]
['their', 0.948776702062466]
['ruts', 0.948745892545895]
['_descending_', 0.9484155679805638]
['spirit', 0.9482284912202658]
['rugby', 0.9481031174812917]
['brewing', 0.9476401867862536]
['delectation', 0.9475618285543451]
['eight', 0.9475222827443975]
['continuance', 0.9474834382932792]
['pluto', 0.9474692866100055]
['wins', 0.9474518452235051]
['performers', 0.9472718320332443]
['lads', 0.9471920534870241]
['usque', 0.9470890995850915]
['artery', 0.9470274705706483]
['kinks', 0.9469329979112343]
['cabalistic', 0.9468953965640969]
['fag', 0.9468656296498043]
['agent', 0.946832651588534]
['weighty', 0.946781304996281]
['xiv', 0.9466062197590909]
['huts', 0.9464121976027259]
['suppression', 0.9462599055821252]
['raillery', 0.9461849882153547]
['financial', 0.9461198485732873]
['onset', 0.9460050711669085]
['exempt', 0.9459771509428214]
['overlooking', 0.945897514862187]
['hours', 0.9456292444771918]
['attempted', 0.9455592890156281]
['filial', 0.9455325870376354]
['visitor', 0.9455270093485985]
['contradictory', 0.9454795069885018]
['catskill', 0.9452967581949554]
['phases', 0.9451000648348391]
['legislation', 0.9448211488400862]
['strews', 0.9445814108729691]
['locating', 0.9444442568082161]
['norwegian', 0.9444348954766528]
['hundreds', 0.9441705092787628]
['aside', 0.9441454356491802]
['_cholera', 0.9441176638589686]
['rounding', 0.9441140522135907]
['chastened', 0.9439520493015242]
['unhorizoned', 0.9438036635808595]
['feverish', 0.9436255119572861]
['revealment', 0.9436255119572861]
['plume_', 0.9434079739978163]
['decision', 0.9433581138215245]
['novels', 0.9433038893894041]
['stayers', 0.9432953149389056]
['si', 0.9431701673151809]
['paying', 0.9430773418820028]
['gore', 0.9428353169429777]
['ends', 0.9427759116769165]
['sentimentally', 0.9427136377705787]
['specification', 0.9427136377705787]
['grazier', 0.9427136377705787]
['lies', 0.9425755998657513]
['decent', 0.942502485133438]
['assemblage', 0.9424803910011255]
['hatch', 0.9423556648013935]
['latent', 0.9421766058504932]
['chivalry', 0.9419998703960786]
['resurrected', 0.9418330025606759]
['feigned', 0.9415813655004783]
['package', 0.9414702986561448]
['processes', 0.9412852988399841]
['waved', 0.9412281379610767]
['perform', 0.9408822041396092]
['disorganized', 0.9408665344543841]
['restaurants', 0.9405841158628787]
['handed', 0.9404977575314509]
['wondrous', 0.9401153158054075]
['readiness', 0.9400425271685555]
['prelate', 0.9400319610611769]
['taels', 0.9397427283085641]
['chatty', 0.9395095370539662]
['irrelevant', 0.9395095370539662]
['saturnalia', 0.9394484477030735]
['standard', 0.939143887150503]
['unbelief', 0.9390346577728481]
['superficiality', 0.9387058683059254]
['management', 0.9386682580224156]
['downward', 0.9386625760102735]
['princely', 0.9384256230498917]
['florentines', 0.9382233681019229]
['treat', 0.9378347373047787]
['protestations', 0.9377085331229537]
['cap', 0.9375967160839729]
['recovering', 0.9370084444831821]
['unmitigated', 0.9369782838907865]
['clams', 0.9366979728519792]
['mound', 0.9365900228585258]
['suggestive', 0.9365327533164709]
['marring', 0.9360587337075659]
['rise', 0.9359228541506692]
['literary', 0.9359186158225502]
['weeping', 0.9358132739584097]
['recruiting', 0.9355053254995664]
['relate', 0.9354754631647256]
['marvellous', 0.9353917261086546]
['divines', 0.9353917261086546]
['caricatures', 0.9352306118241104]
['composition', 0.9352223817555888]
['comet', 0.9352113149312857]
['rasp', 0.9352113149312857]
['shepherd', 0.9352113149312857]
['cower', 0.9352113149312857]
['bricks', 0.9351633134827727]
['bugle', 0.9349421839947477]
['everyone', 0.9347586487621324]
['engagingly', 0.9346932912504037]
['zealand', 0.9346932912504037]
['sprung', 0.9346932912504037]
['exactness', 0.9344052247551038]
['circulating', 0.9343133278211307]
['woodsmen', 0.9343133278211307]
['bait', 0.9343067576617502]
['roundhouse', 0.9342068777206557]
['downfall', 0.9342068777206557]
['minutes', 0.9341808913329153]
['zest', 0.934153924130102]
['room', 0.9340612027468013]
['exiled', 0.9340062815427741]
['constrains', 0.9339484908475906]
['mole', 0.9337594781742319]
['honore', 0.9336470133488536]
['dishes', 0.9336025546797754]
['sorrowfully', 0.9334227269391683]
['pilgrim', 0.9331143440608637]
['_women', 0.9330826977548633]
['scarf', 0.9329980841490337]
['methodizing', 0.9329554981632482]
['spire', 0.9328597137015315]
['cavity', 0.9327373925661027]
['appreciating', 0.9325132707865549]
['appreciative', 0.9323832074586252]
['afro', 0.9323737298884411]
['_xi_', 0.9323444931593823]
['surest', 0.9322185504587143]
['perfections', 0.9321458961032576]
['whispers', 0.9320823945634749]
['barrelled', 0.9319881270739971]
['whit', 0.9319881270739971]
['tho', 0.9319289115332202]
['rabats', 0.9319169056785113]
['paddling', 0.9318549845091975]
['region', 0.9316816957526094]
['concludes', 0.931649424460876]
['concluded', 0.9314114620910418]
['improved', 0.9313860888615586]
['91', 0.9313734866633544]
['distrustful', 0.9313126023944439]
['gapped', 0.9312872367159638]
['lower', 0.931131700765158]
['plagues', 0.9310628111676426]
['tenacity', 0.9309857682754088]
['quietly', 0.9308646082211098]
['turvy', 0.9308212938127101]
['stowed', 0.9306187725847952]
['lordship', 0.9306062317172713]
['brush', 0.9305871278486391]
['fairy', 0.9304806934053474]
['booblimak', 0.9304328444567342]
['consented', 0.9304328444567342]
['bright', 0.9304291483381582]
['evident', 0.9302531164248163]
['vocal', 0.9302172954183658]
['uniting', 0.930045738113551]
['breakdown', 0.9299893528221325]
['scalps', 0.9298201475859834]
['amiel', 0.9297882255387921]
['creaking', 0.929765776014901]
['amesius', 0.929765776014901]
['red', 0.929765776014901]
['bourns', 0.929765776014901]
['diviner', 0.929765776014901]
['report', 0.929765776014901]
['leonzio', 0.929765776014901]
['rolls', 0.929734904021325]
['keepers', 0.9297188525656775]
['syllables', 0.9297091202306439]
['_in', 0.9296970815776419]
['temples', 0.9296245713412158]
['anyone', 0.9296098349631993]
['despise', 0.9294482392379965]
['decline', 0.9293985542568444]
['exceeded', 0.9290855126357223]
['discovers', 0.9290543587130601]
['ease', 0.9290405256359269]
['errors', 0.9288903754186861]
['trunks', 0.928543264880675]
['acquaintances', 0.9281476147924788]
['stout', 0.9281387258426339]
['occupants', 0.9281387258426339]
['competitors', 0.9280572392383187]
['ruled', 0.9277560061638505]
['betide', 0.9276015305748254]
['bowling', 0.9274961583457283]
['exert', 0.9274578008104102]
['1901', 0.9271589797025624]
['64', 0.9270996930446899]
['summon', 0.9270252246381022]
['unapproving', 0.9269582225764117]
['jaw', 0.9269499513354886]
['firmament', 0.9269083812142727]
['davits', 0.9269013773949947]
['jetes', 0.9268971334433996]
['entertained', 0.9268277185234763]
['monarch', 0.9267964162170044]
['meetingplace', 0.9267386459009185]
['stub', 0.9265834623644797]
['gloss', 0.9264242095172297]
['expanse', 0.9262724380011886]
['blowholes', 0.9262414656937434]
['vanishing', 0.9262049645384401]
['belligerents', 0.9257905497444643]
['corpulent', 0.9255537514631557]
['orders', 0.9255099008074984]
['forbade', 0.9255099008074984]
['oliffe', 0.9254104943007807]
['surprisedly', 0.9253652531648519]
['kitchens', 0.9253041248372388]
['richer', 0.9252173282751226]
['_hymns', 0.9251942290939266]
['humbert', 0.9251138349704743]
['giantlike', 0.9250345746092805]
['expenditure', 0.9249223006829483]
['quand', 0.9247822054828243]
['papers', 0.9246958211662016]
['suffused', 0.924481608387377]
['the_', 0.9243629561761527]
['mutter', 0.9243629561761527]
['mercy', 0.9243629561761527]
['readily', 0.9241910457768007]
['impaired', 0.9241091006428731]
['shame', 0.9241054463006848]
['blazing', 0.9240531482224401]
['trigger', 0.9239932796358405]
['liveliness', 0.9238433087052318]
['chiuso', 0.9238433087052318]
['untiring', 0.9238433087052318]
['entitled', 0.9238433087052318]
['radically', 0.9238433087052318]
['tarred', 0.9238433087052318]
['beowulf', 0.9237450829759684]
['wrath', 0.9235029087028218]
['faun_', 0.9234289023299812]
['pestilent', 0.9233712147900103]
['classical', 0.9233064388037319]
['grimmest', 0.9232757670745932]
['studiously', 0.9232113177680042]
['decide', 0.9230722208890026]
['oaks', 0.9229656464440134]
['sequel', 0.9229656464440134]
['wafted', 0.9229656464440134]
['saunter', 0.9229656464440134]
['extract', 0.9229656464440134]
['staying', 0.9229656464440134]
['noises', 0.9229656464440134]
['_areopagitica_', 0.9228869910703699]
['theatre', 0.9223686058270497]
['keene', 0.9222688920832459]
['braced', 0.9222594812267677]
['shocks', 0.9220551170109127]
['sermonic', 0.9219984950573472]
['declare', 0.9219434594990457]
['domicile', 0.9218958472970052]
['manufactories', 0.9218486804416903]
['watering', 0.9218486804416903]
['interviews', 0.9217156146438906]
['michelangelo', 0.9216939328818201]
['drugs', 0.9214516168394316]
['calculations', 0.921404834196346]
['cannibal', 0.9211406248954537]
['sermons', 0.9211406248954537]
['cookery', 0.9211406248954537]
['gully', 0.92110833913958]
['_passion', 0.9210681112063135]
['bare', 0.9210010799035335]
['pack', 0.9209787836740078]
['oracle', 0.9209124707576852]
['gutenberg', 0.920804681091667]
['wouldst', 0.9207922118281626]
['craft', 0.9207520459583027]
['compulsory', 0.9204656478255973]
['bestowing', 0.9204276618641553]
['soothes', 0.9202844314019101]
['corti', 0.9202817459905321]
['communicant', 0.9202017056854337]
['apathetic', 0.9201215406966392]
['nuncio', 0.9201024682426453]
['traditions', 0.9200893659603411]
['strychnine', 0.9200852489386233]
['fox', 0.9196034832678811]
['fullest', 0.9195636160514344]
['thrilling', 0.9195631072799672]
['statue', 0.9195392217742535]
['clubs', 0.919518883435683]
['disgraced', 0.9194820070420662]
['eternally', 0.9194264799477643]
['evade', 0.9192122398545592]
['international', 0.9190625215290484]
['vitiate', 0.9190625215290484]
['mid', 0.9190625215290484]
['scientifically', 0.9190625215290484]
['primin', 0.9190625215290484]
['undercurrents', 0.9190625215290484]
['actualities', 0.9188837534017569]
['steadily', 0.9188369397482177]
['hundred', 0.9187126100613112]
['barbarians', 0.9182952513271747]
['shearing', 0.9178339826260916]
['apply', 0.917124668405457]
['reckons', 0.9170683647663118]
['starry', 0.9165190132761429]
['arts', 0.9164140937116841]
['amoundt', 0.9162518771924825]
['midside', 0.9160511946305537]
['akin', 0.9160061440933882]
['grander', 0.9159252921519723]
['christina', 0.9158590053363892]
['heartfelt', 0.9157762027439806]
['sends', 0.9154173679581802]
['risked', 0.9154173679581802]
['greasy', 0.9153796241639555]
['nocturnal', 0.9152811410742591]
['exactly', 0.9152008976689886]
['load', 0.9150509947643499]
['nigger', 0.9146419328349791]
['retractor', 0.9144249794249]
['varied', 0.9143772218324625]
['scrimmage', 0.9143177469775485]
['seclusion', 0.9137307141944271]
['prostration', 0.9136989068796049]
['unacceptable', 0.9136310979049682]
['fluttered', 0.9136184371524052]
['bradley', 0.9133717785597921]
['stack', 0.9133086082408873]
['tantalized', 0.9132947065115287]
['boldly', 0.9132294170546247]
['traverses', 0.9132288237309905]
['dying', 0.9131376637623153]
['emptied', 0.9130436549079566]
['carelessness', 0.9129311676879185]
['appealingly', 0.9128420760897814]
['bag', 0.9127174911846359]
['summons', 0.9127075859728551]
['earnestly', 0.9127046208929931]
['xxi', 0.9126550681918614]
['withal', 0.9123793577700047]
['armchairs', 0.9122684407547917]
['bazaine', 0.9118398487428968]
['meandered', 0.911777788810337]
['colic', 0.9116413979761927]
['rasping', 0.9116337239739649]
['acquiescence', 0.9115456248941749]
['amen_', 0.9114866040065538]
['disavowed', 0.9114826490117741]
['headstone', 0.9114336516451444]
['motors', 0.9110151998485461]
['departments', 0.9107924797543123]
['sporadic', 0.9103704944205985]
['cautious', 0.9103125016449486]
['comer', 0.910294092264065]
['tiaras', 0.9102912308503669]
['triumphed', 0.9101772686902918]
['telepathy', 0.9100796456869441]
['gorgeously', 0.9100584585200814]
['pony', 0.9100481431848493]
['danae', 0.9100437172474617]
['jumped', 0.9096256946631046]
['tempers', 0.9095379604550012]
['dean', 0.9094042107218245]
['establishers', 0.9093913448932578]
['trusts', 0.9093879475800818]
['tapping', 0.9090675861111462]
['prodigals', 0.9090389270174316]
['lasting', 0.9088187732901684]
['liberal', 0.9087207418120044]
['remark', 0.9084576719810333]
['burs', 0.9084419630094401]
['achievement', 0.9084419630094401]
['execrable', 0.9081401245782048]
['banks', 0.9080486798282478]
['chrysanthemums', 0.90802578400124]
['nurseries', 0.908017459338578]
['preacher', 0.9077703150878148]
['month', 0.9077044258110445]
['experimental', 0.9077044258110445]
['expressions', 0.9077044258110445]
['sunrise', 0.9077044258110445]
['predominate', 0.9076991030080102]
['awaken', 0.9075024731560056]
['modesty', 0.9073968378355242]
['wheedling', 0.9073383216432093]
['excelling', 0.9072520303606747]
['inanely', 0.9071487127064205]
['departed', 0.9071423540967637]
['cherishes', 0.9069135178641443]
['castor', 0.9069135178641443]
['colleague', 0.9066417271689705]
['_has_', 0.9066086755155425]
['preparations', 0.9065478629191251]
['wilts', 0.9065445764311338]
['duchatel', 0.9064410572695036]
['interlocked', 0.9063166225796594]
['magna', 0.906151541610495]
['sighting', 0.906143382655137]
['suspicious', 0.9059493919759611]
['ammunition', 0.9059102425233835]
['commencement', 0.9057626443386942]
['queensland_', 0.9057441212784375]
['converts', 0.9057441212784375]
['protestant', 0.9057441212784375]
['external', 0.905454704837572]
['hote', 0.9053109994358737]
['thirdly', 0.9050694251113384]
['stationery', 0.9050546982087391]
['northland', 0.9048414612626975]
['grandsons', 0.9047692244211734]
['blest', 0.9047184064655855]
['hush', 0.9046970180970955]
['summit', 0.9045152073360084]
['against', 0.9045152073360084]
['depression', 0.9045152073360084]
['damning', 0.9042253745667601]
['talk', 0.904035882657767]
['obedient', 0.9038340115027489]
['traders', 0.9038269881290018]
['fellows', 0.9036534684883303]
['beginnings', 0.9032230547393701]
['topsail', 0.9031722143586791]
['contend', 0.9031141170708672]
['sequestered', 0.90311243375786]
['pearl', 0.90311243375786]
['bride', 0.90311243375786]
['classified', 0.90311243375786]
['mountains', 0.9030540256423667]
['hallooed', 0.9030053434223645]
['reaction', 0.9026802923566565]
['perkins', 0.9026147821695129]
['solid', 0.9026120499188901]
['harder', 0.9024638272146714]
['christianae', 0.9019475928672697]
['eddied', 0.901512668023245]
['cone', 0.9014384420128572]
['regained', 0.901361026567798]
['continents', 0.9012106936762894]
['tithe', 0.9011748739617997]
['ween', 0.9011712448895738]
['thoughts', 0.9010881809279062]
['dainties', 0.901067450806408]
['growl', 0.9009807568507463]
['groom', 0.9009773090856794]
['impressed', 0.9009484484673913]
['expedient', 0.9009145363827862]
['invented', 0.9008666528628498]
['ripening', 0.9008087213362104]
['remonstrating', 0.9007767683038157]
['daintiness', 0.9007753689862337]
['unscrupulous', 0.9007753689862337]
['speeding', 0.9006990593376061]
['devotion', 0.9005640914103633]
['blankly', 0.9004872385643014]
['chew', 0.9004643170622884]
['contented', 0.9002220026631251]
['bearable', 0.9001115667281818]
['plentiful', 0.9000792861118593]
['heap', 0.9000475145145629]
